Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,IRRA,486.0,505.0,468.0,472.0,5295200.0
2025-06-16,IRRA,474.0,474.0,454.0,454.0,2418400.0
2025-06-17,IRRA,454.0,460.0,446.0,456.0,938300.0
2025-06-18,IRRA,456.0,474.0,452.0,454.0,2026300.0
2025-06-19,IRRA,460.0,466.0,440.0,448.0,2083200.0
2025-06-20,IRRA,448.0,456.0,430.0,434.0,1184700.0
2025-06-23,IRRA,430.0,430.0,400.0,422.0,1495000.0
2025-06-24,IRRA,422.0,436.0,422.0,430.0,720200.0
2025-06-25,IRRA,434.0,436.0,386.0,418.0,1841300.0
2025-06-26,IRRA,416.0,424.0,410.0,418.0,864000.0
2025-06-30,IRRA,418.0,420.0,412.0,412.0,1156500.0
2025-07-01,IRRA,412.0,416.0,408.0,416.0,943800.0
2025-07-02,IRRA,414.0,416.0,400.0,408.0,890200.0
2025-07-03,IRRA,410.0,416.0,406.0,410.0,1021800.0
2025-07-04,IRRA,412.0,422.0,400.0,418.0,1735000.0
2025-07-07,IRRA,416.0,430.0,416.0,420.0,1265800.0
2025-07-08,IRRA,420.0,426.0,416.0,416.0,1025800.0
2025-07-09,IRRA,420.0,422.0,412.0,416.0,630500.0
2025-07-10,IRRA,418.0,430.0,418.0,422.0,1651800.0
2025-07-11,IRRA,426.0,434.0,418.0,424.0,989600.0
2025-07-14,IRRA,424.0,426.0,414.0,418.0,966400.0
2025-07-15,IRRA,414.0,422.0,414.0,422.0,1072100.0
2025-07-16,IRRA,422.0,428.0,416.0,418.0,1743400.0
2025-07-17,IRRA,420.0,422.0,414.0,416.0,1048100.0
2025-07-18,IRRA,416.0,430.0,414.0,428.0,2010800.0
2025-07-21,IRRA,428.0,428.0,424.0,424.0,724200.0
2025-07-22,IRRA,424.0,426.0,416.0,418.0,860100.0
2025-07-23,IRRA,418.0,418.0,408.0,416.0,1491100.0
2025-07-24,IRRA,420.0,420.0,414.0,418.0,705500.0
2025-07-25,IRRA,418.0,418.0,406.0,410.0,1141300.0
2025-07-28,IRRA,410.0,416.0,402.0,410.0,1554900.0
2025-07-29,IRRA,410.0,414.0,404.0,408.0,1098800.0
2025-07-30,IRRA,410.0,414.0,404.0,408.0,891700.0
2025-07-31,IRRA,414.0,420.0,404.0,414.0,2181600.0
2025-08-01,IRRA,418.0,428.0,418.0,424.0,1302100.0
2025-08-04,IRRA,432.0,440.0,426.0,440.0,2783900.0
2025-08-05,IRRA,448.0,454.0,434.0,436.0,1870600.0
2025-08-06,IRRA,438.0,440.0,430.0,432.0,1070300.0
2025-08-07,IRRA,432.0,446.0,428.0,436.0,2303500.0
2025-08-08,IRRA,436.0,436.0,428.0,428.0,456000.0
2025-08-11,IRRA,428.0,436.0,426.0,436.0,1579900.0
2025-08-12,IRRA,438.0,438.0,428.0,428.0,1144000.0
2025-08-13,IRRA,432.0,460.0,418.0,428.0,16577900.0
2025-08-14,IRRA,428.0,430.0,424.0,430.0,910800.0
2025-08-15,IRRA,430.0,436.0,426.0,428.0,1055400.0
2025-08-19,IRRA,428.0,438.0,424.0,430.0,1567500.0
2025-08-20,IRRA,434.0,434.0,426.0,432.0,1279900.0
2025-08-21,IRRA,434.0,434.0,428.0,428.0,881500.0
