Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,ISEA,63.0,69.0,63.0,64.0,5866100.0
2025-06-16,ISEA,63.0,64.0,59.0,63.0,2434800.0
2025-06-17,ISEA,62.0,70.0,62.0,64.0,2693000.0
2025-06-18,ISEA,64.0,67.0,63.0,64.0,1182500.0
2025-06-19,ISEA,67.0,74.0,62.0,62.0,16541400.0
2025-06-20,ISEA,62.0,72.0,62.0,71.0,26886900.0
2025-06-23,ISEA,72.0,75.0,64.0,65.0,61024200.0
2025-06-24,ISEA,65.0,67.0,64.0,64.0,2808700.0
2025-06-25,ISEA,64.0,67.0,64.0,64.0,3716200.0
2025-06-26,ISEA,65.0,66.0,63.0,64.0,1485900.0
2025-06-30,ISEA,64.0,70.0,63.0,66.0,3634600.0
2025-07-01,ISEA,66.0,67.0,64.0,64.0,2229200.0
2025-07-02,ISEA,64.0,70.0,63.0,65.0,10361600.0
2025-07-03,ISEA,66.0,69.0,64.0,65.0,4310400.0
2025-07-04,ISEA,66.0,66.0,64.0,65.0,1703600.0
2025-07-07,ISEA,66.0,67.0,64.0,64.0,1411400.0
2025-07-08,ISEA,65.0,67.0,64.0,66.0,1994400.0
2025-07-09,ISEA,66.0,66.0,64.0,65.0,3298200.0
2025-07-10,ISEA,64.0,65.0,64.0,65.0,2504500.0
2025-07-11,ISEA,65.0,65.0,64.0,64.0,1726100.0
2025-07-14,ISEA,64.0,66.0,63.0,64.0,4815500.0
2025-07-15,ISEA,64.0,65.0,63.0,63.0,1680700.0
2025-07-16,ISEA,63.0,65.0,63.0,64.0,2141000.0
2025-07-17,ISEA,64.0,65.0,63.0,64.0,1825000.0
2025-07-18,ISEA,63.0,65.0,63.0,64.0,1063200.0
2025-07-21,ISEA,64.0,64.0,63.0,64.0,1145200.0
2025-07-22,ISEA,63.0,64.0,63.0,63.0,1519400.0
2025-07-23,ISEA,63.0,65.0,63.0,63.0,2843200.0
2025-07-24,ISEA,64.0,68.0,63.0,65.0,6000300.0
2025-07-25,ISEA,65.0,66.0,63.0,64.0,2634000.0
2025-07-28,ISEA,64.0,65.0,63.0,65.0,1355800.0
2025-07-29,ISEA,64.0,72.0,63.0,66.0,15722700.0
2025-07-30,ISEA,67.0,89.0,66.0,89.0,135268800.0
2025-07-31,ISEA,107.0,107.0,81.0,92.0,240297800.0
2025-08-01,ISEA,92.0,96.0,85.0,86.0,35460800.0
2025-08-04,ISEA,81.0,92.0,81.0,85.0,31726100.0
2025-08-05,ISEA,86.0,91.0,84.0,86.0,21697400.0
2025-08-06,ISEA,85.0,94.0,82.0,86.0,41453000.0
2025-08-07,ISEA,87.0,95.0,85.0,87.0,47106300.0
2025-08-08,ISEA,87.0,88.0,84.0,84.0,12011900.0
2025-08-11,ISEA,84.0,86.0,82.0,84.0,7329000.0
2025-08-12,ISEA,84.0,88.0,82.0,84.0,10042900.0
2025-08-13,ISEA,85.0,87.0,84.0,84.0,5009400.0
2025-08-14,ISEA,84.0,91.0,84.0,85.0,20584400.0
2025-08-15,ISEA,86.0,87.0,82.0,82.0,10275400.0
2025-08-19,ISEA,82.0,83.0,80.0,82.0,3760300.0
2025-08-20,ISEA,82.0,88.0,82.0,83.0,12750400.0
2025-08-21,ISEA,85.0,86.0,82.0,83.0,7134500.0
2025-08-22,ISEA,84.0,85.0,82.0,83.0,3669800.0
2025-08-25,ISEA,83.0,86.0,83.0,85.0,5677000.0
2025-08-26,ISEA,86.0,92.0,83.0,85.0,26471200.0
2025-08-27,ISEA,85.0,93.0,84.0,88.0,26976700.0
2025-08-28,ISEA,88.0,89.0,86.0,88.0,7305200.0
2025-08-29,ISEA,87.0,87.0,83.0,84.0,8155500.0
