Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,JAWA,151.0,189.0,151.0,189.0,95503000.0
2025-06-16,JAWA,200.0,238.0,161.0,161.0,98825400.0
2025-06-17,JAWA,161.0,190.0,145.0,188.0,47776500.0
2025-06-18,JAWA,199.0,202.0,160.0,160.0,66561500.0
2025-06-19,JAWA,159.0,159.0,146.0,151.0,17019100.0
2025-06-20,JAWA,153.0,154.0,143.0,146.0,7067600.0
2025-06-23,JAWA,146.0,146.0,132.0,135.0,7760500.0
2025-06-24,JAWA,133.0,152.0,133.0,150.0,22817900.0
2025-06-25,JAWA,148.0,153.0,140.0,146.0,12451200.0
2025-06-26,JAWA,148.0,148.0,140.0,140.0,6237500.0
2025-06-30,JAWA,141.0,159.0,134.0,148.0,17453000.0
2025-07-01,JAWA,146.0,149.0,141.0,146.0,5566300.0
2025-07-02,JAWA,146.0,147.0,142.0,144.0,2976000.0
2025-07-03,JAWA,145.0,149.0,143.0,145.0,4309700.0
2025-07-04,JAWA,146.0,148.0,138.0,138.0,2701900.0
2025-07-07,JAWA,139.0,149.0,138.0,142.0,6788900.0
2025-07-08,JAWA,141.0,153.0,139.0,148.0,15161200.0
2025-07-09,JAWA,145.0,155.0,142.0,150.0,13948100.0
2025-07-10,JAWA,150.0,151.0,146.0,146.0,4151900.0
2025-07-11,JAWA,146.0,148.0,144.0,144.0,2547300.0
2025-07-14,JAWA,144.0,152.0,140.0,143.0,17963700.0
2025-07-15,JAWA,140.0,144.0,138.0,139.0,4005700.0
2025-07-16,JAWA,139.0,145.0,139.0,144.0,2736300.0
2025-07-17,JAWA,144.0,148.0,141.0,146.0,3345500.0
2025-07-18,JAWA,157.0,166.0,149.0,151.0,33601700.0
2025-07-21,JAWA,150.0,157.0,146.0,152.0,7473300.0
2025-07-22,JAWA,154.0,154.0,148.0,153.0,3835600.0
2025-07-23,JAWA,153.0,154.0,149.0,149.0,2425400.0
2025-07-24,JAWA,150.0,152.0,148.0,149.0,1629700.0
