Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,JIHD,630.0,645.0,600.0,625.0,682400.0
2025-06-16,JIHD,625.0,640.0,600.0,605.0,687500.0
2025-06-17,JIHD,605.0,625.0,595.0,610.0,874000.0
2025-06-18,JIHD,610.0,675.0,580.0,640.0,3843600.0
2025-06-19,JIHD,640.0,660.0,575.0,590.0,2202400.0
2025-06-20,JIHD,590.0,600.0,565.0,570.0,831100.0
2025-06-23,JIHD,570.0,570.0,500.0,525.0,1625200.0
2025-06-24,JIHD,530.0,655.0,530.0,655.0,8471300.0
2025-06-25,JIHD,695.0,710.0,585.0,600.0,5063300.0
2025-06-26,JIHD,600.0,615.0,585.0,590.0,661200.0
2025-06-30,JIHD,605.0,620.0,575.0,590.0,1009300.0
2025-07-01,JIHD,595.0,600.0,570.0,575.0,1211100.0
2025-07-02,JIHD,580.0,600.0,545.0,560.0,1287600.0
2025-07-03,JIHD,570.0,570.0,550.0,560.0,807000.0
2025-07-04,JIHD,560.0,575.0,550.0,560.0,393100.0
2025-07-07,JIHD,560.0,590.0,550.0,575.0,724600.0
2025-07-08,JIHD,580.0,640.0,565.0,615.0,1912800.0
2025-07-09,JIHD,615.0,675.0,580.0,630.0,7394400.0
2025-07-10,JIHD,635.0,635.0,615.0,625.0,1133200.0
2025-07-11,JIHD,625.0,640.0,615.0,625.0,776200.0
2025-07-14,JIHD,630.0,645.0,615.0,635.0,2402400.0
2025-07-15,JIHD,645.0,645.0,615.0,620.0,1783900.0
2025-07-16,JIHD,625.0,625.0,610.0,620.0,1196300.0
2025-07-17,JIHD,615.0,620.0,605.0,610.0,1028000.0
2025-07-18,JIHD,610.0,615.0,600.0,605.0,788500.0
2025-07-21,JIHD,605.0,615.0,575.0,615.0,2252000.0
2025-07-22,JIHD,620.0,620.0,595.0,595.0,858100.0
2025-07-23,JIHD,595.0,675.0,580.0,655.0,5304500.0
2025-07-24,JIHD,660.0,690.0,620.0,630.0,6081900.0
2025-07-25,JIHD,620.0,625.0,595.0,620.0,1609700.0
2025-07-28,JIHD,630.0,630.0,610.0,620.0,871200.0
2025-07-29,JIHD,620.0,640.0,615.0,620.0,1310000.0
2025-07-30,JIHD,625.0,635.0,600.0,610.0,2273500.0
2025-07-31,JIHD,615.0,615.0,595.0,595.0,1710500.0
2025-08-01,JIHD,590.0,610.0,590.0,605.0,654300.0
2025-08-04,JIHD,610.0,620.0,595.0,610.0,1713000.0
2025-08-05,JIHD,610.0,615.0,595.0,610.0,1175400.0
2025-08-06,JIHD,605.0,625.0,605.0,615.0,1553500.0
2025-08-07,JIHD,615.0,630.0,605.0,615.0,1031900.0
2025-08-08,JIHD,615.0,620.0,605.0,605.0,867100.0
2025-08-11,JIHD,610.0,640.0,605.0,625.0,1431800.0
2025-08-12,JIHD,635.0,665.0,625.0,655.0,3095600.0
2025-08-13,JIHD,675.0,675.0,640.0,650.0,1434100.0
2025-08-14,JIHD,645.0,790.0,635.0,710.0,17152300.0
2025-08-15,JIHD,710.0,720.0,665.0,675.0,4109400.0
2025-08-19,JIHD,680.0,680.0,655.0,675.0,1049700.0
2025-08-20,JIHD,675.0,740.0,665.0,710.0,8125700.0
2025-08-21,JIHD,730.0,770.0,725.0,725.0,4459400.0
2025-08-22,JIHD,735.0,765.0,725.0,745.0,3839100.0
2025-08-25,JIHD,750.0,825.0,745.0,795.0,8671900.0
2025-08-26,JIHD,810.0,810.0,750.0,770.0,3447900.0
2025-08-27,JIHD,770.0,775.0,740.0,750.0,2223800.0
2025-08-28,JIHD,750.0,765.0,725.0,740.0,1949300.0
2025-08-29,JIHD,740.0,740.0,660.0,710.0,3953200.0
2025-09-01,JIHD,685.0,705.0,650.0,685.0,1979800.0
2025-09-02,JIHD,680.0,745.0,675.0,710.0,1734700.0
2025-09-03,JIHD,755.0,770.0,710.0,715.0,2328400.0
2025-09-04,JIHD,720.0,730.0,685.0,690.0,1277600.0
2025-09-08,JIHD,685.0,695.0,650.0,650.0,1483500.0
2025-09-09,JIHD,645.0,670.0,630.0,650.0,1388900.0
2025-09-10,JIHD,650.0,690.0,650.0,670.0,1122100.0
2025-09-11,JIHD,670.0,690.0,660.0,675.0,728400.0
2025-09-12,JIHD,675.0,680.0,655.0,675.0,808800.0
2025-09-15,JIHD,680.0,725.0,675.0,725.0,1865900.0
2025-09-16,JIHD,725.0,730.0,690.0,700.0,1321800.0
2025-09-17,JIHD,700.0,715.0,675.0,675.0,1018000.0
2025-09-18,JIHD,680.0,705.0,675.0,685.0,766200.0
2025-09-19,JIHD,690.0,695.0,655.0,675.0,624300.0
2025-09-22,JIHD,680.0,700.0,675.0,680.0,881200.0
2025-09-23,JIHD,680.0,690.0,670.0,680.0,1214900.0
2025-09-24,JIHD,670.0,725.0,670.0,710.0,1708800.0
2025-09-25,JIHD,715.0,715.0,680.0,680.0,1564200.0
2025-09-26,JIHD,695.0,695.0,670.0,690.0,817500.0
2025-09-29,JIHD,680.0,695.0,660.0,670.0,2003700.0
2025-09-30,JIHD,675.0,690.0,670.0,685.0,1251900.0
2025-10-01,JIHD,690.0,690.0,665.0,670.0,1244100.0
2025-10-02,JIHD,675.0,685.0,660.0,660.0,1524900.0
2025-10-03,JIHD,670.0,670.0,635.0,655.0,1551700.0
2025-10-06,JIHD,655.0,670.0,635.0,650.0,2575300.0
2025-10-07,JIHD,650.0,655.0,630.0,645.0,1996100.0
2025-10-08,JIHD,645.0,655.0,605.0,655.0,2731900.0
2025-10-09,JIHD,670.0,700.0,645.0,655.0,3340700.0
2025-10-10,JIHD,655.0,655.0,635.0,645.0,2490100.0
2025-10-13,JIHD,640.0,640.0,610.0,610.0,2115400.0
2025-10-14,JIHD,610.0,620.0,570.0,580.0,2553500.0
2025-10-15,JIHD,580.0,585.0,555.0,570.0,3009300.0
2025-10-16,JIHD,570.0,585.0,560.0,580.0,786000.0
2025-10-17,JIHD,580.0,580.0,555.0,570.0,916500.0
2025-10-20,JIHD,560.0,590.0,560.0,590.0,560900.0
2025-10-21,JIHD,595.0,605.0,590.0,605.0,1973300.0
2025-10-22,JIHD,615.0,615.0,585.0,595.0,1122400.0
2025-10-23,JIHD,600.0,600.0,585.0,590.0,433100.0
2025-10-24,JIHD,600.0,610.0,575.0,585.0,2081900.0
2025-10-27,JIHD,585.0,590.0,565.0,570.0,921900.0
2025-10-28,JIHD,570.0,575.0,555.0,565.0,1247900.0
2025-10-29,JIHD,570.0,590.0,565.0,575.0,448500.0
2025-10-30,JIHD,575.0,590.0,565.0,590.0,2058800.0
2025-10-31,JIHD,605.0,605.0,585.0,590.0,441400.0
2025-11-03,JIHD,595.0,600.0,580.0,595.0,450400.0
2025-11-04,JIHD,595.0,595.0,560.0,580.0,539800.0
2025-11-05,JIHD,585.0,585.0,575.0,585.0,271500.0
2025-11-06,JIHD,590.0,595.0,580.0,595.0,1873900.0
2025-11-07,JIHD,595.0,610.0,595.0,600.0,679000.0
2025-11-10,JIHD,600.0,620.0,600.0,605.0,840200.0
2025-11-11,JIHD,605.0,610.0,595.0,600.0,1910700.0
2025-11-12,JIHD,600.0,610.0,595.0,595.0,257100.0
2025-11-13,JIHD,595.0,595.0,575.0,590.0,819100.0
2025-11-14,JIHD,590.0,605.0,575.0,590.0,1904400.0
2025-11-17,JIHD,600.0,635.0,575.0,585.0,2838100.0
2025-11-18,JIHD,575.0,590.0,570.0,590.0,1245800.0
2025-11-19,JIHD,590.0,595.0,580.0,585.0,1695500.0
2025-11-20,JIHD,580.0,595.0,575.0,590.0,463300.0
2025-11-21,JIHD,585.0,595.0,575.0,585.0,114900.0
2025-11-24,JIHD,590.0,595.0,575.0,580.0,1004200.0
2025-11-25,JIHD,580.0,585.0,570.0,580.0,628700.0
2025-11-26,JIHD,580.0,590.0,570.0,580.0,965800.0
2025-11-27,JIHD,590.0,595.0,575.0,575.0,1167700.0
2025-11-28,JIHD,575.0,600.0,575.0,580.0,983100.0
2025-12-01,JIHD,585.0,590.0,575.0,590.0,366800.0
2025-12-02,JIHD,590.0,590.0,580.0,590.0,584100.0
2025-12-03,JIHD,590.0,590.0,580.0,585.0,530500.0
2025-12-04,JIHD,585.0,590.0,575.0,580.0,399500.0
2025-12-05,JIHD,585.0,600.0,580.0,595.0,1128600.0
2025-12-08,JIHD,595.0,620.0,595.0,615.0,2079600.0
2025-12-09,JIHD,615.0,620.0,595.0,610.0,898700.0
2025-12-10,JIHD,610.0,610.0,585.0,595.0,1015700.0
2025-12-11,JIHD,590.0,595.0,575.0,585.0,827800.0
2025-12-12,JIHD,565.0,590.0,565.0,590.0,1818500.0
2025-12-15,JIHD,595.0,595.0,575.0,580.0,412000.0
2025-12-16,JIHD,580.0,590.0,560.0,570.0,1217000.0
2025-12-17,JIHD,575.0,585.0,570.0,580.0,1708800.0
2025-12-18,JIHD,585.0,595.0,575.0,575.0,825700.0
2025-12-19,JIHD,585.0,585.0,570.0,575.0,336500.0
2025-12-22,JIHD,575.0,580.0,560.0,560.0,2610800.0
2025-12-23,JIHD,560.0,565.0,550.0,560.0,1069600.0
2025-12-24,JIHD,560.0,565.0,545.0,550.0,932000.0
2025-12-29,JIHD,545.0,565.0,545.0,565.0,588100.0
2025-12-30,JIHD,560.0,570.0,550.0,570.0,1733800.0
2026-01-02,JIHD,570.0,570.0,555.0,570.0,523800.0
2026-01-05,JIHD,565.0,625.0,555.0,605.0,6770000.0
2026-01-06,JIHD,650.0,755.0,650.0,755.0,32270100.0
2026-01-07,JIHD,795.0,835.0,675.0,690.0,28059300.0
2026-01-08,JIHD,705.0,705.0,620.0,645.0,4423300.0
2026-01-09,JIHD,650.0,655.0,620.0,650.0,2677500.0
2026-01-12,JIHD,650.0,650.0,585.0,600.0,4054700.0
2026-01-13,JIHD,605.0,645.0,600.0,615.0,3276700.0
2026-01-14,JIHD,615.0,635.0,605.0,620.0,1248200.0
