Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,JSKY,52.0,52.0,52.0,52.0,0.0
2025-06-16,JSKY,52.0,52.0,52.0,52.0,0.0
2025-06-17,JSKY,52.0,52.0,52.0,52.0,0.0
2025-06-18,JSKY,52.0,52.0,52.0,52.0,0.0
2025-06-19,JSKY,52.0,52.0,52.0,52.0,0.0
2025-06-20,JSKY,52.0,52.0,52.0,52.0,0.0
2025-06-23,JSKY,52.0,52.0,52.0,52.0,0.0
2025-06-24,JSKY,52.0,52.0,52.0,52.0,0.0
2025-06-25,JSKY,52.0,52.0,52.0,52.0,0.0
2025-06-26,JSKY,52.0,52.0,52.0,52.0,0.0
2025-06-30,JSKY,52.0,52.0,52.0,52.0,0.0
2025-07-01,JSKY,52.0,52.0,52.0,52.0,0.0
2025-07-02,JSKY,52.0,52.0,52.0,52.0,0.0
2025-07-03,JSKY,52.0,52.0,52.0,52.0,0.0
2025-07-04,JSKY,52.0,52.0,52.0,52.0,0.0
2025-07-07,JSKY,52.0,52.0,52.0,52.0,0.0
2025-07-08,JSKY,52.0,52.0,52.0,52.0,0.0
2025-07-09,JSKY,52.0,52.0,52.0,52.0,0.0
2025-07-10,JSKY,52.0,52.0,52.0,52.0,0.0
2025-07-11,JSKY,52.0,52.0,52.0,52.0,0.0
2025-07-14,JSKY,52.0,52.0,52.0,52.0,0.0
2025-07-15,JSKY,52.0,52.0,52.0,52.0,0.0
2025-07-16,JSKY,52.0,52.0,52.0,52.0,0.0
2025-07-17,JSKY,52.0,52.0,52.0,52.0,0.0
2025-07-18,JSKY,52.0,52.0,52.0,52.0,0.0
2025-07-21,JSKY,52.0,52.0,52.0,52.0,0.0
2025-07-22,JSKY,52.0,52.0,52.0,52.0,0.0
2025-07-23,JSKY,52.0,52.0,52.0,52.0,0.0
2025-07-24,JSKY,52.0,52.0,52.0,52.0,0.0
2025-07-25,JSKY,52.0,52.0,52.0,52.0,0.0
2025-07-28,JSKY,52.0,52.0,52.0,52.0,0.0
2025-07-29,JSKY,52.0,52.0,52.0,52.0,0.0
2025-07-30,JSKY,52.0,52.0,52.0,52.0,0.0
2025-07-31,JSKY,52.0,52.0,52.0,52.0,0.0
2025-08-01,JSKY,52.0,52.0,52.0,52.0,0.0
2025-08-04,JSKY,52.0,52.0,52.0,52.0,0.0
2025-08-05,JSKY,52.0,52.0,52.0,52.0,0.0
2025-08-06,JSKY,52.0,52.0,52.0,52.0,0.0
2025-08-07,JSKY,52.0,52.0,52.0,52.0,0.0
2025-08-08,JSKY,52.0,52.0,52.0,52.0,0.0
2025-08-11,JSKY,52.0,52.0,52.0,52.0,0.0
2025-08-12,JSKY,52.0,52.0,52.0,52.0,0.0
2025-08-13,JSKY,52.0,52.0,52.0,52.0,0.0
2025-08-14,JSKY,52.0,52.0,52.0,52.0,0.0
2025-08-15,JSKY,52.0,52.0,52.0,52.0,0.0
2025-08-19,JSKY,52.0,52.0,52.0,52.0,0.0
2025-08-20,JSKY,52.0,52.0,52.0,52.0,0.0
2025-08-21,JSKY,52.0,52.0,52.0,52.0,0.0
2025-08-22,JSKY,52.0,52.0,52.0,52.0,0.0
2025-08-25,JSKY,52.0,52.0,52.0,52.0,0.0
2025-08-26,JSKY,52.0,52.0,52.0,52.0,0.0
2025-08-27,JSKY,52.0,52.0,52.0,52.0,0.0
2025-08-28,JSKY,52.0,52.0,52.0,52.0,0.0
2025-08-29,JSKY,52.0,52.0,52.0,52.0,0.0
2025-09-01,JSKY,52.0,52.0,52.0,52.0,0.0
2025-09-02,JSKY,52.0,52.0,52.0,52.0,0.0
2025-09-03,JSKY,52.0,52.0,52.0,52.0,0.0
2025-09-04,JSKY,52.0,52.0,52.0,52.0,0.0
2025-09-08,JSKY,52.0,52.0,52.0,52.0,0.0
2025-09-09,JSKY,52.0,52.0,52.0,52.0,0.0
2025-09-10,JSKY,52.0,52.0,52.0,52.0,0.0
2025-09-11,JSKY,52.0,52.0,52.0,52.0,0.0
2025-09-12,JSKY,52.0,52.0,52.0,52.0,0.0
2025-09-15,JSKY,52.0,52.0,52.0,52.0,0.0
2025-09-16,JSKY,52.0,52.0,52.0,52.0,0.0
2025-09-17,JSKY,52.0,52.0,52.0,52.0,0.0
2025-09-18,JSKY,52.0,52.0,52.0,52.0,0.0
2025-09-19,JSKY,52.0,52.0,52.0,52.0,0.0
2025-09-22,JSKY,52.0,52.0,52.0,52.0,0.0
2025-09-23,JSKY,52.0,52.0,52.0,52.0,0.0
2025-09-24,JSKY,52.0,52.0,52.0,52.0,0.0
2025-09-25,JSKY,52.0,52.0,52.0,52.0,0.0
2025-09-26,JSKY,52.0,52.0,52.0,52.0,0.0
2025-09-29,JSKY,52.0,52.0,52.0,52.0,0.0
2025-09-30,JSKY,52.0,52.0,52.0,52.0,0.0
2025-10-01,JSKY,52.0,52.0,52.0,52.0,0.0
2025-10-02,JSKY,52.0,52.0,52.0,52.0,0.0
2025-10-03,JSKY,52.0,52.0,52.0,52.0,0.0
2025-10-06,JSKY,52.0,52.0,52.0,52.0,0.0
2025-10-07,JSKY,52.0,52.0,52.0,52.0,0.0
2025-10-08,JSKY,52.0,52.0,52.0,52.0,0.0
2025-10-09,JSKY,52.0,52.0,52.0,52.0,0.0
2025-10-10,JSKY,52.0,52.0,52.0,52.0,0.0
2025-10-13,JSKY,52.0,52.0,52.0,52.0,0.0
2025-10-14,JSKY,52.0,52.0,52.0,52.0,0.0
2025-10-15,JSKY,52.0,52.0,52.0,52.0,0.0
2025-10-16,JSKY,52.0,52.0,52.0,52.0,0.0
2025-10-17,JSKY,52.0,52.0,52.0,52.0,0.0
2025-10-20,JSKY,52.0,52.0,52.0,52.0,0.0
2025-10-21,JSKY,52.0,52.0,52.0,52.0,0.0
2025-10-22,JSKY,52.0,52.0,52.0,52.0,0.0
2025-10-23,JSKY,52.0,52.0,52.0,52.0,0.0
2025-10-24,JSKY,52.0,52.0,52.0,52.0,0.0
2025-10-27,JSKY,52.0,52.0,52.0,52.0,0.0
2025-10-28,JSKY,52.0,52.0,52.0,52.0,0.0
2025-10-29,JSKY,52.0,52.0,52.0,52.0,0.0
2025-10-30,JSKY,52.0,52.0,52.0,52.0,0.0
2025-10-31,JSKY,52.0,52.0,52.0,52.0,0.0
2025-11-03,JSKY,52.0,52.0,52.0,52.0,0.0
2025-11-04,JSKY,52.0,52.0,52.0,52.0,0.0
2025-11-05,JSKY,52.0,52.0,52.0,52.0,0.0
2025-11-06,JSKY,52.0,52.0,52.0,52.0,0.0
2025-11-07,JSKY,52.0,52.0,52.0,52.0,0.0
2025-11-10,JSKY,52.0,52.0,52.0,52.0,0.0
2025-11-11,JSKY,52.0,52.0,52.0,52.0,0.0
2025-11-12,JSKY,52.0,52.0,52.0,52.0,0.0
2025-11-13,JSKY,52.0,52.0,52.0,52.0,0.0
2025-11-14,JSKY,52.0,52.0,52.0,52.0,0.0
2025-11-17,JSKY,52.0,52.0,52.0,52.0,0.0
2025-11-18,JSKY,52.0,52.0,52.0,52.0,0.0
2025-11-19,JSKY,52.0,52.0,52.0,52.0,0.0
2025-11-20,JSKY,52.0,52.0,52.0,52.0,0.0
2025-11-21,JSKY,52.0,52.0,52.0,52.0,0.0
2025-11-24,JSKY,52.0,52.0,52.0,52.0,0.0
2025-11-25,JSKY,52.0,52.0,52.0,52.0,0.0
2025-11-26,JSKY,52.0,52.0,52.0,52.0,0.0
2025-11-27,JSKY,52.0,52.0,52.0,52.0,0.0
2025-11-28,JSKY,52.0,52.0,52.0,52.0,0.0
2025-12-01,JSKY,52.0,52.0,52.0,52.0,0.0
2025-12-02,JSKY,52.0,52.0,52.0,52.0,0.0
2025-12-03,JSKY,52.0,52.0,52.0,52.0,0.0
2025-12-04,JSKY,52.0,52.0,52.0,52.0,0.0
2025-12-05,JSKY,52.0,52.0,52.0,52.0,0.0
2025-12-08,JSKY,52.0,52.0,52.0,52.0,0.0
2025-12-09,JSKY,52.0,52.0,52.0,52.0,0.0
2025-12-10,JSKY,52.0,52.0,52.0,52.0,0.0
2025-12-11,JSKY,52.0,52.0,52.0,52.0,0.0
