Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,KAYU,18.0,18.0,18.0,18.0,0.0
2025-06-16,KAYU,18.0,18.0,18.0,18.0,0.0
2025-06-17,KAYU,18.0,18.0,18.0,18.0,0.0
2025-06-18,KAYU,18.0,18.0,18.0,18.0,0.0
2025-06-19,KAYU,18.0,18.0,18.0,18.0,0.0
2025-06-20,KAYU,18.0,18.0,18.0,18.0,0.0
2025-06-23,KAYU,18.0,18.0,18.0,18.0,0.0
2025-06-24,KAYU,18.0,18.0,18.0,18.0,0.0
2025-06-25,KAYU,18.0,18.0,18.0,18.0,0.0
2025-06-26,KAYU,18.0,18.0,18.0,18.0,0.0
2025-06-30,KAYU,18.0,18.0,18.0,18.0,0.0
2025-07-01,KAYU,18.0,18.0,18.0,18.0,0.0
2025-07-02,KAYU,18.0,18.0,18.0,18.0,0.0
2025-07-03,KAYU,18.0,18.0,18.0,18.0,0.0
2025-07-04,KAYU,18.0,18.0,18.0,18.0,0.0
2025-07-07,KAYU,18.0,18.0,18.0,18.0,0.0
2025-07-08,KAYU,18.0,18.0,18.0,18.0,0.0
2025-07-09,KAYU,18.0,18.0,18.0,18.0,0.0
2025-07-10,KAYU,18.0,18.0,18.0,18.0,0.0
2025-07-11,KAYU,18.0,18.0,18.0,18.0,0.0
2025-07-14,KAYU,18.0,18.0,18.0,18.0,0.0
2025-07-15,KAYU,18.0,18.0,18.0,18.0,0.0
2025-07-16,KAYU,18.0,18.0,18.0,18.0,0.0
2025-07-17,KAYU,18.0,18.0,18.0,18.0,0.0
2025-07-18,KAYU,18.0,18.0,18.0,18.0,0.0
2025-07-21,KAYU,18.0,18.0,18.0,18.0,0.0
2025-07-22,KAYU,18.0,18.0,18.0,18.0,0.0
2025-07-23,KAYU,18.0,18.0,18.0,18.0,0.0
2025-07-24,KAYU,18.0,18.0,18.0,18.0,0.0
2025-07-25,KAYU,18.0,18.0,18.0,18.0,0.0
2025-07-28,KAYU,18.0,18.0,18.0,18.0,0.0
2025-07-29,KAYU,18.0,18.0,18.0,18.0,0.0
2025-07-30,KAYU,18.0,18.0,18.0,18.0,0.0
2025-07-31,KAYU,18.0,18.0,18.0,18.0,0.0
2025-08-01,KAYU,18.0,18.0,18.0,18.0,0.0
2025-08-04,KAYU,18.0,18.0,18.0,18.0,0.0
2025-08-05,KAYU,18.0,18.0,18.0,18.0,0.0
2025-08-06,KAYU,18.0,18.0,18.0,18.0,0.0
2025-08-07,KAYU,18.0,18.0,18.0,18.0,0.0
2025-08-08,KAYU,18.0,18.0,18.0,18.0,0.0
2025-08-11,KAYU,18.0,18.0,18.0,18.0,0.0
2025-08-12,KAYU,18.0,18.0,18.0,18.0,0.0
2025-08-13,KAYU,18.0,18.0,18.0,18.0,0.0
2025-08-14,KAYU,18.0,18.0,18.0,18.0,0.0
2025-08-15,KAYU,18.0,18.0,18.0,18.0,0.0
2025-08-19,KAYU,18.0,18.0,18.0,18.0,0.0
2025-08-20,KAYU,18.0,18.0,18.0,18.0,0.0
2025-08-21,KAYU,18.0,18.0,18.0,18.0,0.0
2025-08-22,KAYU,18.0,18.0,18.0,18.0,0.0
2025-08-25,KAYU,18.0,18.0,18.0,18.0,0.0
2025-08-26,KAYU,18.0,18.0,18.0,18.0,0.0
2025-08-27,KAYU,18.0,18.0,18.0,18.0,0.0
2025-08-28,KAYU,18.0,18.0,18.0,18.0,0.0
2025-08-29,KAYU,18.0,18.0,18.0,18.0,0.0
2025-09-01,KAYU,18.0,18.0,18.0,18.0,0.0
2025-09-02,KAYU,18.0,18.0,18.0,18.0,0.0
2025-09-03,KAYU,18.0,18.0,18.0,18.0,0.0
2025-09-04,KAYU,18.0,18.0,18.0,18.0,0.0
2025-09-08,KAYU,18.0,18.0,18.0,18.0,0.0
2025-09-09,KAYU,18.0,18.0,18.0,18.0,0.0
2025-09-10,KAYU,18.0,18.0,18.0,18.0,0.0
2025-09-11,KAYU,18.0,18.0,18.0,18.0,0.0
2025-09-12,KAYU,18.0,18.0,18.0,18.0,0.0
2025-09-15,KAYU,18.0,18.0,18.0,18.0,0.0
2025-09-16,KAYU,18.0,18.0,18.0,18.0,0.0
2025-09-17,KAYU,18.0,18.0,18.0,18.0,0.0
2025-09-18,KAYU,18.0,18.0,18.0,18.0,0.0
2025-09-19,KAYU,18.0,18.0,18.0,18.0,0.0
2025-09-22,KAYU,18.0,18.0,18.0,18.0,0.0
2025-09-23,KAYU,18.0,18.0,18.0,18.0,0.0
2025-09-24,KAYU,18.0,18.0,18.0,18.0,0.0
2025-09-25,KAYU,18.0,18.0,18.0,18.0,0.0
2025-09-26,KAYU,18.0,18.0,18.0,18.0,0.0
2025-09-29,KAYU,18.0,18.0,18.0,18.0,0.0
2025-09-30,KAYU,18.0,18.0,18.0,18.0,0.0
2025-10-01,KAYU,18.0,18.0,18.0,18.0,0.0
2025-10-02,KAYU,18.0,18.0,18.0,18.0,0.0
2025-10-03,KAYU,18.0,18.0,18.0,18.0,0.0
2025-10-06,KAYU,18.0,18.0,18.0,18.0,0.0
2025-10-07,KAYU,18.0,18.0,18.0,18.0,0.0
2025-10-08,KAYU,18.0,18.0,18.0,18.0,0.0
2025-10-09,KAYU,18.0,18.0,18.0,18.0,0.0
2025-10-10,KAYU,18.0,18.0,18.0,18.0,0.0
2025-10-13,KAYU,18.0,18.0,18.0,18.0,0.0
2025-10-14,KAYU,18.0,18.0,18.0,18.0,0.0
2025-10-15,KAYU,18.0,18.0,18.0,18.0,0.0
2025-10-16,KAYU,18.0,18.0,18.0,18.0,0.0
2025-10-17,KAYU,18.0,18.0,18.0,18.0,0.0
2025-10-20,KAYU,18.0,18.0,18.0,18.0,0.0
2025-10-21,KAYU,18.0,18.0,18.0,18.0,0.0
2025-10-22,KAYU,18.0,18.0,18.0,18.0,0.0
2025-10-23,KAYU,18.0,18.0,18.0,18.0,0.0
2025-10-24,KAYU,18.0,18.0,18.0,18.0,0.0
2025-10-27,KAYU,18.0,18.0,18.0,18.0,0.0
2025-10-28,KAYU,18.0,18.0,18.0,18.0,0.0
2025-10-29,KAYU,18.0,18.0,18.0,18.0,0.0
2025-10-30,KAYU,18.0,18.0,18.0,18.0,0.0
2025-10-31,KAYU,18.0,18.0,18.0,18.0,0.0
2025-11-03,KAYU,18.0,18.0,18.0,18.0,0.0
2025-11-04,KAYU,18.0,18.0,18.0,18.0,0.0
2025-11-05,KAYU,18.0,18.0,18.0,18.0,0.0
2025-11-06,KAYU,18.0,18.0,18.0,18.0,0.0
2025-11-07,KAYU,18.0,18.0,18.0,18.0,0.0
2025-11-10,KAYU,18.0,18.0,18.0,18.0,0.0
2025-11-11,KAYU,18.0,18.0,18.0,18.0,0.0
2025-11-12,KAYU,18.0,18.0,18.0,18.0,0.0
2025-11-13,KAYU,18.0,18.0,18.0,18.0,0.0
2025-11-14,KAYU,18.0,18.0,18.0,18.0,0.0
2025-11-17,KAYU,18.0,18.0,18.0,18.0,0.0
2025-11-18,KAYU,18.0,18.0,18.0,18.0,0.0
2025-11-19,KAYU,18.0,18.0,18.0,18.0,0.0
2025-11-20,KAYU,18.0,18.0,18.0,18.0,0.0
2025-11-21,KAYU,18.0,18.0,18.0,18.0,0.0
2025-11-24,KAYU,18.0,18.0,18.0,18.0,0.0
2025-11-25,KAYU,18.0,18.0,18.0,18.0,0.0
2025-11-26,KAYU,18.0,18.0,18.0,18.0,0.0
2025-11-27,KAYU,18.0,18.0,18.0,18.0,0.0
2025-11-28,KAYU,18.0,18.0,18.0,18.0,0.0
2025-12-01,KAYU,18.0,18.0,18.0,18.0,0.0
2025-12-02,KAYU,18.0,18.0,18.0,18.0,0.0
2025-12-03,KAYU,18.0,18.0,18.0,18.0,0.0
2025-12-04,KAYU,18.0,18.0,18.0,18.0,0.0
2025-12-05,KAYU,18.0,18.0,18.0,18.0,0.0
2025-12-08,KAYU,18.0,18.0,18.0,18.0,0.0
2025-12-09,KAYU,18.0,18.0,18.0,18.0,0.0
