Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,KDSI,452.0,486.0,444.0,458.0,171100.0
2025-06-16,KDSI,456.0,470.0,446.0,452.0,74800.0
2025-06-17,KDSI,458.0,468.0,448.0,458.0,48400.0
2025-06-18,KDSI,458.0,462.0,456.0,456.0,58100.0
2025-06-19,KDSI,456.0,466.0,448.0,450.0,28000.0
2025-06-20,KDSI,450.0,482.0,450.0,454.0,38500.0
2025-06-23,KDSI,460.0,460.0,446.0,460.0,12900.0
2025-06-24,KDSI,460.0,476.0,448.0,464.0,30100.0
2025-06-25,KDSI,466.0,472.0,448.0,470.0,223300.0
2025-06-26,KDSI,466.0,474.0,464.0,474.0,4100.0
2025-06-30,KDSI,474.0,488.0,466.0,480.0,86800.0
2025-07-01,KDSI,480.0,482.0,472.0,472.0,21600.0
2025-07-02,KDSI,472.0,488.0,472.0,486.0,45500.0
2025-07-03,KDSI,486.0,486.0,476.0,486.0,3500.0
2025-07-04,KDSI,484.0,486.0,460.0,486.0,14500.0
2025-07-07,KDSI,484.0,488.0,474.0,488.0,25600.0
2025-07-08,KDSI,488.0,488.0,466.0,484.0,44200.0
2025-07-09,KDSI,484.0,484.0,470.0,484.0,10300.0
2025-07-10,KDSI,484.0,484.0,472.0,482.0,5200.0
2025-07-11,KDSI,482.0,486.0,476.0,482.0,14300.0
2025-07-14,KDSI,482.0,482.0,478.0,480.0,12700.0
2025-07-15,KDSI,480.0,480.0,470.0,480.0,6500.0
2025-07-16,KDSI,478.0,480.0,466.0,480.0,15400.0
2025-07-17,KDSI,468.0,480.0,468.0,480.0,9700.0
2025-07-18,KDSI,480.0,480.0,478.0,480.0,25200.0
2025-07-21,KDSI,480.0,480.0,470.0,480.0,2900.0
2025-07-22,KDSI,470.0,480.0,468.0,472.0,38200.0
2025-07-23,KDSI,474.0,480.0,470.0,470.0,700.0
2025-07-24,KDSI,470.0,480.0,470.0,480.0,2300.0
2025-07-25,KDSI,480.0,480.0,474.0,474.0,3700.0
2025-07-28,KDSI,474.0,476.0,472.0,476.0,2000.0
2025-07-29,KDSI,482.0,482.0,466.0,480.0,25500.0
2025-07-30,KDSI,472.0,480.0,460.0,480.0,9400.0
2025-07-31,KDSI,470.0,480.0,470.0,480.0,6500.0
2025-08-01,KDSI,472.0,476.0,466.0,472.0,9700.0
2025-08-04,KDSI,474.0,478.0,464.0,476.0,23500.0
2025-08-05,KDSI,474.0,478.0,466.0,470.0,3800.0
2025-08-06,KDSI,470.0,480.0,470.0,476.0,35600.0
2025-08-07,KDSI,470.0,478.0,470.0,478.0,4900.0
2025-08-08,KDSI,464.0,478.0,464.0,478.0,2800.0
2025-08-11,KDSI,478.0,478.0,452.0,478.0,85900.0
2025-08-12,KDSI,472.0,472.0,458.0,472.0,18000.0
2025-08-13,KDSI,470.0,476.0,460.0,474.0,199900.0
2025-08-14,KDSI,474.0,476.0,460.0,476.0,267800.0
2025-08-15,KDSI,476.0,476.0,446.0,460.0,53200.0
2025-08-19,KDSI,474.0,476.0,454.0,470.0,197200.0
2025-08-20,KDSI,470.0,470.0,458.0,470.0,37200.0
2025-08-21,KDSI,470.0,470.0,462.0,470.0,28000.0
2025-08-22,KDSI,470.0,476.0,470.0,474.0,6600.0
2025-08-25,KDSI,474.0,476.0,472.0,476.0,15600.0
2025-08-26,KDSI,474.0,476.0,454.0,458.0,20300.0
2025-08-27,KDSI,470.0,478.0,456.0,476.0,26800.0
2025-08-28,KDSI,476.0,476.0,464.0,476.0,11800.0
2025-08-29,KDSI,476.0,476.0,466.0,476.0,1900.0
2025-09-01,KDSI,468.0,474.0,450.0,452.0,16100.0
2025-09-02,KDSI,452.0,470.0,452.0,468.0,5200.0
2025-09-03,KDSI,468.0,474.0,468.0,470.0,6500.0
2025-09-04,KDSI,468.0,474.0,456.0,474.0,7700.0
2025-09-08,KDSI,464.0,472.0,454.0,472.0,9300.0
2025-09-09,KDSI,474.0,474.0,454.0,460.0,4100.0
2025-09-10,KDSI,470.0,470.0,470.0,470.0,400.0
2025-09-11,KDSI,464.0,472.0,464.0,470.0,8500.0
2025-09-12,KDSI,470.0,470.0,470.0,470.0,800.0
2025-09-15,KDSI,456.0,472.0,456.0,470.0,5200.0
2025-09-16,KDSI,470.0,470.0,466.0,470.0,1900.0
2025-09-17,KDSI,456.0,470.0,450.0,470.0,45300.0
2025-09-18,KDSI,468.0,470.0,454.0,456.0,36300.0
2025-09-19,KDSI,458.0,460.0,452.0,458.0,6100.0
2025-09-22,KDSI,466.0,468.0,400.0,440.0,171100.0
2025-09-23,KDSI,440.0,452.0,440.0,452.0,20000.0
2025-09-24,KDSI,454.0,454.0,448.0,452.0,15900.0
2025-09-25,KDSI,452.0,456.0,452.0,452.0,22500.0
2025-09-26,KDSI,456.0,466.0,456.0,458.0,3200.0
2025-09-29,KDSI,450.0,466.0,438.0,450.0,22100.0
2025-09-30,KDSI,450.0,450.0,442.0,450.0,37600.0
2025-10-01,KDSI,450.0,458.0,448.0,454.0,23300.0
2025-10-02,KDSI,454.0,464.0,446.0,446.0,52000.0
