Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,KICI,113.0,113.0,111.0,113.0,21900.0
2025-06-16,KICI,112.0,112.0,110.0,111.0,224200.0
2025-06-17,KICI,111.0,115.0,110.0,113.0,397400.0
2025-06-18,KICI,113.0,113.0,112.0,113.0,18200.0
2025-06-19,KICI,113.0,113.0,105.0,107.0,307000.0
2025-06-20,KICI,108.0,112.0,105.0,112.0,537200.0
2025-06-23,KICI,112.0,116.0,110.0,114.0,861000.0
2025-06-24,KICI,114.0,116.0,110.0,111.0,651800.0
2025-06-25,KICI,112.0,112.0,106.0,110.0,282200.0
2025-06-26,KICI,109.0,112.0,108.0,110.0,794100.0
2025-06-30,KICI,110.0,111.0,107.0,107.0,320800.0
2025-07-01,KICI,109.0,112.0,108.0,111.0,478300.0
2025-07-02,KICI,111.0,113.0,109.0,111.0,299600.0
2025-07-03,KICI,110.0,114.0,110.0,112.0,194700.0
2025-07-04,KICI,112.0,113.0,111.0,111.0,367800.0
2025-07-07,KICI,111.0,113.0,109.0,112.0,446300.0
2025-07-08,KICI,110.0,114.0,110.0,113.0,117700.0
2025-07-09,KICI,114.0,115.0,110.0,114.0,154700.0
2025-07-10,KICI,114.0,116.0,113.0,115.0,295700.0
2025-07-11,KICI,115.0,119.0,114.0,115.0,481600.0
2025-07-14,KICI,115.0,122.0,114.0,114.0,974100.0
2025-07-15,KICI,112.0,120.0,111.0,114.0,662700.0
2025-07-16,KICI,112.0,115.0,111.0,113.0,353400.0
2025-07-17,KICI,113.0,117.0,113.0,114.0,301300.0
2025-07-18,KICI,115.0,115.0,113.0,113.0,110600.0
2025-07-21,KICI,115.0,115.0,108.0,111.0,287800.0
2025-07-22,KICI,111.0,113.0,110.0,112.0,90200.0
2025-07-23,KICI,113.0,113.0,111.0,112.0,44800.0
2025-07-24,KICI,113.0,113.0,109.0,112.0,231600.0
2025-07-25,KICI,113.0,113.0,111.0,112.0,118300.0
2025-07-28,KICI,112.0,113.0,110.0,112.0,549500.0
2025-07-29,KICI,112.0,113.0,110.0,112.0,447100.0
2025-07-30,KICI,113.0,113.0,109.0,111.0,538200.0
2025-07-31,KICI,111.0,113.0,110.0,112.0,171400.0
2025-08-01,KICI,112.0,114.0,111.0,112.0,215200.0
2025-08-04,KICI,114.0,115.0,113.0,113.0,293300.0
2025-08-05,KICI,112.0,114.0,111.0,113.0,33200.0
2025-08-06,KICI,114.0,115.0,109.0,112.0,440600.0
2025-08-07,KICI,113.0,117.0,111.0,115.0,311000.0
2025-08-08,KICI,115.0,115.0,111.0,113.0,89600.0
2025-08-11,KICI,113.0,113.0,111.0,113.0,92600.0
