Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,KIOS,50.0,50.0,50.0,50.0,85600.0
2025-06-16,KIOS,50.0,50.0,50.0,50.0,334100.0
2025-06-17,KIOS,50.0,50.0,50.0,50.0,61900.0
2025-06-18,KIOS,50.0,50.0,50.0,50.0,307000.0
2025-06-19,KIOS,50.0,50.0,50.0,50.0,1419500.0
2025-06-20,KIOS,50.0,50.0,50.0,50.0,7300.0
2025-06-23,KIOS,50.0,50.0,50.0,50.0,4600.0
2025-06-24,KIOS,50.0,50.0,50.0,50.0,3553800.0
2025-06-25,KIOS,50.0,50.0,50.0,50.0,83400.0
2025-06-26,KIOS,50.0,50.0,50.0,50.0,30200.0
2025-06-30,KIOS,50.0,50.0,50.0,50.0,60800.0
2025-07-01,KIOS,50.0,50.0,50.0,50.0,64600.0
2025-07-02,KIOS,50.0,50.0,50.0,50.0,301000.0
2025-07-03,KIOS,50.0,50.0,50.0,50.0,15400.0
2025-07-04,KIOS,50.0,50.0,50.0,50.0,22500.0
2025-07-07,KIOS,50.0,50.0,50.0,50.0,3800.0
2025-07-08,KIOS,50.0,50.0,50.0,50.0,3400.0
2025-07-09,KIOS,50.0,50.0,50.0,50.0,142800.0
2025-07-10,KIOS,50.0,50.0,50.0,50.0,20000.0
2025-07-11,KIOS,50.0,50.0,50.0,50.0,14100.0
2025-07-14,KIOS,50.0,50.0,50.0,50.0,13900.0
2025-07-15,KIOS,50.0,50.0,50.0,50.0,42600.0
2025-07-16,KIOS,50.0,50.0,50.0,50.0,29800.0
2025-07-17,KIOS,50.0,50.0,50.0,50.0,6900.0
2025-07-18,KIOS,50.0,50.0,50.0,50.0,9100.0
2025-07-21,KIOS,50.0,50.0,50.0,50.0,1037900.0
2025-07-22,KIOS,50.0,50.0,50.0,50.0,138400.0
2025-07-23,KIOS,50.0,50.0,50.0,50.0,171600.0
2025-07-24,KIOS,50.0,65.0,50.0,52.0,157750500.0
2025-07-25,KIOS,53.0,56.0,51.0,52.0,16815600.0
2025-07-28,KIOS,52.0,53.0,51.0,51.0,5764600.0
2025-07-29,KIOS,51.0,51.0,50.0,51.0,8239500.0
2025-07-30,KIOS,51.0,52.0,50.0,51.0,8865600.0
2025-07-31,KIOS,51.0,51.0,50.0,51.0,4747800.0
2025-08-01,KIOS,51.0,61.0,50.0,55.0,49943900.0
2025-08-04,KIOS,57.0,58.0,54.0,55.0,10745800.0
2025-08-05,KIOS,55.0,56.0,52.0,54.0,6095900.0
2025-08-06,KIOS,55.0,72.0,50.0,68.0,278239500.0
2025-08-07,KIOS,60.0,86.0,60.0,74.0,365352800.0
2025-08-08,KIOS,77.0,78.0,69.0,71.0,36738600.0
2025-08-11,KIOS,69.0,80.0,68.0,73.0,76128300.0
2025-08-12,KIOS,76.0,79.0,71.0,73.0,53993800.0
2025-08-13,KIOS,76.0,76.0,71.0,72.0,24093700.0
2025-08-14,KIOS,74.0,75.0,71.0,72.0,22665100.0
2025-08-15,KIOS,72.0,93.0,70.0,76.0,327826900.0
2025-08-19,KIOS,76.0,94.0,72.0,79.0,253910500.0
2025-08-20,KIOS,82.0,94.0,81.0,85.0,156848200.0
2025-08-21,KIOS,86.0,88.0,82.0,85.0,36803200.0
2025-08-22,KIOS,87.0,88.0,82.0,84.0,26804200.0
2025-08-25,KIOS,85.0,90.0,84.0,86.0,41311900.0
2025-08-26,KIOS,86.0,102.0,85.0,90.0,133950900.0
2025-08-27,KIOS,91.0,92.0,86.0,86.0,28419200.0
2025-08-28,KIOS,85.0,88.0,83.0,84.0,15866400.0
2025-08-29,KIOS,84.0,85.0,72.0,76.0,52824100.0
2025-09-01,KIOS,70.0,86.0,66.0,78.0,50665500.0
2025-09-02,KIOS,80.0,91.0,78.0,84.0,114444200.0
2025-09-03,KIOS,85.0,86.0,80.0,82.0,15762500.0
2025-09-04,KIOS,83.0,93.0,80.0,84.0,202814600.0
2025-09-08,KIOS,84.0,91.0,82.0,83.0,53371300.0
2025-09-09,KIOS,83.0,87.0,80.0,82.0,15581000.0
2025-09-10,KIOS,83.0,85.0,81.0,83.0,7592600.0
2025-09-11,KIOS,83.0,84.0,81.0,82.0,8770100.0
2025-09-12,KIOS,83.0,84.0,81.0,82.0,8741300.0
2025-09-15,KIOS,82.0,87.0,82.0,85.0,23192800.0
2025-09-16,KIOS,86.0,92.0,84.0,85.0,74189400.0
2025-09-17,KIOS,86.0,93.0,85.0,87.0,80468300.0
2025-09-18,KIOS,89.0,89.0,86.0,86.0,16729200.0
2025-09-19,KIOS,88.0,89.0,85.0,85.0,11016700.0
2025-09-22,KIOS,85.0,87.0,85.0,86.0,7783100.0
2025-09-23,KIOS,87.0,88.0,85.0,86.0,12200700.0
