Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,KKES,24.0,25.0,24.0,25.0,289800.0
2025-06-16,KKES,25.0,25.0,25.0,25.0,98400.0
2025-06-17,KKES,25.0,26.0,25.0,26.0,416700.0
2025-06-18,KKES,27.0,27.0,27.0,27.0,851700.0
2025-06-19,KKES,27.0,27.0,27.0,27.0,34400.0
2025-06-20,KKES,26.0,26.0,26.0,26.0,45100.0
2025-06-23,KKES,24.0,24.0,24.0,24.0,111600.0
2025-06-24,KKES,22.0,25.0,22.0,25.0,1085100.0
2025-06-25,KKES,25.0,25.0,23.0,23.0,249100.0
2025-06-26,KKES,23.0,23.0,22.0,23.0,127500.0
2025-06-30,KKES,23.0,23.0,23.0,23.0,426600.0
2025-07-01,KKES,23.0,23.0,23.0,23.0,10100.0
2025-07-02,KKES,23.0,23.0,23.0,23.0,182200.0
2025-07-03,KKES,24.0,25.0,24.0,25.0,340600.0
2025-07-04,KKES,25.0,25.0,25.0,25.0,240000.0
2025-07-07,KKES,24.0,24.0,24.0,24.0,11000.0
2025-07-08,KKES,24.0,25.0,24.0,24.0,125200.0
2025-07-09,KKES,25.0,25.0,25.0,25.0,350700.0
2025-07-10,KKES,25.0,26.0,25.0,26.0,195800.0
2025-07-11,KKES,26.0,26.0,25.0,25.0,141400.0
2025-07-14,KKES,24.0,24.0,24.0,24.0,9200.0
2025-07-15,KKES,24.0,25.0,24.0,25.0,9600.0
2025-07-16,KKES,27.0,27.0,26.0,26.0,204300.0
2025-07-17,KKES,26.0,27.0,25.0,25.0,278100.0
2025-07-18,KKES,25.0,25.0,25.0,25.0,251200.0
2025-07-21,KKES,25.0,26.0,25.0,25.0,160500.0
2025-07-22,KKES,26.0,26.0,25.0,25.0,102800.0
2025-07-23,KKES,24.0,24.0,24.0,24.0,104300.0
2025-07-24,KKES,24.0,24.0,24.0,24.0,63100.0
2025-07-25,KKES,23.0,24.0,23.0,24.0,363400.0
2025-07-28,KKES,25.0,25.0,24.0,24.0,111600.0
2025-07-29,KKES,24.0,25.0,24.0,25.0,53400.0
2025-07-30,KKES,25.0,25.0,25.0,25.0,140500.0
2025-07-31,KKES,25.0,25.0,25.0,25.0,1217800.0
2025-08-01,KKES,25.0,25.0,25.0,25.0,923500.0
2025-08-04,KKES,27.0,27.0,27.0,27.0,942900.0
2025-08-05,KKES,27.0,28.0,27.0,28.0,1012500.0
2025-08-06,KKES,29.0,30.0,29.0,29.0,1543300.0
2025-08-07,KKES,29.0,31.0,29.0,31.0,923000.0
2025-08-08,KKES,32.0,32.0,32.0,32.0,287800.0
2025-08-11,KKES,33.0,33.0,31.0,31.0,61900.0
2025-08-12,KKES,30.0,30.0,28.0,28.0,776000.0
2025-08-13,KKES,28.0,28.0,28.0,28.0,305900.0
2025-08-14,KKES,28.0,28.0,27.0,27.0,398600.0
2025-08-15,KKES,27.0,29.0,27.0,29.0,612800.0
2025-08-19,KKES,29.0,30.0,29.0,30.0,984700.0
2025-08-20,KKES,32.0,32.0,30.0,30.0,912300.0
2025-08-21,KKES,30.0,30.0,29.0,30.0,2632700.0
2025-08-22,KKES,30.0,30.0,30.0,30.0,898800.0
2025-08-25,KKES,30.0,33.0,30.0,33.0,4541000.0
2025-08-26,KKES,36.0,36.0,36.0,36.0,6986100.0
2025-08-27,KKES,39.0,39.0,39.0,39.0,11172000.0
2025-08-28,KKES,42.0,42.0,42.0,42.0,14199000.0
2025-08-29,KKES,46.0,46.0,38.0,38.0,14936400.0
2025-09-01,KKES,37.0,40.0,37.0,40.0,5944300.0
2025-09-02,KKES,44.0,44.0,38.0,38.0,6872600.0
2025-09-03,KKES,39.0,40.0,39.0,40.0,1062100.0
2025-09-04,KKES,40.0,40.0,38.0,39.0,2286800.0
2025-09-08,KKES,39.0,39.0,37.0,39.0,1639500.0
2025-09-09,KKES,38.0,38.0,37.0,37.0,2254900.0
2025-09-10,KKES,37.0,37.0,36.0,36.0,1782200.0
2025-09-11,KKES,36.0,36.0,35.0,36.0,1286600.0
2025-09-12,KKES,37.0,38.0,37.0,38.0,1572000.0
2025-09-15,KKES,41.0,41.0,39.0,41.0,13810800.0
2025-09-16,KKES,41.0,41.0,41.0,41.0,2554200.0
2025-09-17,KKES,44.0,44.0,40.0,42.0,2946700.0
2025-09-18,KKES,42.0,42.0,41.0,41.0,2789800.0
2025-09-19,KKES,41.0,41.0,40.0,40.0,2683100.0
2025-09-22,KKES,44.0,44.0,43.0,43.0,9769600.0
2025-09-23,KKES,43.0,43.0,42.0,42.0,8020900.0
2025-09-24,KKES,42.0,42.0,39.0,39.0,6306000.0
2025-09-25,KKES,41.0,41.0,40.0,40.0,4013500.0
2025-09-26,KKES,41.0,41.0,39.0,39.0,2221700.0
2025-09-29,KKES,38.0,38.0,38.0,38.0,2841500.0
2025-09-30,KKES,38.0,39.0,35.0,35.0,6386500.0
2025-10-01,KKES,37.0,37.0,37.0,37.0,1111900.0
2025-10-02,KKES,39.0,39.0,37.0,38.0,3362700.0
2025-10-03,KKES,38.0,38.0,35.0,35.0,2654000.0
2025-10-06,KKES,35.0,35.0,33.0,33.0,1467700.0
2025-10-07,KKES,30.0,32.0,30.0,32.0,4505400.0
2025-10-08,KKES,31.0,35.0,31.0,35.0,2103800.0
2025-10-09,KKES,37.0,37.0,37.0,37.0,2280800.0
2025-10-10,KKES,38.0,38.0,36.0,36.0,761400.0
2025-10-13,KKES,36.0,36.0,34.0,34.0,1417900.0
2025-10-14,KKES,34.0,34.0,32.0,32.0,1318400.0
2025-10-15,KKES,32.0,32.0,32.0,32.0,445800.0
2025-10-16,KKES,32.0,32.0,32.0,32.0,396800.0
2025-10-17,KKES,30.0,30.0,30.0,30.0,573500.0
2025-10-20,KKES,30.0,30.0,30.0,30.0,1775200.0
2025-10-21,KKES,32.0,32.0,29.0,29.0,2082900.0
2025-10-22,KKES,29.0,29.0,29.0,29.0,1804900.0
2025-10-23,KKES,31.0,31.0,30.0,30.0,1278400.0
2025-10-24,KKES,30.0,31.0,30.0,31.0,2383300.0
2025-10-27,KKES,31.0,31.0,30.0,30.0,1122500.0
2025-10-28,KKES,30.0,30.0,27.0,27.0,1360300.0
2025-10-29,KKES,28.0,28.0,27.0,27.0,1356400.0
2025-10-30,KKES,28.0,28.0,27.0,27.0,964900.0
2025-10-31,KKES,27.0,28.0,27.0,27.0,189900.0
2025-11-03,KKES,29.0,29.0,28.0,28.0,949300.0
2025-11-04,KKES,26.0,28.0,26.0,27.0,883000.0
2025-11-05,KKES,27.0,27.0,26.0,27.0,1699500.0
2025-11-06,KKES,26.0,26.0,26.0,26.0,1652700.0
2025-11-07,KKES,26.0,27.0,26.0,26.0,808300.0
2025-11-10,KKES,26.0,28.0,26.0,28.0,467600.0
2025-11-11,KKES,30.0,30.0,30.0,30.0,2370800.0
2025-11-12,KKES,30.0,30.0,28.0,28.0,717700.0
2025-11-13,KKES,29.0,30.0,29.0,29.0,271700.0
2025-11-14,KKES,30.0,30.0,30.0,30.0,79500.0
2025-11-17,KKES,30.0,30.0,29.0,29.0,429400.0
2025-11-18,KKES,29.0,29.0,27.0,27.0,1168100.0
2025-11-19,KKES,28.0,28.0,28.0,28.0,517200.0
2025-11-20,KKES,27.0,28.0,27.0,28.0,548500.0
2025-11-21,KKES,28.0,28.0,27.0,27.0,354700.0
2025-11-24,KKES,29.0,29.0,28.0,28.0,991000.0
2025-11-25,KKES,29.0,29.0,28.0,28.0,752800.0
2025-11-26,KKES,27.0,28.0,27.0,28.0,492200.0
2025-11-27,KKES,28.0,30.0,28.0,30.0,4482000.0
2025-11-28,KKES,31.0,32.0,31.0,32.0,3769700.0
2025-12-01,KKES,35.0,35.0,34.0,34.0,14593800.0
2025-12-02,KKES,33.0,33.0,31.0,31.0,5115200.0
2025-12-03,KKES,31.0,33.0,31.0,31.0,4292400.0
2025-12-04,KKES,32.0,32.0,31.0,31.0,3108700.0
2025-12-05,KKES,32.0,32.0,32.0,32.0,1981000.0
