Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,KLIN,160.0,160.0,150.0,157.0,352600.0
2025-06-16,KLIN,157.0,157.0,143.0,147.0,141100.0
2025-06-17,KLIN,155.0,155.0,147.0,153.0,83400.0
2025-06-18,KLIN,151.0,151.0,147.0,147.0,45000.0
2025-06-19,KLIN,148.0,153.0,145.0,146.0,50500.0
2025-06-20,KLIN,146.0,160.0,140.0,154.0,498900.0
2025-06-23,KLIN,154.0,154.0,142.0,142.0,109500.0
2025-06-24,KLIN,142.0,155.0,142.0,153.0,490900.0
2025-06-25,KLIN,155.0,160.0,143.0,146.0,26100.0
2025-06-26,KLIN,143.0,150.0,142.0,143.0,59900.0
2025-06-30,KLIN,147.0,157.0,144.0,150.0,140600.0
2025-07-01,KLIN,150.0,150.0,140.0,143.0,196100.0
2025-07-02,KLIN,146.0,149.0,141.0,145.0,35500.0
2025-07-03,KLIN,141.0,150.0,141.0,150.0,540900.0
2025-07-04,KLIN,150.0,154.0,143.0,150.0,355600.0
2025-07-07,KLIN,154.0,155.0,144.0,145.0,133800.0
2025-07-08,KLIN,149.0,149.0,141.0,142.0,132900.0
2025-07-09,KLIN,142.0,153.0,142.0,143.0,35500.0
2025-07-10,KLIN,143.0,150.0,140.0,142.0,201100.0
2025-07-11,KLIN,142.0,142.0,132.0,132.0,942900.0
2025-07-14,KLIN,132.0,139.0,132.0,135.0,530600.0
2025-07-15,KLIN,136.0,145.0,128.0,137.0,338900.0
2025-07-16,KLIN,137.0,137.0,130.0,131.0,63500.0
2025-07-17,KLIN,133.0,134.0,130.0,132.0,69700.0
2025-07-18,KLIN,132.0,136.0,123.0,124.0,892600.0
2025-07-21,KLIN,124.0,125.0,117.0,122.0,858400.0
2025-07-22,KLIN,122.0,124.0,121.0,122.0,256700.0
2025-07-23,KLIN,122.0,129.0,121.0,127.0,265700.0
2025-07-24,KLIN,127.0,131.0,126.0,130.0,134100.0
2025-07-25,KLIN,131.0,143.0,131.0,143.0,948900.0
2025-07-28,KLIN,143.0,157.0,135.0,157.0,1261300.0
2025-07-29,KLIN,158.0,172.0,158.0,172.0,3028300.0
2025-07-30,KLIN,173.0,189.0,162.0,187.0,4776100.0
2025-07-31,KLIN,187.0,204.0,177.0,200.0,2722400.0
2025-08-01,KLIN,200.0,204.0,186.0,187.0,408600.0
2025-08-04,KLIN,187.0,194.0,169.0,171.0,1394500.0
