Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,KMTR,292.0,292.0,282.0,290.0,50000.0
2025-06-16,KMTR,290.0,294.0,282.0,284.0,251500.0
2025-06-17,KMTR,284.0,318.0,282.0,288.0,779500.0
2025-06-18,KMTR,288.0,290.0,280.0,282.0,406600.0
2025-06-19,KMTR,282.0,298.0,276.0,282.0,860700.0
2025-06-20,KMTR,290.0,290.0,272.0,272.0,210800.0
2025-06-23,KMTR,286.0,286.0,268.0,280.0,144000.0
2025-06-24,KMTR,280.0,286.0,274.0,278.0,55900.0
2025-06-25,KMTR,286.0,286.0,270.0,272.0,113500.0
2025-06-26,KMTR,272.0,274.0,266.0,268.0,291700.0
2025-06-30,KMTR,276.0,284.0,268.0,268.0,191700.0
2025-07-01,KMTR,280.0,280.0,264.0,264.0,122500.0
2025-07-02,KMTR,264.0,272.0,250.0,260.0,96700.0
2025-07-03,KMTR,270.0,270.0,256.0,258.0,127000.0
2025-07-04,KMTR,258.0,280.0,252.0,268.0,106300.0
2025-07-07,KMTR,280.0,280.0,256.0,268.0,38300.0
2025-07-08,KMTR,268.0,270.0,256.0,266.0,124000.0
2025-07-09,KMTR,260.0,270.0,254.0,268.0,78700.0
2025-07-10,KMTR,266.0,274.0,266.0,272.0,158100.0
2025-07-11,KMTR,268.0,272.0,266.0,272.0,64000.0
2025-07-14,KMTR,270.0,272.0,266.0,270.0,48000.0
2025-07-15,KMTR,270.0,270.0,262.0,264.0,258200.0
2025-07-16,KMTR,272.0,272.0,258.0,270.0,139900.0
2025-07-17,KMTR,270.0,270.0,262.0,268.0,25700.0
2025-07-18,KMTR,274.0,278.0,264.0,266.0,510200.0
2025-07-21,KMTR,264.0,276.0,258.0,262.0,856600.0
2025-07-22,KMTR,264.0,268.0,262.0,264.0,68700.0
2025-07-23,KMTR,264.0,270.0,256.0,260.0,667800.0
2025-07-24,KMTR,260.0,264.0,258.0,262.0,80200.0
2025-07-25,KMTR,264.0,266.0,258.0,260.0,104600.0
2025-07-28,KMTR,258.0,272.0,256.0,260.0,624100.0
2025-07-29,KMTR,260.0,266.0,256.0,262.0,173300.0
2025-07-30,KMTR,260.0,300.0,260.0,266.0,3880800.0
2025-07-31,KMTR,270.0,278.0,256.0,260.0,2119300.0
2025-08-01,KMTR,262.0,266.0,258.0,266.0,575400.0
2025-08-04,KMTR,264.0,274.0,256.0,268.0,1105600.0
2025-08-05,KMTR,272.0,278.0,264.0,268.0,1273700.0
2025-08-06,KMTR,268.0,288.0,262.0,268.0,3018300.0
2025-08-07,KMTR,270.0,272.0,264.0,268.0,543900.0
2025-08-08,KMTR,270.0,272.0,268.0,270.0,412600.0
2025-08-11,KMTR,272.0,272.0,262.0,270.0,884100.0
2025-08-12,KMTR,270.0,272.0,262.0,270.0,974700.0
2025-08-13,KMTR,270.0,272.0,268.0,270.0,369800.0
2025-08-14,KMTR,272.0,280.0,270.0,278.0,891200.0
2025-08-15,KMTR,278.0,278.0,270.0,272.0,423600.0
2025-08-19,KMTR,274.0,274.0,270.0,272.0,361400.0
2025-08-20,KMTR,272.0,274.0,268.0,270.0,568500.0
2025-08-21,KMTR,272.0,294.0,270.0,276.0,1626100.0
2025-08-22,KMTR,276.0,284.0,276.0,278.0,756100.0
2025-08-25,KMTR,282.0,310.0,282.0,302.0,1971900.0
2025-08-26,KMTR,302.0,304.0,284.0,294.0,1349800.0
2025-08-27,KMTR,292.0,296.0,284.0,288.0,576600.0
2025-08-28,KMTR,292.0,360.0,292.0,360.0,9130000.0
2025-08-29,KMTR,400.0,410.0,330.0,352.0,9551100.0
2025-09-01,KMTR,316.0,380.0,314.0,354.0,3713200.0
2025-09-02,KMTR,360.0,360.0,316.0,326.0,9107100.0
2025-09-03,KMTR,330.0,338.0,318.0,318.0,2210000.0
2025-09-04,KMTR,324.0,328.0,304.0,308.0,1204900.0
2025-09-08,KMTR,306.0,314.0,298.0,310.0,819900.0
2025-09-09,KMTR,316.0,316.0,294.0,296.0,1198900.0
2025-09-10,KMTR,296.0,298.0,284.0,288.0,1129000.0
2025-09-11,KMTR,288.0,302.0,280.0,290.0,1769700.0
2025-09-12,KMTR,292.0,294.0,286.0,292.0,294700.0
2025-09-15,KMTR,298.0,310.0,294.0,306.0,446400.0
2025-09-16,KMTR,306.0,308.0,298.0,300.0,533800.0
2025-09-17,KMTR,300.0,308.0,290.0,300.0,485600.0
2025-09-18,KMTR,306.0,306.0,298.0,300.0,157300.0
2025-09-19,KMTR,302.0,302.0,286.0,296.0,378000.0
2025-09-22,KMTR,296.0,296.0,286.0,294.0,1108300.0
2025-09-23,KMTR,296.0,302.0,286.0,298.0,416000.0
2025-09-24,KMTR,300.0,302.0,290.0,296.0,308000.0
2025-09-25,KMTR,296.0,304.0,282.0,298.0,629700.0
2025-09-26,KMTR,300.0,302.0,290.0,298.0,200000.0
2025-09-29,KMTR,302.0,302.0,290.0,298.0,321800.0
2025-09-30,KMTR,296.0,302.0,290.0,296.0,308300.0
2025-10-01,KMTR,294.0,298.0,290.0,296.0,262200.0
2025-10-02,KMTR,292.0,306.0,292.0,292.0,408000.0
2025-10-03,KMTR,296.0,300.0,290.0,294.0,339000.0
2025-10-06,KMTR,298.0,298.0,284.0,290.0,304600.0
2025-10-07,KMTR,290.0,296.0,284.0,294.0,558700.0
2025-10-08,KMTR,294.0,294.0,284.0,288.0,556900.0
2025-10-09,KMTR,290.0,290.0,286.0,290.0,383000.0
2025-10-10,KMTR,290.0,290.0,286.0,286.0,522800.0
2025-10-13,KMTR,286.0,286.0,280.0,286.0,317500.0
2025-10-14,KMTR,286.0,288.0,280.0,282.0,331000.0
2025-10-15,KMTR,282.0,284.0,278.0,284.0,302700.0
2025-10-16,KMTR,284.0,286.0,278.0,284.0,229000.0
2025-10-17,KMTR,284.0,284.0,276.0,278.0,319700.0
2025-10-20,KMTR,284.0,284.0,274.0,284.0,210200.0
2025-10-21,KMTR,284.0,286.0,280.0,286.0,373800.0
