Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,KOCI,49.056601131663605,49.056601131663605,48.11320495605469,48.11320495605469,3257400.0
2025-06-16,KOCI,49.05660134774667,50.94339370727539,49.05660134774667,50.94339370727539,7945200.0
2025-06-17,KOCI,50.943396226415096,51.88679245283019,50.0,50.0,6510600.0
2025-06-18,KOCI,50.943396295819966,53.77358497892107,50.00000006811959,52.8301887512207,24088900.0
2025-06-19,KOCI,52.83018867924528,54.716981132075475,49.056603773584904,50.0,19077700.0
2025-06-20,KOCI,52.0,52.0,50.0,50.0,17506000.0
2025-06-23,KOCI,50.0,51.0,50.0,50.0,5677900.0
2025-06-24,KOCI,50.0,51.0,50.0,50.0,939900.0
2025-06-25,KOCI,50.0,50.0,50.0,50.0,353200.0
2025-06-26,KOCI,50.0,50.0,50.0,50.0,648500.0
2025-06-30,KOCI,50.0,50.0,50.0,50.0,1836100.0
2025-07-01,KOCI,50.0,50.0,50.0,50.0,41100.0
2025-07-02,KOCI,50.0,50.0,50.0,50.0,62300.0
2025-07-03,KOCI,50.0,50.0,50.0,50.0,211400.0
2025-07-04,KOCI,50.0,50.0,50.0,50.0,47600.0
2025-07-07,KOCI,50.0,50.0,50.0,50.0,157300.0
2025-07-08,KOCI,50.0,50.0,50.0,50.0,67500.0
2025-07-09,KOCI,50.0,50.0,50.0,50.0,173600.0
2025-07-10,KOCI,50.0,50.0,50.0,50.0,123900.0
2025-07-11,KOCI,50.0,50.0,50.0,50.0,283500.0
2025-07-14,KOCI,50.0,60.0,50.0,51.0,97169200.0
2025-07-15,KOCI,52.0,54.0,50.0,51.0,21038900.0
2025-07-16,KOCI,51.0,52.0,50.0,52.0,5012400.0
2025-07-17,KOCI,52.0,52.0,51.0,51.0,2345200.0
2025-07-18,KOCI,52.0,52.0,50.0,50.0,3482300.0
2025-07-21,KOCI,50.0,52.0,50.0,51.0,4678200.0
2025-07-22,KOCI,51.0,52.0,50.0,52.0,2705600.0
2025-07-23,KOCI,52.0,52.0,50.0,51.0,1417500.0
2025-07-24,KOCI,52.0,54.0,51.0,53.0,15822000.0
2025-07-25,KOCI,52.0,53.0,51.0,51.0,3202800.0
2025-07-28,KOCI,52.0,52.0,51.0,51.0,2012900.0
2025-07-29,KOCI,51.0,52.0,50.0,51.0,4620900.0
2025-07-30,KOCI,51.0,51.0,50.0,51.0,4437700.0
2025-07-31,KOCI,51.0,51.0,50.0,50.0,2468100.0
2025-08-01,KOCI,50.0,55.0,50.0,52.0,18207100.0
2025-08-04,KOCI,52.0,60.0,52.0,55.0,113849800.0
2025-08-05,KOCI,55.0,56.0,53.0,54.0,15984100.0
2025-08-06,KOCI,55.0,60.0,53.0,56.0,40622800.0
2025-08-07,KOCI,56.0,57.0,54.0,54.0,14040500.0
2025-08-08,KOCI,54.0,65.0,54.0,59.0,162754500.0
2025-08-11,KOCI,59.0,63.0,57.0,59.0,31933400.0
2025-08-12,KOCI,59.0,60.0,57.0,57.0,12586100.0
2025-08-13,KOCI,58.0,64.0,57.0,59.0,52024700.0
2025-08-14,KOCI,60.0,68.0,58.0,60.0,93688500.0
2025-08-15,KOCI,60.0,61.0,58.0,58.0,15873100.0
2025-08-19,KOCI,59.0,60.0,58.0,58.0,6800100.0
2025-08-20,KOCI,59.0,60.0,57.0,59.0,8974600.0
2025-08-21,KOCI,59.0,68.0,58.0,63.0,138746000.0
2025-08-22,KOCI,63.0,63.0,61.0,62.0,10758600.0
2025-08-25,KOCI,62.0,65.0,62.0,65.0,22055400.0
2025-08-26,KOCI,65.0,69.0,64.0,64.0,42320300.0
2025-08-27,KOCI,64.0,66.0,63.0,65.0,9126000.0
2025-08-28,KOCI,65.0,66.0,64.0,64.0,8248500.0
2025-08-29,KOCI,65.0,65.0,57.0,62.0,16555100.0
2025-09-01,KOCI,60.0,61.0,57.0,58.0,10710800.0
2025-09-02,KOCI,59.0,64.0,59.0,61.0,10258100.0
2025-09-03,KOCI,62.0,67.0,61.0,65.0,34653500.0
2025-09-04,KOCI,66.0,70.0,63.0,65.0,41006700.0
2025-09-08,KOCI,67.0,67.0,63.0,63.0,11162500.0
2025-09-09,KOCI,62.0,63.0,59.0,59.0,8401700.0
