Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,KSIX,200.0,202.0,197.0,202.0,117900.0
2025-06-16,KSIX,202.0,202.0,195.0,202.0,584200.0
2025-06-17,KSIX,199.0,202.0,199.0,202.0,94500.0
2025-06-18,KSIX,200.0,202.0,198.0,202.0,75200.0
2025-06-19,KSIX,202.0,202.0,196.0,196.0,213200.0
2025-06-20,KSIX,196.0,204.0,195.0,198.0,324600.0
2025-06-23,KSIX,198.0,204.0,187.0,195.0,635400.0
2025-06-24,KSIX,195.0,202.0,195.0,202.0,613400.0
2025-06-25,KSIX,202.0,252.0,202.0,226.0,18882500.0
2025-06-26,KSIX,226.0,226.0,202.0,204.0,5040200.0
2025-06-30,KSIX,206.0,208.0,196.0,200.0,1113000.0
2025-07-01,KSIX,204.0,204.0,197.0,202.0,326300.0
2025-07-02,KSIX,200.0,200.0,196.0,196.0,451900.0
2025-07-03,KSIX,195.0,206.0,195.0,197.0,624400.0
2025-07-04,KSIX,196.0,208.0,193.0,197.0,634600.0
2025-07-07,KSIX,196.0,199.0,191.0,195.0,245000.0
2025-07-08,KSIX,195.0,199.0,193.0,198.0,180500.0
2025-07-09,KSIX,198.0,200.0,195.0,198.0,159400.0
2025-07-10,KSIX,197.0,199.0,195.0,198.0,317800.0
2025-07-11,KSIX,197.0,202.0,195.0,199.0,155300.0
2025-07-14,KSIX,199.0,199.0,195.0,196.0,484700.0
2025-07-15,KSIX,196.0,199.0,193.0,194.0,206200.0
2025-07-16,KSIX,193.0,196.0,191.0,196.0,744100.0
2025-07-17,KSIX,198.0,200.0,194.0,195.0,242700.0
2025-07-18,KSIX,195.0,197.0,193.0,195.0,122400.0
2025-07-21,KSIX,194.0,199.0,193.0,199.0,1516500.0
2025-07-22,KSIX,199.0,202.0,195.0,202.0,711100.0
2025-07-23,KSIX,202.0,204.0,197.0,198.0,272900.0
2025-07-24,KSIX,198.0,202.0,197.0,199.0,123900.0
2025-07-25,KSIX,198.0,202.0,197.0,198.0,328200.0
2025-07-28,KSIX,198.0,204.0,198.0,202.0,228000.0
2025-07-29,KSIX,202.0,202.0,198.0,202.0,144900.0
2025-07-30,KSIX,200.0,202.0,199.0,200.0,193100.0
2025-07-31,KSIX,200.0,204.0,199.0,200.0,162300.0
2025-08-01,KSIX,202.0,202.0,196.0,200.0,323900.0
2025-08-04,KSIX,200.0,200.0,197.0,200.0,220700.0
2025-08-05,KSIX,200.0,202.0,198.0,199.0,164000.0
2025-08-06,KSIX,200.0,202.0,198.0,200.0,219900.0
2025-08-07,KSIX,202.0,202.0,198.0,202.0,1557700.0
2025-08-08,KSIX,200.0,202.0,199.0,200.0,538700.0
2025-08-11,KSIX,199.0,206.0,199.0,204.0,319900.0
2025-08-12,KSIX,202.0,208.0,202.0,206.0,745800.0
2025-08-13,KSIX,206.0,218.0,204.0,208.0,1486800.0
2025-08-14,KSIX,210.0,218.0,210.0,214.0,973100.0
2025-08-15,KSIX,214.0,234.0,212.0,212.0,1388900.0
