Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,LABA,143.0,149.0,142.0,144.0,6339900.0
2025-06-16,LABA,146.0,159.0,145.0,153.0,36477000.0
2025-06-17,LABA,154.0,155.0,147.0,150.0,8096000.0
2025-06-18,LABA,150.0,164.0,145.0,163.0,36220900.0
2025-06-19,LABA,179.0,220.0,179.0,202.0,622852500.0
2025-06-20,LABA,206.0,210.0,185.0,188.0,114186800.0
2025-06-23,LABA,179.0,179.0,160.0,165.0,82911300.0
2025-06-24,LABA,169.0,212.0,160.0,202.0,296719200.0
2025-06-25,LABA,208.0,242.0,202.0,210.0,497733300.0
2025-06-26,LABA,210.0,214.0,194.0,199.0,75640500.0
2025-06-30,LABA,200.0,228.0,200.0,222.0,147815100.0
2025-07-01,LABA,228.0,230.0,208.0,214.0,70319900.0
2025-07-02,LABA,214.0,228.0,208.0,220.0,102103300.0
2025-07-03,LABA,230.0,248.0,224.0,240.0,309416000.0
2025-07-04,LABA,234.0,240.0,220.0,234.0,98665800.0
2025-07-07,LABA,242.0,274.0,240.0,270.0,357920300.0
2025-07-08,LABA,274.0,324.0,262.0,308.0,398575800.0
2025-07-09,LABA,308.0,308.0,308.0,308.0,0.0
2025-07-10,LABA,288.0,366.0,288.0,358.0,310024500.0
2025-07-11,LABA,358.0,358.0,358.0,358.0,0.0
2025-07-14,LABA,358.0,358.0,358.0,358.0,0.0
2025-07-15,LABA,358.0,358.0,358.0,358.0,0.0
2025-07-16,LABA,358.0,358.0,358.0,358.0,0.0
2025-07-17,LABA,358.0,358.0,358.0,358.0,0.0
2025-07-18,LABA,358.0,358.0,358.0,358.0,0.0
2025-07-21,LABA,358.0,358.0,358.0,358.0,0.0
2025-07-22,LABA,358.0,358.0,358.0,358.0,0.0
2025-07-23,LABA,358.0,358.0,358.0,358.0,0.0
2025-07-24,LABA,358.0,358.0,358.0,358.0,0.0
2025-07-25,LABA,358.0,358.0,358.0,358.0,0.0
2025-07-28,LABA,358.0,358.0,358.0,358.0,0.0
2025-07-29,LABA,358.0,358.0,358.0,358.0,0.0
2025-07-30,LABA,358.0,358.0,358.0,358.0,0.0
2025-07-31,LABA,358.0,358.0,358.0,358.0,0.0
2025-08-01,LABA,358.0,358.0,358.0,358.0,0.0
2025-08-04,LABA,358.0,358.0,358.0,358.0,0.0
2025-08-05,LABA,358.0,358.0,358.0,358.0,0.0
2025-08-06,LABA,358.0,358.0,358.0,358.0,0.0
2025-08-07,LABA,358.0,358.0,358.0,358.0,0.0
2025-08-08,LABA,358.0,358.0,358.0,358.0,0.0
2025-08-11,LABA,358.0,358.0,358.0,358.0,0.0
2025-08-12,LABA,358.0,358.0,358.0,358.0,0.0
2025-08-13,LABA,358.0,358.0,358.0,358.0,0.0
2025-08-14,LABA,358.0,358.0,358.0,358.0,0.0
2025-08-15,LABA,358.0,358.0,358.0,358.0,0.0
2025-08-19,LABA,358.0,358.0,358.0,358.0,0.0
2025-08-20,LABA,358.0,358.0,358.0,358.0,0.0
2025-08-21,LABA,358.0,358.0,358.0,358.0,0.0
2025-08-22,LABA,358.0,358.0,358.0,358.0,0.0
2025-08-25,LABA,358.0,358.0,358.0,358.0,0.0
2025-08-26,LABA,358.0,358.0,358.0,358.0,0.0
2025-08-27,LABA,358.0,358.0,358.0,358.0,0.0
2025-08-28,LABA,358.0,358.0,358.0,358.0,0.0
2025-08-29,LABA,358.0,358.0,358.0,358.0,0.0
2025-09-01,LABA,358.0,358.0,358.0,358.0,0.0
2025-09-02,LABA,358.0,358.0,358.0,358.0,0.0
2025-09-03,LABA,358.0,358.0,358.0,358.0,0.0
2025-09-04,LABA,358.0,358.0,358.0,358.0,0.0
2025-09-08,LABA,358.0,358.0,358.0,358.0,0.0
2025-09-09,LABA,358.0,358.0,358.0,358.0,0.0
2025-09-10,LABA,358.0,358.0,358.0,358.0,0.0
2025-09-11,LABA,358.0,358.0,358.0,358.0,0.0
2025-09-12,LABA,358.0,358.0,358.0,358.0,0.0
2025-09-15,LABA,358.0,358.0,358.0,358.0,0.0
2025-09-16,LABA,358.0,358.0,358.0,358.0,0.0
2025-09-17,LABA,358.0,358.0,358.0,358.0,0.0
2025-09-18,LABA,358.0,358.0,358.0,358.0,0.0
2025-09-19,LABA,358.0,358.0,358.0,358.0,0.0
2025-09-22,LABA,358.0,358.0,358.0,358.0,0.0
2025-09-23,LABA,358.0,358.0,358.0,358.0,0.0
2025-09-24,LABA,358.0,358.0,358.0,358.0,0.0
2025-09-25,LABA,358.0,358.0,358.0,358.0,0.0
2025-09-26,LABA,358.0,358.0,358.0,358.0,0.0
2025-09-29,LABA,358.0,358.0,358.0,358.0,0.0
2025-09-30,LABA,358.0,358.0,358.0,358.0,0.0
2025-10-01,LABA,358.0,358.0,358.0,358.0,0.0
2025-10-02,LABA,358.0,358.0,358.0,358.0,0.0
2025-10-03,LABA,358.0,358.0,358.0,358.0,0.0
2025-10-06,LABA,358.0,358.0,358.0,358.0,0.0
2025-10-07,LABA,358.0,358.0,358.0,358.0,0.0
2025-10-08,LABA,358.0,358.0,358.0,358.0,0.0
2025-10-09,LABA,358.0,358.0,358.0,358.0,0.0
