Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,LAPD,27.0,28.0,27.0,27.0,894900.0
2025-06-16,LAPD,29.0,29.0,29.0,29.0,205100.0
2025-06-17,LAPD,29.0,29.0,27.0,27.0,1982600.0
2025-06-18,LAPD,26.0,29.0,26.0,29.0,593500.0
2025-06-19,LAPD,27.0,29.0,27.0,29.0,110500.0
2025-06-20,LAPD,30.0,30.0,27.0,27.0,126500.0
2025-06-23,LAPD,26.0,28.0,26.0,28.0,29200.0
2025-06-24,LAPD,30.0,30.0,28.0,28.0,151500.0
2025-06-25,LAPD,27.0,27.0,26.0,26.0,4325500.0
2025-06-26,LAPD,26.0,27.0,25.0,26.0,3483400.0
2025-06-30,LAPD,24.0,24.0,24.0,24.0,11805900.0
2025-07-01,LAPD,23.0,23.0,22.0,22.0,3414300.0
2025-07-02,LAPD,23.0,24.0,23.0,24.0,6822300.0
2025-07-03,LAPD,25.0,26.0,25.0,26.0,1340800.0
2025-07-04,LAPD,28.0,28.0,28.0,28.0,96900.0
2025-07-07,LAPD,30.0,30.0,30.0,30.0,11765500.0
2025-07-08,LAPD,27.0,29.0,27.0,29.0,2095900.0
2025-07-09,LAPD,29.0,29.0,28.0,28.0,2799700.0
2025-07-10,LAPD,27.0,27.0,26.0,26.0,3878300.0
2025-07-11,LAPD,26.0,26.0,25.0,25.0,617300.0
2025-07-14,LAPD,25.0,25.0,25.0,25.0,3639800.0
2025-07-15,LAPD,25.0,27.0,25.0,27.0,4187400.0
2025-07-16,LAPD,29.0,29.0,29.0,29.0,1742100.0
2025-07-17,LAPD,31.0,31.0,31.0,31.0,3141200.0
2025-07-18,LAPD,34.0,34.0,34.0,34.0,5520800.0
2025-07-21,LAPD,37.0,37.0,37.0,37.0,540500.0
2025-07-22,LAPD,40.0,40.0,40.0,40.0,1275900.0
2025-07-23,LAPD,44.0,44.0,44.0,44.0,47392500.0
2025-07-24,LAPD,48.0,48.0,48.0,48.0,8965200.0
2025-07-25,LAPD,52.0,52.0,52.0,52.0,24814200.0
2025-07-28,LAPD,57.0,57.0,57.0,57.0,6308100.0
2025-07-29,LAPD,62.0,62.0,62.0,62.0,16006900.0
2025-07-30,LAPD,68.0,68.0,56.0,56.0,71554000.0
2025-07-31,LAPD,56.0,56.0,55.0,55.0,9172000.0
2025-08-01,LAPD,60.0,60.0,60.0,60.0,7120600.0
2025-08-04,LAPD,66.0,66.0,66.0,66.0,9810700.0
2025-08-05,LAPD,72.0,72.0,72.0,72.0,2377400.0
2025-08-06,LAPD,72.0,72.0,65.0,65.0,40686900.0
