Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,LCKM,234.0,234.0,216.0,218.0,184700.0
2025-06-16,LCKM,218.0,218.0,196.0,200.0,517700.0
2025-06-17,LCKM,202.0,252.0,202.0,238.0,1370400.0
2025-06-18,LCKM,234.0,244.0,208.0,212.0,453600.0
2025-06-19,LCKM,214.0,220.0,204.0,208.0,106500.0
2025-06-20,LCKM,210.0,220.0,204.0,214.0,29500.0
2025-06-23,LCKM,210.0,210.0,202.0,208.0,26900.0
2025-06-24,LCKM,208.0,208.0,200.0,202.0,20300.0
2025-06-25,LCKM,218.0,222.0,204.0,206.0,45600.0
2025-06-26,LCKM,216.0,216.0,200.0,200.0,80900.0
2025-06-30,LCKM,202.0,204.0,200.0,202.0,51400.0
2025-07-01,LCKM,202.0,204.0,200.0,204.0,44900.0
2025-07-02,LCKM,204.0,210.0,192.0,199.0,6600.0
2025-07-03,LCKM,208.0,254.0,208.0,212.0,309900.0
2025-07-04,LCKM,212.0,220.0,200.0,218.0,56000.0
2025-07-07,LCKM,218.0,218.0,208.0,214.0,91400.0
2025-07-08,LCKM,212.0,212.0,208.0,210.0,6700.0
2025-07-09,LCKM,220.0,220.0,202.0,206.0,6400.0
2025-07-10,LCKM,218.0,218.0,206.0,210.0,2300.0
2025-07-11,LCKM,210.0,216.0,206.0,214.0,39500.0
2025-07-14,LCKM,208.0,220.0,206.0,206.0,19400.0
2025-07-15,LCKM,224.0,224.0,186.0,196.0,113500.0
2025-07-16,LCKM,196.0,216.0,196.0,206.0,40900.0
2025-07-17,LCKM,202.0,216.0,202.0,204.0,18900.0
2025-07-18,LCKM,214.0,222.0,204.0,218.0,120100.0
2025-07-21,LCKM,220.0,232.0,214.0,216.0,84700.0
2025-07-22,LCKM,228.0,228.0,208.0,214.0,9400.0
2025-07-23,LCKM,216.0,228.0,210.0,216.0,47200.0
2025-07-24,LCKM,218.0,218.0,214.0,214.0,56600.0
2025-07-25,LCKM,214.0,232.0,214.0,220.0,62700.0
2025-07-28,LCKM,216.0,218.0,204.0,210.0,94200.0
2025-07-29,LCKM,210.0,224.0,204.0,204.0,41600.0
2025-07-30,LCKM,204.0,228.0,204.0,216.0,76600.0
2025-07-31,LCKM,218.0,224.0,206.0,208.0,17800.0
2025-08-01,LCKM,208.0,212.0,208.0,212.0,600.0
2025-08-04,LCKM,212.0,216.0,206.0,216.0,1100.0
2025-08-05,LCKM,214.0,256.0,204.0,234.0,1502500.0
2025-08-06,LCKM,244.0,244.0,216.0,220.0,176900.0
2025-08-07,LCKM,222.0,222.0,220.0,220.0,8000.0
2025-08-08,LCKM,216.0,216.0,200.0,208.0,404100.0
2025-08-11,LCKM,212.0,212.0,208.0,210.0,39400.0
2025-08-12,LCKM,210.0,222.0,204.0,212.0,72300.0
2025-08-13,LCKM,212.0,224.0,210.0,212.0,12400.0
2025-08-14,LCKM,206.0,214.0,206.0,214.0,23500.0
2025-08-15,LCKM,214.0,214.0,204.0,204.0,36100.0
2025-08-19,LCKM,212.0,226.0,208.0,214.0,48600.0
2025-08-20,LCKM,214.0,220.0,208.0,214.0,24700.0
2025-08-21,LCKM,216.0,218.0,206.0,216.0,19000.0
2025-08-22,LCKM,206.0,220.0,206.0,220.0,6000.0
2025-08-25,LCKM,206.0,220.0,206.0,208.0,23500.0
2025-08-26,LCKM,216.0,218.0,208.0,210.0,19800.0
2025-08-27,LCKM,216.0,216.0,204.0,214.0,9000.0
2025-08-28,LCKM,214.0,218.0,204.0,210.0,14000.0
2025-08-29,LCKM,216.0,222.0,200.0,208.0,23500.0
2025-09-01,LCKM,199.0,208.0,195.0,206.0,36200.0
2025-09-02,LCKM,214.0,214.0,204.0,204.0,23800.0
2025-09-03,LCKM,204.0,220.0,204.0,216.0,289000.0
2025-09-04,LCKM,216.0,216.0,214.0,214.0,14700.0
2025-09-08,LCKM,197.0,212.0,197.0,210.0,26700.0
2025-09-09,LCKM,202.0,210.0,200.0,210.0,33800.0
2025-09-10,LCKM,210.0,214.0,206.0,206.0,15300.0
2025-09-11,LCKM,204.0,214.0,202.0,212.0,10600.0
2025-09-12,LCKM,212.0,214.0,206.0,210.0,29700.0
2025-09-15,LCKM,212.0,216.0,204.0,216.0,5800.0
2025-09-16,LCKM,218.0,218.0,208.0,212.0,8900.0
2025-09-17,LCKM,210.0,212.0,210.0,210.0,2200.0
2025-09-18,LCKM,214.0,216.0,202.0,214.0,10200.0
2025-09-19,LCKM,214.0,218.0,208.0,218.0,24400.0
2025-09-22,LCKM,220.0,250.0,200.0,250.0,399200.0
2025-09-23,LCKM,234.0,276.0,230.0,256.0,2689100.0
2025-09-24,LCKM,264.0,264.0,238.0,256.0,740700.0
