Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,LEAD,81.0,84.0,79.0,79.0,37841700.0
2025-06-16,LEAD,82.0,94.0,81.0,85.0,97556000.0
2025-06-17,LEAD,87.0,87.0,79.0,82.0,28765200.0
2025-06-18,LEAD,85.0,88.0,82.0,83.0,23513700.0
2025-06-19,LEAD,84.0,84.0,77.0,78.0,26346500.0
2025-06-20,LEAD,78.0,82.0,77.0,79.0,12048300.0
2025-06-23,LEAD,83.0,88.0,81.0,84.0,78146100.0
2025-06-24,LEAD,80.0,82.0,78.0,79.0,36850200.0
2025-06-25,LEAD,80.0,80.0,74.0,75.0,41005800.0
2025-06-26,LEAD,75.0,76.0,71.0,72.0,26855700.0
2025-06-30,LEAD,72.0,73.0,70.0,71.0,12883800.0
2025-07-01,LEAD,72.0,79.0,70.0,79.0,26828900.0
2025-07-02,LEAD,81.0,82.0,72.0,73.0,47925000.0
2025-07-03,LEAD,74.0,74.0,71.0,72.0,10585900.0
2025-07-04,LEAD,73.0,73.0,70.0,71.0,7554100.0
2025-07-07,LEAD,71.0,74.0,70.0,74.0,7674100.0
2025-07-08,LEAD,72.0,75.0,71.0,72.0,13196600.0
2025-07-09,LEAD,73.0,73.0,71.0,71.0,11299400.0
2025-07-10,LEAD,71.0,73.0,70.0,72.0,6750300.0
2025-07-11,LEAD,72.0,73.0,71.0,72.0,3657100.0
2025-07-14,LEAD,72.0,72.0,70.0,71.0,8586200.0
2025-07-15,LEAD,72.0,72.0,70.0,71.0,6589900.0
2025-07-16,LEAD,71.0,74.0,70.0,72.0,10369500.0
2025-07-17,LEAD,72.0,73.0,71.0,71.0,8358300.0
2025-07-18,LEAD,72.0,73.0,71.0,72.0,8504100.0
2025-07-21,LEAD,72.0,73.0,71.0,72.0,8389800.0
2025-07-22,LEAD,72.0,72.0,70.0,71.0,9272400.0
2025-07-23,LEAD,71.0,74.0,70.0,73.0,22198800.0
2025-07-24,LEAD,73.0,75.0,72.0,74.0,13694200.0
2025-07-25,LEAD,74.0,75.0,73.0,74.0,11765300.0
2025-07-28,LEAD,75.0,76.0,72.0,73.0,7070100.0
2025-07-29,LEAD,73.0,74.0,73.0,74.0,3770200.0
2025-07-30,LEAD,74.0,75.0,71.0,72.0,8898800.0
2025-07-31,LEAD,72.0,73.0,71.0,71.0,10708400.0
2025-08-01,LEAD,72.0,80.0,71.0,75.0,54145500.0
2025-08-04,LEAD,74.0,74.0,71.0,72.0,24046400.0
2025-08-05,LEAD,72.0,72.0,70.0,71.0,9747800.0
2025-08-06,LEAD,71.0,72.0,70.0,71.0,9676500.0
2025-08-07,LEAD,71.0,72.0,69.0,70.0,29180200.0
2025-08-08,LEAD,70.0,71.0,69.0,70.0,6856800.0
2025-08-11,LEAD,70.0,71.0,69.0,71.0,9527800.0
2025-08-12,LEAD,71.0,71.0,70.0,71.0,7191200.0
2025-08-13,LEAD,71.0,75.0,70.0,71.0,53917400.0
2025-08-14,LEAD,71.0,73.0,71.0,72.0,6522600.0
2025-08-15,LEAD,72.0,73.0,71.0,71.0,7551900.0
2025-08-19,LEAD,72.0,77.0,70.0,74.0,48868200.0
2025-08-20,LEAD,74.0,82.0,73.0,78.0,71137400.0
2025-08-21,LEAD,80.0,81.0,76.0,78.0,25070100.0
2025-08-22,LEAD,78.0,85.0,77.0,79.0,73913700.0
2025-08-25,LEAD,79.0,95.0,79.0,87.0,293023800.0
2025-08-26,LEAD,87.0,89.0,84.0,84.0,49535900.0
2025-08-27,LEAD,85.0,87.0,83.0,84.0,22929800.0
2025-08-28,LEAD,85.0,86.0,83.0,84.0,18030500.0
2025-08-29,LEAD,83.0,84.0,73.0,76.0,52752300.0
2025-09-01,LEAD,71.0,81.0,71.0,77.0,26502700.0
2025-09-02,LEAD,79.0,84.0,76.0,81.0,50749400.0
2025-09-03,LEAD,82.0,83.0,78.0,79.0,14836100.0
2025-09-04,LEAD,79.0,79.0,75.0,75.0,18963000.0
2025-09-08,LEAD,76.0,80.0,76.0,76.0,14500900.0
2025-09-09,LEAD,76.0,79.0,74.0,75.0,22826900.0
2025-09-10,LEAD,75.0,77.0,74.0,74.0,9390000.0
2025-09-11,LEAD,75.0,81.0,75.0,78.0,31901600.0
2025-09-12,LEAD,80.0,90.0,77.0,84.0,117703500.0
2025-09-15,LEAD,86.0,88.0,83.0,85.0,40140300.0
2025-09-16,LEAD,85.0,86.0,80.0,82.0,33122800.0
2025-09-17,LEAD,82.0,88.0,79.0,83.0,49704600.0
