Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,LION,388.81577793757117,388.81577793757117,374.9999888737996,378.9473571777344,16600.0
2025-06-16,LION,378.94735863095235,378.94735863095235,373.02630615234375,373.02630615234375,20600.0
2025-06-17,LION,376.97369563325924,376.97369563325924,371.0526428222656,371.0526428222656,53600.0
2025-06-18,LION,373.02631578947364,375.0,369.07894736842104,375.0,17100.0
2025-06-19,LION,376.9736759636992,376.9736759636992,361.1842026249055,367.1052551269531,23800.0
2025-06-20,LION,367.1052664051885,367.1052664051885,347.3684241253397,363.15789794921875,32700.0
2025-06-23,LION,363.1578853546627,394.73683190724205,347.368412078373,373.02630615234375,86700.0
2025-06-24,LION,392.7631433660334,422.3684054287997,374.99998612837356,390.7894592285156,122200.0
2025-06-25,LION,412.50000503540036,414.4736892700195,390.7894784545898,394.7368469238281,141100.0
2025-06-26,LION,394.73684862785535,394.73684862785535,382.8947431690197,388.8157958984375,8100.0
2025-06-30,LION,384.86843089158623,392.7631679355162,376.97369384765625,376.97369384765625,57300.0
2025-07-01,LION,386.84210526315786,394.7368421052631,375.0,375.0,10900.0
2025-07-02,LION,376.97368262098246,388.815787834207,373.02631421657424,380.9210510253906,22100.0
2025-07-03,LION,386.8420923477564,386.8420923477564,374.99998747996796,384.868408203125,15500.0
2025-07-04,LION,375.0,380.92105263157896,375.0,375.0,32200.0
2025-07-07,LION,380.0,388.0,372.0,388.0,10000.0
2025-07-08,LION,388.0,388.0,380.0,386.0,5500.0
2025-07-09,LION,380.0,388.0,378.0,378.0,7500.0
2025-07-10,LION,382.0,382.0,378.0,382.0,27800.0
2025-07-11,LION,380.0,382.0,378.0,380.0,15100.0
2025-07-14,LION,382.0,382.0,376.0,380.0,25500.0
2025-07-15,LION,378.0,380.0,376.0,380.0,17200.0
2025-07-16,LION,382.0,384.0,378.0,384.0,13600.0
2025-07-17,LION,384.0,386.0,378.0,384.0,10100.0
2025-07-18,LION,384.0,388.0,350.0,362.0,42000.0
2025-07-21,LION,368.0,388.0,368.0,380.0,35800.0
2025-07-22,LION,382.0,386.0,370.0,378.0,17100.0
2025-07-23,LION,378.0,382.0,376.0,376.0,8500.0
2025-07-24,LION,378.0,380.0,376.0,378.0,4000.0
2025-07-25,LION,378.0,378.0,376.0,378.0,11800.0
2025-07-28,LION,376.0,382.0,374.0,376.0,13500.0
2025-07-29,LION,376.0,382.0,374.0,382.0,9900.0
2025-07-30,LION,380.0,380.0,370.0,380.0,18900.0
2025-07-31,LION,370.0,382.0,370.0,380.0,25000.0
2025-08-01,LION,378.0,378.0,342.0,378.0,17000.0
2025-08-04,LION,372.0,372.0,370.0,370.0,32900.0
2025-08-05,LION,370.0,372.0,364.0,372.0,18500.0
2025-08-06,LION,366.0,380.0,366.0,378.0,6400.0
2025-08-07,LION,370.0,376.0,366.0,370.0,30600.0
2025-08-08,LION,376.0,376.0,360.0,370.0,8800.0
2025-08-11,LION,370.0,370.0,360.0,368.0,31200.0
2025-08-12,LION,368.0,376.0,368.0,370.0,28100.0
2025-08-13,LION,370.0,374.0,370.0,374.0,7900.0
2025-08-14,LION,374.0,374.0,362.0,372.0,25300.0
2025-08-15,LION,368.0,374.0,366.0,374.0,4700.0
2025-08-19,LION,372.0,376.0,370.0,372.0,14800.0
2025-08-20,LION,372.0,372.0,350.0,370.0,22300.0
2025-08-21,LION,370.0,374.0,350.0,374.0,140800.0
2025-08-22,LION,374.0,376.0,350.0,364.0,77700.0
2025-08-25,LION,370.0,376.0,352.0,370.0,55000.0
2025-08-26,LION,368.0,370.0,362.0,362.0,26900.0
2025-08-27,LION,368.0,370.0,344.0,362.0,142600.0
2025-08-28,LION,362.0,364.0,354.0,362.0,16800.0
2025-08-29,LION,366.0,368.0,346.0,358.0,65000.0
2025-09-01,LION,350.0,362.0,342.0,350.0,14000.0
2025-09-02,LION,358.0,358.0,352.0,356.0,7200.0
2025-09-03,LION,356.0,372.0,350.0,362.0,48100.0
2025-09-04,LION,360.0,360.0,352.0,352.0,31700.0
2025-09-08,LION,354.0,440.0,354.0,440.0,1131400.0
2025-09-09,LION,550.0,550.0,505.0,550.0,3221300.0
2025-09-10,LION,600.0,685.0,600.0,685.0,4841200.0
2025-09-11,LION,685.0,685.0,685.0,685.0,0.0
2025-09-12,LION,585.0,855.0,585.0,840.0,5782600.0
2025-09-15,LION,840.0,840.0,840.0,840.0,0.0
2025-09-16,LION,840.0,840.0,840.0,840.0,0.0
2025-09-17,LION,840.0,840.0,840.0,840.0,0.0
2025-09-18,LION,840.0,840.0,840.0,840.0,0.0
2025-09-19,LION,840.0,840.0,840.0,840.0,0.0
2025-09-22,LION,840.0,840.0,840.0,840.0,0.0
2025-09-23,LION,830.0,830.0,760.0,760.0,312900.0
2025-09-24,LION,690.0,690.0,685.0,685.0,520400.0
2025-09-25,LION,750.0,750.0,620.0,660.0,735700.0
2025-09-26,LION,650.0,650.0,610.0,620.0,116300.0
2025-09-29,LION,600.0,620.0,590.0,620.0,583100.0
2025-09-30,LION,630.0,680.0,630.0,680.0,291700.0
2025-10-01,LION,625.0,640.0,625.0,640.0,275400.0
2025-10-02,LION,655.0,800.0,545.0,800.0,8737000.0
2025-10-03,LION,800.0,950.0,680.0,680.0,10103700.0
2025-10-06,LION,590.0,600.0,580.0,580.0,1981100.0
2025-10-07,LION,494.0,640.0,494.0,520.0,12007500.0
2025-10-08,LION,520.0,550.0,472.0,472.0,2177800.0
2025-10-09,LION,472.0,482.0,450.0,466.0,1210300.0
2025-10-10,LION,470.0,498.0,450.0,488.0,1140600.0
2025-10-13,LION,488.0,496.0,442.0,488.0,624200.0
2025-10-14,LION,488.0,488.0,464.0,466.0,215600.0
2025-10-15,LION,488.0,496.0,464.0,474.0,397900.0
2025-10-16,LION,474.0,474.0,456.0,456.0,249700.0
2025-10-17,LION,458.0,464.0,442.0,442.0,225200.0
2025-10-20,LION,456.0,460.0,420.0,440.0,253000.0
2025-10-21,LION,440.0,450.0,430.0,440.0,156300.0
2025-10-22,LION,440.0,440.0,424.0,428.0,129500.0
2025-10-23,LION,428.0,430.0,412.0,418.0,392200.0
2025-10-24,LION,420.0,424.0,412.0,418.0,127800.0
2025-10-27,LION,418.0,438.0,404.0,406.0,294500.0
2025-10-28,LION,402.0,505.0,402.0,428.0,2820200.0
2025-10-29,LION,430.0,440.0,420.0,424.0,323000.0
2025-10-30,LION,424.0,440.0,424.0,430.0,274800.0
2025-10-31,LION,434.0,434.0,416.0,424.0,118400.0
2025-11-03,LION,416.0,422.0,412.0,412.0,330200.0
2025-11-04,LION,424.0,424.0,406.0,408.0,169400.0
