Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,LMSH,256.0,256.0,256.0,256.0,0.0
2025-06-16,LMSH,256.0,256.0,256.0,256.0,0.0
2025-06-17,LMSH,256.0,256.0,256.0,256.0,0.0
2025-06-18,LMSH,256.0,256.0,256.0,256.0,0.0
2025-06-19,LMSH,256.0,256.0,256.0,256.0,0.0
2025-06-20,LMSH,256.0,256.0,256.0,256.0,0.0
2025-06-23,LMSH,256.0,256.0,256.0,256.0,0.0
2025-06-24,LMSH,256.0,256.0,256.0,256.0,0.0
2025-06-25,LMSH,256.0,256.0,256.0,256.0,0.0
2025-06-26,LMSH,256.0,256.0,256.0,256.0,0.0
2025-06-30,LMSH,256.0,256.0,256.0,256.0,0.0
2025-07-01,LMSH,256.0,256.0,256.0,256.0,0.0
2025-07-02,LMSH,256.0,256.0,256.0,256.0,0.0
2025-07-03,LMSH,256.0,256.0,256.0,256.0,0.0
2025-07-04,LMSH,256.0,256.0,256.0,256.0,0.0
2025-07-07,LMSH,256.0,256.0,256.0,256.0,0.0
2025-07-08,LMSH,256.0,256.0,256.0,256.0,0.0
2025-07-09,LMSH,256.0,256.0,256.0,256.0,0.0
2025-07-10,LMSH,256.0,256.0,256.0,256.0,0.0
2025-07-11,LMSH,256.0,256.0,256.0,256.0,0.0
2025-07-14,LMSH,256.0,256.0,256.0,256.0,0.0
2025-07-15,LMSH,256.0,256.0,256.0,256.0,0.0
2025-07-16,LMSH,256.0,256.0,256.0,256.0,0.0
2025-07-17,LMSH,256.0,256.0,256.0,256.0,0.0
2025-07-18,LMSH,256.0,256.0,256.0,256.0,0.0
2025-07-21,LMSH,256.0,256.0,256.0,256.0,0.0
2025-07-22,LMSH,256.0,256.0,256.0,256.0,0.0
2025-07-23,LMSH,256.0,256.0,256.0,256.0,0.0
2025-07-24,LMSH,256.0,256.0,256.0,256.0,0.0
2025-07-25,LMSH,256.0,256.0,256.0,256.0,0.0
2025-07-28,LMSH,256.0,256.0,256.0,256.0,0.0
2025-07-29,LMSH,256.0,256.0,256.0,256.0,0.0
2025-07-30,LMSH,256.0,256.0,256.0,256.0,0.0
2025-07-31,LMSH,256.0,256.0,256.0,256.0,0.0
2025-08-01,LMSH,256.0,256.0,256.0,256.0,0.0
2025-08-04,LMSH,256.0,256.0,256.0,256.0,0.0
2025-08-05,LMSH,256.0,256.0,256.0,256.0,0.0
2025-08-06,LMSH,256.0,256.0,256.0,256.0,0.0
2025-08-07,LMSH,256.0,256.0,256.0,256.0,0.0
2025-08-08,LMSH,256.0,256.0,256.0,256.0,0.0
2025-08-11,LMSH,256.0,256.0,256.0,256.0,0.0
2025-08-12,LMSH,256.0,256.0,256.0,256.0,0.0
2025-08-13,LMSH,256.0,256.0,256.0,256.0,0.0
2025-08-14,LMSH,256.0,256.0,256.0,256.0,0.0
2025-08-15,LMSH,256.0,256.0,256.0,256.0,0.0
2025-08-19,LMSH,256.0,256.0,256.0,256.0,0.0
2025-08-20,LMSH,256.0,256.0,256.0,256.0,0.0
2025-08-21,LMSH,256.0,256.0,256.0,256.0,0.0
2025-08-22,LMSH,256.0,256.0,256.0,256.0,0.0
2025-08-25,LMSH,256.0,256.0,256.0,256.0,0.0
2025-08-26,LMSH,256.0,256.0,256.0,256.0,0.0
2025-08-27,LMSH,256.0,256.0,256.0,256.0,0.0
2025-08-28,LMSH,256.0,256.0,256.0,256.0,0.0
2025-08-29,LMSH,256.0,256.0,256.0,256.0,0.0
2025-09-01,LMSH,256.0,256.0,256.0,256.0,0.0
2025-09-02,LMSH,256.0,256.0,256.0,256.0,0.0
2025-09-03,LMSH,256.0,256.0,256.0,256.0,0.0
2025-09-04,LMSH,256.0,256.0,256.0,256.0,0.0
