Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,LPCK,480.0,482.0,474.0,480.0,181500.0
2025-06-16,LPCK,480.0,482.0,474.0,476.0,802300.0
2025-06-17,LPCK,478.0,484.0,474.0,480.0,182400.0
2025-06-18,LPCK,480.0,482.0,472.0,474.0,218300.0
2025-06-19,LPCK,476.0,478.0,466.0,468.0,294800.0
2025-06-20,LPCK,468.0,480.0,466.0,474.0,218500.0
2025-06-23,LPCK,470.0,470.0,444.0,458.0,1141500.0
2025-06-24,LPCK,462.0,462.0,456.0,460.0,440900.0
2025-06-25,LPCK,462.0,462.0,456.0,460.0,65700.0
2025-06-26,LPCK,460.0,462.0,454.0,460.0,435500.0
2025-06-30,LPCK,470.0,472.0,460.0,464.0,462400.0
2025-07-01,LPCK,462.0,468.0,462.0,462.0,177400.0
2025-07-02,LPCK,462.0,464.0,452.0,452.0,435800.0
2025-07-03,LPCK,458.0,464.0,440.0,446.0,700400.0
2025-07-04,LPCK,448.0,450.0,438.0,442.0,542300.0
2025-07-07,LPCK,444.0,446.0,422.0,430.0,1234800.0
2025-07-08,LPCK,430.0,440.0,430.0,438.0,675900.0
2025-07-09,LPCK,438.0,450.0,438.0,448.0,350400.0
2025-07-10,LPCK,448.0,458.0,444.0,456.0,207600.0
2025-07-11,LPCK,456.0,480.0,454.0,470.0,453900.0
2025-07-14,LPCK,474.0,476.0,470.0,472.0,167800.0
2025-07-15,LPCK,472.0,480.0,452.0,464.0,202100.0
2025-07-16,LPCK,466.0,470.0,464.0,468.0,144600.0
2025-07-17,LPCK,468.0,480.0,468.0,474.0,194700.0
2025-07-18,LPCK,476.0,484.0,468.0,476.0,170500.0
2025-07-21,LPCK,478.0,505.0,478.0,500.0,960000.0
2025-07-22,LPCK,498.0,505.0,490.0,492.0,703600.0
2025-07-23,LPCK,492.0,496.0,484.0,496.0,472400.0
2025-07-24,LPCK,505.0,505.0,492.0,496.0,431500.0
2025-07-25,LPCK,496.0,496.0,490.0,490.0,346500.0
2025-07-28,LPCK,500.0,505.0,494.0,505.0,1360000.0
2025-07-29,LPCK,510.0,530.0,498.0,510.0,2447400.0
2025-07-30,LPCK,520.0,525.0,496.0,498.0,652800.0
2025-07-31,LPCK,498.0,505.0,486.0,492.0,582700.0
2025-08-01,LPCK,484.0,492.0,484.0,492.0,535700.0
2025-08-04,LPCK,498.0,498.0,488.0,496.0,508600.0
2025-08-05,LPCK,498.0,515.0,498.0,510.0,1965500.0
2025-08-06,LPCK,510.0,510.0,498.0,500.0,850100.0
2025-08-07,LPCK,500.0,520.0,490.0,505.0,1953100.0
2025-08-08,LPCK,510.0,510.0,498.0,510.0,1277800.0
2025-08-11,LPCK,510.0,515.0,500.0,510.0,1123200.0
2025-08-12,LPCK,510.0,510.0,500.0,500.0,1281600.0
2025-08-13,LPCK,510.0,515.0,500.0,505.0,1201800.0
2025-08-14,LPCK,505.0,525.0,505.0,510.0,1304200.0
2025-08-15,LPCK,510.0,515.0,505.0,505.0,553200.0
2025-08-19,LPCK,500.0,520.0,500.0,510.0,937500.0
2025-08-20,LPCK,510.0,635.0,505.0,635.0,23858700.0
2025-08-21,LPCK,655.0,730.0,615.0,635.0,11614700.0
2025-08-22,LPCK,640.0,675.0,600.0,655.0,2762100.0
2025-08-25,LPCK,660.0,755.0,640.0,740.0,10945000.0
2025-08-26,LPCK,740.0,740.0,650.0,670.0,7333500.0
2025-08-27,LPCK,690.0,690.0,645.0,655.0,2354100.0
2025-08-28,LPCK,665.0,665.0,645.0,655.0,892800.0
2025-08-29,LPCK,650.0,650.0,590.0,610.0,2467900.0
2025-09-01,LPCK,615.0,630.0,575.0,600.0,1922100.0
2025-09-02,LPCK,610.0,675.0,605.0,660.0,2746800.0
2025-09-03,LPCK,670.0,675.0,640.0,645.0,1924200.0
2025-09-04,LPCK,645.0,660.0,625.0,625.0,1709500.0
2025-09-08,LPCK,625.0,650.0,610.0,610.0,1754300.0
2025-09-09,LPCK,610.0,610.0,590.0,600.0,894400.0
2025-09-10,LPCK,605.0,645.0,605.0,635.0,638800.0
2025-09-11,LPCK,645.0,645.0,610.0,620.0,870900.0
2025-09-12,LPCK,620.0,635.0,595.0,635.0,848700.0
2025-09-15,LPCK,655.0,655.0,630.0,645.0,1122600.0
2025-09-16,LPCK,645.0,655.0,620.0,640.0,491400.0
2025-09-17,LPCK,625.0,665.0,625.0,635.0,641900.0
2025-09-18,LPCK,645.0,645.0,625.0,630.0,1200500.0
2025-09-19,LPCK,635.0,645.0,610.0,615.0,702400.0
2025-09-22,LPCK,610.0,660.0,610.0,630.0,1361100.0
2025-09-23,LPCK,630.0,645.0,620.0,640.0,1074400.0
2025-09-24,LPCK,645.0,675.0,625.0,650.0,3022400.0
2025-09-25,LPCK,650.0,700.0,640.0,680.0,3813100.0
2025-09-26,LPCK,680.0,685.0,650.0,650.0,1710600.0
2025-09-29,LPCK,650.0,715.0,650.0,690.0,3667100.0
2025-09-30,LPCK,710.0,745.0,665.0,675.0,3325500.0
2025-10-01,LPCK,685.0,720.0,655.0,665.0,1457200.0
2025-10-02,LPCK,680.0,685.0,650.0,665.0,906700.0
2025-10-03,LPCK,665.0,665.0,635.0,645.0,1089500.0
2025-10-06,LPCK,650.0,655.0,620.0,635.0,815000.0
2025-10-07,LPCK,635.0,655.0,620.0,640.0,910800.0
2025-10-08,LPCK,640.0,640.0,605.0,615.0,1298800.0
2025-10-09,LPCK,615.0,630.0,605.0,625.0,760400.0
2025-10-10,LPCK,625.0,630.0,605.0,620.0,479300.0
2025-10-13,LPCK,630.0,630.0,610.0,615.0,471100.0
2025-10-14,LPCK,620.0,620.0,595.0,600.0,1357800.0
2025-10-15,LPCK,605.0,610.0,580.0,590.0,689300.0
2025-10-16,LPCK,590.0,600.0,590.0,600.0,162700.0
2025-10-17,LPCK,600.0,600.0,555.0,565.0,882800.0
2025-10-20,LPCK,565.0,595.0,535.0,590.0,728600.0
2025-10-21,LPCK,595.0,600.0,580.0,595.0,300000.0
2025-10-22,LPCK,600.0,600.0,575.0,590.0,472500.0
2025-10-23,LPCK,590.0,595.0,580.0,595.0,180500.0
2025-10-24,LPCK,595.0,600.0,580.0,595.0,234100.0
2025-10-27,LPCK,595.0,600.0,580.0,600.0,498800.0
