Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,LRNA,141.0,144.0,137.0,137.0,11000.0
2025-06-16,LRNA,143.0,143.0,138.0,139.0,5700.0
2025-06-17,LRNA,138.0,141.0,130.0,139.0,23900.0
2025-06-18,LRNA,139.0,140.0,135.0,137.0,17200.0
2025-06-19,LRNA,139.0,144.0,135.0,142.0,21600.0
2025-06-20,LRNA,142.0,142.0,139.0,139.0,4400.0
2025-06-23,LRNA,138.0,141.0,131.0,133.0,33100.0
2025-06-24,LRNA,132.0,136.0,130.0,130.0,50200.0
2025-06-25,LRNA,137.0,137.0,130.0,136.0,62300.0
2025-06-26,LRNA,137.0,140.0,131.0,135.0,100900.0
2025-06-30,LRNA,135.0,136.0,135.0,136.0,19400.0
2025-07-01,LRNA,136.0,139.0,136.0,139.0,9500.0
2025-07-02,LRNA,136.0,139.0,132.0,132.0,23400.0
2025-07-03,LRNA,142.0,160.0,131.0,134.0,1620300.0
2025-07-04,LRNA,139.0,144.0,132.0,132.0,105000.0
2025-07-07,LRNA,132.0,138.0,131.0,134.0,61500.0
2025-07-08,LRNA,134.0,135.0,131.0,133.0,62200.0
2025-07-09,LRNA,133.0,165.0,132.0,143.0,5228100.0
2025-07-10,LRNA,143.0,150.0,140.0,143.0,1454200.0
2025-07-11,LRNA,150.0,150.0,140.0,143.0,966200.0
2025-07-14,LRNA,145.0,147.0,140.0,141.0,964000.0
2025-07-15,LRNA,141.0,149.0,140.0,141.0,250600.0
2025-07-16,LRNA,141.0,142.0,140.0,140.0,310000.0
2025-07-17,LRNA,140.0,150.0,140.0,146.0,593900.0
2025-07-18,LRNA,146.0,146.0,141.0,144.0,35000.0
2025-07-21,LRNA,143.0,159.0,135.0,137.0,1870400.0
2025-07-22,LRNA,137.0,141.0,137.0,137.0,105100.0
2025-07-23,LRNA,137.0,147.0,137.0,143.0,426800.0
2025-07-24,LRNA,143.0,148.0,143.0,147.0,224100.0
2025-07-25,LRNA,142.0,182.0,141.0,162.0,16030400.0
2025-07-28,LRNA,163.0,169.0,160.0,164.0,929400.0
2025-07-29,LRNA,164.0,196.0,160.0,180.0,7444200.0
2025-07-30,LRNA,180.0,196.0,174.0,195.0,3272800.0
2025-07-31,LRNA,194.0,195.0,166.0,180.0,1886400.0
2025-08-01,LRNA,177.0,186.0,168.0,183.0,123700.0
2025-08-04,LRNA,179.0,199.0,175.0,182.0,2470700.0
2025-08-05,LRNA,177.0,187.0,175.0,181.0,387000.0
