Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,MAGP,50.0,50.0,50.0,50.0,0.0
2025-06-16,MAGP,50.0,50.0,50.0,50.0,0.0
2025-06-17,MAGP,50.0,50.0,50.0,50.0,0.0
2025-06-18,MAGP,50.0,50.0,50.0,50.0,0.0
2025-06-19,MAGP,50.0,50.0,50.0,50.0,0.0
2025-06-20,MAGP,50.0,50.0,50.0,50.0,0.0
2025-06-23,MAGP,50.0,50.0,50.0,50.0,0.0
2025-06-24,MAGP,50.0,50.0,50.0,50.0,0.0
2025-06-25,MAGP,50.0,50.0,50.0,50.0,0.0
2025-06-26,MAGP,50.0,50.0,50.0,50.0,0.0
2025-06-30,MAGP,50.0,50.0,50.0,50.0,0.0
2025-07-01,MAGP,50.0,50.0,50.0,50.0,0.0
2025-07-02,MAGP,50.0,50.0,50.0,50.0,0.0
2025-07-03,MAGP,50.0,50.0,50.0,50.0,0.0
2025-07-04,MAGP,50.0,50.0,50.0,50.0,0.0
2025-07-07,MAGP,50.0,50.0,50.0,50.0,0.0
2025-07-08,MAGP,50.0,50.0,50.0,50.0,0.0
2025-07-09,MAGP,50.0,50.0,50.0,50.0,0.0
2025-07-10,MAGP,50.0,50.0,50.0,50.0,0.0
2025-07-11,MAGP,50.0,50.0,50.0,50.0,0.0
2025-07-14,MAGP,50.0,50.0,50.0,50.0,0.0
2025-07-15,MAGP,50.0,50.0,50.0,50.0,0.0
2025-07-16,MAGP,50.0,50.0,50.0,50.0,0.0
2025-07-17,MAGP,50.0,50.0,50.0,50.0,0.0
2025-07-18,MAGP,50.0,50.0,50.0,50.0,0.0
2025-07-21,MAGP,50.0,50.0,50.0,50.0,0.0
2025-07-22,MAGP,50.0,50.0,50.0,50.0,0.0
2025-07-23,MAGP,50.0,50.0,50.0,50.0,0.0
2025-07-24,MAGP,50.0,50.0,50.0,50.0,0.0
2025-07-25,MAGP,50.0,50.0,50.0,50.0,0.0
2025-07-28,MAGP,50.0,50.0,50.0,50.0,0.0
2025-07-29,MAGP,50.0,50.0,50.0,50.0,0.0
2025-07-30,MAGP,50.0,50.0,50.0,50.0,0.0
2025-07-31,MAGP,50.0,50.0,50.0,50.0,0.0
2025-08-01,MAGP,50.0,50.0,50.0,50.0,0.0
2025-08-04,MAGP,50.0,50.0,50.0,50.0,0.0
2025-08-05,MAGP,50.0,50.0,50.0,50.0,0.0
2025-08-06,MAGP,50.0,50.0,50.0,50.0,0.0
2025-08-07,MAGP,50.0,50.0,50.0,50.0,0.0
2025-08-08,MAGP,50.0,50.0,50.0,50.0,0.0
2025-08-11,MAGP,50.0,50.0,50.0,50.0,0.0
2025-08-12,MAGP,50.0,50.0,50.0,50.0,0.0
2025-08-13,MAGP,50.0,50.0,50.0,50.0,0.0
2025-08-14,MAGP,50.0,50.0,50.0,50.0,0.0
2025-08-15,MAGP,50.0,50.0,50.0,50.0,0.0
2025-08-19,MAGP,50.0,50.0,50.0,50.0,0.0
2025-08-20,MAGP,50.0,50.0,50.0,50.0,0.0
2025-08-21,MAGP,50.0,50.0,50.0,50.0,0.0
2025-08-22,MAGP,50.0,50.0,50.0,50.0,0.0
2025-08-25,MAGP,50.0,50.0,50.0,50.0,0.0
2025-08-26,MAGP,50.0,50.0,50.0,50.0,0.0
2025-08-27,MAGP,50.0,50.0,50.0,50.0,0.0
2025-08-28,MAGP,50.0,50.0,50.0,50.0,0.0
2025-08-29,MAGP,50.0,50.0,50.0,50.0,0.0
2025-09-01,MAGP,50.0,50.0,50.0,50.0,0.0
2025-09-02,MAGP,50.0,50.0,50.0,50.0,0.0
2025-09-03,MAGP,50.0,50.0,50.0,50.0,0.0
2025-09-04,MAGP,50.0,50.0,50.0,50.0,0.0
2025-09-08,MAGP,50.0,50.0,50.0,50.0,0.0
2025-09-09,MAGP,50.0,50.0,50.0,50.0,0.0
2025-09-10,MAGP,50.0,50.0,50.0,50.0,0.0
2025-09-11,MAGP,50.0,50.0,50.0,50.0,0.0
2025-09-12,MAGP,50.0,50.0,50.0,50.0,0.0
2025-09-15,MAGP,50.0,50.0,50.0,50.0,0.0
2025-09-16,MAGP,50.0,50.0,50.0,50.0,0.0
2025-09-17,MAGP,50.0,50.0,50.0,50.0,0.0
2025-09-18,MAGP,50.0,50.0,50.0,50.0,0.0
2025-09-19,MAGP,50.0,50.0,50.0,50.0,0.0
2025-09-22,MAGP,50.0,50.0,50.0,50.0,0.0
2025-09-23,MAGP,50.0,50.0,50.0,50.0,0.0
2025-09-24,MAGP,50.0,50.0,50.0,50.0,0.0
2025-09-25,MAGP,50.0,50.0,50.0,50.0,0.0
2025-09-26,MAGP,50.0,50.0,50.0,50.0,0.0
2025-09-29,MAGP,50.0,50.0,50.0,50.0,0.0
2025-09-30,MAGP,50.0,50.0,50.0,50.0,0.0
2025-10-01,MAGP,50.0,50.0,50.0,50.0,0.0
2025-10-02,MAGP,50.0,50.0,50.0,50.0,0.0
2025-10-03,MAGP,50.0,50.0,50.0,50.0,0.0
2025-10-06,MAGP,50.0,50.0,50.0,50.0,0.0
2025-10-07,MAGP,50.0,50.0,50.0,50.0,0.0
2025-10-08,MAGP,50.0,50.0,50.0,50.0,0.0
2025-10-09,MAGP,50.0,50.0,50.0,50.0,0.0
2025-10-10,MAGP,50.0,50.0,50.0,50.0,0.0
2025-10-13,MAGP,50.0,50.0,50.0,50.0,0.0
2025-10-14,MAGP,50.0,50.0,50.0,50.0,0.0
2025-10-15,MAGP,50.0,50.0,50.0,50.0,0.0
2025-10-16,MAGP,50.0,50.0,50.0,50.0,0.0
2025-10-17,MAGP,50.0,50.0,50.0,50.0,0.0
2025-10-20,MAGP,50.0,50.0,50.0,50.0,0.0
2025-10-21,MAGP,50.0,50.0,50.0,50.0,0.0
2025-10-22,MAGP,50.0,50.0,50.0,50.0,0.0
2025-10-23,MAGP,50.0,50.0,50.0,50.0,0.0
2025-10-24,MAGP,50.0,50.0,50.0,50.0,0.0
2025-10-27,MAGP,50.0,50.0,50.0,50.0,0.0
2025-10-28,MAGP,50.0,50.0,50.0,50.0,0.0
2025-10-29,MAGP,50.0,50.0,50.0,50.0,0.0
2025-10-30,MAGP,50.0,50.0,50.0,50.0,0.0
2025-10-31,MAGP,50.0,50.0,50.0,50.0,0.0
2025-11-03,MAGP,50.0,50.0,50.0,50.0,0.0
2025-11-04,MAGP,50.0,50.0,50.0,50.0,0.0
2025-11-05,MAGP,50.0,50.0,50.0,50.0,0.0
2025-11-06,MAGP,50.0,50.0,50.0,50.0,0.0
2025-11-07,MAGP,50.0,50.0,50.0,50.0,0.0
2025-11-10,MAGP,50.0,50.0,50.0,50.0,0.0
2025-11-11,MAGP,50.0,50.0,50.0,50.0,0.0
2025-11-12,MAGP,50.0,50.0,50.0,50.0,0.0
2025-11-13,MAGP,50.0,50.0,50.0,50.0,0.0
2025-11-14,MAGP,50.0,50.0,50.0,50.0,0.0
2025-11-17,MAGP,50.0,50.0,50.0,50.0,0.0
2025-11-18,MAGP,50.0,50.0,50.0,50.0,0.0
2025-11-19,MAGP,50.0,50.0,50.0,50.0,0.0
2025-11-20,MAGP,50.0,50.0,50.0,50.0,0.0
2025-11-21,MAGP,50.0,50.0,50.0,50.0,0.0
2025-11-24,MAGP,50.0,50.0,50.0,50.0,0.0
2025-11-25,MAGP,50.0,50.0,50.0,50.0,0.0
2025-11-26,MAGP,50.0,50.0,50.0,50.0,0.0
2025-11-27,MAGP,50.0,50.0,50.0,50.0,0.0
2025-11-28,MAGP,50.0,50.0,50.0,50.0,0.0
2025-12-01,MAGP,50.0,50.0,50.0,50.0,0.0
2025-12-02,MAGP,50.0,50.0,50.0,50.0,0.0
2025-12-03,MAGP,50.0,50.0,50.0,50.0,0.0
2025-12-04,MAGP,50.0,50.0,50.0,50.0,0.0
2025-12-05,MAGP,50.0,50.0,50.0,50.0,0.0
2025-12-08,MAGP,50.0,50.0,50.0,50.0,0.0
2025-12-09,MAGP,50.0,50.0,50.0,50.0,0.0
2025-12-10,MAGP,50.0,50.0,50.0,50.0,0.0
2025-12-11,MAGP,50.0,50.0,50.0,50.0,0.0
2025-12-12,MAGP,50.0,50.0,50.0,50.0,0.0
2025-12-15,MAGP,50.0,50.0,50.0,50.0,0.0
2025-12-16,MAGP,50.0,50.0,50.0,50.0,0.0
2025-12-17,MAGP,50.0,50.0,50.0,50.0,0.0
2025-12-18,MAGP,50.0,50.0,50.0,50.0,0.0
2025-12-19,MAGP,50.0,50.0,50.0,50.0,0.0
2025-12-22,MAGP,50.0,50.0,50.0,50.0,0.0
2025-12-23,MAGP,50.0,50.0,50.0,50.0,0.0
2025-12-24,MAGP,50.0,50.0,50.0,50.0,0.0
2025-12-29,MAGP,50.0,50.0,50.0,50.0,0.0
2025-12-30,MAGP,50.0,50.0,50.0,50.0,0.0
2026-01-02,MAGP,50.0,50.0,50.0,50.0,0.0
2026-01-05,MAGP,50.0,50.0,50.0,50.0,0.0
2026-01-06,MAGP,50.0,50.0,50.0,50.0,0.0
2026-01-07,MAGP,50.0,50.0,50.0,50.0,0.0
2026-01-08,MAGP,50.0,50.0,50.0,50.0,0.0
2026-01-09,MAGP,50.0,50.0,50.0,50.0,0.0
2026-01-12,MAGP,50.0,50.0,50.0,50.0,0.0
2026-01-13,MAGP,50.0,50.0,50.0,50.0,0.0
2026-01-14,MAGP,50.0,50.0,50.0,50.0,0.0
2026-01-15,MAGP,50.0,50.0,50.0,50.0,0.0
2026-01-19,MAGP,50.0,50.0,50.0,50.0,0.0
2026-01-20,MAGP,50.0,50.0,50.0,50.0,0.0
2026-01-21,MAGP,50.0,50.0,50.0,50.0,0.0
2026-01-22,MAGP,50.0,50.0,50.0,50.0,0.0
2026-01-23,MAGP,50.0,50.0,50.0,50.0,0.0
2026-01-26,MAGP,50.0,50.0,50.0,50.0,0.0
2026-01-27,MAGP,50.0,50.0,50.0,50.0,0.0
2026-01-28,MAGP,50.0,50.0,50.0,50.0,0.0
2026-01-29,MAGP,50.0,50.0,50.0,50.0,0.0
2026-01-30,MAGP,50.0,50.0,50.0,50.0,0.0
2026-02-02,MAGP,50.0,50.0,50.0,50.0,0.0
2026-02-03,MAGP,50.0,50.0,50.0,50.0,0.0
2026-02-04,MAGP,50.0,50.0,50.0,50.0,0.0
2026-02-05,MAGP,50.0,50.0,50.0,50.0,0.0
2026-02-06,MAGP,50.0,50.0,50.0,50.0,0.0
2026-02-09,MAGP,50.0,50.0,50.0,50.0,0.0
2026-02-10,MAGP,50.0,50.0,50.0,50.0,0.0
