Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,MAXI,50.0,51.0,50.0,50.0,244300.0
2025-06-16,MAXI,50.0,50.0,50.0,50.0,160300.0
2025-06-17,MAXI,50.0,50.0,50.0,50.0,6400.0
2025-06-18,MAXI,50.0,50.0,50.0,50.0,6400.0
2025-06-19,MAXI,50.0,50.0,50.0,50.0,20200.0
2025-06-20,MAXI,50.0,50.0,50.0,50.0,5200.0
2025-06-23,MAXI,50.0,50.0,50.0,50.0,100.0
2025-06-24,MAXI,50.0,53.0,50.0,52.0,3102800.0
2025-06-25,MAXI,52.0,52.0,50.0,50.0,3876100.0
2025-06-26,MAXI,50.0,51.0,50.0,51.0,1453900.0
2025-06-30,MAXI,50.0,51.0,50.0,50.0,889500.0
2025-07-01,MAXI,50.0,51.0,50.0,50.0,288500.0
2025-07-02,MAXI,51.0,51.0,50.0,51.0,1813600.0
2025-07-03,MAXI,50.0,50.0,50.0,50.0,2374200.0
2025-07-04,MAXI,50.0,51.0,50.0,51.0,331400.0
2025-07-07,MAXI,50.0,51.0,50.0,50.0,339700.0
2025-07-08,MAXI,50.0,51.0,50.0,50.0,99200.0
2025-07-09,MAXI,50.0,50.0,50.0,50.0,934200.0
2025-07-10,MAXI,51.0,51.0,50.0,50.0,597200.0
2025-07-11,MAXI,50.0,50.0,50.0,50.0,348000.0
2025-07-14,MAXI,50.0,51.0,50.0,50.0,924000.0
2025-07-15,MAXI,50.0,50.0,50.0,50.0,122400.0
2025-07-16,MAXI,50.0,50.0,50.0,50.0,78700.0
2025-07-17,MAXI,50.0,50.0,50.0,50.0,184300.0
2025-07-18,MAXI,50.0,50.0,50.0,50.0,104600.0
2025-07-21,MAXI,50.0,51.0,50.0,50.0,1151600.0
2025-07-22,MAXI,50.0,50.0,50.0,50.0,34300.0
2025-07-23,MAXI,50.0,50.0,50.0,50.0,326200.0
2025-07-24,MAXI,50.0,50.0,50.0,50.0,3200.0
2025-07-25,MAXI,50.0,50.0,50.0,50.0,182900.0
2025-07-28,MAXI,50.0,52.0,50.0,52.0,1013600.0
2025-07-29,MAXI,51.0,51.0,50.0,51.0,1273800.0
2025-07-30,MAXI,50.0,51.0,50.0,50.0,413800.0
2025-07-31,MAXI,50.0,50.0,50.0,50.0,39300.0
2025-08-01,MAXI,50.0,51.0,50.0,51.0,674700.0
2025-08-04,MAXI,51.0,51.0,50.0,50.0,488400.0
2025-08-05,MAXI,50.0,51.0,50.0,50.0,127300.0
2025-08-06,MAXI,50.0,51.0,50.0,51.0,427200.0
2025-08-07,MAXI,51.0,51.0,50.0,50.0,1709200.0
2025-08-08,MAXI,50.0,51.0,50.0,51.0,761300.0
2025-08-11,MAXI,51.0,51.0,50.0,50.0,555700.0
2025-08-12,MAXI,51.0,51.0,50.0,50.0,197800.0
2025-08-13,MAXI,51.0,66.0,51.0,56.0,179036600.0
2025-08-14,MAXI,56.0,61.0,53.0,54.0,50502600.0
2025-08-15,MAXI,54.0,54.0,50.0,50.0,18070600.0
2025-08-19,MAXI,50.0,57.0,50.0,51.0,37544400.0
2025-08-20,MAXI,51.0,52.0,50.0,50.0,28116000.0
2025-08-21,MAXI,50.0,51.0,50.0,51.0,9585400.0
2025-08-22,MAXI,50.0,53.0,50.0,51.0,43111800.0
2025-08-25,MAXI,51.0,51.0,50.0,51.0,5902100.0
2025-08-26,MAXI,51.0,52.0,50.0,51.0,27628100.0
2025-08-27,MAXI,51.0,55.0,50.0,52.0,75314400.0
2025-08-28,MAXI,53.0,58.0,51.0,54.0,159436400.0
2025-08-29,MAXI,55.0,56.0,52.0,54.0,42174300.0
2025-09-01,MAXI,52.0,53.0,52.0,53.0,17210400.0
2025-09-02,MAXI,53.0,57.0,53.0,55.0,112835900.0
2025-09-03,MAXI,55.0,69.0,55.0,60.0,603885300.0
2025-09-04,MAXI,61.0,62.0,58.0,58.0,112307500.0
2025-09-08,MAXI,58.0,64.0,57.0,57.0,144467000.0
2025-09-09,MAXI,58.0,61.0,55.0,57.0,63335200.0
2025-09-10,MAXI,58.0,59.0,56.0,58.0,21890900.0
2025-09-11,MAXI,58.0,59.0,57.0,57.0,26227800.0
2025-09-12,MAXI,58.0,59.0,56.0,57.0,16071800.0
2025-09-15,MAXI,59.0,59.0,57.0,59.0,30516600.0
2025-09-16,MAXI,59.0,61.0,58.0,59.0,35214900.0
2025-09-17,MAXI,60.0,60.0,58.0,58.0,29621200.0
2025-09-18,MAXI,59.0,61.0,57.0,58.0,45336900.0
2025-09-19,MAXI,58.0,60.0,58.0,58.0,21861500.0
2025-09-22,MAXI,58.0,61.0,58.0,60.0,67204600.0
2025-09-23,MAXI,60.0,61.0,59.0,59.0,31431000.0
2025-09-24,MAXI,60.0,60.0,57.0,58.0,23546900.0
2025-09-25,MAXI,58.0,58.0,53.0,56.0,40464800.0
2025-09-26,MAXI,56.0,57.0,55.0,56.0,14876300.0
2025-09-29,MAXI,56.0,56.0,54.0,56.0,13126900.0
2025-09-30,MAXI,56.0,56.0,54.0,54.0,31663700.0
2025-10-01,MAXI,55.0,70.0,54.0,60.0,734231600.0
2025-10-02,MAXI,60.0,61.0,58.0,59.0,45625600.0
2025-10-03,MAXI,59.0,60.0,57.0,58.0,27359200.0
