Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,MDIY,1580.0,1580.0,1570.0,1580.0,34500.0
2025-06-16,MDIY,1570.0,1575.0,1550.0,1565.0,407500.0
2025-06-17,MDIY,1565.0,1565.0,1465.0,1555.0,932900.0
2025-06-18,MDIY,1550.0,1560.0,1525.0,1550.0,548600.0
2025-06-19,MDIY,1550.0,1550.0,1470.0,1470.0,23000.0
2025-06-20,MDIY,1440.0,1470.0,1400.0,1470.0,112000.0
2025-06-23,MDIY,1470.0,1470.0,1400.0,1405.0,5500.0
2025-06-24,MDIY,1400.0,1520.0,1400.0,1500.0,9600.0
2025-06-25,MDIY,1500.0,1500.0,1440.0,1440.0,17600.0
2025-06-26,MDIY,1490.0,1500.0,1430.0,1430.0,209200.0
2025-06-30,MDIY,1430.0,1520.0,1430.0,1480.0,1336800.0
2025-07-01,MDIY,1480.0,1480.0,1400.0,1400.0,10600.0
2025-07-02,MDIY,1405.0,1550.0,1405.0,1495.0,39400.0
2025-07-03,MDIY,1495.0,1525.0,1450.0,1455.0,50700.0
2025-07-04,MDIY,1460.0,1510.0,1450.0,1450.0,140600.0
2025-07-07,MDIY,1515.0,1515.0,1415.0,1415.0,42800.0
2025-07-08,MDIY,1420.0,1475.0,1385.0,1415.0,584100.0
2025-07-09,MDIY,1415.0,1440.0,1390.0,1400.0,3512200.0
2025-07-10,MDIY,1410.0,1435.0,1390.0,1395.0,4740400.0
2025-07-11,MDIY,1395.0,1400.0,1370.0,1380.0,2292400.0
2025-07-14,MDIY,1370.0,1395.0,1350.0,1355.0,299900.0
2025-07-15,MDIY,1350.0,1350.0,1290.0,1290.0,2625000.0
2025-07-16,MDIY,1290.0,1290.0,1225.0,1290.0,1084300.0
2025-07-17,MDIY,1290.0,1300.0,1275.0,1285.0,1295300.0
2025-07-18,MDIY,1300.0,1315.0,1285.0,1300.0,3142400.0
2025-07-21,MDIY,1300.0,1300.0,1280.0,1295.0,792200.0
2025-07-22,MDIY,1295.0,1300.0,1280.0,1285.0,200400.0
2025-07-23,MDIY,1285.0,1350.0,1235.0,1250.0,1182800.0
2025-07-24,MDIY,1245.0,1260.0,1220.0,1245.0,846400.0
2025-07-25,MDIY,1245.0,1250.0,1230.0,1240.0,1939300.0
2025-07-28,MDIY,1240.0,1290.0,1235.0,1265.0,2718900.0
2025-07-29,MDIY,1265.0,1280.0,1250.0,1280.0,1859400.0
2025-07-30,MDIY,1280.0,1280.0,1260.0,1275.0,1882000.0
2025-07-31,MDIY,1275.0,1300.0,1270.0,1275.0,4249400.0
2025-08-01,MDIY,1285.0,1300.0,1275.0,1285.0,2199000.0
2025-08-04,MDIY,1290.0,1290.0,1245.0,1290.0,417800.0
2025-08-05,MDIY,1290.0,1295.0,1240.0,1290.0,2451700.0
2025-08-06,MDIY,1290.0,1290.0,1280.0,1280.0,1531800.0
2025-08-07,MDIY,1285.0,1290.0,1285.0,1290.0,102800.0
2025-08-08,MDIY,1290.0,1305.0,1285.0,1290.0,1318300.0
2025-08-11,MDIY,1290.0,1290.0,1265.0,1280.0,316600.0
2025-08-12,MDIY,1280.0,1280.0,1200.0,1265.0,90500.0
2025-08-13,MDIY,1270.0,1280.0,1260.0,1265.0,358900.0
2025-08-14,MDIY,1265.0,1265.0,1235.0,1240.0,233400.0
2025-08-15,MDIY,1290.0,1290.0,1220.0,1245.0,3518900.0
2025-08-19,MDIY,1280.0,1280.0,1245.0,1260.0,2445300.0
2025-08-20,MDIY,1265.0,1270.0,1245.0,1250.0,415800.0
2025-08-21,MDIY,1270.0,1275.0,1245.0,1255.0,2129700.0
2025-08-22,MDIY,1255.0,1260.0,1235.0,1250.0,2015300.0
2025-08-25,MDIY,1255.0,1265.0,1235.0,1240.0,3379500.0
2025-08-26,MDIY,1245.0,1250.0,1230.0,1235.0,665400.0
2025-08-27,MDIY,1235.0,1245.0,1220.0,1235.0,1684100.0
2025-08-28,MDIY,1235.0,1240.0,1190.0,1190.0,1631700.0
2025-08-29,MDIY,1150.0,1215.0,1100.0,1190.0,9110900.0
2025-09-01,MDIY,1190.0,1190.0,1120.0,1140.0,655800.0
2025-09-02,MDIY,1140.0,1145.0,1080.0,1100.0,7532700.0
2025-09-03,MDIY,1105.0,1120.0,1075.0,1080.0,3041800.0
2025-09-04,MDIY,1080.0,1085.0,1050.0,1060.0,2975100.0
2025-09-08,MDIY,1080.0,1100.0,1055.0,1055.0,3100200.0
2025-09-09,MDIY,1065.0,1065.0,1015.0,1020.0,3418100.0
2025-09-10,MDIY,1035.0,1085.0,1020.0,1025.0,1702000.0
2025-09-11,MDIY,1025.0,1045.0,1025.0,1035.0,6547100.0
2025-09-12,MDIY,1040.0,1120.0,1040.0,1065.0,3230800.0
2025-09-15,MDIY,1070.0,1085.0,1050.0,1070.0,5902400.0
2025-09-16,MDIY,1070.0,1085.0,1065.0,1070.0,1580200.0
2025-09-17,MDIY,1070.0,1100.0,1050.0,1075.0,5449900.0
2025-09-18,MDIY,1075.0,1085.0,1040.0,1065.0,4737100.0
2025-09-19,MDIY,1065.0,1080.0,1050.0,1070.0,2095800.0
2025-09-22,MDIY,1080.0,1080.0,1055.0,1060.0,4386700.0
2025-09-23,MDIY,1075.0,1075.0,1060.0,1065.0,4456000.0
2025-09-24,MDIY,1075.0,1100.0,1065.0,1080.0,4292000.0
2025-09-25,MDIY,1085.0,1130.0,1085.0,1115.0,1666300.0
2025-09-26,MDIY,1115.0,1115.0,1090.0,1095.0,2430600.0
2025-09-29,MDIY,1095.0,1110.0,1085.0,1090.0,749100.0
2025-09-30,MDIY,1090.0,1095.0,1075.0,1080.0,1058700.0
2025-10-01,MDIY,1090.0,1110.0,1075.0,1095.0,1896800.0
2025-10-02,MDIY,1095.0,1115.0,1095.0,1100.0,674100.0
2025-10-03,MDIY,1100.0,1110.0,1080.0,1100.0,833600.0
2025-10-06,MDIY,1105.0,1105.0,1065.0,1070.0,1797200.0
2025-10-07,MDIY,1070.0,1125.0,1070.0,1095.0,1405200.0
2025-10-08,MDIY,1085.0,1145.0,1085.0,1125.0,4252000.0
2025-10-09,MDIY,1135.0,1165.0,1125.0,1125.0,1304900.0
2025-10-10,MDIY,1140.0,1155.0,1100.0,1105.0,1585800.0
2025-10-13,MDIY,1080.0,1105.0,1065.0,1090.0,2049600.0
2025-10-14,MDIY,1095.0,1100.0,1065.0,1085.0,890000.0
2025-10-15,MDIY,1065.0,1085.0,1065.0,1070.0,368500.0
2025-10-16,MDIY,1090.0,1090.0,1065.0,1070.0,491000.0
2025-10-17,MDIY,1060.0,1070.0,1025.0,1050.0,3212500.0
2025-10-20,MDIY,1050.0,1070.0,1045.0,1050.0,263700.0
2025-10-21,MDIY,1050.0,1065.0,1050.0,1060.0,505300.0
2025-10-22,MDIY,1060.0,1060.0,1045.0,1045.0,686500.0
2025-10-23,MDIY,1050.0,1055.0,1045.0,1045.0,554400.0
2025-10-24,MDIY,1045.0,1050.0,1035.0,1040.0,1103400.0
2025-10-27,MDIY,1045.0,1050.0,1035.0,1035.0,2014700.0
2025-10-28,MDIY,1050.0,1070.0,1040.0,1050.0,307100.0
2025-10-29,MDIY,1050.0,1060.0,1040.0,1055.0,449000.0
2025-10-30,MDIY,1055.0,1070.0,1050.0,1060.0,329600.0
2025-10-31,MDIY,1070.0,1145.0,1070.0,1090.0,2144100.0
2025-11-03,MDIY,1090.0,1100.0,1085.0,1090.0,3002400.0
2025-11-04,MDIY,1095.0,1100.0,1090.0,1090.0,1585400.0
2025-11-05,MDIY,1085.0,1095.0,1075.0,1075.0,2361600.0
2025-11-06,MDIY,1075.0,1090.0,1075.0,1085.0,2144200.0
2025-11-07,MDIY,1085.0,1085.0,1070.0,1070.0,1317300.0
2025-11-10,MDIY,1070.0,1075.0,1040.0,1040.0,1157800.0
2025-11-11,MDIY,1045.0,1055.0,1045.0,1050.0,1079200.0
2025-11-12,MDIY,1060.0,1180.0,1055.0,1090.0,3471900.0
2025-11-13,MDIY,1090.0,1090.0,1065.0,1065.0,170400.0
2025-11-14,MDIY,1065.0,1065.0,1035.0,1035.0,1258600.0
2025-11-17,MDIY,1040.0,1075.0,1035.0,1060.0,508900.0
2025-11-18,MDIY,1070.0,1070.0,1050.0,1060.0,250000.0
2025-11-19,MDIY,1060.0,1060.0,1050.0,1060.0,380700.0
2025-11-20,MDIY,1055.0,1060.0,1055.0,1055.0,241800.0
2025-11-21,MDIY,1060.0,1065.0,1055.0,1060.0,3334000.0
2025-11-24,MDIY,1060.0,1070.0,1060.0,1065.0,388200.0
2025-11-25,MDIY,1070.0,1070.0,1055.0,1055.0,1465800.0
2025-11-26,MDIY,1060.0,1065.0,1055.0,1055.0,797200.0
2025-11-27,MDIY,1060.0,1065.0,1055.0,1055.0,175900.0
2025-11-28,MDIY,1055.0,1060.0,1055.0,1060.0,263100.0
2025-12-01,MDIY,1060.0,1065.0,1040.0,1055.0,410200.0
2025-12-02,MDIY,1060.0,1075.0,1050.0,1070.0,1958400.0
2025-12-03,MDIY,1070.0,1075.0,1060.0,1060.0,6197700.0
2025-12-04,MDIY,1065.0,1065.0,1040.0,1050.0,8330900.0
2025-12-05,MDIY,1050.0,1050.0,1035.0,1040.0,815800.0
2025-12-08,MDIY,1060.0,1060.0,1040.0,1060.0,179700.0
2025-12-09,MDIY,1060.0,1060.0,1030.0,1035.0,3054100.0
2025-12-10,MDIY,1040.0,1070.0,1035.0,1060.0,26610100.0
2025-12-11,MDIY,1070.0,1075.0,1040.0,1045.0,894800.0
2025-12-12,MDIY,1050.0,1050.0,1010.0,1015.0,3228200.0
2025-12-15,MDIY,1015.0,1025.0,1015.0,1015.0,297700.0
2025-12-16,MDIY,1020.0,1025.0,1000.0,1005.0,2003700.0
2025-12-17,MDIY,1005.0,1055.0,995.0,1005.0,4131700.0
2025-12-18,MDIY,1010.0,1020.0,995.0,995.0,6209200.0
2025-12-19,MDIY,1010.0,1010.0,990.0,1000.0,900900.0
2025-12-22,MDIY,1000.0,1005.0,985.0,995.0,2569800.0
2025-12-23,MDIY,1000.0,1005.0,990.0,1005.0,1084200.0
2025-12-24,MDIY,1005.0,1020.0,990.0,995.0,827700.0
2025-12-29,MDIY,1005.0,1005.0,995.0,1000.0,863200.0
2025-12-30,MDIY,1000.0,1005.0,995.0,995.0,937800.0
2026-01-02,MDIY,1000.0,1000.0,995.0,1000.0,761700.0
