Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,MDLN,50.0,52.0,50.0,51.0,7546700.0
2025-06-16,MDLN,51.0,51.0,50.0,51.0,10109900.0
2025-06-17,MDLN,51.0,52.0,51.0,52.0,2609400.0
2025-06-18,MDLN,52.0,52.0,51.0,51.0,9041800.0
2025-06-19,MDLN,51.0,52.0,50.0,51.0,12720900.0
2025-06-20,MDLN,51.0,52.0,50.0,51.0,4317800.0
2025-06-23,MDLN,50.0,50.0,50.0,50.0,25944300.0
2025-06-24,MDLN,50.0,50.0,50.0,50.0,10751900.0
2025-06-25,MDLN,50.0,50.0,50.0,50.0,8812600.0
2025-06-26,MDLN,50.0,51.0,50.0,51.0,6756900.0
2025-06-30,MDLN,51.0,51.0,50.0,51.0,3852200.0
2025-07-01,MDLN,50.0,51.0,50.0,50.0,3862600.0
2025-07-02,MDLN,50.0,51.0,50.0,50.0,2613600.0
2025-07-03,MDLN,50.0,51.0,50.0,50.0,1339500.0
2025-07-04,MDLN,51.0,51.0,50.0,50.0,1241900.0
2025-07-07,MDLN,50.0,51.0,50.0,50.0,3443300.0
2025-07-08,MDLN,51.0,51.0,50.0,51.0,918200.0
2025-07-09,MDLN,51.0,51.0,50.0,50.0,2004700.0
2025-07-10,MDLN,50.0,52.0,50.0,51.0,7009600.0
2025-07-11,MDLN,51.0,51.0,50.0,51.0,6355900.0
2025-07-14,MDLN,51.0,51.0,50.0,51.0,3702700.0
2025-07-15,MDLN,50.0,51.0,50.0,51.0,6040300.0
2025-07-16,MDLN,51.0,51.0,50.0,51.0,10952500.0
2025-07-17,MDLN,51.0,51.0,50.0,50.0,3730700.0
2025-07-18,MDLN,50.0,52.0,50.0,51.0,18182300.0
2025-07-21,MDLN,51.0,51.0,50.0,51.0,3401700.0
2025-07-22,MDLN,51.0,51.0,50.0,51.0,1033600.0
2025-07-23,MDLN,51.0,51.0,50.0,51.0,8652200.0
2025-07-24,MDLN,50.0,51.0,50.0,50.0,5257800.0
2025-07-25,MDLN,50.0,51.0,50.0,51.0,2723200.0
2025-07-28,MDLN,51.0,51.0,50.0,50.0,4211500.0
2025-07-29,MDLN,51.0,51.0,50.0,51.0,3777000.0
2025-07-30,MDLN,50.0,52.0,50.0,50.0,9979400.0
2025-07-31,MDLN,50.0,52.0,50.0,50.0,19788900.0
2025-08-01,MDLN,50.0,58.0,50.0,52.0,83840200.0
2025-08-04,MDLN,53.0,61.0,52.0,57.0,226303100.0
2025-08-05,MDLN,57.0,58.0,53.0,54.0,43824200.0
2025-08-06,MDLN,54.0,55.0,52.0,54.0,22674700.0
2025-08-07,MDLN,54.0,54.0,52.0,52.0,23263200.0
2025-08-08,MDLN,52.0,55.0,51.0,53.0,94907700.0
2025-08-11,MDLN,53.0,62.0,53.0,61.0,180331200.0
2025-08-12,MDLN,61.0,62.0,56.0,57.0,88127000.0
2025-08-13,MDLN,57.0,59.0,55.0,57.0,54250400.0
2025-08-14,MDLN,57.0,58.0,55.0,55.0,67146700.0
2025-08-15,MDLN,56.0,66.0,54.0,58.0,273373600.0
2025-08-19,MDLN,58.0,62.0,58.0,61.0,107518500.0
2025-08-20,MDLN,61.0,72.0,61.0,67.0,359506200.0
2025-08-21,MDLN,69.0,71.0,63.0,66.0,113508800.0
2025-08-22,MDLN,68.0,70.0,63.0,67.0,140546500.0
2025-08-25,MDLN,69.0,79.0,68.0,76.0,330574600.0
2025-08-26,MDLN,77.0,84.0,71.0,73.0,213531200.0
2025-08-27,MDLN,73.0,79.0,70.0,77.0,111366600.0
2025-08-28,MDLN,78.0,80.0,74.0,76.0,88541100.0
2025-08-29,MDLN,76.0,76.0,67.0,71.0,97374200.0
2025-09-01,MDLN,61.0,70.0,61.0,67.0,84783600.0
2025-09-02,MDLN,68.0,74.0,68.0,72.0,84481500.0
2025-09-03,MDLN,72.0,73.0,70.0,70.0,32482700.0
2025-09-04,MDLN,70.0,75.0,67.0,69.0,100084600.0
2025-09-08,MDLN,70.0,73.0,66.0,66.0,52845500.0
2025-09-09,MDLN,66.0,69.0,64.0,66.0,25602400.0
2025-09-10,MDLN,66.0,71.0,66.0,70.0,46980400.0
