Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,MEDS,50.0,50.0,50.0,50.0,1700.0
2025-06-16,MEDS,50.0,50.0,50.0,50.0,28600.0
2025-06-17,MEDS,50.0,50.0,50.0,50.0,3900.0
2025-06-18,MEDS,50.0,50.0,50.0,50.0,808800.0
2025-06-19,MEDS,50.0,50.0,50.0,50.0,19900.0
2025-06-20,MEDS,50.0,50.0,50.0,50.0,20300.0
2025-06-23,MEDS,50.0,50.0,50.0,50.0,1000.0
2025-06-24,MEDS,50.0,50.0,50.0,50.0,1600.0
2025-06-25,MEDS,50.0,50.0,50.0,50.0,700.0
2025-06-26,MEDS,50.0,50.0,50.0,50.0,2500.0
2025-06-30,MEDS,50.0,50.0,50.0,50.0,2600.0
2025-07-01,MEDS,50.0,50.0,50.0,50.0,7800.0
2025-07-02,MEDS,50.0,50.0,50.0,50.0,1000.0
2025-07-03,MEDS,50.0,50.0,50.0,50.0,5700.0
2025-07-04,MEDS,50.0,50.0,50.0,50.0,3100.0
2025-07-07,MEDS,50.0,50.0,50.0,50.0,2300.0
2025-07-08,MEDS,50.0,50.0,50.0,50.0,3300.0
2025-07-09,MEDS,50.0,50.0,50.0,50.0,3300.0
2025-07-10,MEDS,50.0,50.0,50.0,50.0,2700.0
2025-07-11,MEDS,50.0,50.0,50.0,50.0,2600.0
2025-07-14,MEDS,50.0,50.0,50.0,50.0,2300.0
2025-07-15,MEDS,50.0,50.0,50.0,50.0,3000.0
2025-07-16,MEDS,50.0,50.0,50.0,50.0,20900.0
2025-07-17,MEDS,50.0,50.0,50.0,50.0,35000.0
2025-07-18,MEDS,50.0,50.0,50.0,50.0,4300.0
2025-07-21,MEDS,50.0,50.0,50.0,50.0,2500.0
2025-07-22,MEDS,50.0,50.0,50.0,50.0,2600.0
2025-07-23,MEDS,50.0,50.0,50.0,50.0,16000.0
2025-07-24,MEDS,50.0,50.0,50.0,50.0,1300.0
2025-07-25,MEDS,50.0,50.0,50.0,50.0,3500.0
2025-07-28,MEDS,50.0,50.0,50.0,50.0,49300.0
2025-07-29,MEDS,50.0,50.0,50.0,50.0,4300.0
2025-07-30,MEDS,50.0,50.0,50.0,50.0,142500.0
2025-07-31,MEDS,50.0,50.0,50.0,50.0,8500.0
2025-08-01,MEDS,50.0,50.0,50.0,50.0,83000.0
2025-08-04,MEDS,50.0,50.0,50.0,50.0,2452800.0
2025-08-05,MEDS,50.0,50.0,50.0,50.0,6900.0
2025-08-06,MEDS,50.0,50.0,50.0,50.0,21600.0
2025-08-07,MEDS,50.0,50.0,50.0,50.0,35900.0
2025-08-08,MEDS,50.0,50.0,50.0,50.0,35000.0
2025-08-11,MEDS,50.0,50.0,50.0,50.0,18100.0
2025-08-12,MEDS,50.0,50.0,50.0,50.0,58800.0
2025-08-13,MEDS,50.0,56.0,50.0,51.0,136297800.0
2025-08-14,MEDS,51.0,62.0,50.0,54.0,299556600.0
2025-08-15,MEDS,54.0,55.0,51.0,52.0,34929200.0
2025-08-19,MEDS,52.0,53.0,50.0,51.0,20125100.0
2025-08-20,MEDS,51.0,51.0,50.0,50.0,20660000.0
2025-08-21,MEDS,50.0,50.0,50.0,50.0,981800.0
2025-08-22,MEDS,50.0,54.0,50.0,50.0,57396400.0
2025-08-25,MEDS,51.0,52.0,50.0,50.0,15012400.0
2025-08-26,MEDS,50.0,53.0,50.0,51.0,24155800.0
2025-08-27,MEDS,51.0,56.0,50.0,53.0,56425200.0
2025-08-28,MEDS,53.0,61.0,52.0,56.0,167891500.0
2025-08-29,MEDS,58.0,58.0,53.0,54.0,31740500.0
2025-09-01,MEDS,53.0,54.0,51.0,52.0,24031700.0
2025-09-02,MEDS,53.0,58.0,53.0,56.0,55576300.0
2025-09-03,MEDS,56.0,75.0,55.0,75.0,345546300.0
2025-09-04,MEDS,85.0,93.0,66.0,67.0,467735900.0
2025-09-08,MEDS,68.0,81.0,64.0,70.0,233203900.0
2025-09-09,MEDS,71.0,72.0,63.0,65.0,44960100.0
2025-09-10,MEDS,65.0,71.0,63.0,67.0,53086400.0
2025-09-11,MEDS,67.0,71.0,64.0,67.0,44220400.0
2025-09-12,MEDS,68.0,74.0,65.0,71.0,112628400.0
2025-09-15,MEDS,72.0,77.0,69.0,71.0,97101800.0
2025-09-16,MEDS,71.0,72.0,68.0,70.0,33434300.0
2025-09-17,MEDS,71.0,72.0,67.0,68.0,32526200.0
2025-09-18,MEDS,67.0,71.0,67.0,68.0,26281700.0
2025-09-19,MEDS,69.0,70.0,66.0,66.0,17054800.0
2025-09-22,MEDS,67.0,69.0,66.0,68.0,17326500.0
2025-09-23,MEDS,68.0,68.0,66.0,67.0,19030600.0
2025-09-24,MEDS,67.0,68.0,64.0,65.0,21818800.0
2025-09-25,MEDS,65.0,66.0,58.0,62.0,28657000.0
