Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,MENN,48.0,52.0,45.0,47.0,56081400.0
2025-06-16,MENN,46.0,47.0,44.0,44.0,13571300.0
2025-06-17,MENN,44.0,45.0,44.0,44.0,5752500.0
2025-06-18,MENN,44.0,45.0,44.0,44.0,3001400.0
2025-06-19,MENN,44.0,46.0,43.0,44.0,11792000.0
2025-06-20,MENN,44.0,45.0,43.0,44.0,9959200.0
2025-06-23,MENN,43.0,45.0,43.0,44.0,10354800.0
2025-06-24,MENN,43.0,45.0,43.0,45.0,2426400.0
2025-06-25,MENN,45.0,46.0,44.0,46.0,5256100.0
2025-06-26,MENN,47.0,47.0,45.0,45.0,1893000.0
2025-06-30,MENN,45.0,45.0,43.0,45.0,8620500.0
2025-07-01,MENN,43.0,45.0,43.0,44.0,2989200.0
2025-07-02,MENN,44.0,45.0,43.0,44.0,15933900.0
2025-07-03,MENN,44.0,45.0,43.0,44.0,15618900.0
2025-07-04,MENN,44.0,46.0,43.0,45.0,4697900.0
2025-07-07,MENN,45.0,45.0,44.0,44.0,2011700.0
2025-07-08,MENN,44.0,45.0,43.0,45.0,6014400.0
2025-07-09,MENN,44.0,45.0,44.0,44.0,6889700.0
2025-07-10,MENN,44.0,46.0,44.0,46.0,7708700.0
2025-07-11,MENN,46.0,46.0,45.0,45.0,1372200.0
2025-07-14,MENN,45.0,46.0,44.0,46.0,3722200.0
2025-07-15,MENN,45.0,46.0,44.0,45.0,8661600.0
2025-07-16,MENN,45.0,46.0,44.0,46.0,7008100.0
2025-07-17,MENN,46.0,47.0,44.0,46.0,13144700.0
2025-07-18,MENN,46.0,46.0,44.0,45.0,9618000.0
2025-07-21,MENN,45.0,47.0,44.0,46.0,19649000.0
2025-07-22,MENN,46.0,47.0,45.0,46.0,11528400.0
2025-07-23,MENN,46.0,48.0,46.0,46.0,9793200.0
2025-07-24,MENN,47.0,48.0,46.0,47.0,6616400.0
2025-07-25,MENN,47.0,47.0,46.0,46.0,9742700.0
2025-07-28,MENN,47.0,50.0,46.0,48.0,36909300.0
2025-07-29,MENN,48.0,51.0,46.0,47.0,41645800.0
2025-07-30,MENN,47.0,47.0,46.0,47.0,14042200.0
2025-07-31,MENN,46.0,47.0,45.0,46.0,10890000.0
2025-08-01,MENN,46.0,46.0,43.0,46.0,27367500.0
2025-08-04,MENN,46.0,47.0,44.0,46.0,26244200.0
2025-08-05,MENN,46.0,48.0,45.0,46.0,14625400.0
2025-08-06,MENN,47.0,50.0,46.0,49.0,91866100.0
2025-08-07,MENN,50.0,53.0,48.0,50.0,51409700.0
2025-08-08,MENN,50.0,50.0,45.0,46.0,49557600.0
2025-08-11,MENN,47.0,47.0,45.0,45.0,13493800.0
2025-08-12,MENN,45.0,46.0,44.0,46.0,13195600.0
2025-08-13,MENN,45.0,46.0,45.0,46.0,13489500.0
2025-08-14,MENN,45.0,49.0,44.0,46.0,31118900.0
2025-08-15,MENN,46.0,48.0,45.0,45.0,9875800.0
2025-08-19,MENN,46.0,46.0,45.0,46.0,5991800.0
2025-08-20,MENN,46.0,46.0,45.0,46.0,6388000.0
2025-08-21,MENN,45.0,46.0,45.0,45.0,10376100.0
2025-08-22,MENN,46.0,46.0,45.0,45.0,8661800.0
2025-08-25,MENN,46.0,49.0,45.0,49.0,51986400.0
2025-08-26,MENN,53.0,53.0,51.0,53.0,8346300.0
2025-08-27,MENN,58.0,58.0,58.0,58.0,12392200.0
2025-08-28,MENN,63.0,63.0,63.0,63.0,13902800.0
2025-08-29,MENN,69.0,69.0,57.0,69.0,133745100.0
2025-09-01,MENN,75.0,75.0,63.0,69.0,121059800.0
2025-09-02,MENN,72.0,73.0,63.0,63.0,141003800.0
2025-09-03,MENN,63.0,64.0,57.0,57.0,132536800.0
2025-09-04,MENN,56.0,57.0,52.0,53.0,122739700.0
2025-09-08,MENN,52.0,58.0,52.0,54.0,90718600.0
2025-09-09,MENN,54.0,59.0,53.0,59.0,73368200.0
2025-09-10,MENN,64.0,64.0,57.0,64.0,78556200.0
2025-09-11,MENN,69.0,69.0,60.0,64.0,59499100.0
2025-09-12,MENN,61.0,66.0,60.0,63.0,33952500.0
2025-09-15,MENN,64.0,64.0,59.0,61.0,29563300.0
2025-09-16,MENN,61.0,63.0,59.0,60.0,21347600.0
2025-09-17,MENN,59.0,61.0,58.0,60.0,19961600.0
2025-09-18,MENN,60.0,66.0,59.0,66.0,78734200.0
2025-09-19,MENN,66.0,72.0,65.0,72.0,124784500.0
2025-09-22,MENN,79.0,79.0,67.0,69.0,159569700.0
2025-09-23,MENN,69.0,72.0,64.0,65.0,109794000.0
2025-09-24,MENN,65.0,66.0,61.0,62.0,46179300.0
2025-09-25,MENN,62.0,62.0,56.0,59.0,58820200.0
2025-09-26,MENN,60.0,62.0,56.0,57.0,34782800.0
2025-09-29,MENN,58.0,62.0,56.0,59.0,48551300.0
2025-09-30,MENN,60.0,60.0,57.0,57.0,32880100.0
2025-10-01,MENN,57.0,58.0,55.0,57.0,29173200.0
2025-10-02,MENN,58.0,58.0,52.0,54.0,59690500.0
2025-10-03,MENN,54.0,58.0,51.0,57.0,39334200.0
2025-10-06,MENN,57.0,60.0,52.0,54.0,80361500.0
2025-10-07,MENN,53.0,54.0,50.0,50.0,45872600.0
2025-10-08,MENN,50.0,55.0,45.0,55.0,99043000.0
2025-10-09,MENN,60.0,60.0,55.0,60.0,70465600.0
2025-10-10,MENN,61.0,66.0,55.0,60.0,89496400.0
2025-10-13,MENN,59.0,60.0,55.0,55.0,47817600.0
2025-10-14,MENN,56.0,58.0,52.0,54.0,24359700.0
2025-10-15,MENN,54.0,54.0,50.0,52.0,22122100.0
2025-10-16,MENN,53.0,54.0,50.0,52.0,12376800.0
2025-10-17,MENN,52.0,54.0,50.0,50.0,15784700.0
2025-10-20,MENN,50.0,54.0,50.0,52.0,11916700.0
2025-10-21,MENN,52.0,54.0,50.0,52.0,13068500.0
2025-10-22,MENN,52.0,54.0,51.0,52.0,8771900.0
2025-10-23,MENN,53.0,53.0,51.0,53.0,10754700.0
2025-10-24,MENN,53.0,55.0,52.0,54.0,14543800.0
2025-10-27,MENN,52.0,59.0,51.0,53.0,24754600.0
2025-10-28,MENN,53.0,54.0,52.0,53.0,5178500.0
2025-10-29,MENN,53.0,53.0,53.0,53.0,0.0
2025-10-30,MENN,53.0,53.0,53.0,53.0,0.0
2025-10-31,MENN,53.0,53.0,53.0,53.0,0.0
2025-11-03,MENN,53.0,53.0,53.0,53.0,0.0
2025-11-04,MENN,53.0,53.0,53.0,53.0,0.0
2025-11-05,MENN,53.0,53.0,53.0,53.0,0.0
2025-11-06,MENN,53.0,53.0,53.0,53.0,0.0
2025-11-07,MENN,53.0,53.0,53.0,53.0,0.0
2025-11-10,MENN,53.0,53.0,53.0,53.0,0.0
2025-11-11,MENN,53.0,53.0,53.0,53.0,0.0
2025-11-12,MENN,53.0,53.0,53.0,53.0,0.0
2025-11-13,MENN,53.0,53.0,53.0,53.0,0.0
2025-11-14,MENN,53.0,53.0,53.0,53.0,0.0
2025-11-17,MENN,53.0,53.0,53.0,53.0,0.0
2025-11-18,MENN,53.0,53.0,53.0,53.0,0.0
2025-11-19,MENN,53.0,53.0,53.0,53.0,0.0
2025-11-20,MENN,53.0,53.0,53.0,53.0,0.0
2025-11-21,MENN,53.0,53.0,53.0,53.0,0.0
2025-11-24,MENN,53.0,53.0,53.0,53.0,0.0
2025-11-25,MENN,53.0,53.0,53.0,53.0,0.0
2025-11-26,MENN,53.0,53.0,53.0,53.0,0.0
2025-11-27,MENN,53.0,53.0,53.0,53.0,0.0
2025-11-28,MENN,53.0,53.0,53.0,53.0,0.0
2025-12-01,MENN,53.0,53.0,53.0,53.0,0.0
2025-12-02,MENN,53.0,53.0,53.0,53.0,0.0
2025-12-03,MENN,53.0,53.0,53.0,53.0,0.0
2025-12-04,MENN,53.0,53.0,53.0,53.0,0.0
2025-12-05,MENN,53.0,53.0,53.0,53.0,0.0
2025-12-08,MENN,53.0,53.0,53.0,53.0,0.0
2025-12-09,MENN,53.0,53.0,53.0,53.0,0.0
2025-12-10,MENN,53.0,53.0,53.0,53.0,0.0
2025-12-11,MENN,53.0,53.0,53.0,53.0,0.0
2025-12-12,MENN,53.0,53.0,53.0,53.0,0.0
2025-12-15,MENN,53.0,53.0,53.0,53.0,0.0
2025-12-16,MENN,53.0,53.0,53.0,53.0,0.0
2025-12-17,MENN,53.0,53.0,53.0,53.0,0.0
2025-12-18,MENN,53.0,53.0,53.0,53.0,0.0
2025-12-19,MENN,53.0,53.0,53.0,53.0,0.0
2025-12-22,MENN,53.0,53.0,53.0,53.0,0.0
2025-12-23,MENN,53.0,53.0,53.0,53.0,0.0
2025-12-24,MENN,53.0,53.0,53.0,53.0,0.0
2025-12-29,MENN,53.0,53.0,53.0,53.0,0.0
2025-12-30,MENN,53.0,53.0,53.0,53.0,0.0
2026-01-02,MENN,53.0,53.0,53.0,53.0,0.0
2026-01-05,MENN,53.0,53.0,53.0,53.0,0.0
2026-01-06,MENN,53.0,53.0,53.0,53.0,0.0
2026-01-07,MENN,53.0,53.0,53.0,53.0,0.0
2026-01-08,MENN,53.0,53.0,53.0,53.0,0.0
2026-01-09,MENN,53.0,53.0,53.0,53.0,0.0
2026-01-12,MENN,53.0,53.0,53.0,53.0,0.0
2026-01-13,MENN,53.0,53.0,53.0,53.0,0.0
2026-01-14,MENN,53.0,53.0,53.0,53.0,0.0
2026-01-15,MENN,53.0,53.0,53.0,53.0,0.0
2026-01-19,MENN,53.0,53.0,53.0,53.0,0.0
2026-01-20,MENN,53.0,53.0,53.0,53.0,0.0
2026-01-21,MENN,53.0,53.0,53.0,53.0,0.0
2026-01-22,MENN,53.0,53.0,53.0,53.0,0.0
2026-01-23,MENN,53.0,53.0,53.0,53.0,0.0
2026-01-26,MENN,53.0,53.0,53.0,53.0,0.0
2026-01-27,MENN,53.0,53.0,53.0,53.0,0.0
2026-01-28,MENN,53.0,53.0,53.0,53.0,0.0
