Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,MGNA,29.0,29.0,29.0,29.0,177100.0
2025-06-16,MGNA,29.0,29.0,29.0,29.0,20000.0
2025-06-17,MGNA,30.0,30.0,29.0,29.0,115100.0
2025-06-18,MGNA,29.0,29.0,29.0,29.0,69600.0
2025-06-19,MGNA,27.0,30.0,27.0,30.0,157500.0
2025-06-20,MGNA,30.0,30.0,30.0,30.0,1800.0
2025-06-23,MGNA,30.0,30.0,30.0,30.0,0.0
2025-06-24,MGNA,29.0,32.0,29.0,32.0,338200.0
2025-06-25,MGNA,32.0,32.0,32.0,32.0,3000.0
2025-06-26,MGNA,32.0,35.0,32.0,35.0,244300.0
2025-06-30,MGNA,33.0,34.0,33.0,34.0,1400.0
2025-07-01,MGNA,34.0,34.0,34.0,34.0,16000.0
2025-07-02,MGNA,34.0,34.0,33.0,33.0,26000.0
2025-07-03,MGNA,33.0,33.0,32.0,32.0,2500.0
2025-07-04,MGNA,31.0,34.0,31.0,31.0,1049700.0
2025-07-07,MGNA,31.0,31.0,30.0,30.0,43500.0
2025-07-08,MGNA,30.0,30.0,30.0,30.0,1300.0
2025-07-09,MGNA,30.0,30.0,30.0,30.0,0.0
2025-07-10,MGNA,30.0,30.0,30.0,30.0,369000.0
2025-07-11,MGNA,30.0,30.0,30.0,30.0,300.0
2025-07-14,MGNA,29.0,30.0,29.0,30.0,26200.0
2025-07-15,MGNA,30.0,33.0,30.0,33.0,312500.0
2025-07-16,MGNA,33.0,33.0,33.0,33.0,9400.0
2025-07-17,MGNA,30.0,31.0,30.0,31.0,35800.0
2025-07-18,MGNA,30.0,30.0,30.0,30.0,187000.0
2025-07-21,MGNA,30.0,33.0,30.0,33.0,27500.0
2025-07-22,MGNA,33.0,33.0,32.0,32.0,118100.0
2025-07-23,MGNA,32.0,32.0,31.0,31.0,525100.0
2025-07-24,MGNA,31.0,31.0,31.0,31.0,800.0
2025-07-25,MGNA,31.0,33.0,31.0,33.0,44500.0
2025-07-28,MGNA,32.0,32.0,32.0,32.0,173000.0
2025-07-29,MGNA,35.0,35.0,32.0,33.0,322300.0
2025-07-30,MGNA,33.0,33.0,33.0,33.0,304600.0
2025-07-31,MGNA,36.0,36.0,35.0,35.0,219400.0
2025-08-01,MGNA,38.0,38.0,38.0,38.0,616600.0
2025-08-04,MGNA,41.0,41.0,41.0,41.0,1094000.0
2025-08-05,MGNA,45.0,45.0,45.0,45.0,1124500.0
2025-08-06,MGNA,41.0,41.0,41.0,41.0,386500.0
2025-08-07,MGNA,37.0,37.0,37.0,37.0,226600.0
2025-08-08,MGNA,34.0,34.0,34.0,34.0,684000.0
2025-08-11,MGNA,31.0,31.0,31.0,31.0,886000.0
