Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,MGRO,705.0,710.0,690.0,705.0,5019000.0
2025-06-16,MGRO,705.0,705.0,700.0,705.0,5844900.0
2025-06-17,MGRO,705.0,730.0,700.0,730.0,5702800.0
2025-06-18,MGRO,730.0,750.0,690.0,695.0,8041300.0
2025-06-19,MGRO,695.0,695.0,670.0,675.0,3311900.0
2025-06-20,MGRO,670.0,690.0,655.0,690.0,5869700.0
2025-06-23,MGRO,690.0,700.0,665.0,700.0,4554400.0
2025-06-24,MGRO,700.0,700.0,675.0,695.0,4518900.0
2025-06-25,MGRO,690.0,695.0,670.0,695.0,4242600.0
2025-06-26,MGRO,695.0,700.0,680.0,695.0,4893700.0
2025-06-30,MGRO,695.0,710.0,685.0,710.0,6466500.0
2025-07-01,MGRO,710.0,715.0,705.0,715.0,5158000.0
2025-07-02,MGRO,715.0,715.0,700.0,715.0,5232300.0
2025-07-03,MGRO,715.0,725.0,710.0,715.0,5739900.0
2025-07-04,MGRO,725.0,735.0,710.0,735.0,4804100.0
2025-07-07,MGRO,735.0,735.0,715.0,725.0,4826500.0
2025-07-08,MGRO,720.0,725.0,700.0,705.0,5565500.0
2025-07-09,MGRO,700.0,710.0,690.0,695.0,5758800.0
2025-07-10,MGRO,695.0,740.0,695.0,725.0,6061600.0
2025-07-11,MGRO,720.0,735.0,705.0,710.0,5929300.0
2025-07-14,MGRO,710.0,720.0,695.0,710.0,5720200.0
2025-07-15,MGRO,710.0,720.0,705.0,710.0,6275500.0
2025-07-16,MGRO,715.0,715.0,695.0,705.0,3839100.0
2025-07-17,MGRO,705.0,715.0,695.0,715.0,4792100.0
2025-07-18,MGRO,715.0,715.0,705.0,710.0,4697500.0
2025-07-21,MGRO,710.0,715.0,695.0,700.0,4410300.0
2025-07-22,MGRO,695.0,705.0,680.0,700.0,5365200.0
2025-07-23,MGRO,695.0,715.0,680.0,715.0,5786100.0
2025-07-24,MGRO,710.0,720.0,700.0,715.0,5164200.0
2025-07-25,MGRO,715.0,725.0,695.0,705.0,4754900.0
2025-07-28,MGRO,700.0,710.0,695.0,710.0,5344600.0
2025-07-29,MGRO,705.0,735.0,705.0,735.0,5876200.0
2025-07-30,MGRO,735.0,740.0,715.0,720.0,6895900.0
2025-07-31,MGRO,720.0,730.0,705.0,710.0,4641300.0
2025-08-01,MGRO,705.0,720.0,700.0,720.0,5210600.0
2025-08-04,MGRO,720.0,730.0,710.0,730.0,6181400.0
2025-08-05,MGRO,730.0,755.0,715.0,730.0,5319500.0
2025-08-06,MGRO,725.0,730.0,705.0,715.0,4376900.0
2025-08-07,MGRO,715.0,720.0,700.0,715.0,5120200.0
2025-08-08,MGRO,710.0,715.0,705.0,715.0,5296200.0
