Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,MKAP,250.0,250.0,240.0,246.0,1037400.0
2025-06-16,MKAP,246.0,250.0,238.0,242.0,802300.0
2025-06-17,MKAP,242.0,244.0,240.0,244.0,190500.0
2025-06-18,MKAP,244.0,304.0,244.0,304.0,5692900.0
2025-06-19,MKAP,344.0,344.0,288.0,288.0,6970200.0
2025-06-20,MKAP,292.0,320.0,290.0,306.0,1067200.0
2025-06-23,MKAP,306.0,322.0,302.0,316.0,1897200.0
2025-06-24,MKAP,318.0,340.0,316.0,326.0,2225500.0
2025-06-25,MKAP,330.0,340.0,326.0,330.0,957900.0
2025-06-26,MKAP,330.0,364.0,330.0,346.0,2222900.0
2025-06-30,MKAP,346.0,354.0,338.0,342.0,546300.0
2025-07-01,MKAP,342.0,344.0,334.0,342.0,137600.0
2025-07-02,MKAP,342.0,344.0,328.0,328.0,305400.0
2025-07-03,MKAP,326.0,326.0,318.0,320.0,398700.0
2025-07-04,MKAP,320.0,322.0,320.0,320.0,73700.0
2025-07-07,MKAP,322.0,324.0,318.0,324.0,533100.0
2025-07-08,MKAP,322.0,328.0,322.0,328.0,58500.0
2025-07-09,MKAP,326.0,330.0,324.0,328.0,179100.0
2025-07-10,MKAP,328.0,328.0,324.0,328.0,213800.0
2025-07-11,MKAP,328.0,330.0,326.0,330.0,51400.0
2025-07-14,MKAP,330.0,330.0,328.0,328.0,66700.0
2025-07-15,MKAP,330.0,332.0,328.0,332.0,146100.0
2025-07-16,MKAP,330.0,334.0,330.0,330.0,187400.0
2025-07-17,MKAP,332.0,332.0,330.0,332.0,139000.0
2025-07-18,MKAP,332.0,332.0,330.0,330.0,25500.0
2025-07-21,MKAP,330.0,332.0,326.0,332.0,370400.0
2025-07-22,MKAP,332.0,334.0,328.0,332.0,670900.0
2025-07-23,MKAP,330.0,340.0,330.0,340.0,328800.0
2025-07-24,MKAP,342.0,360.0,340.0,352.0,1787700.0
2025-07-25,MKAP,352.0,356.0,350.0,354.0,426800.0
2025-07-28,MKAP,354.0,360.0,354.0,354.0,317100.0
2025-07-29,MKAP,352.0,354.0,350.0,354.0,202000.0
2025-07-30,MKAP,352.0,354.0,348.0,348.0,309400.0
2025-07-31,MKAP,348.0,348.0,346.0,346.0,76500.0
2025-08-01,MKAP,346.0,350.0,346.0,348.0,153700.0
2025-08-04,MKAP,348.0,350.0,344.0,350.0,282200.0
2025-08-05,MKAP,350.0,350.0,348.0,350.0,144200.0
2025-08-06,MKAP,350.0,350.0,348.0,350.0,148100.0
2025-08-07,MKAP,350.0,350.0,348.0,348.0,131900.0
2025-08-08,MKAP,348.0,350.0,346.0,350.0,103900.0
2025-08-11,MKAP,350.0,350.0,348.0,348.0,97800.0
2025-08-12,MKAP,346.0,348.0,338.0,344.0,706400.0
2025-08-13,MKAP,344.0,372.0,344.0,366.0,1578800.0
2025-08-14,MKAP,366.0,366.0,358.0,360.0,1064600.0
2025-08-15,MKAP,360.0,364.0,358.0,360.0,169500.0
2025-08-19,MKAP,358.0,360.0,358.0,358.0,70300.0
2025-08-20,MKAP,360.0,372.0,352.0,356.0,1368700.0
2025-08-21,MKAP,356.0,360.0,356.0,358.0,272100.0
2025-08-22,MKAP,358.0,360.0,358.0,360.0,70600.0
