Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,MLIA,282.0,282.0,278.0,280.0,1618700.0
2025-06-16,MLIA,280.0,282.0,278.0,280.0,2180300.0
2025-06-17,MLIA,280.0,282.0,278.0,282.0,2266500.0
2025-06-18,MLIA,282.0,284.0,280.0,282.0,1966600.0
2025-06-19,MLIA,282.0,284.0,278.0,278.0,2705200.0
2025-06-20,MLIA,280.0,284.0,280.0,282.0,3656400.0
2025-06-23,MLIA,282.0,282.0,278.0,280.0,3437600.0
2025-06-24,MLIA,280.0,288.0,280.0,286.0,3719100.0
2025-06-25,MLIA,286.0,286.0,284.0,284.0,2382400.0
2025-06-26,MLIA,284.0,292.0,284.0,292.0,4881900.0
2025-06-30,MLIA,292.0,294.0,288.0,290.0,3914100.0
2025-07-01,MLIA,292.0,294.0,288.0,290.0,3975000.0
2025-07-02,MLIA,290.0,294.0,284.0,284.0,3929400.0
2025-07-03,MLIA,284.0,292.0,284.0,292.0,5955200.0
2025-07-04,MLIA,292.0,292.0,288.0,288.0,2624800.0
2025-07-07,MLIA,290.0,292.0,286.0,288.0,3228400.0
2025-07-08,MLIA,290.0,290.0,286.0,288.0,3132600.0
2025-07-09,MLIA,290.0,294.0,286.0,294.0,7211600.0
2025-07-10,MLIA,294.0,302.0,294.0,302.0,5843300.0
2025-07-11,MLIA,302.0,308.0,300.0,308.0,5120700.0
2025-07-14,MLIA,308.0,314.0,306.0,312.0,4312500.0
2025-07-15,MLIA,312.0,318.0,308.0,310.0,4788400.0
2025-07-16,MLIA,310.0,322.0,310.0,322.0,6617100.0
2025-07-17,MLIA,322.0,324.0,316.0,320.0,4428000.0
2025-07-18,MLIA,320.0,320.0,314.0,320.0,4201700.0
2025-07-21,MLIA,320.0,340.0,316.0,338.0,8830700.0
2025-07-22,MLIA,338.0,340.0,332.0,336.0,4890100.0
2025-07-23,MLIA,336.0,342.0,336.0,340.0,5080400.0
2025-07-24,MLIA,340.0,344.0,336.0,340.0,4533600.0
2025-07-25,MLIA,340.0,342.0,336.0,338.0,4244000.0
2025-07-28,MLIA,338.0,340.0,328.0,334.0,3174200.0
2025-07-29,MLIA,334.0,336.0,320.0,320.0,6906500.0
2025-07-30,MLIA,322.0,330.0,320.0,328.0,6148800.0
2025-07-31,MLIA,330.0,332.0,322.0,324.0,4722600.0
2025-08-01,MLIA,324.0,324.0,318.0,324.0,4429000.0
2025-08-04,MLIA,324.0,326.0,320.0,324.0,4155300.0
2025-08-05,MLIA,324.0,326.0,322.0,324.0,3470500.0
2025-08-06,MLIA,324.0,328.0,322.0,326.0,4311500.0
2025-08-07,MLIA,326.0,328.0,322.0,324.0,3700000.0
2025-08-08,MLIA,324.0,326.0,318.0,322.0,3750300.0
2025-08-11,MLIA,324.0,326.0,320.0,324.0,3976900.0
2025-08-12,MLIA,324.0,326.0,318.0,326.0,4388200.0
2025-08-13,MLIA,326.0,328.0,322.0,328.0,4677200.0
2025-08-14,MLIA,328.0,338.0,326.0,338.0,4860000.0
2025-08-15,MLIA,338.0,340.0,334.0,336.0,4442900.0
2025-08-19,MLIA,336.0,338.0,330.0,338.0,4677800.0
2025-08-20,MLIA,338.0,340.0,334.0,336.0,3914900.0
2025-08-21,MLIA,338.0,344.0,336.0,342.0,5705900.0
2025-08-22,MLIA,342.0,342.0,338.0,340.0,3375100.0
2025-08-25,MLIA,340.0,348.0,340.0,346.0,5126900.0
2025-08-26,MLIA,346.0,350.0,344.0,346.0,4024500.0
2025-08-27,MLIA,346.0,348.0,346.0,346.0,3538400.0
2025-08-28,MLIA,348.0,356.0,346.0,354.0,5836800.0
2025-08-29,MLIA,354.0,354.0,348.0,350.0,4243200.0
2025-09-01,MLIA,348.0,352.0,342.0,350.0,4749200.0
2025-09-02,MLIA,350.0,364.0,350.0,362.0,7087600.0
2025-09-03,MLIA,362.0,362.0,356.0,360.0,4020500.0
2025-09-04,MLIA,362.0,362.0,356.0,360.0,3721600.0
2025-09-08,MLIA,360.0,362.0,358.0,360.0,3862100.0
2025-09-09,MLIA,362.0,362.0,348.0,350.0,4086800.0
2025-09-10,MLIA,352.0,354.0,350.0,352.0,3242300.0
2025-09-11,MLIA,352.0,352.0,348.0,352.0,3060300.0
2025-09-12,MLIA,352.0,352.0,350.0,350.0,3270300.0
2025-09-15,MLIA,352.0,354.0,350.0,352.0,3636200.0
2025-09-16,MLIA,352.0,352.0,350.0,350.0,2897500.0
2025-09-17,MLIA,350.0,352.0,350.0,350.0,2925600.0
2025-09-18,MLIA,350.0,352.0,348.0,350.0,2861100.0
2025-09-19,MLIA,350.0,352.0,344.0,352.0,3585500.0
2025-09-22,MLIA,352.0,352.0,348.0,348.0,3021300.0
2025-09-23,MLIA,350.0,352.0,348.0,350.0,2872100.0
2025-09-24,MLIA,350.0,352.0,346.0,348.0,3432500.0
2025-09-25,MLIA,348.0,350.0,342.0,346.0,3248900.0
2025-09-26,MLIA,346.0,348.0,344.0,348.0,3036400.0
2025-09-29,MLIA,348.0,348.0,344.0,346.0,3251000.0
2025-09-30,MLIA,346.0,348.0,344.0,348.0,3125500.0
2025-10-01,MLIA,348.0,350.0,346.0,348.0,2834200.0
2025-10-02,MLIA,348.0,350.0,344.0,346.0,3016400.0
2025-10-03,MLIA,348.0,348.0,338.0,344.0,3866900.0
2025-10-06,MLIA,344.0,346.0,338.0,344.0,3688300.0
2025-10-07,MLIA,344.0,346.0,338.0,344.0,3506000.0
2025-10-08,MLIA,344.0,348.0,340.0,344.0,4684300.0
2025-10-09,MLIA,346.0,346.0,340.0,344.0,3234200.0
2025-10-10,MLIA,344.0,346.0,342.0,346.0,2680600.0
2025-10-13,MLIA,346.0,354.0,344.0,352.0,3933600.0
2025-10-14,MLIA,352.0,354.0,348.0,352.0,2757800.0
2025-10-15,MLIA,350.0,352.0,346.0,346.0,3312400.0
2025-10-16,MLIA,346.0,346.0,344.0,344.0,2660400.0
2025-10-17,MLIA,346.0,346.0,340.0,344.0,3146400.0
2025-10-20,MLIA,344.0,346.0,340.0,342.0,3628600.0
2025-10-21,MLIA,344.0,344.0,342.0,344.0,2472500.0
2025-10-22,MLIA,344.0,346.0,342.0,344.0,3353400.0
2025-10-23,MLIA,344.0,346.0,342.0,346.0,2742400.0
2025-10-24,MLIA,344.0,346.0,344.0,346.0,2933600.0
2025-10-27,MLIA,344.0,346.0,344.0,344.0,2781900.0
2025-10-28,MLIA,344.0,346.0,342.0,346.0,2933900.0
2025-10-29,MLIA,344.0,346.0,344.0,344.0,2843600.0
2025-10-30,MLIA,344.0,346.0,342.0,346.0,3283200.0
2025-10-31,MLIA,344.0,346.0,326.0,344.0,6638600.0
2025-11-03,MLIA,344.0,344.0,338.0,342.0,4227400.0
2025-11-04,MLIA,342.0,344.0,340.0,344.0,3105900.0
2025-11-05,MLIA,344.0,344.0,340.0,340.0,1641100.0
2025-11-06,MLIA,342.0,342.0,338.0,340.0,3570600.0
2025-11-07,MLIA,342.0,342.0,336.0,338.0,2507200.0
2025-11-10,MLIA,338.0,340.0,336.0,340.0,2805200.0
2025-11-11,MLIA,340.0,342.0,336.0,340.0,3129600.0
2025-11-12,MLIA,340.0,340.0,338.0,338.0,3001900.0
2025-11-13,MLIA,340.0,340.0,336.0,338.0,3077300.0
2025-11-14,MLIA,338.0,340.0,338.0,340.0,3300100.0
2025-11-17,MLIA,340.0,340.0,336.0,338.0,3490600.0
2025-11-18,MLIA,338.0,340.0,336.0,338.0,3120100.0
2025-11-19,MLIA,338.0,340.0,336.0,338.0,3147900.0
2025-11-20,MLIA,338.0,340.0,336.0,338.0,2380800.0
2025-11-21,MLIA,338.0,340.0,336.0,340.0,2450300.0
2025-11-24,MLIA,340.0,340.0,334.0,338.0,2316100.0
2025-11-25,MLIA,338.0,338.0,334.0,338.0,3375300.0
2025-11-26,MLIA,338.0,340.0,336.0,340.0,3107300.0
2025-11-27,MLIA,338.0,340.0,336.0,340.0,2534600.0
2025-11-28,MLIA,338.0,340.0,336.0,336.0,3096900.0
2025-12-01,MLIA,338.0,340.0,334.0,336.0,2594200.0
