Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,MMLP,508.162360626517,508.162360626517,503.27618408203125,503.27618408203125,2333000.0
2025-06-16,MMLP,503.27617013113843,517.934699358259,503.27617013113843,513.0485229492188,1750700.0
2025-06-17,MMLP,513.0485299917368,513.0485299917368,508.162353515625,508.162353515625,1423700.0
2025-06-18,MMLP,508.162353515625,513.0485299917368,508.162353515625,508.162353515625,2112200.0
2025-06-19,MMLP,508.162353515625,513.0485299917368,508.162353515625,508.162353515625,1650400.0
2025-06-20,MMLP,498.3900146484375,503.2761912626379,488.61766142003677,498.3900146484375,2747300.0
2025-06-23,MMLP,510.0,520.0,505.0,515.0,418200.0
2025-06-24,MMLP,510.0,520.0,505.0,515.0,166200.0
2025-06-25,MMLP,520.0,520.0,498.0,500.0,1895200.0
2025-06-26,MMLP,505.0,510.0,500.0,510.0,631200.0
2025-06-30,MMLP,520.0,520.0,500.0,515.0,2107600.0
2025-07-01,MMLP,510.0,510.0,500.0,505.0,2041300.0
2025-07-02,MMLP,505.0,515.0,500.0,500.0,203700.0
2025-07-03,MMLP,505.0,515.0,500.0,505.0,1897700.0
2025-07-04,MMLP,510.0,515.0,498.0,500.0,1104500.0
2025-07-07,MMLP,500.0,515.0,500.0,505.0,1031500.0
2025-07-08,MMLP,510.0,515.0,500.0,500.0,3401200.0
2025-07-09,MMLP,500.0,505.0,498.0,500.0,2335600.0
2025-07-10,MMLP,500.0,505.0,498.0,505.0,1938900.0
2025-07-11,MMLP,505.0,515.0,498.0,510.0,1456500.0
2025-07-14,MMLP,510.0,515.0,498.0,500.0,3244700.0
2025-07-15,MMLP,505.0,520.0,498.0,500.0,6948400.0
2025-07-16,MMLP,510.0,515.0,498.0,505.0,7055100.0
2025-07-17,MMLP,505.0,510.0,500.0,505.0,5242200.0
2025-07-18,MMLP,505.0,570.0,500.0,535.0,107545400.0
2025-07-21,MMLP,560.0,610.0,545.0,585.0,198553400.0
2025-07-22,MMLP,590.0,610.0,555.0,565.0,157043400.0
2025-07-23,MMLP,585.0,595.0,565.0,570.0,73915700.0
2025-07-24,MMLP,580.0,580.0,545.0,550.0,42992600.0
2025-07-25,MMLP,555.0,565.0,550.0,555.0,20452100.0
2025-07-28,MMLP,560.0,565.0,545.0,545.0,23343600.0
2025-07-29,MMLP,545.0,555.0,530.0,530.0,24862300.0
2025-07-30,MMLP,530.0,550.0,530.0,545.0,13003200.0
2025-07-31,MMLP,545.0,550.0,535.0,535.0,8563600.0
2025-08-01,MMLP,540.0,550.0,535.0,540.0,9661400.0
2025-08-04,MMLP,540.0,540.0,530.0,535.0,15173500.0
2025-08-05,MMLP,535.0,540.0,530.0,530.0,13362000.0
2025-08-06,MMLP,535.0,540.0,530.0,530.0,8910700.0
2025-08-07,MMLP,540.0,550.0,530.0,535.0,8882900.0
2025-08-08,MMLP,535.0,540.0,530.0,530.0,7407100.0
2025-08-11,MMLP,535.0,540.0,530.0,535.0,7206400.0
2025-08-12,MMLP,540.0,545.0,535.0,540.0,5068600.0
2025-08-13,MMLP,545.0,550.0,535.0,535.0,4971000.0
2025-08-14,MMLP,540.0,550.0,535.0,535.0,4680500.0
2025-08-15,MMLP,535.0,545.0,535.0,540.0,7983300.0
2025-08-19,MMLP,540.0,560.0,540.0,555.0,12889800.0
2025-08-20,MMLP,555.0,555.0,550.0,555.0,8719500.0
2025-08-21,MMLP,555.0,555.0,540.0,540.0,9453800.0
2025-08-22,MMLP,545.0,550.0,540.0,545.0,3656300.0
2025-08-25,MMLP,555.0,555.0,540.0,540.0,6128400.0
2025-08-26,MMLP,550.0,555.0,540.0,545.0,11094800.0
2025-08-27,MMLP,545.0,555.0,540.0,555.0,9880500.0
2025-08-28,MMLP,555.0,555.0,545.0,550.0,5744800.0
2025-08-29,MMLP,555.0,555.0,540.0,545.0,7834000.0
2025-09-01,MMLP,540.0,545.0,530.0,540.0,18696800.0
2025-09-02,MMLP,540.0,550.0,540.0,540.0,5522400.0
2025-09-03,MMLP,540.0,550.0,540.0,545.0,4841800.0
2025-09-04,MMLP,545.0,545.0,540.0,540.0,3172200.0
2025-09-08,MMLP,540.0,545.0,535.0,535.0,8635400.0
2025-09-09,MMLP,540.0,540.0,525.0,530.0,11239200.0
