Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,MNCN,262.0,264.0,260.0,260.0,7959400.0
2025-06-16,MNCN,260.0,262.0,250.0,250.0,30423800.0
2025-06-17,MNCN,250.0,260.0,248.0,254.0,32886800.0
2025-06-18,MNCN,254.0,256.0,248.0,254.0,24770600.0
2025-06-19,MNCN,254.0,254.0,248.0,250.0,23136500.0
2025-06-20,MNCN,250.0,254.0,248.0,248.0,18715900.0
2025-06-23,MNCN,246.0,248.0,240.0,242.0,25932500.0
2025-06-24,MNCN,244.0,250.0,244.0,248.0,33589200.0
2025-06-25,MNCN,250.0,250.0,240.0,240.0,28613200.0
2025-06-26,MNCN,242.0,244.0,234.0,240.0,35043900.0
2025-06-30,MNCN,242.0,244.0,238.0,244.0,31224000.0
2025-07-01,MNCN,244.0,248.0,244.0,246.0,31771600.0
2025-07-02,MNCN,244.0,252.0,242.0,248.0,36696900.0
2025-07-03,MNCN,248.0,250.0,244.0,248.0,28631900.0
2025-07-04,MNCN,250.0,250.0,244.0,246.0,31573800.0
2025-07-07,MNCN,248.0,248.0,242.0,244.0,35370300.0
2025-07-08,MNCN,244.0,244.0,238.0,240.0,33790400.0
2025-07-09,MNCN,240.0,244.0,240.0,242.0,30839800.0
2025-07-10,MNCN,246.0,254.0,244.0,254.0,26655900.0
2025-07-11,MNCN,256.0,260.0,254.0,258.0,25546100.0
2025-07-14,MNCN,258.0,260.0,250.0,250.0,28602100.0
2025-07-15,MNCN,250.0,254.0,248.0,254.0,27558100.0
2025-07-16,MNCN,254.0,256.0,250.0,252.0,29736300.0
2025-07-17,MNCN,252.0,262.0,250.0,260.0,28046900.0
2025-07-18,MNCN,262.0,262.0,256.0,260.0,29389500.0
2025-07-21,MNCN,260.0,264.0,258.0,260.0,31107800.0
2025-07-22,MNCN,260.0,266.0,256.0,256.0,31825600.0
2025-07-23,MNCN,256.0,272.0,256.0,266.0,55790600.0
2025-07-24,MNCN,266.0,266.0,258.0,260.0,32211600.0
2025-07-25,MNCN,260.0,264.0,256.0,256.0,25693600.0
2025-07-28,MNCN,256.0,262.0,252.0,258.0,32496900.0
2025-07-29,MNCN,258.0,260.0,252.0,254.0,25972500.0
2025-07-30,MNCN,254.0,256.0,250.0,254.0,18512700.0
2025-07-31,MNCN,254.0,256.0,250.0,252.0,28047100.0
2025-08-01,MNCN,250.0,254.0,250.0,254.0,21065600.0
2025-08-04,MNCN,254.0,264.0,250.0,264.0,40731700.0
2025-08-05,MNCN,264.0,270.0,258.0,270.0,44075800.0
2025-08-06,MNCN,268.0,268.0,260.0,260.0,27063000.0
2025-08-07,MNCN,260.0,264.0,258.0,264.0,21652100.0
2025-08-08,MNCN,262.0,264.0,258.0,258.0,10030500.0
2025-08-11,MNCN,258.0,262.0,256.0,262.0,16013700.0
2025-08-12,MNCN,262.0,268.0,262.0,268.0,39540000.0
2025-08-13,MNCN,266.0,268.0,262.0,264.0,25177000.0
2025-08-14,MNCN,262.0,264.0,260.0,260.0,26311500.0
2025-08-15,MNCN,260.0,260.0,252.0,252.0,49002200.0
2025-08-19,MNCN,252.0,252.0,244.0,248.0,30544900.0
2025-08-20,MNCN,250.0,254.0,248.0,254.0,27027000.0
2025-08-21,MNCN,254.0,260.0,250.0,254.0,41670800.0
2025-08-22,MNCN,252.0,262.0,252.0,256.0,38802400.0
2025-08-25,MNCN,256.0,268.0,256.0,268.0,39817900.0
2025-08-26,MNCN,268.0,274.0,264.0,266.0,41110500.0
2025-08-27,MNCN,266.0,266.0,260.0,260.0,13779100.0
2025-08-28,MNCN,260.0,264.0,258.0,262.0,22284700.0
2025-08-29,MNCN,260.0,260.0,250.0,254.0,34547100.0
2025-09-01,MNCN,244.0,254.0,240.0,252.0,33061100.0
2025-09-02,MNCN,252.0,258.0,252.0,258.0,21278500.0
2025-09-03,MNCN,258.0,264.0,254.0,262.0,27076600.0
2025-09-04,MNCN,262.0,266.0,258.0,266.0,39913300.0
2025-09-08,MNCN,266.0,268.0,258.0,258.0,32636100.0
2025-09-09,MNCN,256.0,260.0,248.0,254.0,53191500.0
2025-09-10,MNCN,254.0,256.0,250.0,254.0,28559600.0
2025-09-11,MNCN,254.0,258.0,250.0,258.0,24012000.0
2025-09-12,MNCN,258.0,260.0,252.0,258.0,24461000.0
2025-09-15,MNCN,256.0,264.0,256.0,264.0,22342400.0
2025-09-16,MNCN,264.0,266.0,258.0,264.0,20144500.0
2025-09-17,MNCN,264.0,266.0,262.0,266.0,24675000.0
2025-09-18,MNCN,266.0,266.0,260.0,262.0,27952100.0
2025-09-19,MNCN,262.0,266.0,260.0,266.0,31513500.0
2025-09-22,MNCN,266.0,268.0,262.0,264.0,34094800.0
2025-09-23,MNCN,264.0,268.0,260.0,268.0,36551600.0
2025-09-24,MNCN,268.0,312.0,268.0,304.0,301488400.0
2025-09-25,MNCN,308.0,308.0,288.0,290.0,80914400.0
2025-09-26,MNCN,290.0,298.0,290.0,296.0,55610100.0
2025-09-29,MNCN,300.0,316.0,296.0,312.0,91049100.0
2025-09-30,MNCN,312.0,314.0,298.0,300.0,48459100.0
2025-10-01,MNCN,300.0,300.0,288.0,290.0,47657900.0
2025-10-02,MNCN,290.0,292.0,280.0,282.0,36571900.0
2025-10-03,MNCN,282.0,284.0,272.0,274.0,39937400.0
2025-10-06,MNCN,274.0,278.0,268.0,278.0,25437100.0
2025-10-07,MNCN,278.0,282.0,272.0,276.0,22929800.0
2025-10-08,MNCN,276.0,276.0,266.0,268.0,23962900.0
2025-10-09,MNCN,268.0,284.0,268.0,274.0,54033100.0
2025-10-10,MNCN,274.0,276.0,266.0,268.0,22639800.0
2025-10-13,MNCN,264.0,270.0,256.0,268.0,31147300.0
2025-10-14,MNCN,268.0,270.0,258.0,262.0,34859500.0
2025-10-15,MNCN,262.0,268.0,260.0,264.0,25114500.0
2025-10-16,MNCN,264.0,272.0,262.0,270.0,27989900.0
2025-10-17,MNCN,270.0,270.0,262.0,264.0,22821200.0
2025-10-20,MNCN,264.0,270.0,260.0,264.0,32244900.0
2025-10-21,MNCN,264.0,274.0,262.0,270.0,28084700.0
2025-10-22,MNCN,270.0,272.0,264.0,266.0,21191800.0
2025-10-23,MNCN,266.0,268.0,262.0,266.0,23087800.0
2025-10-24,MNCN,266.0,268.0,264.0,266.0,20432800.0
2025-10-27,MNCN,266.0,266.0,256.0,260.0,22404700.0
2025-10-28,MNCN,260.0,266.0,258.0,264.0,21359400.0
2025-10-29,MNCN,264.0,266.0,260.0,266.0,22118100.0
2025-10-30,MNCN,266.0,268.0,264.0,268.0,19742700.0
2025-10-31,MNCN,268.0,268.0,264.0,268.0,23341300.0
2025-11-03,MNCN,266.0,268.0,262.0,266.0,21579300.0
2025-11-04,MNCN,266.0,266.0,262.0,266.0,24343200.0
2025-11-05,MNCN,264.0,266.0,262.0,264.0,25238800.0
2025-11-06,MNCN,264.0,270.0,262.0,268.0,31000200.0
2025-11-07,MNCN,268.0,274.0,266.0,270.0,21463200.0
2025-11-10,MNCN,270.0,270.0,262.0,264.0,24108800.0
2025-11-11,MNCN,264.0,264.0,258.0,260.0,35445100.0
2025-11-12,MNCN,260.0,266.0,260.0,266.0,28800700.0
2025-11-13,MNCN,266.0,288.0,262.0,276.0,73174000.0
2025-11-14,MNCN,276.0,276.0,266.0,268.0,14647800.0
2025-11-17,MNCN,268.0,268.0,264.0,268.0,22887200.0
2025-11-18,MNCN,266.0,268.0,264.0,266.0,22659500.0
2025-11-19,MNCN,266.0,268.0,262.0,264.0,29387500.0
2025-11-20,MNCN,264.0,266.0,262.0,264.0,17603700.0
2025-11-21,MNCN,264.0,266.0,262.0,264.0,21340200.0
2025-11-24,MNCN,262.0,266.0,262.0,262.0,22730100.0
2025-11-25,MNCN,264.0,270.0,262.0,262.0,48147600.0
2025-11-26,MNCN,264.0,266.0,260.0,262.0,35973300.0
2025-11-27,MNCN,264.0,264.0,258.0,258.0,17937100.0
2025-11-28,MNCN,260.0,260.0,256.0,258.0,26737400.0
2025-12-01,MNCN,258.0,260.0,252.0,254.0,24907200.0
2025-12-02,MNCN,254.0,258.0,252.0,256.0,27880100.0
2025-12-03,MNCN,254.0,260.0,254.0,260.0,28027800.0
2025-12-04,MNCN,260.0,260.0,256.0,260.0,23677500.0
2025-12-05,MNCN,260.0,262.0,258.0,262.0,19705700.0
2025-12-08,MNCN,262.0,272.0,254.0,260.0,47697900.0
2025-12-09,MNCN,262.0,264.0,258.0,262.0,23824700.0
2025-12-10,MNCN,262.0,268.0,260.0,264.0,32818700.0
