Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,MREI,711.3207389212944,745.6603608002533,711.3207389212944,726.0377197265625,1148400.0
2025-06-16,MREI,726.0377205684267,726.0377205684267,706.4150794719827,711.3207397460938,1240900.0
2025-06-17,MREI,711.3207592607356,735.8490613042092,711.3207592607356,721.132080078125,364500.0
2025-06-18,MREI,716.2264196694304,726.0377404868198,711.3207592607356,721.132080078125,551300.0
2025-06-19,MREI,716.2264196694304,735.8490613042092,706.4150988520408,721.132080078125,983000.0
2025-06-20,MREI,721.1321125030518,814.3396644592285,716.2264518737793,784.9057006835938,9777400.0
2025-06-23,MREI,784.9056813686709,843.7736074713213,721.1320947574663,775.0943603515625,1661000.0
2025-06-24,MREI,784.9056560672515,848.6792406227156,784.9056560672515,838.867919921875,826400.0
2025-06-25,MREI,848.6792428681345,848.6792428681345,794.7169788707386,809.4339599609375,108500.0
2025-06-26,MREI,809.4339808022103,843.7736042301829,804.5283203125,804.5283203125,44800.0
2025-06-30,MREI,833.9622641509434,833.9622641509434,770.188679245283,780.0,272500.0
2025-07-01,MREI,795.0,825.0,760.0,815.0,319200.0
2025-07-02,MREI,810.0,835.0,810.0,820.0,420100.0
2025-07-03,MREI,820.0,865.0,820.0,840.0,261900.0
2025-07-04,MREI,845.0,845.0,805.0,840.0,499200.0
2025-07-07,MREI,835.0,840.0,805.0,810.0,107400.0
2025-07-08,MREI,820.0,990.0,820.0,925.0,626900.0
2025-07-09,MREI,935.0,945.0,875.0,930.0,406000.0
2025-07-10,MREI,930.0,940.0,860.0,925.0,998800.0
2025-07-11,MREI,920.0,925.0,855.0,890.0,1218100.0
2025-07-14,MREI,910.0,930.0,880.0,900.0,475900.0
2025-07-15,MREI,895.0,910.0,875.0,910.0,130600.0
2025-07-16,MREI,910.0,945.0,885.0,910.0,383500.0
2025-07-17,MREI,905.0,1075.0,905.0,1005.0,1999600.0
2025-07-18,MREI,1035.0,1110.0,1005.0,1030.0,2974300.0
2025-07-21,MREI,1035.0,1075.0,1020.0,1040.0,2097000.0
2025-07-22,MREI,1045.0,1050.0,1010.0,1045.0,562900.0
2025-07-23,MREI,1045.0,1055.0,1000.0,1035.0,307800.0
2025-07-24,MREI,1010.0,1040.0,1010.0,1010.0,215000.0
2025-07-25,MREI,1010.0,1040.0,1010.0,1040.0,152500.0
2025-07-28,MREI,1030.0,1035.0,1010.0,1010.0,467200.0
2025-07-29,MREI,1030.0,1035.0,970.0,1000.0,523700.0
2025-07-30,MREI,1015.0,1025.0,990.0,1000.0,207000.0
2025-07-31,MREI,1010.0,1010.0,990.0,1010.0,174600.0
2025-08-01,MREI,1010.0,1015.0,1000.0,1015.0,21100.0
2025-08-04,MREI,1015.0,1015.0,955.0,970.0,467500.0
2025-08-05,MREI,970.0,975.0,945.0,950.0,277200.0
2025-08-06,MREI,960.0,970.0,940.0,970.0,256400.0
2025-08-07,MREI,950.0,975.0,940.0,960.0,144500.0
2025-08-08,MREI,970.0,970.0,930.0,935.0,66800.0
2025-08-11,MREI,935.0,1005.0,910.0,940.0,236200.0
2025-08-12,MREI,950.0,970.0,940.0,940.0,69600.0
2025-08-13,MREI,940.0,985.0,930.0,960.0,43300.0
2025-08-14,MREI,970.0,990.0,940.0,985.0,282500.0
2025-08-15,MREI,980.0,990.0,945.0,955.0,67500.0
2025-08-19,MREI,975.0,975.0,945.0,970.0,127400.0
2025-08-20,MREI,970.0,1000.0,945.0,1000.0,465900.0
2025-08-21,MREI,1000.0,1000.0,965.0,965.0,414500.0
2025-08-22,MREI,970.0,980.0,955.0,960.0,51500.0
2025-08-25,MREI,960.0,985.0,955.0,980.0,300700.0
2025-08-26,MREI,980.0,980.0,965.0,965.0,99600.0
2025-08-27,MREI,975.0,975.0,950.0,950.0,190500.0
2025-08-28,MREI,970.0,970.0,925.0,950.0,312000.0
2025-08-29,MREI,950.0,955.0,910.0,920.0,275600.0
2025-09-01,MREI,900.0,910.0,830.0,905.0,314700.0
2025-09-02,MREI,905.0,930.0,895.0,915.0,119300.0
2025-09-03,MREI,915.0,925.0,915.0,920.0,131800.0
2025-09-04,MREI,940.0,940.0,925.0,930.0,184700.0
2025-09-08,MREI,930.0,950.0,925.0,925.0,129600.0
2025-09-09,MREI,925.0,950.0,920.0,945.0,52700.0
2025-09-10,MREI,950.0,950.0,935.0,935.0,105300.0
2025-09-11,MREI,935.0,970.0,935.0,970.0,90200.0
2025-09-12,MREI,970.0,990.0,950.0,950.0,1146300.0
2025-09-15,MREI,960.0,1000.0,950.0,970.0,183900.0
2025-09-16,MREI,970.0,985.0,945.0,970.0,525400.0
2025-09-17,MREI,970.0,970.0,945.0,945.0,281000.0
2025-09-18,MREI,965.0,985.0,945.0,980.0,223700.0
2025-09-19,MREI,980.0,985.0,945.0,970.0,205700.0
2025-09-22,MREI,970.0,975.0,950.0,970.0,66500.0
2025-09-23,MREI,970.0,1005.0,920.0,955.0,589200.0
2025-09-24,MREI,985.0,985.0,910.0,935.0,1317500.0
2025-09-25,MREI,940.0,945.0,910.0,925.0,710300.0
2025-09-26,MREI,925.0,935.0,915.0,930.0,199200.0
2025-09-29,MREI,935.0,935.0,910.0,910.0,182100.0
2025-09-30,MREI,925.0,930.0,905.0,925.0,108500.0
2025-10-01,MREI,920.0,925.0,900.0,915.0,358700.0
2025-10-02,MREI,915.0,920.0,900.0,900.0,279700.0
2025-10-03,MREI,910.0,915.0,880.0,910.0,195800.0
2025-10-06,MREI,915.0,915.0,900.0,910.0,111700.0
2025-10-07,MREI,915.0,915.0,885.0,905.0,182700.0
2025-10-08,MREI,915.0,1005.0,905.0,980.0,1388600.0
2025-10-09,MREI,985.0,1010.0,950.0,995.0,885600.0
2025-10-10,MREI,995.0,1030.0,965.0,1000.0,235200.0
2025-10-13,MREI,1000.0,1000.0,910.0,965.0,368200.0
2025-10-14,MREI,950.0,965.0,900.0,945.0,717300.0
2025-10-15,MREI,955.0,980.0,915.0,980.0,232400.0
2025-10-16,MREI,980.0,1000.0,930.0,975.0,228700.0
2025-10-17,MREI,980.0,1000.0,900.0,900.0,603400.0
2025-10-20,MREI,900.0,930.0,900.0,925.0,142500.0
2025-10-21,MREI,955.0,990.0,930.0,985.0,262200.0
2025-10-22,MREI,985.0,1000.0,935.0,970.0,98700.0
2025-10-23,MREI,975.0,990.0,935.0,985.0,188500.0
2025-10-24,MREI,990.0,1000.0,975.0,995.0,87400.0
2025-10-27,MREI,995.0,1000.0,955.0,960.0,98400.0
2025-10-28,MREI,985.0,1005.0,960.0,995.0,131300.0
2025-10-29,MREI,990.0,1000.0,960.0,990.0,104300.0
2025-10-30,MREI,990.0,995.0,970.0,990.0,123600.0
2025-10-31,MREI,990.0,1040.0,965.0,1020.0,359900.0
2025-11-03,MREI,1040.0,1040.0,930.0,975.0,1618500.0
2025-11-04,MREI,975.0,990.0,950.0,990.0,218600.0
2025-11-05,MREI,985.0,985.0,960.0,970.0,66200.0
2025-11-06,MREI,985.0,990.0,970.0,970.0,100300.0
2025-11-07,MREI,985.0,990.0,965.0,985.0,143400.0
2025-11-10,MREI,945.0,990.0,945.0,985.0,426100.0
2025-11-11,MREI,990.0,990.0,975.0,985.0,121800.0
2025-11-12,MREI,990.0,990.0,960.0,980.0,223200.0
2025-11-13,MREI,990.0,990.0,975.0,985.0,147900.0
2025-11-14,MREI,990.0,990.0,975.0,985.0,59000.0
2025-11-17,MREI,980.0,980.0,960.0,975.0,61900.0
2025-11-18,MREI,980.0,985.0,940.0,980.0,378300.0
2025-11-19,MREI,980.0,1000.0,975.0,985.0,52600.0
2025-11-20,MREI,985.0,1005.0,975.0,995.0,191900.0
2025-11-21,MREI,1000.0,1000.0,975.0,985.0,76300.0
2025-11-24,MREI,985.0,1000.0,965.0,980.0,139500.0
2025-11-25,MREI,985.0,1005.0,960.0,1000.0,327300.0
2025-11-26,MREI,1010.0,1015.0,975.0,1015.0,227400.0
2025-11-27,MREI,1015.0,1035.0,995.0,1010.0,479300.0
2025-11-28,MREI,1030.0,1030.0,1000.0,1000.0,133600.0
2025-12-01,MREI,1030.0,1030.0,1000.0,1010.0,125000.0
2025-12-02,MREI,1025.0,1035.0,1000.0,1015.0,96400.0
