Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,MSKY,57.0,57.0,55.0,57.0,3435300.0
2025-06-16,MSKY,57.0,57.0,55.0,56.0,5192500.0
2025-06-17,MSKY,56.0,59.0,56.0,56.0,8774400.0
2025-06-18,MSKY,57.0,58.0,56.0,56.0,5425800.0
2025-06-19,MSKY,56.0,57.0,55.0,56.0,3386600.0
2025-06-20,MSKY,56.0,56.0,55.0,55.0,2278800.0
2025-06-23,MSKY,55.0,55.0,52.0,53.0,8181300.0
2025-06-24,MSKY,53.0,56.0,52.0,54.0,27165800.0
2025-06-25,MSKY,54.0,54.0,52.0,53.0,3098000.0
2025-06-26,MSKY,53.0,57.0,53.0,54.0,33743400.0
2025-06-30,MSKY,54.0,54.0,53.0,53.0,2668900.0
2025-07-01,MSKY,53.0,55.0,53.0,54.0,2613400.0
2025-07-02,MSKY,54.0,54.0,52.0,53.0,1895900.0
2025-07-03,MSKY,53.0,54.0,52.0,54.0,4083400.0
2025-07-04,MSKY,53.0,54.0,53.0,53.0,1238400.0
2025-07-07,MSKY,53.0,54.0,53.0,53.0,1097000.0
2025-07-08,MSKY,53.0,53.0,52.0,53.0,997800.0
2025-07-09,MSKY,52.0,56.0,52.0,55.0,26487900.0
2025-07-10,MSKY,55.0,56.0,54.0,55.0,5315800.0
2025-07-11,MSKY,55.0,56.0,54.0,54.0,4176100.0
2025-07-14,MSKY,54.0,55.0,54.0,55.0,3085700.0
2025-07-15,MSKY,55.0,55.0,53.0,54.0,3018900.0
2025-07-16,MSKY,54.0,54.0,53.0,54.0,1505000.0
2025-07-17,MSKY,53.0,54.0,53.0,54.0,2104200.0
2025-07-18,MSKY,54.0,54.0,52.0,53.0,3699100.0
2025-07-21,MSKY,52.0,54.0,52.0,53.0,3071300.0
2025-07-22,MSKY,53.0,54.0,52.0,53.0,3230700.0
2025-07-23,MSKY,53.0,57.0,52.0,54.0,43485500.0
2025-07-24,MSKY,53.0,55.0,53.0,54.0,7645200.0
2025-07-25,MSKY,54.0,54.0,53.0,53.0,5044000.0
2025-07-28,MSKY,54.0,54.0,52.0,53.0,3975900.0
2025-07-29,MSKY,53.0,54.0,52.0,53.0,2072300.0
2025-07-30,MSKY,54.0,54.0,53.0,53.0,2291600.0
2025-07-31,MSKY,53.0,54.0,52.0,53.0,6079300.0
2025-08-01,MSKY,53.0,56.0,53.0,55.0,34894000.0
2025-08-04,MSKY,55.0,61.0,55.0,58.0,37785900.0
2025-08-05,MSKY,58.0,78.0,57.0,78.0,161563100.0
2025-08-06,MSKY,87.0,94.0,70.0,73.0,245604500.0
2025-08-07,MSKY,74.0,86.0,71.0,76.0,201373100.0
2025-08-08,MSKY,80.0,82.0,72.0,73.0,46826000.0
2025-08-11,MSKY,73.0,76.0,71.0,73.0,22425700.0
2025-08-12,MSKY,73.0,86.0,72.0,80.0,178764200.0
2025-08-13,MSKY,80.0,81.0,76.0,78.0,31689400.0
2025-08-14,MSKY,78.0,80.0,76.0,77.0,27257600.0
2025-08-15,MSKY,76.0,76.0,71.0,73.0,34739200.0
2025-08-19,MSKY,73.0,78.0,71.0,74.0,30032300.0
2025-08-20,MSKY,75.0,84.0,74.0,79.0,62591500.0
2025-08-21,MSKY,79.0,82.0,77.0,79.0,27997200.0
2025-08-22,MSKY,79.0,88.0,78.0,82.0,75140300.0
2025-08-25,MSKY,83.0,85.0,80.0,85.0,61444000.0
2025-08-26,MSKY,85.0,109.0,84.0,94.0,477539200.0
2025-08-27,MSKY,94.0,95.0,88.0,90.0,46872500.0
2025-08-28,MSKY,89.0,92.0,85.0,90.0,30030400.0
2025-08-29,MSKY,90.0,91.0,77.0,85.0,46303100.0
2025-09-01,MSKY,77.0,84.0,73.0,81.0,21152200.0
2025-09-02,MSKY,81.0,85.0,81.0,84.0,7455100.0
2025-09-03,MSKY,84.0,89.0,83.0,84.0,34878300.0
2025-09-04,MSKY,86.0,113.0,82.0,108.0,618293300.0
2025-09-08,MSKY,108.0,108.0,108.0,108.0,0.0
2025-09-09,MSKY,100.0,105.0,92.0,94.0,126610400.0
2025-09-10,MSKY,94.0,97.0,88.0,90.0,52373700.0
2025-09-11,MSKY,90.0,102.0,89.0,95.0,222764000.0
2025-09-12,MSKY,95.0,96.0,90.0,91.0,36732200.0
2025-09-15,MSKY,91.0,103.0,91.0,95.0,108679700.0
2025-09-16,MSKY,96.0,98.0,92.0,94.0,23309000.0
2025-09-17,MSKY,94.0,99.0,93.0,95.0,47729600.0
2025-09-18,MSKY,96.0,101.0,94.0,96.0,71933900.0
2025-09-19,MSKY,97.0,97.0,93.0,94.0,18532900.0
2025-09-22,MSKY,95.0,95.0,92.0,94.0,16951200.0
2025-09-23,MSKY,94.0,97.0,93.0,95.0,14059000.0
2025-09-24,MSKY,95.0,106.0,94.0,101.0,219125700.0
2025-09-25,MSKY,103.0,103.0,95.0,98.0,44188600.0
2025-09-26,MSKY,98.0,99.0,94.0,94.0,26226200.0
2025-09-29,MSKY,95.0,99.0,93.0,95.0,27169600.0
2025-09-30,MSKY,96.0,97.0,94.0,96.0,17876600.0
2025-10-01,MSKY,97.0,98.0,95.0,95.0,16654900.0
2025-10-02,MSKY,95.0,103.0,94.0,100.0,69077000.0
2025-10-03,MSKY,100.0,101.0,95.0,95.0,21353700.0
2025-10-06,MSKY,94.0,95.0,87.0,90.0,67052800.0
2025-10-07,MSKY,90.0,92.0,88.0,89.0,14208900.0
2025-10-08,MSKY,89.0,90.0,86.0,87.0,13058900.0
2025-10-09,MSKY,87.0,92.0,85.0,90.0,16334700.0
2025-10-10,MSKY,90.0,90.0,86.0,87.0,9345600.0
2025-10-13,MSKY,87.0,89.0,83.0,87.0,13713100.0
2025-10-14,MSKY,88.0,90.0,84.0,85.0,11500300.0
2025-10-15,MSKY,86.0,87.0,82.0,84.0,8752500.0
2025-10-16,MSKY,83.0,85.0,81.0,84.0,6712900.0
2025-10-17,MSKY,84.0,84.0,76.0,78.0,15022500.0
2025-10-20,MSKY,77.0,81.0,76.0,78.0,6731300.0
2025-10-21,MSKY,78.0,87.0,76.0,87.0,11945300.0
2025-10-22,MSKY,86.0,86.0,83.0,84.0,7084500.0
2025-10-23,MSKY,84.0,89.0,82.0,85.0,8076900.0
2025-10-24,MSKY,85.0,86.0,83.0,83.0,4601400.0
2025-10-27,MSKY,83.0,86.0,78.0,81.0,26393400.0
2025-10-28,MSKY,81.0,83.0,80.0,81.0,2314100.0
2025-10-29,MSKY,81.0,82.0,80.0,80.0,3151400.0
2025-10-30,MSKY,80.0,83.0,79.0,81.0,3561800.0
2025-10-31,MSKY,81.0,82.0,80.0,80.0,1530600.0
2025-11-03,MSKY,79.0,81.0,79.0,80.0,2625900.0
2025-11-04,MSKY,80.0,81.0,78.0,80.0,4005800.0
2025-11-05,MSKY,80.0,82.0,78.0,78.0,17889200.0
2025-11-06,MSKY,79.0,87.0,79.0,81.0,27318100.0
2025-11-07,MSKY,82.0,82.0,80.0,80.0,3606600.0
2025-11-10,MSKY,81.0,82.0,80.0,82.0,3327300.0
2025-11-11,MSKY,81.0,83.0,80.0,81.0,5442600.0
2025-11-12,MSKY,81.0,82.0,80.0,80.0,4477800.0
2025-11-13,MSKY,82.0,98.0,81.0,85.0,165454400.0
2025-11-14,MSKY,88.0,91.0,81.0,82.0,19248200.0
2025-11-17,MSKY,82.0,86.0,81.0,84.0,20527400.0
2025-11-18,MSKY,83.0,85.0,82.0,83.0,7157700.0
2025-11-19,MSKY,83.0,84.0,81.0,82.0,6501800.0
2025-11-20,MSKY,82.0,84.0,81.0,82.0,5915800.0
2025-11-21,MSKY,82.0,83.0,81.0,82.0,2744300.0
2025-11-24,MSKY,82.0,83.0,81.0,81.0,4350100.0
2025-11-25,MSKY,82.0,85.0,79.0,82.0,24023300.0
2025-11-26,MSKY,82.0,82.0,80.0,81.0,8999300.0
2025-11-27,MSKY,81.0,81.0,80.0,80.0,4539200.0
2025-11-28,MSKY,81.0,84.0,80.0,81.0,13165900.0
