Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,MTDL,540.0,545.0,530.0,530.0,10323300.0
2025-06-16,MTDL,530.0,540.0,520.0,520.0,9791600.0
2025-06-17,MTDL,530.0,545.0,525.0,540.0,6447400.0
2025-06-18,MTDL,545.0,550.0,530.0,545.0,5558000.0
2025-06-19,MTDL,545.0,545.0,530.0,545.0,6739200.0
2025-06-20,MTDL,545.0,550.0,530.0,535.0,5682500.0
2025-06-23,MTDL,535.0,535.0,515.0,530.0,13523700.0
2025-06-24,MTDL,535.0,545.0,530.0,530.0,3072500.0
2025-06-25,MTDL,535.0,540.0,525.0,530.0,2706300.0
2025-06-26,MTDL,530.0,530.0,515.0,520.0,7638600.0
2025-06-30,MTDL,530.0,540.0,520.0,540.0,4783300.0
2025-07-01,MTDL,540.0,540.0,525.0,525.0,5167100.0
2025-07-02,MTDL,530.0,540.0,525.0,525.0,4772000.0
2025-07-03,MTDL,525.0,535.0,525.0,525.0,5028800.0
2025-07-04,MTDL,525.0,535.0,525.0,525.0,5465000.0
2025-07-07,MTDL,530.0,560.0,525.0,550.0,11394100.0
2025-07-08,MTDL,550.0,550.0,535.0,535.0,5467800.0
2025-07-09,MTDL,545.0,555.0,535.0,555.0,6284800.0
2025-07-10,MTDL,555.0,565.0,550.0,560.0,4450700.0
2025-07-11,MTDL,560.0,565.0,550.0,560.0,6168800.0
2025-07-14,MTDL,560.0,560.0,550.0,550.0,5332500.0
2025-07-15,MTDL,550.0,565.0,550.0,560.0,6325800.0
2025-07-16,MTDL,565.0,570.0,555.0,570.0,5298700.0
2025-07-17,MTDL,570.0,575.0,560.0,560.0,4578300.0
2025-07-18,MTDL,575.0,575.0,555.0,560.0,7643500.0
2025-07-21,MTDL,560.0,570.0,555.0,560.0,6164800.0
2025-07-22,MTDL,560.0,570.0,560.0,565.0,5375300.0
2025-07-23,MTDL,565.0,565.0,550.0,555.0,15983400.0
2025-07-24,MTDL,555.0,570.0,550.0,560.0,5279800.0
2025-07-25,MTDL,560.0,565.0,555.0,565.0,9143600.0
2025-07-28,MTDL,575.0,580.0,560.0,565.0,10308300.0
2025-07-29,MTDL,565.0,575.0,560.0,570.0,10927100.0
2025-07-30,MTDL,575.0,585.0,560.0,585.0,11995900.0
2025-07-31,MTDL,590.0,600.0,575.0,595.0,14968800.0
2025-08-01,MTDL,595.0,610.0,590.0,605.0,9176600.0
2025-08-04,MTDL,610.0,615.0,590.0,590.0,9733100.0
2025-08-05,MTDL,600.0,615.0,600.0,610.0,3927100.0
2025-08-06,MTDL,610.0,620.0,590.0,595.0,4973300.0
2025-08-07,MTDL,595.0,605.0,590.0,590.0,6920800.0
2025-08-08,MTDL,590.0,595.0,575.0,590.0,6896700.0
2025-08-11,MTDL,590.0,605.0,575.0,590.0,8408400.0
2025-08-12,MTDL,590.0,605.0,590.0,590.0,6717400.0
2025-08-13,MTDL,595.0,600.0,580.0,590.0,6826500.0
2025-08-14,MTDL,595.0,600.0,580.0,585.0,9915300.0
2025-08-15,MTDL,585.0,600.0,580.0,590.0,6476300.0
2025-08-19,MTDL,600.0,605.0,585.0,585.0,23990200.0
2025-08-20,MTDL,585.0,600.0,580.0,585.0,18295800.0
2025-08-21,MTDL,590.0,595.0,575.0,580.0,7611500.0
2025-08-22,MTDL,585.0,595.0,580.0,590.0,8187400.0
2025-08-25,MTDL,590.0,595.0,585.0,590.0,24633400.0
2025-08-26,MTDL,595.0,600.0,580.0,585.0,6946400.0
2025-08-27,MTDL,585.0,615.0,585.0,615.0,25664200.0
2025-08-28,MTDL,615.0,620.0,600.0,610.0,11258400.0
2025-08-29,MTDL,605.0,605.0,575.0,590.0,8302700.0
2025-09-01,MTDL,580.0,595.0,560.0,590.0,8274900.0
2025-09-02,MTDL,595.0,605.0,585.0,595.0,5510600.0
2025-09-03,MTDL,595.0,605.0,590.0,600.0,4599800.0
2025-09-04,MTDL,600.0,605.0,590.0,600.0,7996100.0
2025-09-08,MTDL,600.0,635.0,595.0,615.0,10664300.0
2025-09-09,MTDL,620.0,625.0,590.0,605.0,8003900.0
2025-09-10,MTDL,600.0,615.0,595.0,600.0,7988000.0
2025-09-11,MTDL,605.0,630.0,605.0,615.0,9649800.0
2025-09-12,MTDL,685.0,685.0,620.0,625.0,13993500.0
2025-09-15,MTDL,625.0,645.0,625.0,640.0,6844900.0
2025-09-16,MTDL,640.0,645.0,620.0,620.0,5413300.0
2025-09-17,MTDL,625.0,625.0,605.0,620.0,6423600.0
2025-09-18,MTDL,620.0,620.0,600.0,605.0,7516800.0
2025-09-19,MTDL,605.0,615.0,605.0,605.0,3882000.0
2025-09-22,MTDL,605.0,640.0,605.0,635.0,8952500.0
2025-09-23,MTDL,640.0,645.0,620.0,630.0,4514000.0
2025-09-24,MTDL,635.0,635.0,620.0,630.0,4363400.0
2025-09-25,MTDL,630.0,635.0,615.0,620.0,7081600.0
2025-09-26,MTDL,620.0,625.0,620.0,620.0,2517500.0
2025-09-29,MTDL,620.0,630.0,600.0,605.0,7133100.0
2025-09-30,MTDL,610.0,615.0,600.0,600.0,4737800.0
2025-10-01,MTDL,605.0,610.0,600.0,605.0,6189900.0
2025-10-02,MTDL,610.0,630.0,605.0,620.0,5286300.0
2025-10-03,MTDL,630.0,630.0,610.0,620.0,4420700.0
2025-10-06,MTDL,620.0,620.0,605.0,605.0,3173200.0
2025-10-07,MTDL,605.0,610.0,600.0,610.0,4287300.0
2025-10-08,MTDL,610.0,615.0,600.0,610.0,4552900.0
2025-10-09,MTDL,610.0,610.0,600.0,605.0,4103800.0
2025-10-10,MTDL,610.0,615.0,605.0,605.0,4412500.0
2025-10-13,MTDL,600.0,605.0,585.0,600.0,5796200.0
2025-10-14,MTDL,600.0,605.0,585.0,585.0,6780000.0
2025-10-15,MTDL,595.0,610.0,590.0,610.0,5493800.0
2025-10-16,MTDL,610.0,625.0,600.0,620.0,3951400.0
2025-10-17,MTDL,620.0,625.0,590.0,590.0,5533100.0
2025-10-20,MTDL,590.0,610.0,590.0,600.0,3946300.0
2025-10-21,MTDL,600.0,610.0,590.0,610.0,4693800.0
2025-10-22,MTDL,605.0,610.0,590.0,590.0,7792600.0
2025-10-23,MTDL,590.0,605.0,590.0,605.0,3884100.0
2025-10-24,MTDL,605.0,620.0,590.0,600.0,5704100.0
2025-10-27,MTDL,605.0,605.0,590.0,595.0,7507100.0
2025-10-28,MTDL,595.0,605.0,590.0,595.0,8772400.0
2025-10-29,MTDL,600.0,610.0,595.0,605.0,9416500.0
2025-10-30,MTDL,605.0,610.0,600.0,605.0,5382900.0
2025-10-31,MTDL,605.0,615.0,595.0,610.0,6203400.0
2025-11-03,MTDL,615.0,620.0,600.0,610.0,4084700.0
2025-11-04,MTDL,610.0,620.0,600.0,610.0,3958900.0
2025-11-05,MTDL,610.0,610.0,600.0,600.0,3254900.0
2025-11-06,MTDL,605.0,605.0,595.0,600.0,10004600.0
2025-11-07,MTDL,600.0,605.0,595.0,595.0,7662800.0
2025-11-10,MTDL,600.0,605.0,595.0,600.0,5213700.0
2025-11-11,MTDL,600.0,605.0,600.0,600.0,1832000.0
2025-11-12,MTDL,605.0,620.0,600.0,610.0,7047800.0
2025-11-13,MTDL,615.0,615.0,600.0,605.0,4321600.0
2025-11-14,MTDL,600.0,610.0,590.0,595.0,10985600.0
2025-11-17,MTDL,595.0,605.0,590.0,595.0,6228300.0
2025-11-18,MTDL,595.0,605.0,595.0,600.0,2890000.0
2025-11-19,MTDL,600.0,610.0,600.0,605.0,4302600.0
2025-11-20,MTDL,605.0,615.0,600.0,615.0,3217400.0
2025-11-21,MTDL,615.0,615.0,590.0,595.0,9286400.0
2025-11-24,MTDL,595.0,605.0,590.0,605.0,2661200.0
2025-11-25,MTDL,610.0,610.0,595.0,600.0,4115700.0
2025-11-26,MTDL,605.0,605.0,595.0,605.0,2301000.0
2025-11-27,MTDL,605.0,605.0,595.0,605.0,2384900.0
2025-11-28,MTDL,605.0,610.0,595.0,600.0,6060000.0
2025-12-01,MTDL,600.0,605.0,590.0,595.0,6954700.0
2025-12-02,MTDL,605.0,605.0,595.0,600.0,6294100.0
