Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,MTPS,29.0,31.0,29.0,31.0,2353400.0
2025-06-16,MTPS,33.0,34.0,33.0,34.0,1419300.0
2025-06-17,MTPS,35.0,37.0,35.0,37.0,34912100.0
2025-06-18,MTPS,38.0,40.0,38.0,40.0,21213100.0
2025-06-19,MTPS,36.0,42.0,36.0,42.0,52165200.0
2025-06-20,MTPS,43.0,46.0,43.0,46.0,38186400.0
2025-06-23,MTPS,47.0,49.0,42.0,42.0,31336200.0
2025-06-24,MTPS,38.0,39.0,38.0,39.0,9384800.0
2025-06-25,MTPS,42.0,42.0,42.0,42.0,471800.0
2025-06-26,MTPS,38.0,40.0,38.0,39.0,18010300.0
2025-06-30,MTPS,39.0,42.0,39.0,42.0,1629800.0
2025-07-01,MTPS,42.0,43.0,42.0,43.0,3982800.0
2025-07-02,MTPS,43.0,44.0,43.0,44.0,722300.0
2025-07-03,MTPS,46.0,48.0,46.0,48.0,1139400.0
2025-07-04,MTPS,50.0,52.0,50.0,52.0,18018000.0
2025-07-07,MTPS,53.0,53.0,47.0,47.0,3433000.0
2025-07-08,MTPS,47.0,50.0,47.0,50.0,500100.0
2025-07-09,MTPS,49.0,49.0,49.0,49.0,267000.0
2025-07-10,MTPS,49.0,49.0,48.0,48.0,75300.0
2025-07-11,MTPS,47.0,47.0,47.0,47.0,822000.0
2025-07-14,MTPS,46.0,46.0,43.0,43.0,638500.0
2025-07-15,MTPS,42.0,42.0,42.0,42.0,79500.0
2025-07-16,MTPS,45.0,45.0,43.0,43.0,582300.0
2025-07-17,MTPS,43.0,43.0,42.0,42.0,90700.0
2025-07-18,MTPS,42.0,42.0,42.0,42.0,106600.0
2025-07-21,MTPS,41.0,42.0,41.0,42.0,59100.0
2025-07-22,MTPS,45.0,45.0,42.0,42.0,113400.0
2025-07-23,MTPS,42.0,42.0,42.0,42.0,21500.0
2025-07-24,MTPS,42.0,42.0,41.0,41.0,44200.0
2025-07-25,MTPS,37.0,37.0,37.0,37.0,197700.0
2025-07-28,MTPS,38.0,40.0,38.0,40.0,48300.0
2025-07-29,MTPS,44.0,44.0,42.0,42.0,89700.0
2025-07-30,MTPS,40.0,40.0,39.0,39.0,1001100.0
2025-07-31,MTPS,39.0,39.0,39.0,39.0,384900.0
2025-08-01,MTPS,39.0,40.0,39.0,40.0,2253700.0
2025-08-04,MTPS,40.0,40.0,39.0,39.0,519100.0
