Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,MYOR,2043.3823383718297,2053.1127304593147,2014.191162109375,2014.191162109375,4825700.0
2025-06-16,MYOR,2023.9215853020335,2053.1127620131206,2023.9215853020335,2033.6519775390625,5867300.0
2025-06-17,MYOR,2033.6519462843448,2043.3823383718297,2004.46077002189,2014.191162109375,9227500.0
2025-06-18,MYOR,2043.3823529411764,2043.3823529411764,1975.2696078431372,1985.0,12923400.0
2025-06-19,MYOR,2020.0,2040.0,2000.0,2010.0,17324400.0
2025-06-20,MYOR,2010.0,2020.0,1950.0,1995.0,31263500.0
2025-06-23,MYOR,1985.0,2020.0,1935.0,2000.0,14592600.0
2025-06-24,MYOR,2020.0,2080.0,2010.0,2050.0,10313700.0
2025-06-25,MYOR,2050.0,2080.0,2010.0,2050.0,6390700.0
2025-06-26,MYOR,2080.0,2100.0,2050.0,2100.0,13106100.0
2025-06-30,MYOR,2100.0,2140.0,2080.0,2090.0,7055200.0
2025-07-01,MYOR,2100.0,2200.0,2080.0,2170.0,21806000.0
2025-07-02,MYOR,2180.0,2210.0,2170.0,2180.0,9581900.0
2025-07-03,MYOR,2190.0,2200.0,2150.0,2150.0,2157400.0
2025-07-04,MYOR,2160.0,2190.0,2130.0,2140.0,1605300.0
2025-07-07,MYOR,2140.0,2170.0,2110.0,2140.0,1183100.0
2025-07-08,MYOR,2140.0,2150.0,2110.0,2110.0,2140700.0
2025-07-09,MYOR,2110.0,2130.0,2070.0,2110.0,3651800.0
2025-07-10,MYOR,2110.0,2130.0,2080.0,2110.0,6507100.0
2025-07-11,MYOR,2110.0,2170.0,2110.0,2150.0,3001400.0
2025-07-14,MYOR,2160.0,2170.0,2060.0,2080.0,7380600.0
2025-07-15,MYOR,2080.0,2080.0,2020.0,2030.0,6408900.0
2025-07-16,MYOR,2030.0,2050.0,1975.0,1990.0,18695400.0
2025-07-17,MYOR,2020.0,2050.0,1990.0,2030.0,10962800.0
2025-07-18,MYOR,2050.0,2060.0,2030.0,2030.0,6436500.0
2025-07-21,MYOR,2050.0,2090.0,2000.0,2070.0,8410300.0
2025-07-22,MYOR,2090.0,2090.0,2000.0,2010.0,11353400.0
2025-07-23,MYOR,2010.0,2020.0,1995.0,2010.0,6913000.0
2025-07-24,MYOR,2010.0,2060.0,2010.0,2040.0,8086000.0
2025-07-25,MYOR,2060.0,2080.0,2030.0,2060.0,9652400.0
2025-07-28,MYOR,2060.0,2170.0,2060.0,2130.0,18175100.0
2025-07-29,MYOR,2150.0,2210.0,2130.0,2210.0,14524100.0
2025-07-30,MYOR,2210.0,2220.0,2150.0,2170.0,15588800.0
2025-07-31,MYOR,2160.0,2270.0,2120.0,2230.0,14080800.0
2025-08-01,MYOR,2260.0,2290.0,2220.0,2280.0,17269100.0
2025-08-04,MYOR,2290.0,2350.0,2290.0,2340.0,15578200.0
2025-08-05,MYOR,2340.0,2350.0,2230.0,2260.0,8327200.0
2025-08-06,MYOR,2260.0,2270.0,2190.0,2220.0,4808800.0
2025-08-07,MYOR,2220.0,2220.0,2170.0,2210.0,4050100.0
2025-08-08,MYOR,2220.0,2220.0,2180.0,2210.0,3661200.0
2025-08-11,MYOR,2220.0,2230.0,2190.0,2190.0,4072400.0
2025-08-12,MYOR,2200.0,2230.0,2190.0,2230.0,4030200.0
2025-08-13,MYOR,2210.0,2230.0,2150.0,2200.0,11265700.0
2025-08-14,MYOR,2210.0,2250.0,2200.0,2230.0,21874000.0
2025-08-15,MYOR,2220.0,2220.0,2130.0,2200.0,6938100.0
2025-08-19,MYOR,2200.0,2220.0,2170.0,2190.0,5418900.0
2025-08-20,MYOR,2170.0,2230.0,2150.0,2210.0,6768300.0
2025-08-21,MYOR,2190.0,2280.0,2190.0,2260.0,9208000.0
2025-08-22,MYOR,2280.0,2290.0,2200.0,2220.0,3076000.0
2025-08-25,MYOR,2220.0,2240.0,2200.0,2200.0,3616500.0
2025-08-26,MYOR,2200.0,2230.0,2200.0,2200.0,3617100.0
2025-08-27,MYOR,2210.0,2220.0,2150.0,2150.0,7994700.0
2025-08-28,MYOR,2150.0,2200.0,2140.0,2150.0,3841700.0
2025-08-29,MYOR,2140.0,2150.0,2080.0,2100.0,6430400.0
2025-09-01,MYOR,2090.0,2110.0,2030.0,2100.0,9044800.0
2025-09-02,MYOR,2090.0,2140.0,2080.0,2110.0,3448600.0
2025-09-03,MYOR,2140.0,2150.0,2100.0,2100.0,1435100.0
2025-09-04,MYOR,2130.0,2130.0,2080.0,2130.0,2719700.0
2025-09-08,MYOR,2130.0,2170.0,2110.0,2120.0,2867800.0
2025-09-09,MYOR,2120.0,2130.0,2090.0,2120.0,2508600.0
2025-09-10,MYOR,2120.0,2140.0,2090.0,2120.0,1670100.0
2025-09-11,MYOR,2120.0,2130.0,2050.0,2050.0,4137700.0
2025-09-12,MYOR,2070.0,2120.0,2060.0,2080.0,5609000.0
2025-09-15,MYOR,2080.0,2100.0,2030.0,2030.0,5498000.0
2025-09-16,MYOR,2050.0,2080.0,2040.0,2070.0,6025800.0
2025-09-17,MYOR,2070.0,2090.0,2040.0,2070.0,7338400.0
2025-09-18,MYOR,2080.0,2090.0,2050.0,2050.0,3788900.0
2025-09-19,MYOR,2030.0,2050.0,2010.0,2040.0,8389200.0
2025-09-22,MYOR,2050.0,2080.0,2020.0,2060.0,4542300.0
2025-09-23,MYOR,2080.0,2110.0,2030.0,2060.0,8137900.0
2025-09-24,MYOR,2060.0,2060.0,2020.0,2030.0,7909300.0
2025-09-25,MYOR,2050.0,2050.0,1970.0,1990.0,21998600.0
2025-09-26,MYOR,1990.0,2060.0,1990.0,2010.0,9214400.0
2025-09-29,MYOR,2030.0,2050.0,2010.0,2030.0,7717600.0
2025-09-30,MYOR,2020.0,2050.0,2010.0,2030.0,6681000.0
2025-10-01,MYOR,2040.0,2080.0,2030.0,2080.0,10086100.0
2025-10-02,MYOR,2090.0,2170.0,2080.0,2160.0,14913300.0
