Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,NASI,83.0,83.0,81.0,82.0,1537800.0
2025-06-16,NASI,83.0,83.0,80.0,80.0,2651300.0
2025-06-17,NASI,80.0,86.0,79.0,81.0,4437400.0
2025-06-18,NASI,82.0,83.0,80.0,81.0,1414800.0
2025-06-19,NASI,81.0,82.0,78.0,80.0,2910600.0
2025-06-20,NASI,79.0,80.0,77.0,79.0,1559100.0
2025-06-23,NASI,79.0,79.0,72.0,74.0,4610400.0
2025-06-24,NASI,74.0,79.0,73.0,77.0,2073800.0
2025-06-25,NASI,77.0,77.0,76.0,77.0,951600.0
2025-06-26,NASI,77.0,78.0,76.0,76.0,605500.0
2025-06-30,NASI,76.0,78.0,76.0,76.0,795500.0
2025-07-01,NASI,77.0,79.0,75.0,77.0,1481800.0
2025-07-02,NASI,77.0,99.0,75.0,93.0,131259700.0
2025-07-03,NASI,93.0,97.0,86.0,90.0,46833500.0
2025-07-04,NASI,92.0,93.0,88.0,92.0,18399200.0
2025-07-07,NASI,92.0,94.0,88.0,91.0,11096200.0
2025-07-08,NASI,91.0,93.0,89.0,91.0,7543900.0
2025-07-09,NASI,92.0,95.0,90.0,91.0,18399000.0
2025-07-10,NASI,92.0,94.0,90.0,91.0,9750300.0
2025-07-11,NASI,93.0,93.0,87.0,89.0,9020000.0
2025-07-14,NASI,91.0,92.0,84.0,85.0,11566600.0
2025-07-15,NASI,85.0,86.0,81.0,82.0,13926700.0
2025-07-16,NASI,85.0,88.0,82.0,83.0,16512000.0
2025-07-17,NASI,84.0,84.0,82.0,83.0,4264200.0
2025-07-18,NASI,83.0,85.0,82.0,83.0,4837000.0
2025-07-21,NASI,84.0,85.0,82.0,84.0,3726500.0
2025-07-22,NASI,85.0,85.0,83.0,84.0,3186300.0
2025-07-23,NASI,83.0,89.0,83.0,86.0,9040600.0
2025-07-24,NASI,86.0,87.0,84.0,84.0,2565200.0
2025-07-25,NASI,85.0,86.0,83.0,84.0,1710200.0
2025-07-28,NASI,84.0,85.0,83.0,85.0,2434800.0
2025-07-29,NASI,85.0,90.0,84.0,88.0,15909900.0
2025-07-30,NASI,89.0,91.0,88.0,88.0,9338100.0
2025-07-31,NASI,89.0,90.0,87.0,88.0,3572600.0
2025-08-01,NASI,89.0,89.0,82.0,84.0,17327500.0
2025-08-04,NASI,84.0,84.0,80.0,83.0,7224000.0
2025-08-05,NASI,83.0,84.0,81.0,84.0,2774000.0
2025-08-06,NASI,87.0,90.0,83.0,86.0,22777600.0
2025-08-07,NASI,87.0,87.0,83.0,84.0,4694400.0
2025-08-08,NASI,84.0,84.0,82.0,83.0,2401800.0
2025-08-11,NASI,83.0,85.0,83.0,85.0,2026500.0
2025-08-12,NASI,85.0,89.0,84.0,85.0,18176700.0
2025-08-13,NASI,86.0,87.0,85.0,85.0,3757400.0
2025-08-14,NASI,86.0,94.0,85.0,87.0,36472700.0
2025-08-15,NASI,89.0,92.0,88.0,92.0,13204800.0
2025-08-19,NASI,92.0,95.0,89.0,90.0,10376800.0
2025-08-20,NASI,90.0,92.0,87.0,87.0,6076600.0
2025-08-21,NASI,88.0,91.0,86.0,89.0,6933300.0
2025-08-22,NASI,91.0,93.0,88.0,90.0,8011500.0
2025-08-25,NASI,91.0,100.0,90.0,94.0,31830000.0
2025-08-26,NASI,95.0,95.0,90.0,92.0,10948000.0
2025-08-27,NASI,94.0,95.0,92.0,93.0,7695000.0
2025-08-28,NASI,93.0,108.0,87.0,90.0,108801700.0
2025-08-29,NASI,89.0,89.0,82.0,84.0,19409000.0
2025-09-01,NASI,80.0,86.0,79.0,86.0,7691000.0
2025-09-02,NASI,86.0,90.0,85.0,86.0,7296500.0
2025-09-03,NASI,86.0,88.0,85.0,87.0,4380000.0
2025-09-04,NASI,89.0,90.0,86.0,88.0,3807100.0
2025-09-08,NASI,88.0,98.0,88.0,91.0,52523000.0
2025-09-09,NASI,91.0,92.0,83.0,88.0,9091800.0
2025-09-10,NASI,88.0,89.0,86.0,88.0,3010300.0
2025-09-11,NASI,88.0,93.0,87.0,89.0,9442200.0
2025-09-12,NASI,89.0,92.0,88.0,90.0,3987900.0
2025-09-15,NASI,90.0,94.0,89.0,93.0,13638100.0
2025-09-16,NASI,94.0,96.0,93.0,95.0,10208000.0
2025-09-17,NASI,97.0,128.0,97.0,128.0,219877000.0
2025-09-18,NASI,150.0,158.0,120.0,120.0,213994500.0
2025-09-19,NASI,120.0,149.0,110.0,121.0,283394600.0
2025-09-22,NASI,128.0,143.0,121.0,137.0,133550000.0
2025-09-23,NASI,137.0,148.0,133.0,137.0,78011200.0
2025-09-24,NASI,140.0,142.0,131.0,133.0,24616600.0
2025-09-25,NASI,134.0,134.0,123.0,124.0,16395400.0
2025-09-26,NASI,127.0,140.0,126.0,129.0,61723900.0
2025-09-29,NASI,129.0,130.0,123.0,130.0,16655100.0
2025-09-30,NASI,130.0,148.0,126.0,138.0,102340400.0
2025-10-01,NASI,141.0,142.0,131.0,134.0,33968400.0
2025-10-02,NASI,138.0,138.0,130.0,132.0,8802200.0
