Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,NICK,1060.0,1090.0,1000.0,1055.0,31100.0
2025-06-16,NICK,1055.0,1090.0,1055.0,1070.0,13700.0
2025-06-17,NICK,1070.0,1085.0,1030.0,1030.0,2700.0
2025-06-18,NICK,1030.0,1060.0,1000.0,1020.0,13600.0
2025-06-19,NICK,1070.0,1070.0,995.0,1065.0,4800.0
2025-06-20,NICK,1020.0,1245.0,1020.0,1200.0,491700.0
2025-06-23,NICK,1200.0,1245.0,1145.0,1235.0,14600.0
2025-06-24,NICK,1135.0,1500.0,1135.0,1450.0,31500.0
2025-06-25,NICK,1450.0,1450.0,1450.0,1450.0,0.0
2025-06-26,NICK,1460.0,1810.0,1300.0,1450.0,104700.0
2025-06-30,NICK,1455.0,1500.0,1450.0,1470.0,68900.0
2025-07-01,NICK,1465.0,1500.0,1310.0,1430.0,9400.0
2025-07-02,NICK,1450.0,1450.0,1230.0,1280.0,21000.0
2025-07-03,NICK,1220.0,1375.0,1145.0,1295.0,28000.0
2025-07-04,NICK,1290.0,1290.0,1160.0,1240.0,2600.0
2025-07-07,NICK,1240.0,1355.0,1190.0,1350.0,8900.0
2025-07-08,NICK,1355.0,1355.0,1255.0,1320.0,6500.0
2025-07-09,NICK,1280.0,1325.0,1270.0,1290.0,1400.0
2025-07-10,NICK,1290.0,1305.0,1220.0,1285.0,5400.0
2025-07-11,NICK,1280.0,1400.0,1220.0,1290.0,9800.0
2025-07-14,NICK,1290.0,1320.0,1270.0,1290.0,3500.0
2025-07-15,NICK,1290.0,1290.0,1195.0,1270.0,14200.0
2025-07-16,NICK,1265.0,1270.0,1210.0,1260.0,2800.0
2025-07-17,NICK,1260.0,1350.0,1220.0,1310.0,9000.0
2025-07-18,NICK,1295.0,1300.0,1240.0,1280.0,20200.0
2025-07-21,NICK,1240.0,1280.0,1150.0,1195.0,14700.0
2025-07-22,NICK,1195.0,1195.0,1120.0,1180.0,16500.0
2025-07-23,NICK,1180.0,1180.0,1100.0,1100.0,16900.0
2025-07-24,NICK,1100.0,1375.0,1100.0,1375.0,385000.0
2025-07-25,NICK,1480.0,1685.0,1375.0,1560.0,1195600.0
2025-07-28,NICK,1585.0,1950.0,1365.0,1560.0,1284100.0
2025-07-29,NICK,1590.0,1590.0,1415.0,1460.0,370300.0
2025-07-30,NICK,1475.0,1475.0,1400.0,1420.0,449500.0
2025-07-31,NICK,1420.0,1540.0,1380.0,1450.0,764900.0
2025-08-01,NICK,1515.0,1600.0,1445.0,1445.0,65500.0
2025-08-04,NICK,1455.0,1455.0,1350.0,1365.0,11700.0
2025-08-05,NICK,1335.0,1335.0,1210.0,1250.0,65300.0
2025-08-06,NICK,1300.0,1555.0,1295.0,1430.0,400000.0
2025-08-07,NICK,1430.0,1430.0,1320.0,1355.0,51200.0
2025-08-08,NICK,1310.0,1315.0,1295.0,1300.0,16000.0
2025-08-11,NICK,1300.0,1300.0,1250.0,1275.0,23000.0
2025-08-12,NICK,1320.0,1330.0,1255.0,1325.0,11300.0
2025-08-13,NICK,1325.0,1325.0,1260.0,1320.0,56600.0
2025-08-14,NICK,1325.0,1325.0,1270.0,1300.0,31600.0
2025-08-15,NICK,1300.0,1300.0,1275.0,1290.0,2600.0
2025-08-19,NICK,1290.0,1290.0,1200.0,1240.0,28500.0
2025-08-20,NICK,1240.0,1400.0,1200.0,1245.0,26400.0
2025-08-21,NICK,1280.0,1445.0,1200.0,1295.0,98200.0
2025-08-22,NICK,1295.0,1295.0,1270.0,1290.0,9000.0
2025-08-25,NICK,1290.0,1330.0,1265.0,1300.0,12500.0
2025-08-26,NICK,1300.0,1330.0,1300.0,1300.0,8200.0
2025-08-27,NICK,1300.0,1345.0,1275.0,1300.0,18100.0
2025-08-28,NICK,1305.0,1530.0,1305.0,1365.0,121100.0
2025-08-29,NICK,1415.0,1415.0,1370.0,1405.0,31800.0
2025-09-01,NICK,1405.0,1405.0,1380.0,1405.0,8700.0
2025-09-02,NICK,1405.0,1405.0,1345.0,1405.0,4800.0
2025-09-03,NICK,1350.0,1400.0,1350.0,1390.0,28400.0
2025-09-04,NICK,1390.0,1405.0,1375.0,1375.0,12400.0
2025-09-08,NICK,1360.0,1435.0,1325.0,1430.0,7200.0
2025-09-09,NICK,1445.0,1445.0,1320.0,1320.0,8700.0
2025-09-10,NICK,1320.0,1415.0,1295.0,1350.0,14800.0
2025-09-11,NICK,1405.0,1410.0,1350.0,1405.0,1600.0
2025-09-12,NICK,1360.0,1360.0,1350.0,1350.0,4400.0
2025-09-15,NICK,1360.0,1365.0,1200.0,1300.0,20700.0
2025-09-16,NICK,1225.0,1360.0,1225.0,1350.0,15000.0
2025-09-17,NICK,1330.0,1355.0,1240.0,1340.0,16100.0
