Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,OBMD,212.0,214.0,206.0,208.0,792800.0
2025-06-16,OBMD,210.0,212.0,204.0,208.0,686600.0
2025-06-17,OBMD,206.0,206.0,202.0,204.0,277100.0
2025-06-18,OBMD,206.0,208.0,204.0,204.0,211600.0
2025-06-19,OBMD,204.0,206.0,195.0,195.0,1223500.0
2025-06-20,OBMD,195.0,196.0,166.0,186.0,2738300.0
2025-06-23,OBMD,187.0,200.0,187.0,193.0,313300.0
2025-06-24,OBMD,193.0,193.0,187.0,191.0,350100.0
2025-06-25,OBMD,192.0,192.0,189.0,189.0,91800.0
2025-06-26,OBMD,190.0,192.0,190.0,190.0,56500.0
2025-06-30,OBMD,190.0,198.0,189.0,192.0,567600.0
2025-07-01,OBMD,192.0,198.0,182.0,192.0,877600.0
2025-07-02,OBMD,190.0,192.0,186.0,189.0,175900.0
2025-07-03,OBMD,187.0,190.0,186.0,188.0,50600.0
2025-07-04,OBMD,190.0,190.0,188.0,190.0,69200.0
2025-07-07,OBMD,190.0,193.0,190.0,192.0,584900.0
2025-07-08,OBMD,192.0,194.0,192.0,193.0,65800.0
2025-07-09,OBMD,193.0,195.0,191.0,194.0,326100.0
2025-07-10,OBMD,195.0,199.0,195.0,196.0,116900.0
2025-07-11,OBMD,195.0,196.0,195.0,196.0,121600.0
2025-07-14,OBMD,196.0,198.0,194.0,198.0,349700.0
2025-07-15,OBMD,198.0,198.0,194.0,197.0,211500.0
2025-07-16,OBMD,197.0,198.0,190.0,194.0,90500.0
2025-07-17,OBMD,193.0,197.0,191.0,194.0,1310400.0
2025-07-18,OBMD,195.0,198.0,195.0,196.0,275800.0
2025-07-21,OBMD,196.0,199.0,195.0,197.0,437000.0
2025-07-22,OBMD,197.0,197.0,194.0,195.0,1022500.0
2025-07-23,OBMD,196.0,208.0,195.0,208.0,1843900.0
2025-07-24,OBMD,208.0,214.0,186.0,196.0,2865300.0
2025-07-25,OBMD,196.0,198.0,194.0,198.0,286700.0
2025-07-28,OBMD,198.0,198.0,194.0,195.0,108200.0
2025-07-29,OBMD,194.0,198.0,194.0,195.0,663700.0
2025-07-30,OBMD,194.0,198.0,194.0,195.0,899200.0
2025-07-31,OBMD,195.0,208.0,194.0,202.0,1304200.0
2025-08-01,OBMD,204.0,204.0,198.0,198.0,321300.0
2025-08-04,OBMD,198.0,202.0,197.0,202.0,171900.0
2025-08-05,OBMD,200.0,200.0,194.0,200.0,1011600.0
2025-08-06,OBMD,200.0,200.0,198.0,198.0,350600.0
2025-08-07,OBMD,200.0,200.0,197.0,199.0,280100.0
2025-08-08,OBMD,199.0,200.0,197.0,199.0,64500.0
2025-08-11,OBMD,198.0,198.0,190.0,194.0,759200.0
2025-08-12,OBMD,192.0,197.0,190.0,194.0,721200.0
2025-08-13,OBMD,193.0,194.0,188.0,192.0,595400.0
2025-08-14,OBMD,191.0,200.0,191.0,193.0,560400.0
2025-08-15,OBMD,193.0,195.0,192.0,194.0,449000.0
2025-08-19,OBMD,193.0,197.0,193.0,195.0,403100.0
2025-08-20,OBMD,196.0,210.0,194.0,198.0,1681900.0
2025-08-21,OBMD,199.0,212.0,198.0,206.0,1674400.0
2025-08-22,OBMD,206.0,212.0,206.0,206.0,1264100.0
2025-08-25,OBMD,206.0,232.0,206.0,230.0,6555300.0
2025-08-26,OBMD,230.0,270.0,230.0,254.0,9196300.0
2025-08-27,OBMD,264.0,268.0,240.0,250.0,3635100.0
2025-08-28,OBMD,292.0,312.0,292.0,312.0,13808400.0
2025-08-29,OBMD,322.0,366.0,286.0,320.0,26727700.0
2025-09-01,OBMD,298.0,310.0,292.0,300.0,6455100.0
2025-09-02,OBMD,300.0,300.0,280.0,288.0,7352900.0
2025-09-03,OBMD,288.0,292.0,270.0,274.0,4901200.0
2025-09-04,OBMD,276.0,290.0,274.0,280.0,3088800.0
2025-09-08,OBMD,280.0,282.0,264.0,266.0,4434800.0
2025-09-09,OBMD,266.0,278.0,264.0,274.0,859000.0
2025-09-10,OBMD,246.0,330.0,246.0,302.0,7305300.0
2025-09-11,OBMD,310.0,314.0,290.0,294.0,2185700.0
2025-09-12,OBMD,294.0,306.0,288.0,294.0,841900.0
2025-09-15,OBMD,292.0,296.0,270.0,290.0,1042500.0
2025-09-16,OBMD,290.0,290.0,272.0,288.0,1161000.0
2025-09-17,OBMD,288.0,288.0,278.0,282.0,573900.0
2025-09-18,OBMD,280.0,280.0,270.0,272.0,1710000.0
