Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,OCAP,159.0,159.0,159.0,159.0,0.0
2025-06-16,OCAP,159.0,159.0,159.0,159.0,0.0
2025-06-17,OCAP,159.0,159.0,159.0,159.0,0.0
2025-06-18,OCAP,159.0,159.0,159.0,159.0,0.0
2025-06-19,OCAP,159.0,159.0,159.0,159.0,0.0
2025-06-20,OCAP,159.0,159.0,159.0,159.0,0.0
2025-06-23,OCAP,159.0,159.0,159.0,159.0,0.0
2025-06-24,OCAP,159.0,159.0,159.0,159.0,0.0
2025-06-25,OCAP,159.0,159.0,159.0,159.0,0.0
2025-06-26,OCAP,159.0,159.0,159.0,159.0,0.0
2025-06-30,OCAP,159.0,159.0,159.0,159.0,0.0
2025-07-01,OCAP,159.0,159.0,159.0,159.0,0.0
2025-07-02,OCAP,159.0,159.0,159.0,159.0,0.0
2025-07-03,OCAP,159.0,159.0,159.0,159.0,0.0
2025-07-04,OCAP,159.0,159.0,159.0,159.0,0.0
2025-07-07,OCAP,159.0,159.0,159.0,159.0,0.0
2025-07-08,OCAP,159.0,159.0,159.0,159.0,0.0
2025-07-09,OCAP,159.0,159.0,159.0,159.0,0.0
2025-07-10,OCAP,159.0,159.0,159.0,159.0,0.0
2025-07-11,OCAP,159.0,159.0,159.0,159.0,0.0
2025-07-14,OCAP,159.0,159.0,159.0,159.0,0.0
2025-07-15,OCAP,159.0,159.0,159.0,159.0,0.0
2025-07-16,OCAP,159.0,159.0,159.0,159.0,0.0
2025-07-17,OCAP,159.0,159.0,159.0,159.0,0.0
2025-07-18,OCAP,159.0,159.0,159.0,159.0,0.0
2025-07-21,OCAP,159.0,159.0,159.0,159.0,0.0
2025-07-22,OCAP,159.0,159.0,159.0,159.0,0.0
2025-07-23,OCAP,159.0,159.0,159.0,159.0,0.0
2025-07-24,OCAP,159.0,159.0,159.0,159.0,0.0
2025-07-25,OCAP,159.0,159.0,159.0,159.0,0.0
2025-07-28,OCAP,159.0,159.0,159.0,159.0,0.0
2025-07-29,OCAP,159.0,159.0,159.0,159.0,0.0
2025-07-30,OCAP,159.0,159.0,159.0,159.0,0.0
2025-07-31,OCAP,159.0,159.0,159.0,159.0,0.0
2025-08-01,OCAP,159.0,159.0,159.0,159.0,0.0
2025-08-04,OCAP,159.0,159.0,159.0,159.0,0.0
2025-08-05,OCAP,159.0,159.0,159.0,159.0,0.0
2025-08-06,OCAP,159.0,159.0,159.0,159.0,0.0
2025-08-07,OCAP,159.0,159.0,159.0,159.0,0.0
2025-08-08,OCAP,159.0,159.0,159.0,159.0,0.0
2025-08-11,OCAP,159.0,159.0,159.0,159.0,0.0
2025-08-12,OCAP,159.0,159.0,159.0,159.0,0.0
2025-08-13,OCAP,159.0,159.0,159.0,159.0,0.0
2025-08-14,OCAP,159.0,159.0,159.0,159.0,0.0
2025-08-15,OCAP,159.0,159.0,159.0,159.0,0.0
2025-08-19,OCAP,159.0,159.0,159.0,159.0,0.0
2025-08-20,OCAP,159.0,159.0,159.0,159.0,0.0
2025-08-21,OCAP,159.0,159.0,159.0,159.0,0.0
2025-08-22,OCAP,159.0,159.0,159.0,159.0,0.0
2025-08-25,OCAP,159.0,159.0,159.0,159.0,0.0
2025-08-26,OCAP,159.0,159.0,159.0,159.0,0.0
2025-08-27,OCAP,159.0,159.0,159.0,159.0,0.0
2025-08-28,OCAP,159.0,159.0,159.0,159.0,0.0
2025-08-29,OCAP,159.0,159.0,159.0,159.0,0.0
2025-09-01,OCAP,159.0,159.0,159.0,159.0,0.0
2025-09-02,OCAP,159.0,159.0,159.0,159.0,0.0
2025-09-03,OCAP,159.0,159.0,159.0,159.0,0.0
2025-09-04,OCAP,159.0,159.0,159.0,159.0,0.0
2025-09-08,OCAP,159.0,159.0,159.0,159.0,0.0
2025-09-09,OCAP,159.0,159.0,159.0,159.0,0.0
2025-09-10,OCAP,159.0,159.0,159.0,159.0,0.0
2025-09-11,OCAP,159.0,159.0,159.0,159.0,0.0
2025-09-12,OCAP,159.0,159.0,159.0,159.0,0.0
2025-09-15,OCAP,159.0,159.0,159.0,159.0,0.0
2025-09-16,OCAP,159.0,159.0,159.0,159.0,0.0
2025-09-17,OCAP,159.0,159.0,159.0,159.0,0.0
2025-09-18,OCAP,159.0,159.0,159.0,159.0,0.0
2025-09-19,OCAP,159.0,159.0,159.0,159.0,0.0
2025-09-22,OCAP,159.0,159.0,159.0,159.0,0.0
2025-09-23,OCAP,159.0,159.0,159.0,159.0,0.0
