Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,PADA,15.0,15.0,15.0,15.0,2967500.0
2025-06-16,PADA,15.0,16.0,15.0,16.0,2569700.0
2025-06-17,PADA,16.0,16.0,15.0,16.0,860600.0
2025-06-18,PADA,15.0,15.0,15.0,15.0,6730900.0
2025-06-19,PADA,15.0,15.0,15.0,15.0,2482000.0
2025-06-20,PADA,16.0,16.0,16.0,16.0,7336800.0
2025-06-23,PADA,15.0,15.0,15.0,15.0,5938400.0
2025-06-24,PADA,15.0,15.0,15.0,15.0,1651400.0
2025-06-25,PADA,15.0,15.0,14.0,14.0,1288300.0
2025-06-26,PADA,15.0,15.0,14.0,15.0,685600.0
2025-06-30,PADA,14.0,15.0,14.0,15.0,1522200.0
2025-07-01,PADA,14.0,14.0,14.0,14.0,574500.0
2025-07-02,PADA,14.0,14.0,14.0,14.0,818100.0
2025-07-03,PADA,14.0,15.0,14.0,14.0,1757000.0
2025-07-04,PADA,14.0,15.0,14.0,14.0,1322100.0
2025-07-07,PADA,14.0,14.0,14.0,14.0,3104800.0
2025-07-08,PADA,14.0,14.0,13.0,13.0,1038700.0
2025-07-09,PADA,13.0,14.0,13.0,14.0,2972200.0
2025-07-10,PADA,14.0,14.0,14.0,14.0,1012300.0
2025-07-11,PADA,15.0,15.0,15.0,15.0,4754800.0
2025-07-14,PADA,16.0,16.0,15.0,16.0,8239100.0
2025-07-15,PADA,15.0,15.0,15.0,15.0,1741100.0
2025-07-16,PADA,15.0,15.0,15.0,15.0,875700.0
2025-07-17,PADA,14.0,15.0,14.0,15.0,585100.0
2025-07-18,PADA,15.0,15.0,15.0,15.0,1005900.0
2025-07-21,PADA,14.0,14.0,14.0,14.0,1864200.0
2025-07-22,PADA,14.0,15.0,14.0,14.0,2809900.0
2025-07-23,PADA,14.0,14.0,14.0,14.0,3141500.0
2025-07-24,PADA,14.0,14.0,13.0,14.0,1365300.0
2025-07-25,PADA,14.0,14.0,14.0,14.0,627300.0
2025-07-28,PADA,15.0,15.0,15.0,15.0,5235300.0
2025-07-29,PADA,16.0,16.0,16.0,16.0,10411200.0
2025-07-30,PADA,17.0,17.0,17.0,17.0,9229700.0
2025-07-31,PADA,18.0,18.0,18.0,18.0,5233300.0
