Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,PANS,1422.2948052822014,1426.838878142528,1408.662586701222,1417.750732421875,353100.0
2025-06-16,PANS,1417.75083131428,1445.0152703780163,1413.2067581369909,1435.9271240234375,155600.0
2025-06-17,PANS,1435.9271068034875,1454.103399294671,1435.9271068034875,1449.559326171875,276000.0
2025-06-18,PANS,1454.103399294671,1458.6474724174666,1445.015253049079,1449.559326171875,189600.0
2025-06-19,PANS,1449.5593553287968,1449.5593553287968,1417.7508428294186,1426.8389892578125,115500.0
2025-06-20,PANS,1426.838878142528,1426.838878142528,1404.1185138408955,1417.750732421875,179800.0
2025-06-23,PANS,1417.7507602554967,1417.7507602554967,1331.4133742142967,1395.0303955078125,136300.0
2025-06-24,PANS,1395.0304767584344,1435.9271356862062,1395.0304767584344,1426.8389892578125,104100.0
2025-06-25,PANS,1426.838878142528,1431.3829510028545,1413.2066595615483,1417.750732421875,248400.0
2025-06-26,PANS,1408.6626849597014,1435.9271240234375,1408.6626849597014,1435.9271240234375,119200.0
2025-06-30,PANS,1435.9270955023364,1467.7356071115653,1431.3830224153037,1458.6474609375,474800.0
2025-07-01,PANS,1463.1915283203125,1463.1915283203125,1431.3830168350883,1463.1915283203125,354200.0
2025-07-02,PANS,1445.0152138552053,1481.3677978515625,1426.8389218570264,1481.3677978515625,582500.0
2025-07-03,PANS,1481.3677811550153,1504.0881458966567,1472.2796352583587,1495.0,799600.0
2025-07-04,PANS,1504.088134765625,1508.6322076803247,1485.911843106826,1504.088134765625,805100.0
2025-07-07,PANS,1504.0881237682995,1517.7203424127251,1499.5440508868244,1513.17626953125,1618200.0
2025-07-08,PANS,1513.176291793313,1517.7203647416413,1495.0,1495.0,2420300.0
2025-07-09,PANS,1400.0,1490.0,1400.0,1480.0,1261800.0
2025-07-10,PANS,1480.0,1480.0,1455.0,1480.0,281500.0
2025-07-11,PANS,1480.0,1480.0,1465.0,1470.0,270300.0
2025-07-14,PANS,1480.0,1480.0,1450.0,1455.0,275000.0
2025-07-15,PANS,1455.0,1455.0,1430.0,1445.0,139500.0
2025-07-16,PANS,1445.0,1455.0,1430.0,1445.0,282200.0
2025-07-17,PANS,1450.0,1450.0,1440.0,1445.0,48300.0
2025-07-18,PANS,1445.0,1450.0,1430.0,1435.0,173700.0
2025-07-21,PANS,1440.0,1440.0,1400.0,1425.0,221100.0
2025-07-22,PANS,1430.0,1430.0,1415.0,1420.0,223600.0
2025-07-23,PANS,1430.0,1440.0,1415.0,1435.0,170800.0
2025-07-24,PANS,1420.0,1510.0,1420.0,1450.0,212200.0
2025-07-25,PANS,1470.0,1480.0,1435.0,1445.0,314600.0
2025-07-28,PANS,1450.0,1450.0,1435.0,1445.0,247800.0
2025-07-29,PANS,1440.0,1450.0,1435.0,1440.0,147100.0
2025-07-30,PANS,1440.0,1450.0,1430.0,1430.0,265400.0
2025-07-31,PANS,1435.0,1435.0,1420.0,1420.0,162500.0
2025-08-01,PANS,1430.0,1435.0,1420.0,1425.0,186200.0
2025-08-04,PANS,1425.0,1425.0,1395.0,1405.0,588100.0
2025-08-05,PANS,1400.0,1410.0,1390.0,1395.0,661600.0
2025-08-06,PANS,1395.0,1405.0,1390.0,1405.0,133700.0
2025-08-07,PANS,1405.0,1405.0,1395.0,1395.0,191400.0
2025-08-08,PANS,1395.0,1400.0,1385.0,1390.0,308600.0
2025-08-11,PANS,1390.0,1400.0,1390.0,1400.0,43700.0
2025-08-12,PANS,1400.0,1405.0,1395.0,1400.0,306400.0
2025-08-13,PANS,1400.0,1410.0,1395.0,1410.0,97700.0
2025-08-14,PANS,1410.0,1415.0,1400.0,1410.0,174600.0
2025-08-15,PANS,1405.0,1410.0,1395.0,1395.0,245200.0
2025-08-19,PANS,1395.0,1395.0,1385.0,1390.0,358600.0
2025-08-20,PANS,1405.0,1410.0,1395.0,1400.0,119100.0
2025-08-21,PANS,1410.0,1410.0,1400.0,1405.0,56800.0
2025-08-22,PANS,1405.0,1415.0,1400.0,1410.0,224300.0
2025-08-25,PANS,1405.0,1420.0,1405.0,1410.0,154000.0
2025-08-26,PANS,1415.0,1415.0,1395.0,1405.0,315300.0
2025-08-27,PANS,1400.0,1410.0,1395.0,1400.0,165000.0
2025-08-28,PANS,1400.0,1415.0,1395.0,1400.0,224000.0
2025-08-29,PANS,1400.0,1410.0,1385.0,1395.0,280600.0
2025-09-01,PANS,1385.0,1390.0,1375.0,1390.0,432100.0
2025-09-02,PANS,1390.0,1400.0,1390.0,1395.0,42800.0
2025-09-03,PANS,1395.0,1400.0,1380.0,1395.0,106200.0
2025-09-04,PANS,1395.0,1400.0,1375.0,1390.0,348600.0
2025-09-08,PANS,1390.0,1400.0,1385.0,1385.0,304900.0
2025-09-09,PANS,1385.0,1385.0,1370.0,1370.0,159900.0
2025-09-10,PANS,1370.0,1395.0,1370.0,1390.0,79500.0
2025-09-11,PANS,1395.0,1400.0,1385.0,1390.0,193900.0
2025-09-12,PANS,1390.0,1395.0,1370.0,1390.0,158800.0
2025-09-15,PANS,1385.0,1390.0,1380.0,1390.0,43400.0
2025-09-16,PANS,1390.0,1395.0,1380.0,1390.0,83200.0
2025-09-17,PANS,1400.0,1400.0,1385.0,1390.0,131500.0
2025-09-18,PANS,1390.0,1395.0,1385.0,1390.0,90800.0
2025-09-19,PANS,1390.0,1395.0,1380.0,1390.0,112300.0
2025-09-22,PANS,1390.0,1395.0,1375.0,1385.0,136400.0
2025-09-23,PANS,1380.0,1390.0,1375.0,1390.0,133200.0
2025-09-24,PANS,1390.0,1395.0,1380.0,1385.0,221600.0
2025-09-25,PANS,1385.0,1390.0,1380.0,1390.0,176800.0
2025-09-26,PANS,1380.0,1390.0,1380.0,1390.0,124100.0
2025-09-29,PANS,1390.0,1430.0,1385.0,1400.0,226000.0
2025-09-30,PANS,1400.0,1415.0,1385.0,1385.0,183300.0
2025-10-01,PANS,1415.0,1415.0,1385.0,1395.0,87400.0
2025-10-02,PANS,1395.0,1395.0,1385.0,1390.0,92800.0
2025-10-03,PANS,1390.0,1400.0,1380.0,1390.0,134700.0
2025-10-06,PANS,1390.0,1395.0,1380.0,1395.0,165900.0
2025-10-07,PANS,1395.0,1395.0,1380.0,1395.0,84500.0
2025-10-08,PANS,1395.0,1395.0,1380.0,1385.0,70000.0
2025-10-09,PANS,1390.0,1390.0,1380.0,1385.0,96700.0
2025-10-10,PANS,1385.0,1390.0,1380.0,1385.0,197700.0
2025-10-13,PANS,1385.0,1390.0,1375.0,1385.0,39800.0
2025-10-14,PANS,1385.0,1390.0,1370.0,1380.0,118400.0
2025-10-15,PANS,1380.0,1395.0,1370.0,1375.0,126300.0
2025-10-16,PANS,1385.0,1385.0,1370.0,1375.0,28400.0
2025-10-17,PANS,1375.0,1380.0,1360.0,1365.0,208700.0
2025-10-20,PANS,1365.0,1380.0,1365.0,1380.0,109500.0
2025-10-21,PANS,1380.0,1390.0,1370.0,1385.0,222400.0
2025-10-22,PANS,1380.0,1385.0,1370.0,1385.0,107700.0
2025-10-23,PANS,1385.0,1390.0,1375.0,1385.0,136800.0
2025-10-24,PANS,1385.0,1395.0,1375.0,1390.0,96000.0
2025-10-27,PANS,1390.0,1395.0,1380.0,1380.0,152000.0
2025-10-28,PANS,1385.0,1395.0,1385.0,1390.0,68500.0
2025-10-29,PANS,1390.0,1430.0,1380.0,1415.0,572200.0
2025-10-30,PANS,1425.0,1475.0,1420.0,1460.0,1295800.0
2025-10-31,PANS,1460.0,1475.0,1445.0,1445.0,597300.0
2025-11-03,PANS,1445.0,1485.0,1445.0,1450.0,365400.0
2025-11-04,PANS,1455.0,1475.0,1435.0,1450.0,525100.0
2025-11-05,PANS,1450.0,1455.0,1435.0,1450.0,81500.0
2025-11-06,PANS,1450.0,1460.0,1435.0,1445.0,294400.0
2025-11-07,PANS,1445.0,1460.0,1445.0,1455.0,84000.0
