Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,PDPP,548.808349609375,558.7866832386363,528.8516823508522,548.808349609375,163500.0
2025-06-16,PDPP,578.7433186102351,578.7433186102351,528.851653212801,543.8191528320312,64500.0
2025-06-17,PDPP,528.8516823508522,578.7433504971591,528.8516823508522,548.808349609375,429900.0
2025-06-18,PDPP,528.851653212801,573.7541520704917,528.851653212801,543.8191528320312,350500.0
2025-06-19,PDPP,548.8083519125885,563.7758524192955,503.9058503924676,528.8516845703125,287900.0
2025-06-20,PDPP,543.8191839147497,548.8083507396557,518.8733497902199,538.8300170898438,1347000.0
2025-06-23,PDPP,548.8083214853324,548.8083214853324,498.9166558957567,508.8949890136719,6302300.0
2025-06-24,PDPP,523.8624886905445,523.8624886905445,498.9166558957567,508.8949890136719,7205400.0
2025-06-25,PDPP,518.8733206775701,633.6241512120326,498.91665449766356,533.8408203125,6506700.0
2025-06-26,PDPP,543.8191839147497,573.7541848641855,508.89501614040796,538.8300170898438,3812100.0
2025-06-30,PDPP,540.0,540.0,530.0,535.0,740500.0
2025-07-01,PDPP,535.0,535.0,520.0,535.0,906000.0
2025-07-02,PDPP,530.0,540.0,500.0,525.0,573900.0
2025-07-03,PDPP,520.0,550.0,520.0,525.0,457200.0
2025-07-04,PDPP,525.0,525.0,520.0,525.0,13900.0
2025-07-07,PDPP,520.0,530.0,510.0,525.0,382100.0
2025-07-08,PDPP,525.0,530.0,500.0,510.0,337900.0
2025-07-09,PDPP,505.0,545.0,505.0,530.0,193700.0
2025-07-10,PDPP,530.0,550.0,510.0,520.0,1444700.0
2025-07-11,PDPP,515.0,530.0,510.0,520.0,160600.0
2025-07-14,PDPP,515.0,525.0,500.0,510.0,265900.0
2025-07-15,PDPP,515.0,515.0,496.0,500.0,396900.0
2025-07-16,PDPP,500.0,505.0,490.0,500.0,578600.0
2025-07-17,PDPP,500.0,510.0,496.0,500.0,227200.0
2025-07-18,PDPP,500.0,540.0,496.0,500.0,453200.0
2025-07-21,PDPP,500.0,500.0,492.0,498.0,543000.0
2025-07-22,PDPP,498.0,498.0,490.0,490.0,336000.0
2025-07-23,PDPP,490.0,492.0,482.0,492.0,471800.0
2025-07-24,PDPP,492.0,500.0,482.0,488.0,601500.0
2025-07-25,PDPP,488.0,494.0,480.0,482.0,276900.0
2025-07-28,PDPP,482.0,486.0,472.0,480.0,237900.0
2025-07-29,PDPP,480.0,484.0,480.0,482.0,657600.0
2025-07-30,PDPP,484.0,484.0,462.0,470.0,745300.0
2025-07-31,PDPP,470.0,470.0,456.0,458.0,310700.0
2025-08-01,PDPP,458.0,540.0,456.0,476.0,529900.0
2025-08-04,PDPP,482.0,520.0,480.0,500.0,1399200.0
2025-08-05,PDPP,525.0,530.0,494.0,500.0,299200.0
2025-08-06,PDPP,498.0,498.0,486.0,496.0,137600.0
2025-08-07,PDPP,496.0,525.0,492.0,500.0,1263300.0
2025-08-08,PDPP,492.0,500.0,484.0,498.0,3208700.0
2025-08-11,PDPP,498.0,500.0,492.0,500.0,4188200.0
2025-08-12,PDPP,500.0,515.0,494.0,494.0,9484800.0
2025-08-13,PDPP,500.0,510.0,496.0,505.0,202000.0
2025-08-14,PDPP,505.0,520.0,492.0,510.0,225900.0
2025-08-15,PDPP,510.0,510.0,490.0,505.0,85800.0
2025-08-19,PDPP,505.0,505.0,492.0,500.0,243900.0
2025-08-20,PDPP,498.0,505.0,482.0,505.0,229200.0
2025-08-21,PDPP,505.0,505.0,494.0,500.0,57900.0
2025-08-22,PDPP,505.0,505.0,490.0,500.0,198100.0
2025-08-25,PDPP,494.0,500.0,484.0,490.0,167400.0
2025-08-26,PDPP,492.0,520.0,490.0,515.0,215200.0
2025-08-27,PDPP,510.0,515.0,500.0,500.0,620400.0
2025-08-28,PDPP,505.0,505.0,490.0,498.0,63600.0
2025-08-29,PDPP,496.0,510.0,486.0,505.0,494400.0
2025-09-01,PDPP,496.0,496.0,484.0,490.0,156600.0
2025-09-02,PDPP,492.0,494.0,482.0,492.0,38700.0
2025-09-03,PDPP,492.0,510.0,490.0,505.0,943400.0
2025-09-04,PDPP,510.0,510.0,480.0,500.0,575900.0
2025-09-08,PDPP,498.0,510.0,484.0,488.0,206300.0
2025-09-09,PDPP,488.0,500.0,480.0,486.0,189300.0
2025-09-10,PDPP,486.0,490.0,486.0,488.0,44500.0
2025-09-11,PDPP,490.0,492.0,482.0,488.0,47600.0
2025-09-12,PDPP,484.0,492.0,478.0,490.0,22200.0
2025-09-15,PDPP,490.0,490.0,478.0,490.0,221100.0
2025-09-16,PDPP,490.0,490.0,480.0,486.0,35500.0
2025-09-17,PDPP,600.0,600.0,490.0,496.0,1515700.0
2025-09-18,PDPP,505.0,505.0,490.0,498.0,93400.0
2025-09-19,PDPP,496.0,515.0,496.0,496.0,93700.0
2025-09-22,PDPP,494.0,510.0,490.0,492.0,551800.0
2025-09-23,PDPP,494.0,500.0,480.0,492.0,91100.0
2025-09-24,PDPP,482.0,510.0,478.0,484.0,457400.0
2025-09-25,PDPP,500.0,500.0,478.0,486.0,170900.0
2025-09-26,PDPP,486.0,496.0,480.0,488.0,158200.0
2025-09-29,PDPP,494.0,494.0,476.0,480.0,255900.0
2025-09-30,PDPP,478.0,490.0,470.0,482.0,141600.0
2025-10-01,PDPP,482.0,488.0,474.0,480.0,81800.0
2025-10-02,PDPP,480.0,486.0,476.0,480.0,169500.0
2025-10-03,PDPP,480.0,484.0,474.0,474.0,122100.0
2025-10-06,PDPP,476.0,478.0,466.0,478.0,137200.0
2025-10-07,PDPP,476.0,476.0,454.0,468.0,657500.0
2025-10-08,PDPP,466.0,466.0,442.0,444.0,493600.0
2025-10-09,PDPP,448.0,450.0,400.0,420.0,662000.0
2025-10-10,PDPP,420.0,450.0,420.0,444.0,418000.0
2025-10-13,PDPP,444.0,444.0,422.0,430.0,188700.0
2025-10-14,PDPP,430.0,430.0,402.0,412.0,357900.0
2025-10-15,PDPP,412.0,436.0,400.0,402.0,789300.0
2025-10-16,PDPP,402.0,414.0,400.0,410.0,99400.0
2025-10-17,PDPP,412.0,412.0,392.0,400.0,80800.0
2025-10-20,PDPP,400.0,470.0,388.0,398.0,240900.0
2025-10-21,PDPP,396.0,416.0,394.0,404.0,102500.0
2025-10-22,PDPP,412.0,412.0,392.0,402.0,247600.0
2025-10-23,PDPP,402.0,410.0,394.0,396.0,116200.0
2025-10-24,PDPP,396.0,402.0,394.0,400.0,81700.0
2025-10-27,PDPP,400.0,406.0,358.0,384.0,742400.0
2025-10-28,PDPP,378.0,400.0,376.0,394.0,275300.0
2025-10-29,PDPP,388.0,406.0,388.0,400.0,314600.0
2025-10-30,PDPP,410.0,488.0,408.0,440.0,1815700.0
2025-10-31,PDPP,440.0,442.0,404.0,434.0,368800.0
2025-11-03,PDPP,424.0,442.0,410.0,416.0,311300.0
2025-11-04,PDPP,418.0,440.0,400.0,404.0,539000.0
2025-11-05,PDPP,404.0,430.0,400.0,410.0,382100.0
2025-11-06,PDPP,418.0,426.0,400.0,402.0,325100.0
2025-11-07,PDPP,404.0,422.0,398.0,406.0,477800.0
2025-11-10,PDPP,404.0,410.0,400.0,404.0,376400.0
2025-11-11,PDPP,404.0,404.0,388.0,392.0,526100.0
2025-11-12,PDPP,400.0,400.0,388.0,392.0,415700.0
2025-11-13,PDPP,388.0,400.0,378.0,394.0,247600.0
2025-11-14,PDPP,394.0,394.0,380.0,388.0,139600.0
2025-11-17,PDPP,392.0,406.0,384.0,390.0,224300.0
2025-11-18,PDPP,390.0,404.0,382.0,384.0,352100.0
2025-11-19,PDPP,390.0,390.0,382.0,382.0,200100.0
2025-11-20,PDPP,390.0,390.0,376.0,382.0,252300.0
2025-11-21,PDPP,382.0,390.0,378.0,380.0,74000.0
2025-11-24,PDPP,380.0,390.0,372.0,374.0,183900.0
2025-11-25,PDPP,382.0,382.0,368.0,370.0,357800.0
2025-11-26,PDPP,370.0,388.0,366.0,374.0,594500.0
2025-11-27,PDPP,372.0,374.0,366.0,366.0,271300.0
2025-11-28,PDPP,370.0,372.0,364.0,366.0,168100.0
2025-12-01,PDPP,366.0,380.0,364.0,368.0,174600.0
2025-12-02,PDPP,374.0,374.0,366.0,366.0,238600.0
2025-12-03,PDPP,366.0,436.0,366.0,388.0,5255700.0
2025-12-04,PDPP,388.0,392.0,366.0,370.0,2117100.0
2025-12-05,PDPP,368.0,372.0,366.0,370.0,657600.0
2025-12-08,PDPP,370.0,372.0,366.0,370.0,365100.0
2025-12-09,PDPP,370.0,370.0,346.0,354.0,1374200.0
2025-12-10,PDPP,360.0,362.0,354.0,360.0,751300.0
2025-12-11,PDPP,354.0,364.0,338.0,342.0,721800.0
2025-12-12,PDPP,346.0,346.0,308.0,324.0,1185100.0
2025-12-15,PDPP,298.0,356.0,290.0,328.0,2683900.0
2025-12-16,PDPP,328.0,328.0,302.0,314.0,760900.0
2025-12-17,PDPP,320.0,348.0,318.0,330.0,716200.0
2025-12-18,PDPP,330.0,336.0,316.0,330.0,210400.0
2025-12-19,PDPP,338.0,338.0,316.0,330.0,154300.0
2025-12-22,PDPP,330.0,338.0,316.0,330.0,135900.0
