Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,PLAS,50.0,50.0,50.0,50.0,0.0
2025-06-16,PLAS,50.0,50.0,50.0,50.0,0.0
2025-06-17,PLAS,50.0,50.0,50.0,50.0,0.0
2025-06-18,PLAS,50.0,50.0,50.0,50.0,0.0
2025-06-19,PLAS,50.0,50.0,50.0,50.0,0.0
2025-06-20,PLAS,50.0,50.0,50.0,50.0,0.0
2025-06-23,PLAS,50.0,50.0,50.0,50.0,0.0
2025-06-24,PLAS,50.0,50.0,50.0,50.0,0.0
2025-06-25,PLAS,50.0,50.0,50.0,50.0,0.0
2025-06-26,PLAS,50.0,50.0,50.0,50.0,0.0
2025-06-30,PLAS,50.0,50.0,50.0,50.0,0.0
2025-07-01,PLAS,50.0,50.0,50.0,50.0,0.0
2025-07-02,PLAS,50.0,50.0,50.0,50.0,0.0
2025-07-03,PLAS,50.0,50.0,50.0,50.0,0.0
2025-07-04,PLAS,50.0,50.0,50.0,50.0,0.0
2025-07-07,PLAS,50.0,50.0,50.0,50.0,0.0
2025-07-08,PLAS,50.0,50.0,50.0,50.0,0.0
2025-07-09,PLAS,50.0,50.0,50.0,50.0,0.0
2025-07-10,PLAS,50.0,50.0,50.0,50.0,0.0
2025-07-11,PLAS,50.0,50.0,50.0,50.0,0.0
2025-07-14,PLAS,50.0,50.0,50.0,50.0,0.0
2025-07-15,PLAS,50.0,50.0,50.0,50.0,0.0
2025-07-16,PLAS,50.0,50.0,50.0,50.0,0.0
2025-07-17,PLAS,50.0,50.0,50.0,50.0,0.0
2025-07-18,PLAS,50.0,50.0,50.0,50.0,0.0
2025-07-21,PLAS,50.0,50.0,50.0,50.0,0.0
2025-07-22,PLAS,50.0,50.0,50.0,50.0,0.0
2025-07-23,PLAS,50.0,50.0,50.0,50.0,0.0
2025-07-24,PLAS,50.0,50.0,50.0,50.0,0.0
2025-07-25,PLAS,50.0,50.0,50.0,50.0,0.0
2025-07-28,PLAS,50.0,50.0,50.0,50.0,0.0
2025-07-29,PLAS,50.0,50.0,50.0,50.0,0.0
2025-07-30,PLAS,50.0,50.0,50.0,50.0,0.0
2025-07-31,PLAS,50.0,50.0,50.0,50.0,0.0
2025-08-01,PLAS,50.0,50.0,50.0,50.0,0.0
2025-08-04,PLAS,50.0,50.0,50.0,50.0,0.0
2025-08-05,PLAS,50.0,50.0,50.0,50.0,0.0
2025-08-06,PLAS,50.0,50.0,50.0,50.0,0.0
2025-08-07,PLAS,50.0,50.0,50.0,50.0,0.0
2025-08-08,PLAS,50.0,50.0,50.0,50.0,0.0
2025-08-11,PLAS,50.0,50.0,50.0,50.0,0.0
2025-08-12,PLAS,50.0,50.0,50.0,50.0,0.0
2025-08-13,PLAS,50.0,50.0,50.0,50.0,0.0
2025-08-14,PLAS,50.0,50.0,50.0,50.0,0.0
2025-08-15,PLAS,50.0,50.0,50.0,50.0,0.0
2025-08-19,PLAS,50.0,50.0,50.0,50.0,0.0
2025-08-20,PLAS,50.0,50.0,50.0,50.0,0.0
2025-08-21,PLAS,50.0,50.0,50.0,50.0,0.0
2025-08-22,PLAS,50.0,50.0,50.0,50.0,0.0
2025-08-25,PLAS,50.0,50.0,50.0,50.0,0.0
2025-08-26,PLAS,50.0,50.0,50.0,50.0,0.0
2025-08-27,PLAS,50.0,50.0,50.0,50.0,0.0
2025-08-28,PLAS,50.0,50.0,50.0,50.0,0.0
2025-08-29,PLAS,50.0,50.0,50.0,50.0,0.0
2025-09-01,PLAS,50.0,50.0,50.0,50.0,0.0
2025-09-02,PLAS,50.0,50.0,50.0,50.0,0.0
2025-09-03,PLAS,50.0,50.0,50.0,50.0,0.0
2025-09-04,PLAS,50.0,50.0,50.0,50.0,0.0
2025-09-08,PLAS,50.0,50.0,50.0,50.0,0.0
2025-09-09,PLAS,50.0,50.0,50.0,50.0,0.0
2025-09-10,PLAS,50.0,50.0,50.0,50.0,0.0
2025-09-11,PLAS,50.0,50.0,50.0,50.0,0.0
2025-09-12,PLAS,50.0,50.0,50.0,50.0,0.0
2025-09-15,PLAS,50.0,50.0,50.0,50.0,0.0
2025-09-16,PLAS,50.0,50.0,50.0,50.0,0.0
2025-09-17,PLAS,50.0,50.0,50.0,50.0,0.0
2025-09-18,PLAS,50.0,50.0,50.0,50.0,0.0
2025-09-19,PLAS,50.0,50.0,50.0,50.0,0.0
2025-09-22,PLAS,50.0,50.0,50.0,50.0,0.0
2025-09-23,PLAS,50.0,50.0,50.0,50.0,0.0
2025-09-24,PLAS,50.0,50.0,50.0,50.0,0.0
2025-09-25,PLAS,50.0,50.0,50.0,50.0,0.0
2025-09-26,PLAS,50.0,50.0,50.0,50.0,0.0
2025-09-29,PLAS,50.0,50.0,50.0,50.0,0.0
2025-09-30,PLAS,50.0,50.0,50.0,50.0,0.0
2025-10-01,PLAS,50.0,50.0,50.0,50.0,0.0
2025-10-02,PLAS,50.0,50.0,50.0,50.0,0.0
