Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,PNBS,50.0,50.0,50.0,50.0,529900.0
2025-06-16,PNBS,50.0,50.0,50.0,50.0,751200.0
2025-06-17,PNBS,50.0,50.0,50.0,50.0,181800.0
2025-06-18,PNBS,50.0,50.0,50.0,50.0,227700.0
2025-06-19,PNBS,50.0,50.0,50.0,50.0,41200.0
2025-06-20,PNBS,50.0,50.0,50.0,50.0,20600.0
2025-06-23,PNBS,50.0,50.0,50.0,50.0,42600.0
2025-06-24,PNBS,50.0,50.0,50.0,50.0,403600.0
2025-06-25,PNBS,50.0,50.0,50.0,50.0,41000.0
2025-06-26,PNBS,50.0,50.0,50.0,50.0,35400.0
2025-06-30,PNBS,50.0,50.0,50.0,50.0,200300.0
2025-07-01,PNBS,50.0,50.0,50.0,50.0,113700.0
2025-07-02,PNBS,50.0,50.0,50.0,50.0,298400.0
2025-07-03,PNBS,50.0,50.0,50.0,50.0,151900.0
2025-07-04,PNBS,50.0,50.0,50.0,50.0,64400.0
2025-07-07,PNBS,50.0,50.0,50.0,50.0,250000.0
2025-07-08,PNBS,50.0,50.0,50.0,50.0,102900.0
2025-07-09,PNBS,50.0,50.0,50.0,50.0,18200.0
2025-07-10,PNBS,50.0,50.0,50.0,50.0,200600.0
2025-07-11,PNBS,50.0,50.0,50.0,50.0,604900.0
2025-07-14,PNBS,50.0,50.0,50.0,50.0,105300.0
2025-07-15,PNBS,50.0,50.0,50.0,50.0,55200.0
2025-07-16,PNBS,50.0,50.0,50.0,50.0,769200.0
2025-07-17,PNBS,50.0,50.0,50.0,50.0,23800.0
2025-07-18,PNBS,50.0,50.0,50.0,50.0,454400.0
2025-07-21,PNBS,50.0,50.0,50.0,50.0,469100.0
2025-07-22,PNBS,50.0,50.0,50.0,50.0,133800.0
2025-07-23,PNBS,50.0,50.0,50.0,50.0,86900.0
2025-07-24,PNBS,50.0,50.0,50.0,50.0,242900.0
2025-07-25,PNBS,50.0,50.0,50.0,50.0,67700.0
2025-07-28,PNBS,50.0,50.0,50.0,50.0,77100.0
2025-07-29,PNBS,50.0,50.0,50.0,50.0,159600.0
2025-07-30,PNBS,50.0,50.0,50.0,50.0,95300.0
2025-07-31,PNBS,50.0,50.0,50.0,50.0,90100.0
2025-08-01,PNBS,50.0,50.0,50.0,50.0,174000.0
2025-08-04,PNBS,50.0,50.0,50.0,50.0,779700.0
2025-08-05,PNBS,50.0,50.0,50.0,50.0,274200.0
2025-08-06,PNBS,50.0,50.0,50.0,50.0,84600.0
2025-08-07,PNBS,50.0,50.0,50.0,50.0,148000.0
2025-08-08,PNBS,50.0,50.0,50.0,50.0,196700.0
2025-08-11,PNBS,50.0,50.0,50.0,50.0,133800.0
2025-08-12,PNBS,50.0,50.0,50.0,50.0,3800000.0
2025-08-13,PNBS,50.0,52.0,50.0,50.0,113448100.0
2025-08-14,PNBS,50.0,56.0,50.0,52.0,218325000.0
2025-08-15,PNBS,52.0,53.0,50.0,50.0,51704600.0
2025-08-19,PNBS,50.0,51.0,50.0,50.0,54443200.0
2025-08-20,PNBS,50.0,51.0,50.0,50.0,14350100.0
2025-08-21,PNBS,51.0,51.0,50.0,51.0,8725200.0
2025-08-22,PNBS,51.0,52.0,50.0,51.0,33865000.0
2025-08-25,PNBS,51.0,57.0,51.0,55.0,287267600.0
2025-08-26,PNBS,56.0,56.0,52.0,53.0,69082000.0
2025-08-27,PNBS,54.0,55.0,53.0,54.0,32161900.0
2025-08-28,PNBS,54.0,61.0,54.0,58.0,359137400.0
2025-08-29,PNBS,59.0,59.0,53.0,55.0,148595000.0
2025-09-01,PNBS,52.0,54.0,50.0,52.0,69616600.0
2025-09-02,PNBS,53.0,56.0,53.0,54.0,40366600.0
2025-09-03,PNBS,54.0,60.0,54.0,58.0,153754900.0
2025-09-04,PNBS,58.0,59.0,56.0,57.0,50534000.0
2025-09-08,PNBS,57.0,58.0,55.0,55.0,44428000.0
2025-09-09,PNBS,54.0,55.0,53.0,54.0,24975800.0
2025-09-10,PNBS,54.0,55.0,53.0,54.0,21204300.0
2025-09-11,PNBS,55.0,57.0,54.0,55.0,25095100.0
2025-09-12,PNBS,55.0,56.0,54.0,55.0,23676300.0
2025-09-15,PNBS,55.0,56.0,54.0,55.0,21961800.0
2025-09-16,PNBS,55.0,56.0,54.0,54.0,17779300.0
2025-09-17,PNBS,55.0,56.0,54.0,55.0,16028600.0
2025-09-18,PNBS,55.0,55.0,53.0,55.0,16936300.0
2025-09-19,PNBS,54.0,55.0,53.0,54.0,11437800.0
2025-09-22,PNBS,55.0,55.0,53.0,54.0,7198400.0
2025-09-23,PNBS,54.0,55.0,53.0,54.0,16951400.0
2025-09-24,PNBS,54.0,55.0,53.0,54.0,18970700.0
2025-09-25,PNBS,55.0,55.0,53.0,54.0,19156500.0
2025-09-26,PNBS,54.0,54.0,52.0,53.0,16449700.0
2025-09-29,PNBS,53.0,54.0,52.0,53.0,17258900.0
2025-09-30,PNBS,53.0,54.0,52.0,52.0,8057900.0
2025-10-01,PNBS,53.0,54.0,52.0,54.0,23671600.0
2025-10-02,PNBS,53.0,56.0,53.0,55.0,110390600.0
2025-10-03,PNBS,55.0,55.0,53.0,53.0,18187500.0
2025-10-06,PNBS,53.0,54.0,53.0,53.0,15373000.0
2025-10-07,PNBS,53.0,54.0,53.0,53.0,14005100.0
2025-10-08,PNBS,54.0,54.0,52.0,52.0,14882100.0
2025-10-09,PNBS,52.0,54.0,52.0,54.0,21995300.0
2025-10-10,PNBS,54.0,54.0,52.0,53.0,15342200.0
2025-10-13,PNBS,53.0,54.0,52.0,53.0,15184200.0
2025-10-14,PNBS,53.0,53.0,51.0,52.0,22385300.0
2025-10-15,PNBS,52.0,52.0,51.0,52.0,19789200.0
2025-10-16,PNBS,52.0,52.0,50.0,51.0,29385800.0
2025-10-17,PNBS,51.0,52.0,50.0,50.0,16437100.0
2025-10-20,PNBS,50.0,53.0,50.0,52.0,33189100.0
2025-10-21,PNBS,52.0,53.0,51.0,53.0,25058300.0
2025-10-22,PNBS,53.0,53.0,51.0,51.0,8299800.0
2025-10-23,PNBS,52.0,53.0,51.0,52.0,4685200.0
2025-10-24,PNBS,52.0,54.0,51.0,53.0,15420600.0
2025-10-27,PNBS,53.0,53.0,51.0,52.0,16722600.0
2025-10-28,PNBS,53.0,53.0,51.0,52.0,13952200.0
2025-10-29,PNBS,52.0,53.0,51.0,52.0,7933900.0
2025-10-30,PNBS,53.0,53.0,51.0,52.0,9436900.0
2025-10-31,PNBS,52.0,53.0,51.0,51.0,14319100.0
2025-11-03,PNBS,52.0,54.0,51.0,52.0,28714800.0
2025-11-04,PNBS,52.0,53.0,51.0,52.0,10647600.0
2025-11-05,PNBS,52.0,54.0,52.0,52.0,18952500.0
2025-11-06,PNBS,52.0,54.0,52.0,54.0,9299400.0
2025-11-07,PNBS,54.0,56.0,53.0,54.0,51699200.0
2025-11-10,PNBS,55.0,57.0,54.0,57.0,57575100.0
2025-11-11,PNBS,57.0,57.0,55.0,55.0,22990300.0
2025-11-12,PNBS,56.0,56.0,52.0,53.0,59568200.0
2025-11-13,PNBS,53.0,56.0,53.0,54.0,62444600.0
2025-11-14,PNBS,54.0,56.0,54.0,54.0,16299300.0
2025-11-17,PNBS,54.0,54.0,53.0,54.0,16775600.0
2025-11-18,PNBS,54.0,55.0,53.0,54.0,31946000.0
2025-11-19,PNBS,54.0,55.0,54.0,54.0,7543800.0
2025-11-20,PNBS,54.0,55.0,53.0,54.0,9775600.0
2025-11-21,PNBS,54.0,55.0,53.0,54.0,16568200.0
2025-11-24,PNBS,53.0,55.0,53.0,55.0,17752200.0
2025-11-25,PNBS,55.0,56.0,54.0,54.0,10094000.0
2025-11-26,PNBS,55.0,58.0,54.0,58.0,136803000.0
2025-11-27,PNBS,61.0,64.0,56.0,56.0,338402400.0
2025-11-28,PNBS,57.0,58.0,55.0,55.0,58034400.0
2025-12-01,PNBS,56.0,56.0,54.0,55.0,45130800.0
2025-12-02,PNBS,55.0,56.0,54.0,55.0,37037300.0
2025-12-03,PNBS,55.0,57.0,54.0,56.0,28426700.0
2025-12-04,PNBS,57.0,57.0,55.0,56.0,21050900.0
2025-12-05,PNBS,56.0,56.0,55.0,55.0,11929100.0
2025-12-08,PNBS,55.0,56.0,54.0,55.0,22492500.0
