Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,PNIN,985.0,995.0,970.0,990.0,484600.0
2025-06-16,PNIN,990.0,990.0,975.0,985.0,305400.0
2025-06-17,PNIN,985.0,995.0,980.0,990.0,231000.0
2025-06-18,PNIN,990.0,995.0,970.0,980.0,95900.0
2025-06-19,PNIN,985.0,985.0,930.0,955.0,671800.0
2025-06-20,PNIN,940.0,960.0,935.0,960.0,63000.0
2025-06-23,PNIN,955.0,955.0,915.0,925.0,244600.0
2025-06-24,PNIN,935.0,960.0,935.0,950.0,269000.0
2025-06-25,PNIN,955.0,960.0,930.0,945.0,157300.0
2025-06-26,PNIN,945.0,960.0,925.0,935.0,580700.0
2025-06-30,PNIN,935.0,935.0,920.0,930.0,230900.0
2025-07-01,PNIN,940.0,940.0,920.0,920.0,146700.0
2025-07-02,PNIN,930.0,930.0,895.0,915.0,380300.0
2025-07-03,PNIN,920.0,920.0,905.0,915.0,235600.0
2025-07-04,PNIN,920.0,920.0,880.0,905.0,476900.0
2025-07-07,PNIN,900.0,905.0,890.0,905.0,114400.0
2025-07-08,PNIN,920.0,925.0,910.0,915.0,458000.0
2025-07-09,PNIN,925.0,925.0,910.0,915.0,23100.0
2025-07-10,PNIN,925.0,925.0,905.0,920.0,156500.0
2025-07-11,PNIN,925.0,925.0,910.0,920.0,361000.0
2025-07-14,PNIN,920.0,925.0,910.0,920.0,100600.0
2025-07-15,PNIN,930.0,930.0,905.0,910.0,48900.0
2025-07-16,PNIN,910.0,925.0,900.0,905.0,1020600.0
2025-07-17,PNIN,905.0,920.0,895.0,910.0,116500.0
2025-07-18,PNIN,915.0,915.0,900.0,900.0,544900.0
2025-07-21,PNIN,900.0,925.0,890.0,910.0,589200.0
2025-07-22,PNIN,920.0,920.0,885.0,885.0,1715700.0
2025-07-23,PNIN,885.0,910.0,885.0,905.0,193700.0
2025-07-24,PNIN,910.0,915.0,900.0,900.0,66100.0
2025-07-25,PNIN,915.0,915.0,900.0,900.0,103600.0
2025-07-28,PNIN,910.0,910.0,895.0,905.0,581300.0
2025-07-29,PNIN,905.0,905.0,895.0,900.0,194400.0
2025-07-30,PNIN,900.0,905.0,890.0,900.0,212000.0
2025-07-31,PNIN,900.0,910.0,890.0,900.0,563300.0
2025-08-01,PNIN,905.0,905.0,895.0,905.0,468500.0
2025-08-04,PNIN,905.0,910.0,895.0,905.0,408900.0
2025-08-05,PNIN,910.0,910.0,900.0,910.0,407400.0
2025-08-06,PNIN,910.0,910.0,900.0,910.0,63700.0
2025-08-07,PNIN,910.0,910.0,895.0,900.0,167400.0
2025-08-08,PNIN,900.0,910.0,885.0,885.0,214900.0
2025-08-11,PNIN,885.0,900.0,885.0,900.0,224800.0
2025-08-12,PNIN,905.0,920.0,900.0,920.0,617000.0
2025-08-13,PNIN,920.0,920.0,900.0,915.0,453500.0
2025-08-14,PNIN,920.0,920.0,905.0,910.0,202800.0
2025-08-15,PNIN,905.0,915.0,900.0,910.0,168200.0
2025-08-19,PNIN,910.0,915.0,900.0,915.0,393900.0
2025-08-20,PNIN,915.0,920.0,900.0,905.0,182600.0
2025-08-21,PNIN,910.0,910.0,900.0,905.0,436200.0
2025-08-22,PNIN,905.0,915.0,900.0,905.0,398400.0
2025-08-25,PNIN,910.0,940.0,900.0,915.0,5273500.0
2025-08-26,PNIN,920.0,920.0,885.0,885.0,2464400.0
2025-08-27,PNIN,895.0,895.0,870.0,875.0,4001900.0
2025-08-28,PNIN,875.0,885.0,860.0,875.0,2300900.0
2025-08-29,PNIN,870.0,890.0,850.0,860.0,3028900.0
2025-09-01,PNIN,850.0,855.0,830.0,835.0,3121500.0
2025-09-02,PNIN,820.0,850.0,820.0,835.0,1330700.0
2025-09-03,PNIN,840.0,860.0,840.0,845.0,633800.0
2025-09-04,PNIN,850.0,850.0,840.0,845.0,445800.0
2025-09-08,PNIN,840.0,850.0,835.0,845.0,2292400.0
2025-09-09,PNIN,850.0,850.0,820.0,820.0,2034700.0
2025-09-10,PNIN,820.0,835.0,820.0,820.0,1053000.0
2025-09-11,PNIN,820.0,840.0,820.0,825.0,602200.0
2025-09-12,PNIN,835.0,835.0,825.0,830.0,778900.0
2025-09-15,PNIN,830.0,840.0,830.0,835.0,632200.0
2025-09-16,PNIN,840.0,845.0,825.0,825.0,615500.0
2025-09-17,PNIN,825.0,835.0,825.0,830.0,1663700.0
2025-09-18,PNIN,835.0,840.0,815.0,820.0,6225800.0
2025-09-19,PNIN,820.0,825.0,815.0,825.0,745900.0
2025-09-22,PNIN,830.0,830.0,815.0,820.0,1039900.0
2025-09-23,PNIN,820.0,835.0,815.0,820.0,2679500.0
2025-09-24,PNIN,820.0,825.0,805.0,815.0,3409700.0
2025-09-25,PNIN,820.0,820.0,805.0,805.0,1462200.0
2025-09-26,PNIN,805.0,815.0,795.0,810.0,1113100.0
2025-09-29,PNIN,810.0,810.0,800.0,805.0,1220900.0
2025-09-30,PNIN,810.0,810.0,800.0,800.0,767500.0
2025-10-01,PNIN,800.0,820.0,800.0,810.0,433800.0
2025-10-02,PNIN,810.0,815.0,800.0,805.0,278600.0
2025-10-03,PNIN,805.0,810.0,800.0,805.0,482600.0
2025-10-06,PNIN,810.0,840.0,785.0,840.0,1829000.0
2025-10-07,PNIN,835.0,835.0,795.0,800.0,1502100.0
2025-10-08,PNIN,810.0,810.0,800.0,805.0,341400.0
2025-10-09,PNIN,810.0,810.0,795.0,805.0,934800.0
2025-10-10,PNIN,810.0,810.0,790.0,800.0,698100.0
2025-10-13,PNIN,795.0,810.0,790.0,790.0,782900.0
2025-10-14,PNIN,790.0,795.0,770.0,780.0,1885300.0
2025-10-15,PNIN,780.0,785.0,765.0,770.0,923200.0
