Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,POLI,750.0,750.0,750.0,750.0,0.0
2025-06-16,POLI,750.0,750.0,750.0,750.0,0.0
2025-06-17,POLI,750.0,750.0,750.0,750.0,0.0
2025-06-18,POLI,750.0,750.0,750.0,750.0,0.0
2025-06-19,POLI,750.0,750.0,750.0,750.0,0.0
2025-06-20,POLI,750.0,750.0,750.0,750.0,0.0
2025-06-23,POLI,750.0,750.0,750.0,750.0,0.0
2025-06-24,POLI,750.0,750.0,750.0,750.0,0.0
2025-06-25,POLI,750.0,750.0,750.0,750.0,0.0
2025-06-26,POLI,750.0,750.0,750.0,750.0,0.0
2025-06-30,POLI,750.0,750.0,750.0,750.0,0.0
2025-07-01,POLI,750.0,750.0,750.0,750.0,0.0
2025-07-02,POLI,745.0,745.0,745.0,745.0,100.0
2025-07-03,POLI,745.0,745.0,745.0,745.0,0.0
2025-07-04,POLI,745.0,745.0,745.0,745.0,0.0
2025-07-07,POLI,745.0,745.0,745.0,745.0,0.0
2025-07-08,POLI,745.0,745.0,745.0,745.0,0.0
2025-07-09,POLI,745.0,745.0,745.0,745.0,0.0
2025-07-10,POLI,745.0,745.0,745.0,745.0,0.0
2025-07-11,POLI,745.0,745.0,745.0,745.0,0.0
2025-07-14,POLI,745.0,745.0,745.0,745.0,0.0
2025-07-15,POLI,745.0,745.0,745.0,745.0,0.0
2025-07-16,POLI,745.0,745.0,745.0,745.0,0.0
2025-07-17,POLI,745.0,745.0,745.0,745.0,0.0
2025-07-18,POLI,745.0,745.0,745.0,745.0,0.0
2025-07-21,POLI,745.0,745.0,745.0,745.0,0.0
2025-07-22,POLI,745.0,745.0,745.0,745.0,0.0
2025-07-23,POLI,745.0,745.0,745.0,745.0,0.0
2025-07-24,POLI,745.0,745.0,745.0,745.0,0.0
2025-07-25,POLI,745.0,745.0,745.0,745.0,0.0
2025-07-28,POLI,745.0,745.0,745.0,745.0,0.0
2025-07-29,POLI,745.0,745.0,745.0,745.0,0.0
2025-07-30,POLI,745.0,745.0,745.0,745.0,0.0
2025-07-31,POLI,740.0,740.0,740.0,740.0,1100.0
2025-08-01,POLI,740.0,740.0,740.0,740.0,200.0
2025-08-04,POLI,735.0,735.0,735.0,735.0,100.0
2025-08-05,POLI,725.0,725.0,725.0,725.0,500.0
2025-08-06,POLI,725.0,725.0,700.0,725.0,2200.0
2025-08-07,POLI,725.0,725.0,725.0,725.0,400.0
2025-08-08,POLI,725.0,725.0,725.0,725.0,0.0
2025-08-11,POLI,725.0,725.0,725.0,725.0,100.0
2025-08-12,POLI,720.0,725.0,720.0,725.0,300.0
2025-08-13,POLI,725.0,760.0,725.0,760.0,200.0
2025-08-14,POLI,760.0,760.0,760.0,760.0,0.0
2025-08-15,POLI,760.0,760.0,760.0,760.0,0.0
2025-08-19,POLI,760.0,760.0,760.0,760.0,0.0
2025-08-20,POLI,760.0,760.0,760.0,760.0,200.0
2025-08-21,POLI,760.0,760.0,760.0,760.0,100.0
2025-08-22,POLI,760.0,760.0,760.0,760.0,100.0
2025-08-25,POLI,760.0,760.0,760.0,760.0,400.0
2025-08-26,POLI,760.0,760.0,755.0,755.0,300.0
2025-08-27,POLI,745.0,750.0,745.0,750.0,200.0
2025-08-28,POLI,745.0,745.0,740.0,740.0,2200.0
2025-08-29,POLI,740.0,740.0,740.0,740.0,2800.0
2025-09-01,POLI,740.0,810.0,740.0,810.0,200.0
2025-09-02,POLI,805.0,805.0,800.0,800.0,4800.0
2025-09-03,POLI,785.0,785.0,785.0,785.0,200.0
2025-09-04,POLI,775.0,775.0,765.0,765.0,1100.0
2025-09-08,POLI,725.0,725.0,725.0,725.0,700.0
2025-09-09,POLI,725.0,725.0,725.0,725.0,100.0
2025-09-10,POLI,705.0,725.0,705.0,725.0,2800.0
2025-09-11,POLI,725.0,725.0,715.0,715.0,600.0
2025-09-12,POLI,785.0,785.0,710.0,710.0,4400.0
2025-09-15,POLI,700.0,715.0,700.0,715.0,5200.0
2025-09-16,POLI,755.0,755.0,755.0,755.0,100.0
2025-09-17,POLI,740.0,740.0,740.0,740.0,1400.0
2025-09-18,POLI,740.0,740.0,740.0,740.0,0.0
2025-09-19,POLI,740.0,740.0,740.0,740.0,100.0
2025-09-22,POLI,710.0,710.0,710.0,710.0,60100.0
2025-09-23,POLI,780.0,780.0,765.0,765.0,1700.0
2025-09-24,POLI,765.0,765.0,765.0,765.0,0.0
2025-09-25,POLI,760.0,760.0,700.0,700.0,3400.0
2025-09-26,POLI,705.0,705.0,700.0,700.0,15000.0
2025-09-29,POLI,705.0,760.0,705.0,745.0,1200.0
2025-09-30,POLI,710.0,710.0,710.0,710.0,3000.0
2025-10-01,POLI,780.0,780.0,780.0,780.0,500.0
2025-10-02,POLI,770.0,770.0,750.0,750.0,1200.0
2025-10-03,POLI,750.0,750.0,750.0,750.0,1200.0
2025-10-06,POLI,745.0,745.0,745.0,745.0,4300.0
2025-10-07,POLI,745.0,750.0,745.0,750.0,200.0
2025-10-08,POLI,750.0,750.0,750.0,750.0,0.0
2025-10-09,POLI,745.0,745.0,745.0,745.0,1400.0
2025-10-10,POLI,735.0,735.0,735.0,735.0,100.0
2025-10-13,POLI,735.0,735.0,705.0,725.0,1200.0
2025-10-14,POLI,725.0,725.0,725.0,725.0,400.0
2025-10-15,POLI,725.0,765.0,695.0,765.0,7000.0
2025-10-16,POLI,705.0,755.0,705.0,755.0,1100.0
2025-10-17,POLI,755.0,755.0,755.0,755.0,0.0
2025-10-20,POLI,705.0,750.0,705.0,750.0,2600.0
2025-10-21,POLI,765.0,765.0,755.0,755.0,1600.0
2025-10-22,POLI,755.0,755.0,755.0,755.0,0.0
2025-10-23,POLI,755.0,755.0,755.0,755.0,0.0
2025-10-24,POLI,700.0,750.0,700.0,750.0,4900.0
2025-10-27,POLI,740.0,740.0,700.0,740.0,3700.0
2025-10-28,POLI,730.0,755.0,730.0,755.0,7500.0
2025-10-29,POLI,745.0,745.0,745.0,745.0,100.0
2025-10-30,POLI,815.0,815.0,745.0,760.0,15100.0
2025-10-31,POLI,760.0,760.0,760.0,760.0,0.0
2025-11-03,POLI,760.0,760.0,760.0,760.0,0.0
2025-11-04,POLI,760.0,760.0,760.0,760.0,0.0
2025-11-05,POLI,760.0,760.0,760.0,760.0,0.0
2025-11-06,POLI,760.0,760.0,760.0,760.0,0.0
2025-11-07,POLI,760.0,760.0,760.0,760.0,100.0
2025-11-10,POLI,760.0,760.0,760.0,760.0,0.0
2025-11-11,POLI,760.0,760.0,760.0,760.0,300.0
2025-11-12,POLI,760.0,760.0,760.0,760.0,0.0
2025-11-13,POLI,760.0,760.0,760.0,760.0,0.0
2025-11-14,POLI,760.0,760.0,760.0,760.0,800.0
2025-11-17,POLI,770.0,770.0,765.0,765.0,6000.0
2025-11-18,POLI,760.0,760.0,760.0,760.0,8100.0
2025-11-19,POLI,755.0,755.0,755.0,755.0,100.0
2025-11-20,POLI,755.0,755.0,755.0,755.0,0.0
2025-11-21,POLI,755.0,755.0,755.0,755.0,400.0
2025-11-24,POLI,750.0,750.0,750.0,750.0,400.0
2025-11-25,POLI,750.0,750.0,750.0,750.0,0.0
2025-11-26,POLI,750.0,765.0,750.0,765.0,14000.0
2025-11-27,POLI,765.0,765.0,765.0,765.0,1300.0
2025-11-28,POLI,770.0,770.0,770.0,770.0,200.0
2025-12-01,POLI,770.0,770.0,765.0,765.0,400.0
2025-12-02,POLI,705.0,705.0,705.0,705.0,100.0
2025-12-03,POLI,750.0,775.0,750.0,775.0,2100.0
2025-12-04,POLI,775.0,775.0,775.0,775.0,0.0
2025-12-05,POLI,785.0,790.0,785.0,790.0,4000.0
2025-12-08,POLI,810.0,835.0,805.0,835.0,83700.0
2025-12-09,POLI,850.0,885.0,850.0,880.0,168600.0
2025-12-10,POLI,965.0,965.0,965.0,965.0,195700.0
2025-12-11,POLI,1060.0,1060.0,1060.0,1060.0,163700.0
2025-12-12,POLI,965.0,1155.0,965.0,1150.0,192000.0
2025-12-15,POLI,1150.0,1150.0,1150.0,1150.0,155600.0
2025-12-16,POLI,1150.0,1200.0,1150.0,1200.0,84900.0
2025-12-17,POLI,1200.0,1200.0,1090.0,1090.0,22200.0
2025-12-18,POLI,1075.0,1075.0,985.0,985.0,30900.0
2025-12-19,POLI,985.0,985.0,985.0,985.0,1200.0
2025-12-22,POLI,985.0,985.0,985.0,985.0,19500.0
2025-12-23,POLI,895.0,895.0,890.0,890.0,13800.0
2025-12-24,POLI,890.0,890.0,880.0,880.0,7700.0
2025-12-29,POLI,795.0,795.0,795.0,795.0,139400.0
2025-12-30,POLI,800.0,800.0,780.0,780.0,16800.0
2026-01-02,POLI,780.0,855.0,780.0,825.0,56300.0
2026-01-05,POLI,830.0,885.0,830.0,885.0,60100.0
2026-01-06,POLI,970.0,970.0,970.0,970.0,65600.0
2026-01-07,POLI,965.0,965.0,950.0,950.0,20900.0
2026-01-08,POLI,930.0,930.0,855.0,855.0,40900.0
2026-01-09,POLI,790.0,855.0,790.0,855.0,32800.0
2026-01-12,POLI,820.0,940.0,820.0,940.0,150100.0
2026-01-13,POLI,1030.0,1030.0,1030.0,1030.0,235200.0
2026-01-14,POLI,1130.0,1130.0,1030.0,1030.0,186600.0
2026-01-15,POLI,930.0,930.0,930.0,930.0,104700.0
2026-01-19,POLI,960.0,1000.0,950.0,980.0,35100.0
2026-01-20,POLI,980.0,980.0,980.0,980.0,20800.0
2026-01-21,POLI,885.0,980.0,885.0,980.0,27900.0
2026-01-22,POLI,985.0,1075.0,985.0,1075.0,73100.0
2026-01-23,POLI,1180.0,1180.0,1180.0,1180.0,137600.0
2026-01-26,POLI,1295.0,1295.0,1295.0,1295.0,67900.0
2026-01-27,POLI,1420.0,1420.0,1170.0,1170.0,443800.0
2026-01-28,POLI,1055.0,1055.0,1055.0,1055.0,53300.0
2026-01-29,POLI,990.0,1060.0,990.0,1055.0,61400.0
2026-01-30,POLI,1160.0,1160.0,1160.0,1160.0,107800.0
2026-02-02,POLI,1155.0,1155.0,1050.0,1060.0,133300.0
2026-02-03,POLI,1165.0,1165.0,1165.0,1165.0,89400.0
2026-02-04,POLI,1050.0,1095.0,1050.0,1095.0,76200.0
2026-02-05,POLI,1090.0,1090.0,1090.0,1090.0,34700.0
2026-02-06,POLI,1080.0,1080.0,995.0,1080.0,8100.0
2026-02-09,POLI,1105.0,1170.0,1105.0,1110.0,45200.0
2026-02-10,POLI,1110.0,1165.0,1010.0,1165.0,21800.0
2026-02-11,POLI,1165.0,1170.0,1165.0,1165.0,13900.0
2026-02-12,POLI,1165.0,1165.0,1165.0,1165.0,5000.0
2026-02-13,POLI,1070.0,1280.0,1070.0,1280.0,46800.0
2026-02-18,POLI,1345.0,1395.0,1345.0,1395.0,34500.0
2026-02-19,POLI,1395.0,1530.0,1395.0,1530.0,87600.0
2026-02-20,POLI,1680.0,1680.0,1680.0,1680.0,71900.0
2026-02-23,POLI,1675.0,1840.0,1670.0,1800.0,31900.0
2026-02-24,POLI,1630.0,1955.0,1630.0,1955.0,82000.0
2026-02-25,POLI,1955.0,1955.0,1955.0,1955.0,0.0
2026-02-26,POLI,1760.0,1760.0,1760.0,1760.0,25700.0
2026-02-27,POLI,1775.0,2000.0,1500.0,1500.0,581200.0
2026-03-02,POLI,1300.0,1325.0,1275.0,1275.0,239400.0
2026-03-03,POLI,1150.0,1180.0,1085.0,1095.0,180000.0
2026-03-04,POLI,1120.0,1200.0,935.0,950.0,172000.0
2026-03-05,POLI,1120.0,1185.0,925.0,1010.0,343000.0
2026-03-06,POLI,1055.0,1065.0,935.0,960.0,56100.0
2026-03-09,POLI,925.0,1035.0,905.0,925.0,36400.0
2026-03-10,POLI,1015.0,1015.0,925.0,925.0,21100.0
2026-03-11,POLI,930.0,940.0,930.0,930.0,25400.0
2026-03-12,POLI,940.0,1000.0,935.0,950.0,15600.0
2026-03-13,POLI,1000.0,1000.0,890.0,890.0,29400.0
2026-03-16,POLI,915.0,915.0,800.0,895.0,26700.0
2026-03-17,POLI,850.0,965.0,825.0,880.0,30100.0
2026-03-25,POLI,890.0,930.0,885.0,915.0,20700.0
2026-03-26,POLI,930.0,1140.0,930.0,1005.0,343800.0
2026-03-27,POLI,995.0,1035.0,925.0,1020.0,85300.0
2026-03-30,POLI,1000.0,1170.0,1000.0,1095.0,108700.0
2026-03-31,POLI,1115.0,1355.0,1115.0,1170.0,219200.0
2026-04-01,POLI,1170.0,1190.0,1075.0,1155.0,47300.0
2026-04-02,POLI,1130.0,1130.0,1060.0,1095.0,42800.0
2026-04-06,POLI,1125.0,1125.0,1000.0,1020.0,39100.0
2026-04-07,POLI,1070.0,1240.0,1000.0,1080.0,36500.0
2026-04-08,POLI,1080.0,1130.0,1080.0,1110.0,24000.0
2026-04-09,POLI,1070.0,1095.0,1040.0,1090.0,7400.0
2026-04-10,POLI,1090.0,1110.0,1070.0,1080.0,11400.0
2026-04-13,POLI,1080.0,1350.0,1070.0,1105.0,436700.0
2026-04-14,POLI,1175.0,1215.0,1100.0,1210.0,58200.0
2026-04-15,POLI,1260.0,1260.0,1175.0,1180.0,33200.0
2026-04-16,POLI,1340.0,1340.0,1160.0,1210.0,34300.0
2026-04-17,POLI,1160.0,1200.0,1140.0,1195.0,33600.0
2026-04-20,POLI,1165.0,1480.0,1155.0,1225.0,539200.0
2026-04-21,POLI,1210.0,1240.0,1100.0,1230.0,126400.0
2026-04-22,POLI,1230.0,1395.0,1230.0,1375.0,273400.0
2026-04-23,POLI,1400.0,1400.0,1280.0,1280.0,32700.0
2026-04-24,POLI,1280.0,1350.0,1105.0,1120.0,61300.0
2026-04-27,POLI,1120.0,1180.0,1100.0,1150.0,28100.0
2026-04-28,POLI,1240.0,1240.0,1115.0,1170.0,60800.0
2026-04-29,POLI,1135.0,1190.0,1115.0,1165.0,51600.0
2026-04-30,POLI,1165.0,1180.0,1150.0,1175.0,68200.0
2026-05-04,POLI,1175.0,1305.0,1070.0,1170.0,102100.0
2026-05-05,POLI,1170.0,1170.0,1100.0,1125.0,11300.0
2026-05-06,POLI,1125.0,1125.0,1110.0,1125.0,19100.0
2026-05-07,POLI,1085.0,1205.0,1085.0,1190.0,12500.0
2026-05-08,POLI,1190.0,1190.0,1100.0,1125.0,8900.0
2026-05-11,POLI,1130.0,1255.0,1115.0,1170.0,25000.0
2026-05-12,POLI,1170.0,1170.0,1150.0,1150.0,2700.0
2026-05-13,POLI,1150.0,1150.0,1075.0,1075.0,8400.0
2026-05-14,POLI,1075.0,1075.0,1075.0,1075.0,0.0
2026-05-15,POLI,1075.0,1075.0,1075.0,1075.0,0.0
2026-05-18,POLI,1100.0,1130.0,1055.0,1055.0,6400.0
2026-05-19,POLI,1035.0,1040.0,900.0,935.0,101300.0
2026-05-20,POLI,935.0,935.0,860.0,925.0,2700.0
2026-05-21,POLI,885.0,885.0,870.0,870.0,5400.0
2026-05-22,POLI,820.0,825.0,765.0,810.0,19700.0
2026-05-25,POLI,810.0,990.0,785.0,905.0,100000.0
2026-05-26,POLI,950.0,950.0,820.0,875.0,20400.0
2026-05-27,POLI,875.0,875.0,875.0,875.0,0.0
2026-05-28,POLI,875.0,875.0,875.0,875.0,0.0
2026-05-29,POLI,835.0,890.0,835.0,885.0,8400.0
2026-06-02,POLI,880.0,885.0,795.0,870.0,6400.0
2026-06-03,POLI,830.0,830.0,755.0,795.0,23400.0
2026-06-04,POLI,795.0,795.0,710.0,790.0,3400.0
2026-06-05,POLI,770.0,800.0,700.0,800.0,2800.0
2026-06-08,POLI,800.0,800.0,690.0,795.0,9300.0
2026-06-09,POLI,895.0,895.0,820.0,875.0,6400.0
2026-06-10,POLI,805.0,860.0,795.0,825.0,26700.0
2026-06-11,POLI,805.0,825.0,800.0,825.0,1900.0
