Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,POOL,50.0,50.0,50.0,50.0,0.0
2025-06-16,POOL,50.0,50.0,50.0,50.0,0.0
2025-06-17,POOL,50.0,50.0,50.0,50.0,0.0
2025-06-18,POOL,50.0,50.0,50.0,50.0,0.0
2025-06-19,POOL,50.0,50.0,50.0,50.0,0.0
2025-06-20,POOL,50.0,50.0,50.0,50.0,0.0
2025-06-23,POOL,50.0,50.0,50.0,50.0,0.0
2025-06-24,POOL,50.0,50.0,50.0,50.0,0.0
2025-06-25,POOL,50.0,50.0,50.0,50.0,0.0
2025-06-26,POOL,50.0,50.0,50.0,50.0,0.0
2025-06-30,POOL,50.0,50.0,50.0,50.0,0.0
2025-07-01,POOL,50.0,50.0,50.0,50.0,0.0
2025-07-02,POOL,50.0,50.0,50.0,50.0,0.0
2025-07-03,POOL,50.0,50.0,50.0,50.0,0.0
2025-07-04,POOL,50.0,50.0,50.0,50.0,0.0
2025-07-07,POOL,50.0,50.0,50.0,50.0,0.0
2025-07-08,POOL,50.0,50.0,50.0,50.0,0.0
2025-07-09,POOL,50.0,50.0,50.0,50.0,0.0
2025-07-10,POOL,50.0,50.0,50.0,50.0,0.0
2025-07-11,POOL,50.0,50.0,50.0,50.0,0.0
2025-07-14,POOL,50.0,50.0,50.0,50.0,0.0
2025-07-15,POOL,50.0,50.0,50.0,50.0,0.0
2025-07-16,POOL,50.0,50.0,50.0,50.0,0.0
2025-07-17,POOL,50.0,50.0,50.0,50.0,0.0
2025-07-18,POOL,50.0,50.0,50.0,50.0,0.0
2025-07-21,POOL,50.0,50.0,50.0,50.0,0.0
2025-07-22,POOL,50.0,50.0,50.0,50.0,0.0
2025-07-23,POOL,50.0,50.0,50.0,50.0,0.0
2025-07-24,POOL,50.0,50.0,50.0,50.0,0.0
2025-07-25,POOL,50.0,50.0,50.0,50.0,0.0
2025-07-28,POOL,50.0,50.0,50.0,50.0,0.0
2025-07-29,POOL,50.0,50.0,50.0,50.0,0.0
2025-07-30,POOL,50.0,50.0,50.0,50.0,0.0
2025-07-31,POOL,50.0,50.0,50.0,50.0,0.0
2025-08-01,POOL,50.0,50.0,50.0,50.0,0.0
2025-08-04,POOL,50.0,50.0,50.0,50.0,0.0
2025-08-05,POOL,50.0,50.0,50.0,50.0,0.0
2025-08-06,POOL,50.0,50.0,50.0,50.0,0.0
2025-08-07,POOL,50.0,50.0,50.0,50.0,0.0
2025-08-08,POOL,50.0,50.0,50.0,50.0,0.0
2025-08-11,POOL,50.0,50.0,50.0,50.0,0.0
2025-08-12,POOL,50.0,50.0,50.0,50.0,0.0
2025-08-13,POOL,50.0,50.0,50.0,50.0,0.0
2025-08-14,POOL,50.0,50.0,50.0,50.0,0.0
2025-08-15,POOL,50.0,50.0,50.0,50.0,0.0
2025-08-19,POOL,50.0,50.0,50.0,50.0,0.0
2025-08-20,POOL,50.0,50.0,50.0,50.0,0.0
2025-08-21,POOL,50.0,50.0,50.0,50.0,0.0
2025-08-22,POOL,50.0,50.0,50.0,50.0,0.0
2025-08-25,POOL,50.0,50.0,50.0,50.0,0.0
2025-08-26,POOL,50.0,50.0,50.0,50.0,0.0
2025-08-27,POOL,50.0,50.0,50.0,50.0,0.0
2025-08-28,POOL,50.0,50.0,50.0,50.0,0.0
2025-08-29,POOL,50.0,50.0,50.0,50.0,0.0
2025-09-01,POOL,50.0,50.0,50.0,50.0,0.0
2025-09-02,POOL,50.0,50.0,50.0,50.0,0.0
2025-09-03,POOL,50.0,50.0,50.0,50.0,0.0
2025-09-04,POOL,50.0,50.0,50.0,50.0,0.0
2025-09-08,POOL,50.0,50.0,50.0,50.0,0.0
2025-09-09,POOL,50.0,50.0,50.0,50.0,0.0
2025-09-10,POOL,50.0,50.0,50.0,50.0,0.0
2025-09-11,POOL,50.0,50.0,50.0,50.0,0.0
2025-09-12,POOL,50.0,50.0,50.0,50.0,0.0
2025-09-15,POOL,50.0,50.0,50.0,50.0,0.0
2025-09-16,POOL,50.0,50.0,50.0,50.0,0.0
2025-09-17,POOL,50.0,50.0,50.0,50.0,0.0
2025-09-18,POOL,50.0,50.0,50.0,50.0,0.0
2025-09-19,POOL,50.0,50.0,50.0,50.0,0.0
2025-09-22,POOL,50.0,50.0,50.0,50.0,0.0
2025-09-23,POOL,50.0,50.0,50.0,50.0,0.0
2025-09-24,POOL,50.0,50.0,50.0,50.0,0.0
2025-09-25,POOL,50.0,50.0,50.0,50.0,0.0
2025-09-26,POOL,50.0,50.0,50.0,50.0,0.0
2025-09-29,POOL,50.0,50.0,50.0,50.0,0.0
2025-09-30,POOL,50.0,50.0,50.0,50.0,0.0
2025-10-01,POOL,50.0,50.0,50.0,50.0,0.0
2025-10-02,POOL,50.0,50.0,50.0,50.0,0.0
2025-10-03,POOL,50.0,50.0,50.0,50.0,0.0
2025-10-06,POOL,50.0,50.0,50.0,50.0,0.0
2025-10-07,POOL,50.0,50.0,50.0,50.0,0.0
2025-10-08,POOL,50.0,50.0,50.0,50.0,0.0
2025-10-09,POOL,50.0,50.0,50.0,50.0,0.0
2025-10-10,POOL,50.0,50.0,50.0,50.0,0.0
2025-10-13,POOL,50.0,50.0,50.0,50.0,0.0
2025-10-14,POOL,50.0,50.0,50.0,50.0,0.0
2025-10-15,POOL,50.0,50.0,50.0,50.0,0.0
2025-10-16,POOL,50.0,50.0,50.0,50.0,0.0
2025-10-17,POOL,50.0,50.0,50.0,50.0,0.0
2025-10-20,POOL,50.0,50.0,50.0,50.0,0.0
2025-10-21,POOL,50.0,50.0,50.0,50.0,0.0
2025-10-22,POOL,50.0,50.0,50.0,50.0,0.0
2025-10-23,POOL,50.0,50.0,50.0,50.0,0.0
2025-10-24,POOL,50.0,50.0,50.0,50.0,0.0
2025-10-27,POOL,50.0,50.0,50.0,50.0,0.0
2025-10-28,POOL,50.0,50.0,50.0,50.0,0.0
2025-10-29,POOL,50.0,50.0,50.0,50.0,0.0
2025-10-30,POOL,50.0,50.0,50.0,50.0,0.0
2025-10-31,POOL,50.0,50.0,50.0,50.0,0.0
2025-11-03,POOL,50.0,50.0,50.0,50.0,0.0
2025-11-04,POOL,50.0,50.0,50.0,50.0,0.0
2025-11-05,POOL,50.0,50.0,50.0,50.0,0.0
2025-11-06,POOL,50.0,50.0,50.0,50.0,0.0
2025-11-07,POOL,50.0,50.0,50.0,50.0,0.0
2025-11-10,POOL,50.0,50.0,50.0,50.0,0.0
2025-11-11,POOL,50.0,50.0,50.0,50.0,0.0
2025-11-12,POOL,50.0,50.0,50.0,50.0,0.0
2025-11-13,POOL,50.0,50.0,50.0,50.0,0.0
2025-11-14,POOL,50.0,50.0,50.0,50.0,0.0
2025-11-17,POOL,50.0,50.0,50.0,50.0,0.0
2025-11-18,POOL,50.0,50.0,50.0,50.0,0.0
2025-11-19,POOL,50.0,50.0,50.0,50.0,0.0
2025-11-20,POOL,50.0,50.0,50.0,50.0,0.0
2025-11-21,POOL,50.0,50.0,50.0,50.0,0.0
2025-11-24,POOL,50.0,50.0,50.0,50.0,0.0
2025-11-25,POOL,50.0,50.0,50.0,50.0,0.0
2025-11-26,POOL,50.0,50.0,50.0,50.0,0.0
2025-11-27,POOL,50.0,50.0,50.0,50.0,0.0
2025-11-28,POOL,50.0,50.0,50.0,50.0,0.0
2025-12-01,POOL,50.0,50.0,50.0,50.0,0.0
2025-12-02,POOL,50.0,50.0,50.0,50.0,0.0
2025-12-03,POOL,50.0,50.0,50.0,50.0,0.0
2025-12-04,POOL,50.0,50.0,50.0,50.0,0.0
2025-12-05,POOL,50.0,50.0,50.0,50.0,0.0
2025-12-08,POOL,50.0,50.0,50.0,50.0,0.0
2025-12-09,POOL,50.0,50.0,50.0,50.0,0.0
2025-12-10,POOL,50.0,50.0,50.0,50.0,0.0
2025-12-11,POOL,50.0,50.0,50.0,50.0,0.0
2025-12-12,POOL,50.0,50.0,50.0,50.0,0.0
2025-12-15,POOL,50.0,50.0,50.0,50.0,0.0
2025-12-16,POOL,50.0,50.0,50.0,50.0,0.0
2025-12-17,POOL,50.0,50.0,50.0,50.0,0.0
2025-12-18,POOL,50.0,50.0,50.0,50.0,0.0
2025-12-19,POOL,50.0,50.0,50.0,50.0,0.0
2025-12-22,POOL,50.0,50.0,50.0,50.0,0.0
2025-12-23,POOL,50.0,50.0,50.0,50.0,0.0
2025-12-24,POOL,50.0,50.0,50.0,50.0,0.0
2025-12-29,POOL,50.0,50.0,50.0,50.0,0.0
2025-12-30,POOL,50.0,50.0,50.0,50.0,0.0
2026-01-02,POOL,50.0,50.0,50.0,50.0,0.0
