Date,Kode,Open,High,Low,Close,Volume_Online
2025-07-08,PSAT,1125.0,1125.0,1125.0,1125.0,363400.0
2025-07-09,PSAT,1405.0,1405.0,1405.0,1405.0,462600.0
2025-07-10,PSAT,1755.0,1755.0,1755.0,1755.0,4385400.0
2025-07-11,PSAT,2190.0,2190.0,1755.0,2190.0,78046100.0
2025-07-14,PSAT,2200.0,2730.0,2200.0,2730.0,42940800.0
2025-07-15,PSAT,2890.0,3410.0,2550.0,2640.0,87639700.0
2025-07-16,PSAT,2640.0,2650.0,2270.0,2440.0,35718600.0
2025-07-17,PSAT,2450.0,2950.0,2450.0,2610.0,53768700.0
2025-07-18,PSAT,2620.0,2730.0,2440.0,2480.0,21105300.0
2025-07-21,PSAT,2480.0,2480.0,2160.0,2190.0,15078500.0
2025-07-22,PSAT,2180.0,2180.0,1905.0,1945.0,18105800.0
2025-07-23,PSAT,1945.0,2060.0,1865.0,1950.0,15149000.0
2025-07-24,PSAT,1950.0,2030.0,1890.0,1990.0,6791800.0
2025-07-25,PSAT,2030.0,2100.0,1870.0,1880.0,13676500.0
2025-07-28,PSAT,1870.0,1870.0,1795.0,1805.0,6207800.0
2025-07-29,PSAT,1800.0,1835.0,1715.0,1745.0,6357500.0
2025-07-30,PSAT,1750.0,1760.0,1670.0,1675.0,4897100.0
2025-07-31,PSAT,1675.0,1675.0,1545.0,1625.0,6643500.0
2025-08-01,PSAT,1630.0,1680.0,1570.0,1615.0,5629800.0
2025-08-04,PSAT,1625.0,1755.0,1580.0,1645.0,8107900.0
2025-08-05,PSAT,1655.0,1675.0,1575.0,1585.0,3381700.0
2025-08-06,PSAT,1605.0,1615.0,1580.0,1595.0,1556200.0
2025-08-07,PSAT,1600.0,1605.0,1555.0,1560.0,2162300.0
2025-08-08,PSAT,1560.0,1560.0,1450.0,1480.0,4774500.0
2025-08-11,PSAT,1485.0,1515.0,1420.0,1470.0,2102500.0
2025-08-12,PSAT,1470.0,1560.0,1455.0,1550.0,2426500.0
2025-08-13,PSAT,1585.0,1620.0,1510.0,1600.0,4449300.0
2025-08-14,PSAT,1620.0,1620.0,1575.0,1580.0,1738300.0
2025-08-15,PSAT,1580.0,1580.0,1550.0,1560.0,953500.0
2025-08-19,PSAT,1560.0,1640.0,1500.0,1580.0,2847700.0
2025-08-20,PSAT,1610.0,1610.0,1550.0,1550.0,1225100.0
2025-08-21,PSAT,1555.0,1560.0,1485.0,1505.0,2414700.0
2025-08-22,PSAT,1500.0,1550.0,1500.0,1520.0,839200.0
2025-08-25,PSAT,1530.0,1660.0,1525.0,1640.0,7862000.0
2025-08-26,PSAT,1655.0,1660.0,1550.0,1560.0,3887000.0
2025-08-27,PSAT,1565.0,1570.0,1500.0,1545.0,1790500.0
2025-08-28,PSAT,1580.0,1635.0,1555.0,1560.0,1980700.0
2025-08-29,PSAT,1560.0,1560.0,1430.0,1480.0,5075500.0
2025-09-01,PSAT,1300.0,1450.0,1300.0,1425.0,1702600.0
2025-09-02,PSAT,1440.0,1500.0,1440.0,1465.0,689800.0
2025-09-03,PSAT,1465.0,1480.0,1435.0,1440.0,1235500.0
2025-09-04,PSAT,1445.0,1475.0,1435.0,1440.0,664500.0
2025-09-08,PSAT,1445.0,1470.0,1405.0,1405.0,937700.0
2025-09-09,PSAT,1400.0,1400.0,1325.0,1340.0,1426500.0
2025-09-10,PSAT,1335.0,1360.0,1310.0,1350.0,1476000.0
2025-09-11,PSAT,1350.0,1380.0,1340.0,1365.0,603300.0
2025-09-12,PSAT,1370.0,1375.0,1355.0,1365.0,640500.0
2025-09-15,PSAT,1370.0,1415.0,1355.0,1410.0,1204600.0
2025-09-16,PSAT,1410.0,1415.0,1390.0,1400.0,517500.0
2025-09-17,PSAT,1405.0,1405.0,1375.0,1400.0,477300.0
2025-09-18,PSAT,1400.0,1400.0,1365.0,1385.0,779600.0
2025-09-19,PSAT,1375.0,1380.0,1345.0,1380.0,624600.0
2025-09-22,PSAT,1380.0,1385.0,1335.0,1355.0,842400.0
2025-09-23,PSAT,1355.0,1380.0,1350.0,1350.0,1463800.0
2025-09-24,PSAT,1370.0,1370.0,1330.0,1365.0,1281200.0
