Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,PSDN,79.0,80.0,78.0,78.0,525500.0
2025-06-16,PSDN,78.0,79.0,76.0,78.0,343700.0
2025-06-17,PSDN,78.0,79.0,77.0,77.0,173300.0
2025-06-18,PSDN,79.0,79.0,77.0,77.0,113900.0
2025-06-19,PSDN,78.0,78.0,76.0,78.0,563200.0
2025-06-20,PSDN,79.0,79.0,77.0,77.0,296900.0
2025-06-23,PSDN,78.0,78.0,76.0,76.0,141600.0
2025-06-24,PSDN,78.0,78.0,76.0,78.0,213100.0
2025-06-25,PSDN,78.0,78.0,77.0,78.0,282000.0
2025-06-26,PSDN,79.0,79.0,76.0,78.0,76100.0
2025-06-30,PSDN,77.0,78.0,76.0,78.0,319200.0
2025-07-01,PSDN,77.0,78.0,76.0,77.0,85100.0
2025-07-02,PSDN,78.0,78.0,76.0,77.0,60700.0
2025-07-03,PSDN,78.0,78.0,76.0,77.0,118100.0
2025-07-04,PSDN,77.0,79.0,76.0,77.0,99500.0
2025-07-07,PSDN,76.0,78.0,76.0,78.0,50100.0
2025-07-08,PSDN,76.0,78.0,76.0,77.0,105700.0
2025-07-09,PSDN,76.0,77.0,75.0,76.0,575500.0
2025-07-10,PSDN,76.0,77.0,75.0,77.0,208000.0
2025-07-11,PSDN,76.0,77.0,75.0,76.0,117400.0
2025-07-14,PSDN,77.0,77.0,75.0,76.0,114700.0
2025-07-15,PSDN,76.0,77.0,75.0,76.0,66000.0
2025-07-16,PSDN,76.0,77.0,75.0,75.0,295400.0
2025-07-17,PSDN,75.0,76.0,74.0,74.0,166600.0
2025-07-18,PSDN,74.0,80.0,74.0,77.0,1049000.0
2025-07-21,PSDN,78.0,78.0,76.0,77.0,126200.0
2025-07-22,PSDN,78.0,78.0,76.0,77.0,241300.0
2025-07-23,PSDN,75.0,77.0,75.0,77.0,182700.0
2025-07-24,PSDN,77.0,80.0,75.0,76.0,165600.0
2025-07-25,PSDN,76.0,78.0,75.0,77.0,177500.0
2025-07-28,PSDN,77.0,77.0,75.0,77.0,85700.0
2025-07-29,PSDN,77.0,77.0,75.0,77.0,67300.0
2025-07-30,PSDN,76.0,97.0,76.0,82.0,20831800.0
2025-07-31,PSDN,82.0,100.0,77.0,80.0,24067700.0
2025-08-01,PSDN,81.0,83.0,80.0,82.0,1569300.0
2025-08-04,PSDN,83.0,84.0,81.0,83.0,1186600.0
2025-08-05,PSDN,83.0,86.0,82.0,84.0,970900.0
2025-08-06,PSDN,84.0,86.0,83.0,85.0,231400.0
2025-08-07,PSDN,86.0,86.0,83.0,85.0,205200.0
2025-08-08,PSDN,85.0,85.0,82.0,83.0,651900.0
2025-08-11,PSDN,83.0,84.0,83.0,83.0,102200.0
2025-08-12,PSDN,84.0,85.0,83.0,83.0,234200.0
2025-08-13,PSDN,84.0,89.0,83.0,86.0,2674800.0
2025-08-14,PSDN,87.0,88.0,83.0,85.0,1147000.0
2025-08-15,PSDN,85.0,85.0,83.0,84.0,213300.0
2025-08-19,PSDN,83.0,85.0,83.0,85.0,122000.0
2025-08-20,PSDN,85.0,89.0,85.0,87.0,1459400.0
2025-08-21,PSDN,90.0,90.0,86.0,87.0,794000.0
2025-08-22,PSDN,88.0,114.0,86.0,89.0,86811600.0
2025-08-25,PSDN,90.0,99.0,87.0,90.0,31889500.0
2025-08-26,PSDN,90.0,92.0,88.0,90.0,5003800.0
2025-08-27,PSDN,90.0,94.0,89.0,90.0,5025800.0
2025-08-28,PSDN,90.0,94.0,90.0,92.0,1674600.0
2025-08-29,PSDN,93.0,93.0,89.0,91.0,2871000.0
2025-09-01,PSDN,86.0,91.0,85.0,88.0,1518400.0
2025-09-02,PSDN,88.0,91.0,88.0,90.0,650900.0
2025-09-03,PSDN,89.0,102.0,89.0,99.0,23649000.0
2025-09-04,PSDN,102.0,107.0,98.0,105.0,8285300.0
2025-09-08,PSDN,111.0,128.0,104.0,115.0,72239400.0
2025-09-09,PSDN,116.0,145.0,102.0,105.0,93745600.0
2025-09-10,PSDN,101.0,108.0,95.0,99.0,8302300.0
2025-09-11,PSDN,98.0,101.0,93.0,98.0,6283900.0
2025-09-12,PSDN,98.0,98.0,95.0,97.0,2151500.0
2025-09-15,PSDN,98.0,99.0,96.0,98.0,1974000.0
2025-09-16,PSDN,99.0,108.0,97.0,103.0,14326600.0
2025-09-17,PSDN,103.0,108.0,99.0,102.0,16799300.0
2025-09-18,PSDN,103.0,106.0,99.0,99.0,5453700.0
2025-09-19,PSDN,100.0,101.0,96.0,97.0,1832900.0
2025-09-22,PSDN,97.0,125.0,97.0,107.0,100637000.0
2025-09-23,PSDN,107.0,109.0,104.0,106.0,6514400.0
2025-09-24,PSDN,107.0,107.0,104.0,105.0,3462800.0
2025-09-25,PSDN,106.0,106.0,99.0,101.0,6669700.0
