Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,PTPP,470.0,480.0,456.0,458.0,107373600.0
2025-06-16,PTPP,452.0,456.0,436.0,442.0,52634100.0
2025-06-17,PTPP,444.0,456.0,442.0,448.0,43145800.0
2025-06-18,PTPP,450.0,460.0,442.0,446.0,34097100.0
2025-06-19,PTPP,450.0,452.0,420.0,422.0,54762900.0
2025-06-20,PTPP,422.0,426.0,404.0,418.0,36859700.0
2025-06-23,PTPP,398.0,402.0,386.0,400.0,47210300.0
2025-06-24,PTPP,406.0,428.0,404.0,418.0,39267200.0
2025-06-25,PTPP,424.0,440.0,420.0,436.0,52609900.0
2025-06-26,PTPP,438.0,450.0,426.0,426.0,36584700.0
2025-06-30,PTPP,432.0,444.0,428.0,438.0,19521300.0
2025-07-01,PTPP,440.0,448.0,432.0,432.0,20619200.0
2025-07-02,PTPP,434.0,438.0,420.0,422.0,16953100.0
2025-07-03,PTPP,424.0,442.0,422.0,426.0,40492900.0
2025-07-04,PTPP,426.0,432.0,414.0,420.0,27108800.0
2025-07-07,PTPP,418.0,428.0,414.0,418.0,8672300.0
2025-07-08,PTPP,418.0,428.0,418.0,420.0,12560600.0
2025-07-09,PTPP,422.0,438.0,418.0,428.0,57211900.0
2025-07-10,PTPP,432.0,440.0,428.0,432.0,30812100.0
2025-07-11,PTPP,436.0,442.0,430.0,432.0,17996200.0
2025-07-14,PTPP,432.0,434.0,414.0,416.0,33235300.0
2025-07-15,PTPP,420.0,420.0,408.0,420.0,27068300.0
2025-07-16,PTPP,424.0,434.0,422.0,428.0,33401200.0
2025-07-17,PTPP,432.0,440.0,426.0,434.0,22399500.0
2025-07-18,PTPP,436.0,448.0,424.0,424.0,42454000.0
2025-07-21,PTPP,428.0,432.0,420.0,422.0,30323100.0
2025-07-22,PTPP,422.0,428.0,414.0,414.0,18502300.0
2025-07-23,PTPP,416.0,420.0,414.0,418.0,11030900.0
2025-07-24,PTPP,420.0,430.0,414.0,416.0,20678000.0
2025-07-25,PTPP,416.0,426.0,414.0,416.0,15233100.0
2025-07-28,PTPP,416.0,422.0,410.0,414.0,16646200.0
2025-07-29,PTPP,414.0,416.0,402.0,404.0,33417900.0
2025-07-30,PTPP,404.0,408.0,390.0,396.0,34543100.0
2025-07-31,PTPP,396.0,398.0,382.0,386.0,16552400.0
2025-08-01,PTPP,386.0,394.0,382.0,388.0,9105700.0
2025-08-04,PTPP,388.0,404.0,384.0,400.0,25540300.0
2025-08-05,PTPP,404.0,406.0,392.0,394.0,16178900.0
2025-08-06,PTPP,394.0,402.0,392.0,400.0,9522800.0
2025-08-07,PTPP,404.0,404.0,394.0,396.0,5744000.0
2025-08-08,PTPP,396.0,398.0,386.0,388.0,11141600.0
2025-08-11,PTPP,388.0,418.0,388.0,414.0,88420300.0
2025-08-12,PTPP,416.0,424.0,410.0,410.0,50425600.0
2025-08-13,PTPP,412.0,414.0,406.0,410.0,28246600.0
2025-08-14,PTPP,414.0,422.0,406.0,408.0,33225000.0
2025-08-15,PTPP,408.0,414.0,392.0,392.0,25655700.0
2025-08-19,PTPP,392.0,406.0,390.0,392.0,27810800.0
2025-08-20,PTPP,392.0,402.0,392.0,402.0,18280700.0
2025-08-21,PTPP,402.0,426.0,402.0,408.0,83818100.0
2025-08-22,PTPP,408.0,416.0,398.0,400.0,25782800.0
2025-08-25,PTPP,406.0,406.0,392.0,406.0,41186400.0
2025-08-26,PTPP,408.0,416.0,398.0,406.0,69851000.0
