Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,PTSP,1070.0,1250.0,1070.0,1155.0,533300.0
2025-06-16,PTSP,1165.0,1190.0,985.0,995.0,274600.0
2025-06-17,PTSP,995.0,1020.0,990.0,995.0,38200.0
2025-06-18,PTSP,1000.0,1010.0,930.0,930.0,62600.0
2025-06-19,PTSP,990.0,1000.0,890.0,930.0,39300.0
2025-06-20,PTSP,935.0,950.0,850.0,885.0,40600.0
2025-06-23,PTSP,880.0,880.0,815.0,825.0,40400.0
2025-06-24,PTSP,825.0,870.0,820.0,860.0,10800.0
2025-06-25,PTSP,860.0,910.0,860.0,865.0,19900.0
2025-06-26,PTSP,905.0,950.0,805.0,840.0,34000.0
2025-06-30,PTSP,840.0,850.0,800.0,845.0,10300.0
2025-07-01,PTSP,855.0,885.0,850.0,855.0,12600.0
2025-07-02,PTSP,855.0,915.0,855.0,895.0,34400.0
2025-07-03,PTSP,945.0,945.0,850.0,900.0,27600.0
2025-07-04,PTSP,890.0,910.0,820.0,885.0,11800.0
2025-07-07,PTSP,885.0,885.0,825.0,865.0,29300.0
2025-07-08,PTSP,865.0,895.0,830.0,895.0,31100.0
2025-07-09,PTSP,870.0,900.0,870.0,880.0,44000.0
2025-07-10,PTSP,950.0,995.0,875.0,930.0,48300.0
2025-07-11,PTSP,930.0,950.0,880.0,945.0,35900.0
2025-07-14,PTSP,945.0,970.0,905.0,945.0,29100.0
2025-07-15,PTSP,945.0,945.0,890.0,930.0,35400.0
2025-07-16,PTSP,940.0,1070.0,890.0,995.0,181800.0
2025-07-17,PTSP,1020.0,1020.0,960.0,1010.0,79100.0
2025-07-18,PTSP,1010.0,1070.0,985.0,1050.0,63600.0
2025-07-21,PTSP,1045.0,1050.0,960.0,1000.0,140500.0
2025-07-22,PTSP,1000.0,1010.0,960.0,1000.0,109400.0
2025-07-23,PTSP,1020.0,1045.0,975.0,1040.0,91900.0
2025-07-24,PTSP,1035.0,1045.0,1000.0,1045.0,101700.0
