Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,RAAM,260.0,266.0,260.0,262.0,363600.0
2025-06-16,RAAM,262.0,266.0,256.0,258.0,329500.0
2025-06-17,RAAM,260.0,262.0,250.0,252.0,589600.0
2025-06-18,RAAM,252.0,256.0,246.0,250.0,1094800.0
2025-06-19,RAAM,244.0,250.0,234.0,238.0,1577200.0
2025-06-20,RAAM,238.0,246.0,236.0,240.0,838700.0
2025-06-23,RAAM,238.0,238.0,230.0,236.0,1118100.0
2025-06-24,RAAM,236.0,250.0,230.0,242.0,1248000.0
2025-06-25,RAAM,244.0,248.0,236.0,236.0,371800.0
2025-06-26,RAAM,240.0,262.0,236.0,250.0,4595200.0
2025-06-30,RAAM,252.0,296.0,252.0,268.0,6996300.0
2025-07-01,RAAM,270.0,282.0,270.0,278.0,9974900.0
2025-07-02,RAAM,278.0,294.0,272.0,290.0,12361500.0
2025-07-03,RAAM,300.0,302.0,284.0,288.0,11046000.0
2025-07-04,RAAM,286.0,292.0,282.0,284.0,10331200.0
2025-07-07,RAAM,284.0,292.0,280.0,282.0,10667300.0
2025-07-08,RAAM,284.0,284.0,276.0,278.0,10712500.0
2025-07-09,RAAM,280.0,288.0,276.0,278.0,12982900.0
2025-07-10,RAAM,280.0,284.0,270.0,272.0,9884700.0
2025-07-11,RAAM,274.0,278.0,264.0,266.0,6919700.0
2025-07-14,RAAM,266.0,270.0,262.0,266.0,9412600.0
2025-07-15,RAAM,266.0,266.0,258.0,258.0,8318100.0
2025-07-16,RAAM,260.0,290.0,258.0,280.0,15679900.0
2025-07-17,RAAM,280.0,288.0,276.0,288.0,11820700.0
2025-07-18,RAAM,288.0,292.0,280.0,282.0,12345500.0
2025-07-21,RAAM,282.0,282.0,272.0,272.0,10998800.0
2025-07-22,RAAM,272.0,272.0,264.0,266.0,11494100.0
2025-07-23,RAAM,264.0,272.0,260.0,270.0,13218400.0
2025-07-24,RAAM,270.0,270.0,264.0,266.0,12449400.0
2025-07-25,RAAM,266.0,268.0,258.0,260.0,13313500.0
2025-07-28,RAAM,260.0,264.0,250.0,260.0,12175700.0
2025-07-29,RAAM,260.0,260.0,250.0,256.0,17254200.0
2025-07-30,RAAM,256.0,258.0,250.0,256.0,15114100.0
2025-07-31,RAAM,256.0,258.0,252.0,254.0,10824500.0
2025-08-01,RAAM,254.0,268.0,252.0,264.0,16029900.0
2025-08-04,RAAM,274.0,290.0,260.0,266.0,13553400.0
2025-08-05,RAAM,266.0,268.0,260.0,266.0,12410000.0
2025-08-06,RAAM,272.0,276.0,262.0,270.0,11517100.0
2025-08-07,RAAM,272.0,336.0,270.0,336.0,62705000.0
