Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,RAFI,21.0,21.0,21.0,21.0,2427600.0
2025-06-16,RAFI,21.0,21.0,20.0,20.0,4617500.0
2025-06-17,RAFI,20.0,20.0,20.0,20.0,1982100.0
2025-06-18,RAFI,20.0,20.0,20.0,20.0,1302700.0
2025-06-19,RAFI,20.0,20.0,20.0,20.0,1060400.0
2025-06-20,RAFI,18.0,18.0,18.0,18.0,10687100.0
2025-06-23,RAFI,18.0,18.0,17.0,17.0,7297700.0
2025-06-24,RAFI,17.0,17.0,16.0,16.0,8044500.0
2025-06-25,RAFI,16.0,16.0,15.0,15.0,12838600.0
2025-06-26,RAFI,15.0,15.0,14.0,15.0,17724500.0
2025-06-30,RAFI,15.0,15.0,15.0,15.0,0.0
2025-07-01,RAFI,15.0,15.0,15.0,15.0,0.0
2025-07-02,RAFI,15.0,15.0,15.0,15.0,0.0
2025-07-03,RAFI,15.0,15.0,15.0,15.0,0.0
2025-07-04,RAFI,15.0,15.0,15.0,15.0,0.0
2025-07-07,RAFI,15.0,15.0,15.0,15.0,0.0
2025-07-08,RAFI,15.0,15.0,15.0,15.0,0.0
2025-07-09,RAFI,15.0,15.0,15.0,15.0,0.0
2025-07-10,RAFI,15.0,15.0,15.0,15.0,0.0
2025-07-11,RAFI,15.0,15.0,15.0,15.0,0.0
2025-07-14,RAFI,15.0,15.0,15.0,15.0,0.0
2025-07-15,RAFI,15.0,15.0,15.0,15.0,0.0
2025-07-16,RAFI,15.0,15.0,15.0,15.0,0.0
2025-07-17,RAFI,15.0,15.0,15.0,15.0,0.0
2025-07-18,RAFI,15.0,15.0,15.0,15.0,0.0
2025-07-21,RAFI,15.0,15.0,15.0,15.0,0.0
2025-07-22,RAFI,15.0,15.0,15.0,15.0,0.0
2025-07-23,RAFI,15.0,15.0,15.0,15.0,0.0
2025-07-24,RAFI,15.0,15.0,15.0,15.0,0.0
2025-07-25,RAFI,15.0,15.0,15.0,15.0,0.0
2025-07-28,RAFI,15.0,15.0,15.0,15.0,0.0
2025-07-29,RAFI,15.0,15.0,15.0,15.0,0.0
2025-07-30,RAFI,15.0,15.0,15.0,15.0,0.0
2025-07-31,RAFI,15.0,15.0,15.0,15.0,0.0
2025-08-01,RAFI,15.0,15.0,15.0,15.0,0.0
2025-08-04,RAFI,15.0,15.0,15.0,15.0,0.0
2025-08-05,RAFI,15.0,15.0,15.0,15.0,0.0
2025-08-06,RAFI,15.0,15.0,15.0,15.0,0.0
2025-08-07,RAFI,15.0,15.0,15.0,15.0,0.0
2025-08-08,RAFI,15.0,15.0,15.0,15.0,0.0
2025-08-11,RAFI,15.0,15.0,15.0,15.0,0.0
2025-08-12,RAFI,15.0,15.0,15.0,15.0,0.0
2025-08-13,RAFI,15.0,15.0,15.0,15.0,0.0
2025-08-14,RAFI,15.0,15.0,15.0,15.0,0.0
2025-08-15,RAFI,15.0,15.0,15.0,15.0,0.0
2025-08-19,RAFI,15.0,15.0,15.0,15.0,0.0
2025-08-20,RAFI,15.0,15.0,15.0,15.0,0.0
2025-08-21,RAFI,15.0,15.0,15.0,15.0,0.0
2025-08-22,RAFI,15.0,15.0,15.0,15.0,0.0
2025-08-25,RAFI,15.0,15.0,15.0,15.0,0.0
2025-08-26,RAFI,15.0,15.0,15.0,15.0,0.0
2025-08-27,RAFI,15.0,15.0,15.0,15.0,0.0
2025-08-28,RAFI,15.0,15.0,15.0,15.0,0.0
2025-08-29,RAFI,15.0,15.0,15.0,15.0,0.0
2025-09-01,RAFI,15.0,15.0,15.0,15.0,0.0
2025-09-02,RAFI,15.0,15.0,15.0,15.0,0.0
2025-09-03,RAFI,15.0,15.0,15.0,15.0,0.0
2025-09-04,RAFI,15.0,15.0,15.0,15.0,0.0
