Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,REAL,31.893333435058594,31.893333435058594,31.893333435058594,31.893333435058594,843400.0
2025-06-16,REAL,31.893333435058594,31.893333435058594,31.893333435058594,31.893333435058594,412700.0
2025-06-17,REAL,30.89666702007425,30.89666702007425,28.90333366394043,28.90333366394043,2378800.0
2025-06-18,REAL,27.906666508427374,27.906666508427374,26.90999984741211,26.90999984741211,6547000.0
2025-06-19,REAL,26.910000307806605,28.90333366394043,26.910000307806605,28.90333366394043,4009500.0
2025-06-20,REAL,30.89666748046875,30.89666748046875,30.89666748046875,30.89666748046875,2520000.0
2025-06-23,REAL,33.88666534423828,33.88666534423828,33.88666534423828,33.88666534423828,11772300.0
2025-06-24,REAL,36.87666702270508,36.87666702270508,36.87666702270508,36.87666702270508,12870300.0
2025-06-25,REAL,39.866665571163864,39.866665571163864,36.876665653326576,38.869998931884766,14896500.0
2025-06-26,REAL,39.86666724795387,41.86000061035156,39.86666724795387,41.86000061035156,19789800.0
2025-06-30,REAL,44.85000154246455,45.8466682434082,44.85000154246455,45.8466682434082,41105100.0
2025-07-01,REAL,49.83333206176758,49.83333206176758,49.83333206176758,49.83333206176758,55261200.0
2025-07-02,REAL,49.83333440927359,51.82666778564453,49.83333440927359,51.82666778564453,63559600.0
2025-07-03,REAL,53.820000414578416,53.820000414578416,51.82666706589033,52.823333740234375,33669700.0
2025-07-04,REAL,52.823333740234375,52.823333740234375,52.823333740234375,52.823333740234375,22160300.0
2025-07-07,REAL,51.82666534423828,51.82666534423828,49.83333206176758,49.83333206176758,11471800.0
2025-07-08,REAL,49.83333349227905,49.83333349227905,47.84000015258789,47.84000015258789,4254400.0
2025-07-09,REAL,46.0,46.0,44.0,44.0,5971300.0
2025-07-10,REAL,40.0,40.0,40.0,40.0,9158400.0
2025-07-11,REAL,42.0,44.0,42.0,44.0,12027300.0
2025-07-14,REAL,48.0,48.0,45.0,47.0,18993800.0
2025-07-15,REAL,47.0,48.0,46.0,47.0,5400200.0
2025-07-16,REAL,47.0,47.0,43.0,43.0,2329500.0
2025-07-17,REAL,43.0,43.0,43.0,43.0,3998200.0
2025-07-18,REAL,40.0,42.0,40.0,42.0,4842700.0
2025-07-21,REAL,45.0,46.0,45.0,46.0,11855300.0
2025-07-22,REAL,49.0,49.0,47.0,47.0,8119400.0
2025-07-23,REAL,46.0,46.0,43.0,43.0,8963700.0
2025-07-24,REAL,47.0,47.0,43.0,47.0,7017900.0
2025-07-25,REAL,49.0,49.0,49.0,49.0,6535900.0
2025-07-28,REAL,48.0,48.0,45.0,45.0,4390500.0
2025-07-29,REAL,45.0,45.0,44.0,44.0,4165000.0
2025-07-30,REAL,45.0,48.0,45.0,47.0,5356600.0
2025-07-31,REAL,48.0,48.0,46.0,46.0,3623100.0
2025-08-01,REAL,46.0,46.0,45.0,45.0,1276400.0
2025-08-04,REAL,45.0,45.0,42.0,42.0,6772700.0
2025-08-05,REAL,42.0,44.0,42.0,43.0,2680800.0
2025-08-06,REAL,43.0,43.0,41.0,42.0,3259800.0
2025-08-07,REAL,42.0,42.0,42.0,42.0,5389400.0
2025-08-08,REAL,42.0,42.0,42.0,42.0,874300.0
2025-08-11,REAL,42.0,42.0,41.0,41.0,2552600.0
2025-08-12,REAL,41.0,41.0,41.0,41.0,2113400.0
2025-08-13,REAL,41.0,42.0,41.0,42.0,1173900.0
2025-08-14,REAL,42.0,42.0,42.0,42.0,1756400.0
2025-08-15,REAL,42.0,42.0,42.0,42.0,3160600.0
2025-08-19,REAL,43.0,43.0,43.0,43.0,4654500.0
2025-08-20,REAL,42.0,42.0,41.0,41.0,3627100.0
2025-08-21,REAL,43.0,43.0,42.0,42.0,2335000.0
2025-08-22,REAL,42.0,45.0,42.0,45.0,17483800.0
2025-08-25,REAL,45.0,45.0,43.0,44.0,18488800.0
