Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,ROCK,252.0,252.0,252.0,252.0,100.0
2025-06-16,ROCK,252.0,252.0,238.0,238.0,1100.0
2025-06-17,ROCK,260.0,260.0,260.0,260.0,200.0
2025-06-18,ROCK,260.0,260.0,260.0,260.0,0.0
2025-06-19,ROCK,260.0,260.0,260.0,260.0,0.0
2025-06-20,ROCK,236.0,236.0,236.0,236.0,8100.0
2025-06-23,ROCK,232.0,232.0,228.0,228.0,6800.0
2025-06-24,ROCK,228.0,228.0,228.0,228.0,3100.0
2025-06-25,ROCK,228.0,228.0,228.0,228.0,0.0
2025-06-26,ROCK,228.0,228.0,228.0,228.0,0.0
2025-06-30,ROCK,250.0,250.0,228.0,228.0,200.0
2025-07-01,ROCK,228.0,228.0,228.0,228.0,17100.0
2025-07-02,ROCK,228.0,228.0,228.0,228.0,0.0
2025-07-03,ROCK,228.0,228.0,228.0,228.0,17000.0
2025-07-04,ROCK,228.0,228.0,228.0,228.0,10700.0
2025-07-07,ROCK,228.0,228.0,228.0,228.0,0.0
2025-07-08,ROCK,228.0,228.0,228.0,228.0,0.0
2025-07-09,ROCK,228.0,228.0,228.0,228.0,0.0
2025-07-10,ROCK,228.0,228.0,228.0,228.0,0.0
2025-07-11,ROCK,228.0,228.0,228.0,228.0,0.0
2025-07-14,ROCK,228.0,228.0,228.0,228.0,0.0
2025-07-15,ROCK,228.0,228.0,228.0,228.0,0.0
2025-07-16,ROCK,228.0,228.0,228.0,228.0,200.0
2025-07-17,ROCK,228.0,228.0,228.0,228.0,300.0
2025-07-18,ROCK,230.0,230.0,230.0,230.0,2300.0
2025-07-21,ROCK,228.0,230.0,228.0,228.0,124900.0
2025-07-22,ROCK,236.0,242.0,236.0,242.0,61200.0
2025-07-23,ROCK,266.0,266.0,266.0,266.0,200.0
2025-07-24,ROCK,292.0,292.0,292.0,292.0,19000.0
2025-07-25,ROCK,320.0,320.0,320.0,320.0,5000.0
2025-07-28,ROCK,352.0,352.0,352.0,352.0,6800.0
2025-07-29,ROCK,386.0,386.0,386.0,386.0,5000.0
2025-07-30,ROCK,424.0,424.0,424.0,424.0,83200.0
2025-07-31,ROCK,466.0,466.0,460.0,460.0,131600.0
2025-08-01,ROCK,500.0,500.0,498.0,500.0,15000.0
2025-08-04,ROCK,500.0,500.0,500.0,500.0,0.0
2025-08-05,ROCK,500.0,505.0,500.0,500.0,17900.0
2025-08-06,ROCK,540.0,550.0,540.0,550.0,36300.0
2025-08-07,ROCK,555.0,580.0,555.0,580.0,4900.0
2025-08-08,ROCK,580.0,580.0,580.0,580.0,0.0
2025-08-11,ROCK,580.0,580.0,580.0,580.0,0.0
2025-08-12,ROCK,580.0,580.0,580.0,580.0,0.0
2025-08-13,ROCK,580.0,580.0,580.0,580.0,0.0
2025-08-14,ROCK,580.0,580.0,580.0,580.0,0.0
2025-08-15,ROCK,580.0,580.0,580.0,580.0,0.0
2025-08-19,ROCK,580.0,580.0,580.0,580.0,0.0
2025-08-20,ROCK,580.0,580.0,580.0,580.0,0.0
2025-08-21,ROCK,580.0,580.0,580.0,580.0,0.0
2025-08-22,ROCK,580.0,580.0,580.0,580.0,0.0
2025-08-25,ROCK,580.0,580.0,580.0,580.0,0.0
2025-08-26,ROCK,580.0,580.0,580.0,580.0,0.0
2025-08-27,ROCK,635.0,635.0,635.0,635.0,29900.0
2025-08-28,ROCK,575.0,575.0,575.0,575.0,51800.0
2025-08-29,ROCK,575.0,575.0,520.0,520.0,7700.0
2025-09-01,ROCK,468.0,570.0,468.0,570.0,22200.0
2025-09-02,ROCK,625.0,625.0,625.0,625.0,13800.0
2025-09-03,ROCK,625.0,625.0,625.0,625.0,8700.0
2025-09-04,ROCK,625.0,625.0,625.0,625.0,100.0
2025-09-08,ROCK,625.0,625.0,565.0,565.0,30100.0
2025-09-09,ROCK,550.0,550.0,550.0,550.0,10800.0
2025-09-10,ROCK,496.0,605.0,496.0,605.0,5200.0
2025-09-11,ROCK,605.0,605.0,545.0,600.0,4000.0
2025-09-12,ROCK,600.0,660.0,600.0,660.0,50400.0
2025-09-15,ROCK,725.0,725.0,725.0,725.0,41500.0
2025-09-16,ROCK,795.0,795.0,795.0,795.0,160600.0
2025-09-17,ROCK,795.0,795.0,795.0,795.0,11900.0
2025-09-18,ROCK,795.0,795.0,795.0,795.0,700.0
2025-09-19,ROCK,795.0,870.0,795.0,870.0,71700.0
2025-09-22,ROCK,955.0,955.0,955.0,955.0,19400.0
2025-09-23,ROCK,1050.0,1050.0,950.0,950.0,59200.0
2025-09-24,ROCK,945.0,945.0,855.0,860.0,4200.0
2025-09-25,ROCK,775.0,775.0,775.0,775.0,14000.0
2025-09-26,ROCK,775.0,825.0,775.0,825.0,24900.0
2025-09-29,ROCK,745.0,750.0,745.0,750.0,16800.0
2025-09-30,ROCK,700.0,700.0,675.0,675.0,16100.0
2025-10-01,ROCK,670.0,670.0,670.0,670.0,3500.0
2025-10-02,ROCK,670.0,670.0,610.0,610.0,800.0
2025-10-03,ROCK,610.0,610.0,610.0,610.0,3000.0
2025-10-06,ROCK,670.0,670.0,670.0,670.0,1100.0
2025-10-07,ROCK,735.0,735.0,735.0,735.0,12900.0
2025-10-08,ROCK,735.0,750.0,735.0,745.0,14900.0
2025-10-09,ROCK,745.0,745.0,745.0,745.0,1300.0
2025-10-10,ROCK,745.0,745.0,745.0,745.0,600.0
2025-10-13,ROCK,740.0,740.0,735.0,735.0,1100.0
2025-10-14,ROCK,690.0,690.0,690.0,690.0,1200.0
2025-10-15,ROCK,690.0,690.0,690.0,690.0,0.0
2025-10-16,ROCK,690.0,690.0,690.0,690.0,10700.0
2025-10-17,ROCK,690.0,690.0,690.0,690.0,0.0
2025-10-20,ROCK,690.0,690.0,630.0,630.0,11200.0
2025-10-21,ROCK,625.0,625.0,570.0,620.0,600.0
2025-10-22,ROCK,595.0,595.0,560.0,560.0,12000.0
2025-10-23,ROCK,560.0,560.0,505.0,505.0,33400.0
2025-10-24,ROCK,515.0,530.0,515.0,530.0,15300.0
2025-10-27,ROCK,555.0,575.0,555.0,575.0,20900.0
2025-10-28,ROCK,585.0,590.0,585.0,585.0,35200.0
2025-10-29,ROCK,595.0,595.0,595.0,595.0,10400.0
2025-10-30,ROCK,595.0,595.0,595.0,595.0,200.0
2025-10-31,ROCK,595.0,595.0,595.0,595.0,100.0
2025-11-03,ROCK,550.0,550.0,550.0,550.0,100.0
2025-11-04,ROCK,540.0,540.0,496.0,496.0,2500.0
2025-11-05,ROCK,496.0,496.0,470.0,470.0,29100.0
2025-11-06,ROCK,470.0,515.0,470.0,470.0,36100.0
2025-11-07,ROCK,515.0,515.0,500.0,500.0,16500.0
2025-11-10,ROCK,500.0,500.0,472.0,472.0,14800.0
2025-11-11,ROCK,470.0,470.0,426.0,460.0,54800.0
2025-11-12,ROCK,450.0,450.0,426.0,426.0,83600.0
2025-11-13,ROCK,426.0,426.0,426.0,426.0,57700.0
2025-11-14,ROCK,426.0,468.0,426.0,468.0,37000.0
2025-11-17,ROCK,468.0,468.0,468.0,468.0,1300.0
2025-11-18,ROCK,450.0,505.0,450.0,505.0,1100.0
2025-11-19,ROCK,470.0,470.0,460.0,460.0,15000.0
2025-11-20,ROCK,460.0,494.0,460.0,494.0,5100.0
2025-11-21,ROCK,494.0,494.0,494.0,494.0,11900.0
2025-11-24,ROCK,450.0,540.0,450.0,540.0,1000.0
2025-11-25,ROCK,505.0,505.0,500.0,500.0,1100.0
2025-11-26,ROCK,450.0,500.0,450.0,500.0,60800.0
2025-11-27,ROCK,488.0,545.0,486.0,545.0,48100.0
2025-11-28,ROCK,600.0,680.0,600.0,680.0,152800.0
2025-12-01,ROCK,850.0,850.0,850.0,850.0,107000.0
2025-12-02,ROCK,1060.0,1060.0,1060.0,1060.0,227100.0
2025-12-03,ROCK,1320.0,1325.0,1070.0,1325.0,1272600.0
2025-12-04,ROCK,1325.0,1325.0,1325.0,1325.0,0.0
2025-12-05,ROCK,1650.0,1655.0,1350.0,1655.0,425200.0
2025-12-08,ROCK,1655.0,1655.0,1655.0,1655.0,0.0
2025-12-09,ROCK,1655.0,1655.0,1655.0,1655.0,0.0
2025-12-10,ROCK,1655.0,1655.0,1655.0,1655.0,0.0
2025-12-11,ROCK,1655.0,1655.0,1655.0,1655.0,0.0
2025-12-12,ROCK,1655.0,1655.0,1655.0,1655.0,0.0
2025-12-15,ROCK,1655.0,1655.0,1655.0,1655.0,0.0
2025-12-16,ROCK,1655.0,1655.0,1655.0,1655.0,0.0
2025-12-17,ROCK,1655.0,1655.0,1655.0,1655.0,0.0
2025-12-18,ROCK,1655.0,1655.0,1655.0,1655.0,0.0
2025-12-19,ROCK,1655.0,1655.0,1655.0,1655.0,0.0
2025-12-22,ROCK,1655.0,1655.0,1655.0,1655.0,0.0
2025-12-23,ROCK,1655.0,1655.0,1655.0,1655.0,0.0
2025-12-24,ROCK,1655.0,1655.0,1655.0,1655.0,0.0
2025-12-29,ROCK,1655.0,1655.0,1655.0,1655.0,0.0
2025-12-30,ROCK,1495.0,1495.0,1490.0,1490.0,157400.0
2026-01-02,ROCK,1415.0,1500.0,1415.0,1475.0,208100.0
2026-01-05,ROCK,1470.0,1470.0,1335.0,1335.0,74400.0
2026-01-06,ROCK,1205.0,1445.0,1205.0,1360.0,220500.0
2026-01-07,ROCK,1385.0,1385.0,1235.0,1250.0,108200.0
2026-01-08,ROCK,1250.0,1370.0,1200.0,1370.0,114100.0
2026-01-09,ROCK,1390.0,1505.0,1390.0,1505.0,129400.0
2026-01-12,ROCK,1870.0,1880.0,1405.0,1510.0,823700.0
2026-01-13,ROCK,1285.0,1630.0,1285.0,1390.0,109400.0
2026-01-14,ROCK,1400.0,1735.0,1310.0,1735.0,385000.0
2026-01-15,ROCK,2160.0,2160.0,2160.0,2160.0,59000.0
2026-01-19,ROCK,2700.0,2700.0,2000.0,2700.0,635000.0
2026-01-20,ROCK,2700.0,2700.0,2700.0,2700.0,0.0
2026-01-21,ROCK,2700.0,2700.0,2700.0,2700.0,0.0
2026-01-22,ROCK,2700.0,2700.0,2700.0,2700.0,0.0
2026-01-23,ROCK,2700.0,2700.0,2700.0,2700.0,0.0
2026-01-26,ROCK,2700.0,2700.0,2700.0,2700.0,0.0
2026-01-27,ROCK,2700.0,2700.0,2700.0,2700.0,0.0
2026-01-28,ROCK,2700.0,2700.0,2700.0,2700.0,0.0
2026-01-29,ROCK,2700.0,2700.0,2700.0,2700.0,0.0
2026-01-30,ROCK,2700.0,2700.0,2700.0,2700.0,0.0
2026-02-02,ROCK,2700.0,2700.0,2700.0,2700.0,0.0
2026-02-03,ROCK,2430.0,2430.0,2430.0,2430.0,14600.0
2026-02-04,ROCK,2190.0,2190.0,2190.0,2190.0,1500.0
2026-02-05,ROCK,1975.0,1975.0,1975.0,1975.0,13900.0
2026-02-06,ROCK,1780.0,1780.0,1780.0,1780.0,2700.0
2026-02-09,ROCK,1610.0,1610.0,1605.0,1605.0,17700.0
2026-02-10,ROCK,1480.0,1765.0,1480.0,1765.0,44500.0
2026-02-11,ROCK,1940.0,1940.0,1940.0,1940.0,7000.0
2026-02-12,ROCK,2420.0,2420.0,2110.0,2420.0,659500.0
2026-02-13,ROCK,2500.0,3020.0,2500.0,3020.0,547400.0
2026-02-18,ROCK,3770.0,3770.0,3180.0,3770.0,1058500.0
2026-02-19,ROCK,3630.0,3630.0,3210.0,3210.0,492500.0
2026-02-20,ROCK,2740.0,2900.0,2730.0,2730.0,279800.0
2026-02-23,ROCK,2370.0,3410.0,2370.0,2750.0,1551000.0
2026-02-24,ROCK,2760.0,2950.0,2600.0,2630.0,245000.0
2026-02-25,ROCK,2630.0,2800.0,2350.0,2690.0,230300.0
2026-02-26,ROCK,2770.0,2770.0,2540.0,2600.0,76300.0
2026-02-27,ROCK,2610.0,2610.0,2240.0,2470.0,97800.0
2026-03-02,ROCK,2360.0,2480.0,2100.0,2100.0,143000.0
2026-03-03,ROCK,2100.0,2100.0,1850.0,1900.0,53900.0
2026-03-04,ROCK,1850.0,1900.0,1645.0,1655.0,84200.0
2026-03-05,ROCK,2060.0,2060.0,2060.0,2060.0,137300.0
2026-03-06,ROCK,2460.0,2570.0,2090.0,2150.0,1566400.0
2026-03-09,ROCK,2150.0,2150.0,1840.0,1910.0,154900.0
2026-03-10,ROCK,1990.0,2160.0,1840.0,2100.0,156300.0
2026-03-11,ROCK,2110.0,2200.0,1900.0,1990.0,87900.0
2026-03-12,ROCK,1990.0,2050.0,1800.0,1810.0,120000.0
2026-03-13,ROCK,1815.0,2260.0,1815.0,2260.0,477600.0
2026-03-16,ROCK,2600.0,2820.0,2490.0,2820.0,596400.0
2026-03-17,ROCK,3150.0,3520.0,3150.0,3520.0,1406400.0
2026-03-25,ROCK,3800.0,4300.0,3000.0,3000.0,1221800.0
2026-03-26,ROCK,2620.0,2620.0,2550.0,2550.0,132300.0
2026-03-27,ROCK,2200.0,2500.0,2180.0,2450.0,680600.0
2026-03-30,ROCK,2440.0,2920.0,2190.0,2390.0,586100.0
2026-03-31,ROCK,2390.0,2550.0,2300.0,2360.0,188600.0
2026-04-01,ROCK,2360.0,2440.0,2260.0,2310.0,147500.0
2026-04-02,ROCK,2320.0,2360.0,2220.0,2220.0,109700.0
2026-04-06,ROCK,1890.0,2260.0,1890.0,1980.0,564800.0
2026-04-07,ROCK,1985.0,2060.0,1930.0,1985.0,130200.0
2026-04-08,ROCK,2010.0,2480.0,1990.0,2480.0,589200.0
2026-04-09,ROCK,2900.0,3100.0,2760.0,2940.0,1959300.0
2026-04-10,ROCK,3000.0,3430.0,2710.0,2930.0,1126400.0
2026-04-13,ROCK,2880.0,3000.0,2500.0,2850.0,338600.0
2026-04-14,ROCK,2850.0,2920.0,2770.0,2840.0,133400.0
2026-04-15,ROCK,2920.0,2990.0,2780.0,2840.0,133600.0
2026-04-16,ROCK,2840.0,2850.0,2740.0,2780.0,120700.0
2026-04-17,ROCK,2780.0,2800.0,2640.0,2680.0,138500.0
2026-04-20,ROCK,2680.0,2680.0,2470.0,2620.0,72500.0
2026-04-21,ROCK,2640.0,2640.0,2480.0,2570.0,134900.0
2026-04-22,ROCK,2570.0,3000.0,2400.0,2760.0,487100.0
2026-04-23,ROCK,2780.0,2840.0,2550.0,2640.0,76200.0
2026-04-24,ROCK,2640.0,2640.0,2450.0,2500.0,47000.0
2026-04-27,ROCK,2510.0,2840.0,2510.0,2600.0,291400.0
2026-04-28,ROCK,2600.0,2680.0,2520.0,2600.0,74300.0
2026-04-29,ROCK,2680.0,2680.0,2500.0,2560.0,61600.0
2026-04-30,ROCK,2610.0,2610.0,2300.0,2540.0,35900.0
2026-05-04,ROCK,2450.0,2500.0,2360.0,2470.0,40100.0
2026-05-05,ROCK,2480.0,2500.0,2380.0,2430.0,22900.0
2026-05-06,ROCK,2430.0,2440.0,2380.0,2390.0,47800.0
2026-05-07,ROCK,2600.0,2850.0,2400.0,2470.0,654300.0
2026-05-08,ROCK,2600.0,2600.0,2360.0,2360.0,50700.0
2026-05-11,ROCK,2400.0,2600.0,2270.0,2330.0,57700.0
2026-05-12,ROCK,2330.0,2330.0,2260.0,2260.0,32400.0
2026-05-13,ROCK,2260.0,2410.0,2100.0,2410.0,72900.0
2026-05-14,ROCK,2410.0,2410.0,2410.0,2410.0,0.0
2026-05-15,ROCK,2410.0,2410.0,2410.0,2410.0,0.0
2026-05-18,ROCK,2410.0,2410.0,2210.0,2220.0,21700.0
2026-05-19,ROCK,2220.0,2240.0,1995.0,2210.0,75600.0
2026-05-20,ROCK,2100.0,2200.0,2000.0,2110.0,17500.0
2026-05-21,ROCK,2080.0,2200.0,1810.0,1905.0,69900.0
2026-05-22,ROCK,1820.0,1820.0,1640.0,1750.0,116500.0
2026-05-25,ROCK,1850.0,2180.0,1790.0,1800.0,361000.0
2026-05-26,ROCK,1800.0,1835.0,1660.0,1700.0,56600.0
2026-05-27,ROCK,1700.0,1700.0,1700.0,1700.0,0.0
2026-05-28,ROCK,1700.0,1700.0,1700.0,1700.0,0.0
2026-05-29,ROCK,1710.0,1785.0,1680.0,1735.0,11500.0
2026-06-02,ROCK,1740.0,1800.0,1740.0,1785.0,11500.0
2026-06-03,ROCK,1775.0,1860.0,1700.0,1750.0,30000.0
2026-06-04,ROCK,1700.0,1700.0,1500.0,1600.0,34600.0
2026-06-05,ROCK,1540.0,1900.0,1400.0,1435.0,162500.0
2026-06-08,ROCK,1435.0,1435.0,1250.0,1250.0,24100.0
2026-06-09,ROCK,1250.0,1420.0,1225.0,1255.0,22100.0
2026-06-10,ROCK,1255.0,1565.0,1255.0,1565.0,53700.0
2026-06-11,ROCK,1565.0,1800.0,1450.0,1470.0,233600.0
