Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,RODA,31.0,34.0,30.0,34.0,109600.0
2025-06-16,RODA,34.0,35.0,34.0,35.0,87400.0
2025-06-17,RODA,35.0,35.0,35.0,35.0,179600.0
2025-06-18,RODA,35.0,37.0,35.0,36.0,609700.0
2025-06-19,RODA,38.0,38.0,36.0,37.0,7500.0
2025-06-20,RODA,37.0,37.0,35.0,35.0,141200.0
2025-06-23,RODA,32.0,38.0,32.0,38.0,130600.0
2025-06-24,RODA,38.0,38.0,38.0,38.0,100.0
2025-06-25,RODA,38.0,38.0,38.0,38.0,0.0
2025-06-26,RODA,38.0,38.0,38.0,38.0,400.0
2025-06-30,RODA,36.0,36.0,36.0,36.0,2900.0
2025-07-01,RODA,36.0,36.0,36.0,36.0,2600.0
2025-07-02,RODA,36.0,36.0,36.0,36.0,3200.0
2025-07-03,RODA,34.0,34.0,34.0,34.0,10900.0
2025-07-04,RODA,32.0,32.0,32.0,32.0,48100.0
2025-07-07,RODA,32.0,35.0,30.0,35.0,32600.0
2025-07-08,RODA,35.0,35.0,33.0,33.0,488400.0
2025-07-09,RODA,33.0,36.0,32.0,36.0,90800.0
2025-07-10,RODA,36.0,36.0,36.0,36.0,6200.0
2025-07-11,RODA,34.0,35.0,34.0,35.0,11800.0
2025-07-14,RODA,35.0,35.0,34.0,35.0,29000.0
2025-07-15,RODA,38.0,38.0,37.0,37.0,35300.0
2025-07-16,RODA,37.0,37.0,37.0,37.0,662100.0
2025-07-17,RODA,37.0,37.0,37.0,37.0,8600.0
2025-07-18,RODA,37.0,37.0,34.0,34.0,21700.0
2025-07-21,RODA,34.0,34.0,34.0,34.0,25800.0
2025-07-22,RODA,34.0,36.0,34.0,36.0,116700.0
2025-07-23,RODA,36.0,36.0,34.0,35.0,70200.0
2025-07-24,RODA,35.0,35.0,34.0,34.0,14300.0
2025-07-25,RODA,34.0,34.0,33.0,33.0,12600.0
2025-07-28,RODA,33.0,36.0,32.0,32.0,13100.0
2025-07-29,RODA,32.0,32.0,32.0,32.0,57700.0
2025-07-30,RODA,30.0,32.0,30.0,32.0,150400.0
2025-07-31,RODA,32.0,33.0,32.0,33.0,85000.0
2025-08-01,RODA,35.0,35.0,34.0,34.0,24700.0
2025-08-04,RODA,33.0,33.0,33.0,33.0,54800.0
2025-08-05,RODA,32.0,33.0,32.0,32.0,64000.0
2025-08-06,RODA,32.0,32.0,32.0,32.0,108700.0
2025-08-07,RODA,35.0,35.0,35.0,35.0,154800.0
2025-08-08,RODA,35.0,35.0,35.0,35.0,43300.0
2025-08-11,RODA,35.0,37.0,35.0,37.0,229700.0
2025-08-12,RODA,37.0,40.0,37.0,40.0,758300.0
2025-08-13,RODA,39.0,39.0,39.0,39.0,56900.0
2025-08-14,RODA,39.0,39.0,39.0,39.0,97000.0
2025-08-15,RODA,39.0,39.0,39.0,39.0,24700.0
2025-08-19,RODA,39.0,39.0,39.0,39.0,66400.0
2025-08-20,RODA,39.0,39.0,39.0,39.0,190000.0
2025-08-21,RODA,39.0,40.0,39.0,40.0,82100.0
2025-08-22,RODA,41.0,41.0,40.0,40.0,165000.0
2025-08-25,RODA,40.0,41.0,40.0,41.0,184400.0
2025-08-26,RODA,40.0,41.0,40.0,41.0,686400.0
2025-08-27,RODA,41.0,42.0,41.0,42.0,158700.0
2025-08-28,RODA,43.0,43.0,43.0,43.0,429900.0
2025-08-29,RODA,46.0,46.0,46.0,46.0,524000.0
2025-09-01,RODA,42.0,45.0,42.0,45.0,143900.0
2025-09-02,RODA,45.0,45.0,45.0,45.0,227200.0
2025-09-03,RODA,45.0,46.0,45.0,46.0,204000.0
2025-09-04,RODA,46.0,46.0,46.0,46.0,277800.0
2025-09-08,RODA,50.0,50.0,50.0,50.0,1756800.0
2025-09-09,RODA,52.0,52.0,52.0,52.0,173300.0
2025-09-10,RODA,52.0,52.0,50.0,50.0,95800.0
2025-09-11,RODA,50.0,50.0,48.0,48.0,617400.0
2025-09-12,RODA,47.0,47.0,46.0,47.0,889900.0
2025-09-15,RODA,51.0,51.0,50.0,50.0,1539900.0
2025-09-16,RODA,46.0,50.0,46.0,49.0,554300.0
2025-09-17,RODA,51.0,51.0,49.0,49.0,216800.0
2025-09-18,RODA,49.0,53.0,49.0,52.0,1663900.0
2025-09-19,RODA,54.0,54.0,52.0,52.0,1447400.0
2025-09-22,RODA,55.0,55.0,53.0,54.0,892100.0
2025-09-23,RODA,55.0,55.0,55.0,55.0,919700.0
2025-09-24,RODA,55.0,57.0,55.0,57.0,1519000.0
2025-09-25,RODA,60.0,60.0,52.0,52.0,1928500.0
2025-09-26,RODA,47.0,47.0,47.0,47.0,811400.0
2025-09-29,RODA,47.0,47.0,43.0,43.0,446900.0
2025-09-30,RODA,47.0,47.0,47.0,47.0,182000.0
2025-10-01,RODA,50.0,50.0,49.0,49.0,607200.0
2025-10-02,RODA,49.0,49.0,45.0,45.0,416700.0
2025-10-03,RODA,45.0,48.0,45.0,48.0,168900.0
2025-10-06,RODA,48.0,48.0,45.0,47.0,112300.0
2025-10-07,RODA,44.0,44.0,43.0,43.0,148900.0
2025-10-08,RODA,45.0,47.0,45.0,47.0,851200.0
2025-10-09,RODA,47.0,48.0,47.0,48.0,182200.0
2025-10-10,RODA,52.0,52.0,52.0,52.0,1155800.0
2025-10-13,RODA,52.0,52.0,47.0,47.0,474800.0
2025-10-14,RODA,48.0,48.0,47.0,47.0,118500.0
2025-10-15,RODA,47.0,47.0,43.0,43.0,579900.0
2025-10-16,RODA,39.0,43.0,39.0,41.0,999200.0
2025-10-17,RODA,39.0,41.0,39.0,41.0,129600.0
2025-10-20,RODA,37.0,41.0,37.0,41.0,245300.0
2025-10-21,RODA,41.0,41.0,37.0,40.0,195800.0
2025-10-22,RODA,37.0,44.0,37.0,44.0,237500.0
2025-10-23,RODA,43.0,43.0,40.0,40.0,245500.0
2025-10-24,RODA,40.0,43.0,39.0,43.0,389500.0
2025-10-27,RODA,43.0,45.0,43.0,45.0,420400.0
2025-10-28,RODA,45.0,45.0,45.0,45.0,332300.0
2025-10-29,RODA,45.0,45.0,43.0,43.0,145000.0
2025-10-30,RODA,43.0,43.0,42.0,43.0,282500.0
2025-10-31,RODA,41.0,41.0,41.0,41.0,394300.0
2025-11-03,RODA,41.0,44.0,41.0,44.0,58900.0
2025-11-04,RODA,44.0,46.0,40.0,46.0,174300.0
2025-11-05,RODA,45.0,45.0,45.0,45.0,195700.0
2025-11-06,RODA,45.0,45.0,45.0,45.0,171600.0
2025-11-07,RODA,45.0,45.0,45.0,45.0,141300.0
2025-11-10,RODA,48.0,48.0,47.0,47.0,212800.0
2025-11-11,RODA,47.0,47.0,43.0,43.0,55700.0
2025-11-12,RODA,43.0,45.0,43.0,45.0,95400.0
2025-11-13,RODA,47.0,47.0,45.0,46.0,113200.0
2025-11-14,RODA,46.0,46.0,46.0,46.0,132200.0
2025-11-17,RODA,46.0,46.0,46.0,46.0,27200.0
2025-11-18,RODA,46.0,46.0,46.0,46.0,3200.0
2025-11-19,RODA,46.0,46.0,43.0,44.0,172800.0
2025-11-20,RODA,45.0,45.0,45.0,45.0,98000.0
2025-11-21,RODA,45.0,45.0,45.0,45.0,17500.0
2025-11-24,RODA,45.0,45.0,42.0,43.0,136800.0
2025-11-25,RODA,43.0,44.0,43.0,44.0,23500.0
2025-11-26,RODA,44.0,44.0,42.0,43.0,287900.0
2025-11-27,RODA,44.0,44.0,42.0,43.0,58400.0
2025-11-28,RODA,43.0,45.0,43.0,44.0,110200.0
2025-12-01,RODA,45.0,45.0,45.0,45.0,778700.0
2025-12-02,RODA,45.0,46.0,45.0,46.0,1030100.0
2025-12-03,RODA,46.0,46.0,45.0,45.0,321600.0
2025-12-04,RODA,46.0,47.0,46.0,47.0,527800.0
2025-12-05,RODA,47.0,47.0,47.0,47.0,252600.0
2025-12-08,RODA,48.0,51.0,48.0,49.0,378500.0
2025-12-09,RODA,45.0,51.0,45.0,51.0,1338100.0
2025-12-10,RODA,51.0,51.0,50.0,50.0,232800.0
2025-12-11,RODA,50.0,50.0,49.0,49.0,124900.0
2025-12-12,RODA,49.0,49.0,49.0,49.0,155900.0
2025-12-15,RODA,49.0,49.0,47.0,47.0,264600.0
2025-12-16,RODA,47.0,47.0,46.0,47.0,418100.0
2025-12-17,RODA,51.0,51.0,48.0,48.0,652400.0
2025-12-18,RODA,48.0,51.0,48.0,51.0,425300.0
2025-12-19,RODA,51.0,51.0,51.0,51.0,502200.0
2025-12-22,RODA,51.0,56.0,48.0,49.0,1313000.0
2025-12-23,RODA,49.0,51.0,49.0,50.0,783200.0
2025-12-24,RODA,50.0,51.0,50.0,51.0,429700.0
2025-12-29,RODA,50.0,50.0,50.0,50.0,317400.0
2025-12-30,RODA,50.0,50.0,50.0,50.0,420700.0
2026-01-02,RODA,50.0,50.0,50.0,50.0,449600.0
2026-01-05,RODA,50.0,50.0,48.0,49.0,351300.0
2026-01-06,RODA,50.0,50.0,50.0,50.0,1390700.0
2026-01-07,RODA,55.0,55.0,54.0,54.0,3365300.0
2026-01-08,RODA,59.0,59.0,58.0,58.0,10950500.0
2026-01-09,RODA,58.0,58.0,57.0,57.0,3400000.0
2026-01-12,RODA,57.0,59.0,57.0,57.0,5597100.0
2026-01-13,RODA,62.0,62.0,61.0,61.0,8970500.0
2026-01-14,RODA,64.0,67.0,64.0,67.0,7699300.0
2026-01-15,RODA,67.0,67.0,63.0,63.0,5983700.0
2026-01-19,RODA,63.0,63.0,57.0,57.0,6109600.0
2026-01-20,RODA,56.0,60.0,56.0,60.0,7176100.0
2026-01-21,RODA,64.0,64.0,58.0,58.0,3137500.0
