Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,RSCH,420.0,424.0,406.0,406.0,1056200.0
2025-06-16,RSCH,408.0,410.0,386.0,386.0,4701200.0
2025-06-17,RSCH,386.0,396.0,380.0,380.0,905000.0
2025-06-18,RSCH,380.0,406.0,380.0,398.0,5899100.0
2025-06-19,RSCH,400.0,400.0,388.0,390.0,249300.0
2025-06-20,RSCH,392.0,402.0,390.0,402.0,4130200.0
2025-06-23,RSCH,400.0,400.0,392.0,396.0,1178600.0
2025-06-24,RSCH,398.0,402.0,390.0,392.0,3897000.0
2025-06-25,RSCH,396.0,412.0,394.0,410.0,6103800.0
2025-06-26,RSCH,410.0,418.0,408.0,412.0,2014000.0
2025-06-30,RSCH,412.0,444.0,408.0,442.0,12719100.0
2025-07-01,RSCH,442.0,466.0,438.0,460.0,9233700.0
2025-07-02,RSCH,460.0,472.0,456.0,466.0,4835200.0
2025-07-03,RSCH,466.0,470.0,454.0,458.0,1502200.0
2025-07-04,RSCH,462.0,462.0,454.0,454.0,466900.0
2025-07-07,RSCH,454.0,454.0,440.0,448.0,1321800.0
2025-07-08,RSCH,448.0,454.0,448.0,450.0,1013700.0
2025-07-09,RSCH,452.0,458.0,448.0,458.0,1230700.0
2025-07-10,RSCH,458.0,462.0,454.0,454.0,1030400.0
2025-07-11,RSCH,454.0,460.0,450.0,460.0,1133700.0
2025-07-14,RSCH,460.0,460.0,452.0,454.0,1093500.0
2025-07-15,RSCH,454.0,466.0,448.0,458.0,3901800.0
2025-07-16,RSCH,458.0,458.0,448.0,448.0,1121700.0
2025-07-17,RSCH,448.0,466.0,446.0,460.0,7151000.0
2025-07-18,RSCH,460.0,462.0,448.0,454.0,3420600.0
2025-07-21,RSCH,454.0,458.0,450.0,456.0,1956500.0
2025-07-22,RSCH,456.0,462.0,450.0,456.0,6321900.0
2025-07-23,RSCH,456.0,458.0,452.0,456.0,2761000.0
2025-07-24,RSCH,456.0,462.0,452.0,456.0,2210200.0
2025-07-25,RSCH,456.0,462.0,452.0,456.0,1403000.0
2025-07-28,RSCH,456.0,458.0,454.0,458.0,650700.0
2025-07-29,RSCH,458.0,466.0,454.0,454.0,3291600.0
2025-07-30,RSCH,452.0,460.0,448.0,450.0,5035900.0
2025-07-31,RSCH,450.0,458.0,450.0,450.0,625500.0
2025-08-01,RSCH,450.0,456.0,448.0,448.0,6780700.0
2025-08-04,RSCH,448.0,470.0,448.0,450.0,15772700.0
2025-08-05,RSCH,450.0,458.0,438.0,440.0,1735600.0
2025-08-06,RSCH,440.0,440.0,410.0,414.0,4890200.0
2025-08-07,RSCH,420.0,420.0,404.0,418.0,1299100.0
2025-08-08,RSCH,418.0,422.0,380.0,398.0,4457000.0
2025-08-11,RSCH,400.0,460.0,384.0,392.0,1741200.0
2025-08-12,RSCH,392.0,422.0,382.0,384.0,5937600.0
2025-08-13,RSCH,386.0,390.0,382.0,386.0,3128600.0
2025-08-14,RSCH,390.0,390.0,382.0,386.0,4504400.0
2025-08-15,RSCH,386.0,390.0,380.0,380.0,3465400.0
2025-08-19,RSCH,384.0,388.0,380.0,380.0,5078300.0
2025-08-20,RSCH,386.0,386.0,376.0,380.0,3657100.0
2025-08-21,RSCH,386.0,386.0,380.0,382.0,7226400.0
2025-08-22,RSCH,384.0,384.0,376.0,376.0,1332900.0
2025-08-25,RSCH,380.0,384.0,376.0,378.0,4629800.0
2025-08-26,RSCH,382.0,382.0,376.0,380.0,4736700.0
2025-08-27,RSCH,380.0,380.0,374.0,376.0,8793000.0
2025-08-28,RSCH,376.0,380.0,370.0,370.0,1213500.0
2025-08-29,RSCH,380.0,380.0,368.0,368.0,6798700.0
2025-09-01,RSCH,358.0,384.0,314.0,362.0,1702100.0
2025-09-02,RSCH,364.0,384.0,356.0,370.0,9270700.0
2025-09-03,RSCH,372.0,380.0,366.0,370.0,3553100.0
2025-09-04,RSCH,370.0,374.0,366.0,370.0,7369900.0
2025-09-08,RSCH,372.0,374.0,364.0,368.0,3044700.0
2025-09-09,RSCH,366.0,370.0,358.0,368.0,5690700.0
2025-09-10,RSCH,374.0,374.0,366.0,372.0,2683100.0
2025-09-11,RSCH,372.0,372.0,366.0,372.0,9984100.0
2025-09-12,RSCH,372.0,372.0,366.0,366.0,433700.0
2025-09-15,RSCH,370.0,372.0,364.0,364.0,7624900.0
2025-09-16,RSCH,364.0,372.0,362.0,372.0,1318300.0
2025-09-17,RSCH,370.0,382.0,366.0,372.0,9044100.0
2025-09-18,RSCH,372.0,374.0,366.0,370.0,1645700.0
2025-09-19,RSCH,376.0,376.0,364.0,368.0,9541500.0
2025-09-22,RSCH,368.0,374.0,356.0,356.0,2252000.0
2025-09-23,RSCH,366.0,374.0,364.0,374.0,16590100.0
2025-09-24,RSCH,374.0,380.0,364.0,366.0,2918400.0
2025-09-25,RSCH,378.0,378.0,364.0,368.0,11674500.0
2025-09-26,RSCH,368.0,372.0,364.0,370.0,5686400.0
2025-09-29,RSCH,370.0,378.0,362.0,366.0,10171300.0
2025-09-30,RSCH,368.0,368.0,362.0,366.0,869200.0
2025-10-01,RSCH,366.0,370.0,360.0,360.0,7909400.0
2025-10-02,RSCH,368.0,368.0,356.0,360.0,1168800.0
2025-10-03,RSCH,360.0,374.0,358.0,360.0,10026000.0
2025-10-06,RSCH,360.0,370.0,360.0,362.0,348600.0
2025-10-07,RSCH,360.0,370.0,358.0,368.0,11990100.0
2025-10-08,RSCH,370.0,370.0,366.0,368.0,414700.0
2025-10-09,RSCH,368.0,376.0,368.0,376.0,12027600.0
2025-10-10,RSCH,378.0,378.0,370.0,376.0,317700.0
2025-10-13,RSCH,376.0,378.0,368.0,376.0,15760900.0
2025-10-14,RSCH,378.0,378.0,362.0,362.0,2355600.0
2025-10-15,RSCH,370.0,370.0,360.0,360.0,10824600.0
2025-10-16,RSCH,368.0,368.0,344.0,344.0,3340600.0
2025-10-17,RSCH,350.0,396.0,342.0,374.0,17282900.0
2025-10-20,RSCH,370.0,380.0,366.0,378.0,3597900.0
2025-10-21,RSCH,380.0,384.0,376.0,376.0,10028100.0
2025-10-22,RSCH,380.0,396.0,376.0,394.0,4195900.0
2025-10-23,RSCH,394.0,414.0,390.0,410.0,21430700.0
2025-10-24,RSCH,418.0,420.0,402.0,404.0,885500.0
2025-10-27,RSCH,402.0,408.0,376.0,386.0,9911100.0
2025-10-28,RSCH,386.0,392.0,386.0,386.0,146700.0
2025-10-29,RSCH,390.0,396.0,386.0,390.0,13981800.0
2025-10-30,RSCH,390.0,396.0,384.0,392.0,3136200.0
2025-10-31,RSCH,392.0,398.0,382.0,382.0,11457400.0
2025-11-03,RSCH,382.0,392.0,380.0,384.0,5672000.0
2025-11-04,RSCH,384.0,392.0,382.0,384.0,10848600.0
2025-11-05,RSCH,384.0,388.0,354.0,368.0,5371400.0
2025-11-06,RSCH,368.0,388.0,366.0,380.0,17193100.0
2025-11-07,RSCH,380.0,382.0,376.0,376.0,1353300.0
2025-11-10,RSCH,380.0,380.0,374.0,376.0,9177700.0
2025-11-11,RSCH,374.0,380.0,370.0,380.0,303500.0
2025-11-12,RSCH,380.0,390.0,378.0,378.0,10964900.0
2025-11-13,RSCH,384.0,384.0,376.0,378.0,3836900.0
2025-11-14,RSCH,384.0,384.0,376.0,378.0,11472000.0
2025-11-17,RSCH,376.0,388.0,376.0,384.0,3173700.0
2025-11-18,RSCH,384.0,388.0,378.0,380.0,14137000.0
2025-11-19,RSCH,380.0,388.0,378.0,378.0,5429700.0
2025-11-20,RSCH,380.0,382.0,376.0,376.0,7556000.0
2025-11-21,RSCH,378.0,380.0,374.0,378.0,5524600.0
2025-11-24,RSCH,382.0,384.0,376.0,380.0,6674500.0
2025-11-25,RSCH,380.0,418.0,378.0,410.0,9496100.0
2025-11-26,RSCH,412.0,414.0,400.0,402.0,7916800.0
2025-11-27,RSCH,408.0,412.0,400.0,404.0,9682800.0
2025-11-28,RSCH,404.0,412.0,392.0,398.0,7211600.0
2025-12-01,RSCH,398.0,402.0,388.0,390.0,6315000.0
2025-12-02,RSCH,394.0,406.0,390.0,398.0,10950200.0
2025-12-03,RSCH,404.0,408.0,396.0,398.0,5559800.0
2025-12-04,RSCH,394.0,402.0,390.0,390.0,7992000.0
2025-12-05,RSCH,390.0,402.0,390.0,392.0,8418100.0
2025-12-08,RSCH,392.0,404.0,392.0,396.0,6428000.0
2025-12-09,RSCH,396.0,424.0,394.0,420.0,8332500.0
2025-12-10,RSCH,422.0,432.0,418.0,422.0,7504300.0
2025-12-11,RSCH,424.0,440.0,418.0,440.0,7177400.0
2025-12-12,RSCH,444.0,484.0,434.0,474.0,5796500.0
2025-12-15,RSCH,474.0,488.0,452.0,464.0,9433500.0
2025-12-16,RSCH,464.0,498.0,460.0,490.0,12654300.0
2025-12-17,RSCH,492.0,500.0,470.0,470.0,12338800.0
2025-12-18,RSCH,470.0,478.0,452.0,456.0,10920100.0
2025-12-19,RSCH,458.0,464.0,436.0,440.0,15270000.0
2025-12-22,RSCH,442.0,460.0,420.0,436.0,23501200.0
2025-12-23,RSCH,438.0,438.0,408.0,408.0,15346700.0
2025-12-24,RSCH,416.0,418.0,404.0,412.0,12166900.0
2025-12-29,RSCH,414.0,414.0,400.0,410.0,2638200.0
2025-12-30,RSCH,410.0,412.0,404.0,410.0,8656900.0
2026-01-02,RSCH,416.0,420.0,404.0,410.0,9334400.0
2026-01-05,RSCH,418.0,418.0,400.0,404.0,5866800.0
2026-01-06,RSCH,412.0,412.0,394.0,396.0,6782600.0
