Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,RSGK,980.0,980.0,980.0,980.0,0.0
2025-06-16,RSGK,980.0,980.0,980.0,980.0,0.0
2025-06-17,RSGK,980.0,980.0,980.0,980.0,0.0
2025-06-18,RSGK,980.0,980.0,980.0,980.0,0.0
2025-06-19,RSGK,980.0,980.0,980.0,980.0,0.0
2025-06-20,RSGK,980.0,980.0,980.0,980.0,0.0
2025-06-23,RSGK,980.0,980.0,980.0,980.0,0.0
2025-06-24,RSGK,980.0,980.0,980.0,980.0,0.0
2025-06-25,RSGK,980.0,980.0,980.0,980.0,0.0
2025-06-26,RSGK,980.0,980.0,980.0,980.0,0.0
2025-06-30,RSGK,980.0,980.0,980.0,980.0,0.0
2025-07-01,RSGK,980.0,980.0,980.0,980.0,0.0
2025-07-02,RSGK,980.0,980.0,980.0,980.0,0.0
2025-07-03,RSGK,980.0,980.0,980.0,980.0,0.0
2025-07-04,RSGK,980.0,980.0,980.0,980.0,0.0
2025-07-07,RSGK,980.0,980.0,980.0,980.0,0.0
2025-07-08,RSGK,980.0,980.0,980.0,980.0,0.0
2025-07-09,RSGK,980.0,980.0,980.0,980.0,0.0
2025-07-10,RSGK,980.0,980.0,980.0,980.0,0.0
2025-07-11,RSGK,980.0,980.0,980.0,980.0,0.0
2025-07-14,RSGK,980.0,980.0,980.0,980.0,0.0
2025-07-15,RSGK,980.0,980.0,980.0,980.0,0.0
2025-07-16,RSGK,980.0,980.0,980.0,980.0,0.0
2025-07-17,RSGK,980.0,980.0,980.0,980.0,0.0
2025-07-18,RSGK,980.0,980.0,980.0,980.0,0.0
2025-07-21,RSGK,980.0,980.0,980.0,980.0,0.0
2025-07-22,RSGK,980.0,980.0,980.0,980.0,0.0
2025-07-23,RSGK,980.0,980.0,980.0,980.0,0.0
2025-07-24,RSGK,980.0,980.0,980.0,980.0,0.0
2025-07-25,RSGK,980.0,980.0,980.0,980.0,0.0
2025-07-28,RSGK,980.0,980.0,980.0,980.0,0.0
2025-07-29,RSGK,980.0,980.0,980.0,980.0,0.0
2025-07-30,RSGK,980.0,980.0,980.0,980.0,0.0
2025-07-31,RSGK,980.0,980.0,980.0,980.0,0.0
2025-08-01,RSGK,980.0,980.0,980.0,980.0,0.0
