Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,SAMF,332.0,340.0,330.0,330.0,174700.0
2025-06-16,SAMF,332.0,338.0,330.0,336.0,72000.0
2025-06-17,SAMF,336.0,338.0,330.0,330.0,77800.0
2025-06-18,SAMF,330.0,332.0,312.0,330.0,59700.0
2025-06-19,SAMF,330.0,334.0,324.0,326.0,140200.0
2025-06-20,SAMF,326.0,332.0,324.0,328.0,20600.0
2025-06-23,SAMF,332.0,338.0,332.0,332.0,303500.0
2025-06-24,SAMF,332.0,334.0,332.0,332.0,58300.0
2025-06-25,SAMF,332.0,334.0,330.0,332.0,148500.0
2025-06-26,SAMF,332.0,338.0,332.0,338.0,303000.0
2025-06-30,SAMF,338.0,338.0,332.0,338.0,90700.0
2025-07-01,SAMF,338.0,338.0,332.0,334.0,49900.0
2025-07-02,SAMF,336.0,338.0,334.0,336.0,16800.0
2025-07-03,SAMF,336.0,336.0,332.0,336.0,14700.0
2025-07-04,SAMF,336.0,338.0,332.0,332.0,42600.0
2025-07-07,SAMF,336.0,338.0,320.0,332.0,163800.0
2025-07-08,SAMF,332.0,334.0,332.0,334.0,104100.0
2025-07-09,SAMF,334.0,336.0,332.0,332.0,298800.0
2025-07-10,SAMF,332.0,338.0,332.0,338.0,79400.0
2025-07-11,SAMF,338.0,338.0,332.0,336.0,8700.0
2025-07-14,SAMF,336.0,338.0,332.0,334.0,125300.0
2025-07-15,SAMF,334.0,338.0,332.0,336.0,146600.0
2025-07-16,SAMF,336.0,338.0,332.0,336.0,106100.0
2025-07-17,SAMF,336.0,338.0,332.0,334.0,85500.0
2025-07-18,SAMF,334.0,350.0,334.0,336.0,36300.0
2025-07-21,SAMF,334.0,340.0,332.0,336.0,105200.0
2025-07-22,SAMF,334.0,340.0,332.0,332.0,78000.0
2025-07-23,SAMF,332.0,338.0,332.0,336.0,81100.0
2025-07-24,SAMF,336.0,336.0,334.0,336.0,56400.0
2025-07-25,SAMF,334.0,336.0,334.0,336.0,10000.0
2025-07-28,SAMF,334.0,336.0,332.0,332.0,108700.0
2025-07-29,SAMF,332.0,338.0,332.0,338.0,155500.0
2025-07-30,SAMF,340.0,378.0,334.0,342.0,1800700.0
2025-07-31,SAMF,356.0,356.0,334.0,340.0,366900.0
2025-08-01,SAMF,340.0,346.0,332.0,340.0,155100.0
2025-08-04,SAMF,340.0,344.0,340.0,340.0,87600.0
2025-08-05,SAMF,346.0,348.0,338.0,342.0,117500.0
2025-08-06,SAMF,344.0,344.0,340.0,342.0,19500.0
2025-08-07,SAMF,344.0,346.0,340.0,344.0,79500.0
2025-08-08,SAMF,344.0,344.0,340.0,342.0,100000.0
2025-08-11,SAMF,342.0,346.0,340.0,344.0,63200.0
2025-08-12,SAMF,346.0,346.0,340.0,344.0,74300.0
2025-08-13,SAMF,344.0,344.0,340.0,342.0,47800.0
2025-08-14,SAMF,342.0,344.0,322.0,340.0,475800.0
2025-08-15,SAMF,340.0,342.0,340.0,342.0,17900.0
2025-08-19,SAMF,342.0,342.0,336.0,338.0,39000.0
2025-08-20,SAMF,336.0,340.0,334.0,338.0,137300.0
2025-08-21,SAMF,334.0,340.0,334.0,338.0,44100.0
2025-08-22,SAMF,340.0,342.0,338.0,340.0,342400.0
2025-08-25,SAMF,342.0,342.0,332.0,336.0,94300.0
2025-08-26,SAMF,336.0,336.0,330.0,336.0,116600.0
2025-08-27,SAMF,332.0,336.0,332.0,332.0,100600.0
2025-08-28,SAMF,332.0,338.0,332.0,336.0,133000.0
2025-08-29,SAMF,334.0,334.0,320.0,328.0,176300.0
2025-09-01,SAMF,336.0,400.0,332.0,338.0,2822500.0
2025-09-02,SAMF,334.0,338.0,332.0,336.0,280900.0
2025-09-03,SAMF,338.0,338.0,332.0,334.0,222400.0
2025-09-04,SAMF,334.0,336.0,332.0,332.0,73000.0
2025-09-08,SAMF,332.0,334.0,330.0,330.0,181100.0
2025-09-09,SAMF,334.0,334.0,328.0,330.0,143700.0
2025-09-10,SAMF,330.0,332.0,328.0,330.0,47400.0
2025-09-11,SAMF,330.0,336.0,326.0,328.0,40000.0
2025-09-12,SAMF,328.0,334.0,326.0,332.0,60400.0
2025-09-15,SAMF,332.0,334.0,326.0,326.0,334900.0
2025-09-16,SAMF,326.0,328.0,320.0,326.0,482700.0
2025-09-17,SAMF,326.0,326.0,322.0,326.0,128800.0
2025-09-18,SAMF,328.0,328.0,322.0,326.0,298600.0
2025-09-19,SAMF,326.0,326.0,318.0,322.0,308500.0
2025-09-22,SAMF,326.0,326.0,318.0,320.0,193600.0
2025-09-23,SAMF,320.0,322.0,314.0,318.0,513100.0
2025-09-24,SAMF,318.0,318.0,314.0,314.0,257200.0
2025-09-25,SAMF,314.0,326.0,314.0,322.0,115900.0
2025-09-26,SAMF,322.0,324.0,320.0,320.0,106200.0
2025-09-29,SAMF,320.0,322.0,318.0,318.0,33000.0
2025-09-30,SAMF,318.0,320.0,318.0,320.0,111100.0
2025-10-01,SAMF,320.0,320.0,318.0,318.0,99100.0
2025-10-02,SAMF,318.0,320.0,316.0,320.0,81600.0
2025-10-03,SAMF,320.0,320.0,318.0,318.0,158100.0
2025-10-06,SAMF,322.0,322.0,318.0,320.0,83100.0
2025-10-07,SAMF,320.0,320.0,318.0,320.0,116100.0
2025-10-08,SAMF,318.0,320.0,312.0,318.0,268800.0
2025-10-09,SAMF,318.0,320.0,316.0,320.0,125200.0
2025-10-10,SAMF,320.0,320.0,316.0,320.0,226600.0
2025-10-13,SAMF,320.0,320.0,316.0,320.0,325100.0
2025-10-14,SAMF,320.0,320.0,314.0,314.0,173900.0
