Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,SBAT,1.0,1.0,1.0,1.0,0.0
2025-06-16,SBAT,1.0,1.0,1.0,1.0,0.0
2025-06-17,SBAT,1.0,1.0,1.0,1.0,0.0
2025-06-18,SBAT,1.0,1.0,1.0,1.0,0.0
2025-06-19,SBAT,1.0,1.0,1.0,1.0,0.0
2025-06-20,SBAT,1.0,1.0,1.0,1.0,0.0
2025-06-23,SBAT,1.0,1.0,1.0,1.0,0.0
2025-06-24,SBAT,1.0,1.0,1.0,1.0,0.0
2025-06-25,SBAT,1.0,1.0,1.0,1.0,0.0
2025-06-26,SBAT,1.0,1.0,1.0,1.0,0.0
2025-06-30,SBAT,1.0,1.0,1.0,1.0,0.0
2025-07-01,SBAT,1.0,1.0,1.0,1.0,0.0
2025-07-02,SBAT,1.0,1.0,1.0,1.0,0.0
2025-07-03,SBAT,1.0,1.0,1.0,1.0,0.0
2025-07-04,SBAT,1.0,1.0,1.0,1.0,0.0
2025-07-07,SBAT,1.0,1.0,1.0,1.0,0.0
2025-07-08,SBAT,1.0,1.0,1.0,1.0,0.0
2025-07-09,SBAT,1.0,1.0,1.0,1.0,0.0
2025-07-10,SBAT,1.0,1.0,1.0,1.0,0.0
2025-07-11,SBAT,1.0,1.0,1.0,1.0,0.0
2025-07-14,SBAT,1.0,1.0,1.0,1.0,0.0
2025-07-15,SBAT,1.0,1.0,1.0,1.0,0.0
2025-07-16,SBAT,1.0,1.0,1.0,1.0,0.0
2025-07-17,SBAT,1.0,1.0,1.0,1.0,0.0
2025-07-18,SBAT,1.0,1.0,1.0,1.0,0.0
2025-07-21,SBAT,1.0,1.0,1.0,1.0,0.0
2025-07-22,SBAT,1.0,1.0,1.0,1.0,0.0
2025-07-23,SBAT,1.0,1.0,1.0,1.0,0.0
2025-07-24,SBAT,1.0,1.0,1.0,1.0,0.0
2025-07-25,SBAT,1.0,1.0,1.0,1.0,0.0
2025-07-28,SBAT,1.0,1.0,1.0,1.0,0.0
2025-07-29,SBAT,1.0,1.0,1.0,1.0,0.0
2025-07-30,SBAT,1.0,1.0,1.0,1.0,0.0
2025-07-31,SBAT,1.0,1.0,1.0,1.0,0.0
2025-08-01,SBAT,1.0,1.0,1.0,1.0,0.0
2025-08-04,SBAT,1.0,1.0,1.0,1.0,0.0
2025-08-05,SBAT,1.0,1.0,1.0,1.0,0.0
2025-08-06,SBAT,1.0,1.0,1.0,1.0,0.0
2025-08-07,SBAT,1.0,1.0,1.0,1.0,0.0
2025-08-08,SBAT,1.0,1.0,1.0,1.0,0.0
2025-08-11,SBAT,1.0,1.0,1.0,1.0,0.0
2025-08-12,SBAT,1.0,1.0,1.0,1.0,0.0
2025-08-13,SBAT,1.0,1.0,1.0,1.0,0.0
2025-08-14,SBAT,1.0,1.0,1.0,1.0,0.0
2025-08-15,SBAT,1.0,1.0,1.0,1.0,0.0
2025-08-19,SBAT,1.0,1.0,1.0,1.0,0.0
2025-08-20,SBAT,1.0,1.0,1.0,1.0,0.0
2025-08-21,SBAT,1.0,1.0,1.0,1.0,0.0
2025-08-22,SBAT,1.0,1.0,1.0,1.0,0.0
2025-08-25,SBAT,1.0,1.0,1.0,1.0,0.0
2025-08-26,SBAT,1.0,1.0,1.0,1.0,0.0
2025-08-27,SBAT,1.0,1.0,1.0,1.0,0.0
2025-08-28,SBAT,1.0,1.0,1.0,1.0,0.0
2025-08-29,SBAT,1.0,1.0,1.0,1.0,0.0
2025-09-01,SBAT,1.0,1.0,1.0,1.0,0.0
2025-09-02,SBAT,1.0,1.0,1.0,1.0,0.0
2025-09-03,SBAT,1.0,1.0,1.0,1.0,0.0
2025-09-04,SBAT,1.0,1.0,1.0,1.0,0.0
2025-09-08,SBAT,1.0,1.0,1.0,1.0,0.0
2025-09-09,SBAT,1.0,1.0,1.0,1.0,0.0
2025-09-10,SBAT,1.0,1.0,1.0,1.0,0.0
2025-09-11,SBAT,1.0,1.0,1.0,1.0,0.0
2025-09-12,SBAT,1.0,1.0,1.0,1.0,0.0
2025-09-15,SBAT,1.0,1.0,1.0,1.0,0.0
2025-09-16,SBAT,1.0,1.0,1.0,1.0,0.0
2025-09-17,SBAT,1.0,1.0,1.0,1.0,0.0
2025-09-18,SBAT,1.0,1.0,1.0,1.0,0.0
2025-09-19,SBAT,1.0,1.0,1.0,1.0,0.0
2025-09-22,SBAT,1.0,1.0,1.0,1.0,0.0
2025-09-23,SBAT,1.0,1.0,1.0,1.0,0.0
2025-09-24,SBAT,1.0,1.0,1.0,1.0,0.0
2025-09-25,SBAT,1.0,1.0,1.0,1.0,0.0
2025-09-26,SBAT,1.0,1.0,1.0,1.0,0.0
2025-09-29,SBAT,1.0,1.0,1.0,1.0,0.0
2025-09-30,SBAT,1.0,1.0,1.0,1.0,0.0
2025-10-01,SBAT,1.0,1.0,1.0,1.0,0.0
2025-10-02,SBAT,1.0,1.0,1.0,1.0,0.0
2025-10-03,SBAT,1.0,1.0,1.0,1.0,0.0
2025-10-06,SBAT,1.0,1.0,1.0,1.0,0.0
2025-10-07,SBAT,1.0,1.0,1.0,1.0,0.0
2025-10-08,SBAT,1.0,1.0,1.0,1.0,0.0
2025-10-09,SBAT,1.0,1.0,1.0,1.0,0.0
2025-10-10,SBAT,1.0,1.0,1.0,1.0,0.0
2025-10-13,SBAT,1.0,1.0,1.0,1.0,0.0
2025-10-14,SBAT,1.0,1.0,1.0,1.0,0.0
2025-10-15,SBAT,1.0,1.0,1.0,1.0,0.0
2025-10-16,SBAT,1.0,1.0,1.0,1.0,0.0
2025-10-17,SBAT,1.0,1.0,1.0,1.0,0.0
2025-10-20,SBAT,1.0,1.0,1.0,1.0,0.0
2025-10-21,SBAT,1.0,1.0,1.0,1.0,0.0
2025-10-22,SBAT,1.0,1.0,1.0,1.0,0.0
2025-10-23,SBAT,1.0,1.0,1.0,1.0,0.0
2025-10-24,SBAT,1.0,1.0,1.0,1.0,0.0
2025-10-27,SBAT,1.0,1.0,1.0,1.0,0.0
2025-10-28,SBAT,1.0,1.0,1.0,1.0,0.0
2025-10-29,SBAT,1.0,1.0,1.0,1.0,0.0
2025-10-30,SBAT,1.0,1.0,1.0,1.0,0.0
2025-10-31,SBAT,1.0,1.0,1.0,1.0,0.0
2025-11-03,SBAT,1.0,1.0,1.0,1.0,0.0
2025-11-04,SBAT,1.0,1.0,1.0,1.0,0.0
2025-11-05,SBAT,1.0,1.0,1.0,1.0,0.0
2025-11-06,SBAT,1.0,1.0,1.0,1.0,0.0
2025-11-07,SBAT,1.0,1.0,1.0,1.0,0.0
2025-11-10,SBAT,1.0,1.0,1.0,1.0,0.0
2025-11-11,SBAT,1.0,1.0,1.0,1.0,0.0
2025-11-12,SBAT,1.0,1.0,1.0,1.0,0.0
2025-11-13,SBAT,1.0,1.0,1.0,1.0,0.0
2025-11-14,SBAT,1.0,1.0,1.0,1.0,0.0
2025-11-17,SBAT,1.0,1.0,1.0,1.0,0.0
2025-11-18,SBAT,1.0,1.0,1.0,1.0,0.0
2025-11-19,SBAT,1.0,1.0,1.0,1.0,0.0
2025-11-20,SBAT,1.0,1.0,1.0,1.0,0.0
2025-11-21,SBAT,1.0,1.0,1.0,1.0,0.0
2025-11-24,SBAT,1.0,1.0,1.0,1.0,0.0
2025-11-25,SBAT,1.0,1.0,1.0,1.0,0.0
2025-11-26,SBAT,1.0,1.0,1.0,1.0,0.0
2025-11-27,SBAT,1.0,1.0,1.0,1.0,0.0
2025-11-28,SBAT,1.0,1.0,1.0,1.0,0.0
2025-12-01,SBAT,1.0,1.0,1.0,1.0,0.0
